Parameter Name,Arithmetic Mean,Arithmetic Mean,Units of Measure
,mean,std,first
"1,1,2-Trichloro-1,2,2-trifluoroethane",0.1,0.0,Parts per billion Carbon
"1,2,3-Trimethylbenzene",0.4103333333333333,0.18276578819169995,Parts per billion Carbon
"1,2,4-Trimethylbenzene",0.999,0.4781166356040953,Parts per billion Carbon
"1,2-Dichlorobenzene",0.060000000000000005,0.10039920318408906,Parts per billion Carbon
"1,2-Dichloropropane",0.003,0.009114654303753,Parts per billion Carbon
"1,3,5-Trimethylbenzene",0.18966666666666668,0.11177203812111118,Parts per billion Carbon
"1,3-Butadiene",0.12857142857142856,0.1143891871129627,Parts per billion Carbon
"1,4-Dichlorobenzene",0.22999999999999998,0.13492855252211922,Parts per billion Carbon
1-Butene,0.169,0.07653486922244365,Parts per billion Carbon
1-Pentene,0.11966666666666666,0.04992983582736005,Parts per billion Carbon
"2,2,4-Trimethylpentane",1.713,0.9418659030405256,Parts per billion Carbon
"2,2-Dimethylbutane",0.2703333333333333,0.12683095818459697,Parts per billion Carbon
"2,3,4-Trimethylpentane",0.49433333333333335,0.2713908408656179,Parts per billion Carbon
"2,3-Dimethylbutane",0.565,0.3051257513516862,Parts per billion Carbon
"2,3-Dimethylpentane",0.9383333333333332,0.496429203434879,Parts per billion Carbon
"2,4-Dimethylpentane",0.6146666666666667,0.3258805930391379,Parts per billion Carbon
2-Methylheptane,0.27566666666666667,0.14571307028051642,Parts per billion Carbon
2-Methylhexane,0.6116666666666667,0.33463395682068975,Parts per billion Carbon
2-Methylpentane,1.596,0.8621168814269788,Parts per billion Carbon
3-Methylheptane,0.24766666666666665,0.13029630246780455,Parts per billion Carbon
3-Methylhexane,0.919,0.3964962929774093,Parts per billion Carbon
3-Methylpentane,0.9203333333333333,0.49639030342396223,Parts per billion Carbon
Acetaldehyde,2.6837837837837837,1.0829977456087827,Parts per billion Carbon
Acetone,3.345,2.7904866581787635,Parts per billion Carbon
Acetylene,2.527,2.02703307902172,Parts per billion Carbon
Acrolein - Unverified,0.5271428571428571,0.22648452065260022,Parts per billion Carbon
Benzene,1.2866,0.578453563609496,Parts per billion Carbon
Bromomethane,0.0,0.0,Parts per billion Carbon
Carbon tetrachloride,0.08642857142857144,0.014042968665638304,Parts per billion Carbon
Chloroform,0.01628571428571429,0.022078347224125907,Parts per billion Carbon
Cyclohexane,0.4313333333333333,0.2185963581949433,Parts per billion Carbon
Cyclopentane,0.265,0.12623869017282982,Parts per billion Carbon
Dichlorodifluoromethane,0.4,0.0,Parts per billion Carbon
