Date,Value,Variable,Units,Quality,Site
2021-01-01,15.707407407407409,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-02,15.272222222222224,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-03,13.855555555555554,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-04,16.2,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-05,18.255555555555556,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-06,21.174074074074074,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-07,20.868518518518517,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-08,20.2574074074074,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-09,18.62222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-10,17.51851851851852,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-11,18.316666666666677,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-12,18.229629629629628,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-13,21.551851851851854,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-14,25.92777777777778,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-15,26.007407407407406,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-16,27.31296296296297,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-17,24.494444444444436,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-18,23.320370370370377,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-19,16.985185185185184,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-20,18.170370370370367,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-21,17.781481481481485,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-22,14.27222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-23,9.224074074074073,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-24,8.577777777777776,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-25,7.033333333333331,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-26,7.729629629629629,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-27,11.192592592592595,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-28,16.033333333333328,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-29,8.522222222222224,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-30,12.122222222222222,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-01-31,16.170370370370367,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-01,16.95925925925926,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-02,20.935185185185187,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
2021-02-03,17.764814814814812,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0.0,Redlands-Dearborn 
