
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,Diethylphthalate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.257
,%dQ:,-0.001733
,Swaps by Factor:,0,0,0,0,0,0,0,0,0,0,0,0,0

Concentrations for Factor 1,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.029874,,,,,,,,,0.024501,0.030048,0.035595,
Chloroform,0.0017421,,,,,,,,,0.00036253,0.001691615,0.0030207,
Trichlorofluoromethane,0.004906,,,,,,,,,0,0.008112,0.016224,
Dichlorodifluoromethane,0.0071659,,,,,,,,,0,0.013132,0.026264,
Carbon Tetrachloride,0.0018839,,,,,,,,,0,0.00254185,0.0050837,
1_1_2-Trichlorotrifluoroethane,0.0020035,,,,,,,,,0,0.00280245,0.0056049,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.001538,,,,,,,,,0.00089767,0.001619935,0.0023422,
Tetrachloroethene,0.0011283,,,,,,,,,0.00092247,0.001131685,0.0013409,
1_2-Dichlorobenzene,0.00020319,,,,,,,,,5.2457E-05,0.0002607285,0.000469,
1_4-Dichlorobenzene,0.00022071,,,,,,,,,0,0.000296435,0.00059287,
PCBTF,0.0059557,,,,,,,,,0.0054683,0.0060382,0.0066081,
N-Butane,0.023475,,,,,,,,,0.010531,0.0305185,0.050506,
Isobutane,0,,,,,,,,,0,0.0011167,0.0022334,
N-Pentane,0.011175,,,,,,,,,0.006367,0.0137355,0.021104,
Isopentane,0,,,,,,,,,0,0.0065085,0.013017,
2-Methyl pentane,0.049648,,,,,,,,,0.03554,0.049935,0.06433,
Butene,0.026137,,,,,,,,,0.016532,0.0278865,0.039241,
Propylene,0,,,,,,,,,0,0.0026852,0.0053704,
cis-2-Pentene,0.0011104,,,,,,,,,0.00066937,0.001140785,0.0016122,
Isoprene,0.064485,,,,,,,,,0,0.059955,0.11991,
alpha-Pinene,0.0097333,,,,,,,,,0,0.009923,0.019846,
MVK,0.034056,,,,,,,,,0.00012701,0.0297475,0.059368,
Benzene,0.05816,,,,,,,,,0.041778,0.0587545,0.075731,
Toluene,0.047206,,,,,,,,,0.036905,0.048517,0.060129,
Ethylbenzene,0.00665,,,,,,,,,0.0051246,0.00690725,0.0086899,
Propylbenzene,0.0014089,,,,,,,,,0.0010095,0.0014575,0.0019055,
m_p-Xylene,0.00018611,,,,,,,,,-3.4424E-20,0.00157015,0.0031403,
o-Xylene,0.0032764,,,,,,,,,0.001822,0.0036518,0.0054816,
p-Isopropyl Toluene,0,,,,,,,,,0,7.3285E-05,0.00014657,
Naphthalene,8.3111E-05,,,,,,,,,-3.7019E-20,0.0006917,0.0013834,
Methanol,0.8141,,,,,,,,,0,1.3244,2.6488,
Ethanol,0,,,,,,,,,0,0.07488,0.14976,
Phenol,0.089372,,,,,,,,,0.05981,0.08577,0.11173,
Formaldehyde,0.35781,,,,,,,,,0.051389,0.3335995,0.61581,
Acetaldehyde,0.042114,,,,,,,,,0,0.079085,0.15817,
Isovaleraldehyde,0,,,,,,,,,0,0.0008191,0.0016382,
Hexaldehyde,0,,,,,,,,,0,0.000252075,0.00050415,
m_p-Tolualdehyde,0,,,,,,,,,0,1.9201E-05,3.8402E-05,
Phenylacetaldehyde,0.028237,,,,,,,,,0.021023,0.029161,0.037299,
Cyclohexanone,0,,,,,,,,,0,3.36405E-05,6.7281E-05,
Methyl acetate,0.044263,,,,,,,,,0.025786,0.041833,0.05788,
n-Butyl acetate,0.052733,,,,,,,,,0.0457,0.0530635,0.060427,
Diethylphthalate,0.007463,,,,,,,,,0,0.0054825,0.010965,
D5-Siloxane,0,,,,,,,,,0,0.0027026,0.0054052,

Concentrations for Factor 2,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0021514,,,,,,,,,0,0.00347785,0.0069557,
Chloroform,0.002603,,,,,,,,,0.0018516,0.0026352,0.0034188,
Trichlorofluoromethane,0.014636,,,,,,,,,0.010135,0.0147755,0.019416,
Dichlorodifluoromethane,0.0018489,,,,,,,,,-8.9297E-19,0.00427025,0.0085405,
Carbon Tetrachloride,0.0079985,,,,,,,,,0.005929,0.007967,0.010005,
1_1_2-Trichlorotrifluoroethane,0.0026764,,,,,,,,,0.00083497,0.002639935,0.0044449,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00024448,,,,,,,,,0,0.000242485,0.00048497,
Tetrachloroethene,0.00054821,,,,,,,,,0.00038595,0.000595565,0.00080518,
1_2-Dichlorobenzene,7.4096E-05,,,,,,,,,0,0.000108275,0.00021655,
1_4-Dichlorobenzene,0.00033407,,,,,,,,,0,0.0005318,0.0010636,
PCBTF,0.00074424,,,,,,,,,0.00030672,0.00104616,0.0017856,
N-Butane,0,,,,,,,,,0,0.0005296,0.0010592,
Isobutane,0,,,,,,,,,0,0.0011565,0.002313,
N-Pentane,0,,,,,,,,,0,0.000697,0.001394,
Isopentane,0.025728,,,,,,,,,0.020722,0.026041,0.03136,
2-Methyl pentane,0.001099,,,,,,,,,0,0.0057375,0.011475,
Butene,9.5043E-06,,,,,,,,,-2.2368E-20,0.0026962,0.0053924,
Propylene,0.0057841,,,,,,,,,0,0.0081435,0.016287,
cis-2-Pentene,0,,,,,,,,,0,3.045E-05,6.09E-05,
Isoprene,0.021245,,,,,,,,,0.0090187,0.02186485,0.034711,
alpha-Pinene,0.0063472,,,,,,,,,0.0031375,0.00642495,0.0097124,
MVK,0.008526,,,,,,,,,0.0030646,0.0094988,0.015933,
Benzene,0.026639,,,,,,,,,0.016715,0.0271,0.037485,
Toluene,0.045977,,,,,,,,,0.037312,0.0482005,0.059089,
Ethylbenzene,0.0082848,,,,,,,,,0.0068322,0.0086126,0.010393,
Propylbenzene,0.0016876,,,,,,,,,0.0013207,0.0017562,0.0021917,
m_p-Xylene,0.013762,,,,,,,,,0.011568,0.013748,0.015928,
o-Xylene,0.0096319,,,,,,,,,0.0080279,0.00984745,0.011667,
p-Isopropyl Toluene,0,,,,,,,,,0,2.60005E-05,5.2001E-05,
Naphthalene,0.006365,,,,,,,,,0.0053454,0.00634515,0.0073449,
Methanol,0.59908,,,,,,,,,0,1.0685,2.137,
Ethanol,0.035622,,,,,,,,,-6.2686E-18,0.057275,0.11455,
Phenol,0.015458,,,,,,,,,0.006935,0.018171,0.029407,
Formaldehyde,0.10955,,,,,,,,,0,0.130145,0.26029,
Acetaldehyde,0.2544,,,,,,,,,0.18251,0.258035,0.33356,
Isovaleraldehyde,0.0013453,,,,,,,,,0,0.00148795,0.0029759,
Hexaldehyde,0,,,,,,,,,0,0.000425775,0.00085155,
m_p-Tolualdehyde,0.00019285,,,,,,,,,0.00013708,0.000201565,0.00026605,
Phenylacetaldehyde,0,,,,,,,,,0,0.0011393,0.0022786,
Cyclohexanone,0.00027723,,,,,,,,,0.00021059,0.000277465,0.00034434,
Methyl acetate,0.02023,,,,,,,,,0.013571,0.021925,0.030279,
n-Butyl acetate,0.0066541,,,,,,,,,0.0021856,0.0082828,0.01438,
Diethylphthalate,0.01034,,,,,,,,,0.0058095,0.00950825,0.013207,
D5-Siloxane,0.04252,,,,,,,,,0.037549,0.0432335,0.048918,

Concentrations for Factor 3,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.022548,,,,,,,,,0.020104,0.0227045,0.025305,
Chloroform,0.003823,,,,,,,,,0.0034039,0.0038671,0.0043303,
Trichlorofluoromethane,0.066014,,,,,,,,,0.060738,0.066669,0.0726,
Dichlorodifluoromethane,0.15051,,,,,,,,,0.14067,0.151795,0.16292,
