
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
2,07/10/21,2.142900E-001,2.374900E+000,1.754300E+000,4.866400E+000,3.153100E-001,5.061300E-001,4.437900E+000,1.918800E+000,1.711300E-001,8.908100E-001,1.893100E+000
2,07/11/21,6.136000E-001,5.799900E-001,6.704500E-001,5.430700E+000,-3.701600E-002,-1.315700E-001,2.127000E+000,1.085000E+000,1.809100E+000,1.729000E-001,2.085200E+000
2,07/12/21,1.470300E+000,3.811400E+000,1.459400E+000,5.681900E+000,1.537600E-001,5.227700E-002,4.411800E+000,2.402500E+000,-2.000000E-001,6.173200E-001,1.784500E+000
2,07/13/21,9.002000E-001,1.094300E+000,2.057400E-001,5.731700E+000,-1.425100E-001,-2.000000E-001,2.694100E+000,-2.000000E-001,1.166300E+000,3.077700E-001,2.631300E+000
2,07/14/21,1.425200E+000,2.220500E+000,5.461500E+000,-1.360100E-001,9.791900E-001,-1.467100E-002,4.100400E+000,2.918100E+000,1.148700E-002,3.723600E-001,2.016900E+000
2,07/15/21,9.396300E-001,3.695500E+000,1.527800E+000,1.705700E+000,4.560300E-002,3.401800E-001,4.267100E+000,3.608900E+000,1.094800E-001,3.834900E-001,1.478900E+000
2,07/16/21,7.052100E-001,2.197900E+000,1.277900E+000,2.347200E+000,4.118300E-001,-2.000000E-001,3.262500E+000,2.320300E+000,1.394500E+000,1.461800E-001,1.921500E+000
2,07/17/21,6.287400E-001,1.060100E+000,-1.783700E-001,-6.266100E-002,5.457900E-001,-2.000000E-001,2.246900E+000,1.996900E+000,1.639800E+000,1.000500E-001,2.308400E+000
2,07/18/21,6.649000E-001,5.207700E-001,-1.611700E-001,-4.147600E-002,1.726600E+000,-2.000000E-001,1.206800E+000,7.199600E-001,1.928200E+000,6.159300E-002,3.109700E+000
2,07/19/21,1.096400E+000,3.419400E+000,-1.140400E-001,-2.029400E-002,-2.000000E-001,-2.000000E-001,1.525900E+000,3.033500E+000,-1.411000E-001,2.802400E-001,2.504400E+000
2,07/20/21,8.758300E-001,2.764200E+000,1.089100E+001,2.295800E+000,6.179900E-001,1.297100E+000,3.194700E+000,1.319700E+000,-2.000000E-001,2.427800E-001,4.019800E-001
2,07/21/21,7.101400E-001,1.507000E+000,4.678100E+000,3.031600E+000,1.905400E-001,2.451000E-001,3.400700E+000,8.757400E-001,3.510800E-001,1.769500E-001,1.862900E+000
2,07/22/21,1.309200E+000,3.559500E+000,3.019700E+000,2.795200E+000,4.564400E-001,8.847800E-001,5.137300E+000,2.466300E+000,-2.000000E-001,6.059300E-001,9.061000E-001
2,07/23/21,1.120300E+000,1.651400E+000,3.735600E+000,-2.000000E-001,1.846200E+000,8.344000E-001,3.723300E+000,1.733200E+000,-1.226300E-001,4.527300E-001,1.310100E+000
2,07/24/21,7.435200E-001,1.696400E+000,-1.880600E-001,-1.371600E-001,9.044400E-001,4.482600E-001,2.757600E+000,1.912900E+000,1.282000E+000,2.627700E-001,1.265300E+000
2,07/25/21,8.156600E-001,8.808300E-001,6.211300E-001,2.617900E+000,7.614700E-001,-2.000000E-001,1.988300E+000,9.525900E-001,1.641900E+000,3.090200E-001,1.371600E+000
