
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
2,Dichloromethane,4.825900E-003,8.074300E-003,5.720600E-003,7.856100E-004,8.028800E-003,3.297100E-003,3.955400E-002,8.440200E-003,2.032500E-002,4.555600E-003,2.132700E-002
2,Chloroform,7.315700E-004,4.960700E-004,5.568800E-004,1.816500E-003,1.737200E-003,0.000000E+000,9.455000E-003,2.920800E-003,3.289800E-003,1.066500E-003,3.982300E-003
2,Trichlorofluoromethane,1.958300E-002,1.710200E-002,1.074600E-002,3.163100E-003,0.000000E+000,0.000000E+000,5.390000E-002,1.460600E-002,5.828400E-002,0.000000E+000,7.814500E-002
2,Dichlorodifluoromethane,1.169800E-003,2.408700E-002,1.963200E-002,0.000000E+000,3.097800E-002,5.201200E-002,3.246800E-002,7.641300E-003,1.384700E-001,4.373000E-002,5.479600E-002
2,Carbon Tetrachloride,0.000000E+000,8.928100E-004,2.520200E-003,2.449800E-003,3.984100E-004,2.318000E-003,1.311900E-002,8.829200E-003,1.819700E-002,4.095600E-003,1.978800E-002
2,1_1_2-Trichlorotrifluoroethane,6.049800E-003,0.000000E+000,3.332400E-003,2.534000E-003,2.772200E-003,1.816600E-003,1.629800E-002,2.489500E-003,2.202400E-002,2.178100E-003,2.074900E-002
2,1_2-Dichloro-1_1_2_2-tetrafluoroethane,5.377200E-004,2.180200E-003,9.219100E-004,3.575200E-005,5.245600E-004,5.163900E-004,1.088200E-003,5.575500E-004,5.405300E-003,1.102200E-003,4.000700E-003
2,Tetrachloroethene,4.845900E-004,0.000000E+000,5.306500E-005,2.529600E-004,8.662800E-004,3.731800E-004,2.014400E-003,9.114000E-004,1.071100E-004,2.602100E-004,3.871500E-004
2,1_2-Dichlorobenzene,4.648200E-003,2.842500E-004,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.767600E-004,0.000000E+000,1.655000E-004,9.705000E-004,0.000000E+000
2,1_4-Dichlorobenzene,3.915300E-004,0.000000E+000,1.378800E-004,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.643700E-004,0.000000E+000,9.448200E-003,6.447900E-004
2,PCBTF,5.516800E-004,8.703800E-004,4.164800E-004,1.502800E-004,1.061300E-003,1.538800E-003,5.376900E-003,2.452400E-003,0.000000E+000,1.175400E-004,2.591600E-004
2,N-Butane,7.236700E-002,1.266900E-001,0.000000E+000,1.344700E-002,8.675400E-002,2.471600E-002,4.264700E-002,0.000000E+000,3.115200E-002,1.374000E-002,6.655800E-003
2,Isobutane,0.000000E+000,2.359000E-002,1.505300E-004,1.112500E-002,1.059500E-001,1.089900E-002,6.411300E-002,0.000000E+000,1.194400E-002,1.551000E-002,0.000000E+000
2,N-Pentane,3.145200E-004,7.280500E-002,3.982700E-004,0.000000E+000,4.731900E-003,0.000000E+000,5.832300E-003,2.324900E-003,4.379100E-003,0.000000E+000,4.297100E-003
2,Isopentane,1.628500E-002,5.168200E-002,5.011600E-003,1.740400E-002,6.583400E-002,0.000000E+000,1.137500E-001,2.423900E-002,2.693000E-003,6.911400E-003,5.603400E-002
2,2-Methyl pentane,1.254500E-003,0.000000E+000,3.332400E-003,0.000000E+000,6.686300E-002,1.107700E-002,1.789700E-001,7.955300E-003,8.719400E-003,0.000000E+000,5.571100E-002
2,Butene,2.299300E-002,5.320600E-002,2.106200E-004,1.617300E-002,3.854500E-002,9.168300E-003,3.267700E-002,4.808500E-003,1.482500E-002,5.463200E-003,1.661600E-002
2,Propylene,1.665400E-002,1.234000E-001,0.000000E+000,0.000000E+000,4.777300E-002,5.090300E-002,0.000000E+000,1.644600E-002,6.028100E-002,9.624300E-002,0.000000E+000
