
Residuals from Base Run #2 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
2,07/10/21,1.470000E-002,9.182000E-004,-5.356000E-002,1.888000E-002,-3.081000E-002,2.431000E-003,-1.611000E-003,3.136000E-003,-1.657000E-004,1.412000E-004,6.345000E-004,1.428000E-001,-2.984000E-002,-6.853000E-003,5.100000E-003,-3.565000E-002,5.945000E-002,-1.598000E-002,-1.307000E-003,7.332000E-002,1.176000E-002,4.366000E-003,1.378000E-001,-2.099000E-002,3.146000E-003,-2.186000E-003,3.575000E-003,-2.920000E-003,-1.925000E-003,2.154000E-003,1.619000E-001,-4.335000E-001,1.497000E-001,-8.836000E-001,-6.058000E-001,2.364000E-002,2.865000E-002,-5.594000E-004,2.673000E-002,-5.472000E-004,1.504000E-001,-2.153000E-003,6.006000E-003
2,07/11/21,1.797000E-002,7.367000E-003,4.820000E-003,4.604000E-002,-6.612000E-003,6.798000E-003,-3.153000E-005,4.036000E-004,1.160000E-004,-5.742000E-005,-7.617000E-003,7.492000E-003,4.412000E-002,-4.777000E-003,-2.877000E-002,-8.274000E-002,2.673000E-002,7.362000E-002,-2.322000E-003,2.039000E-002,5.750000E-003,-2.618000E-002,3.967000E-001,4.889000E-002,3.304000E-003,2.525000E-003,1.625000E-002,9.475000E-003,3.635000E-003,6.445000E-003,1.471000E-001,1.303000E+000,3.284000E-002,-2.874000E-001,-1.157000E-001,-1.996000E-002,-4.586000E-002,-5.720000E-004,4.552000E-002,-2.812000E-004,5.420000E-002,-1.392000E-002,-2.502000E-002
2,07/12/21,-2.404000E-002,8.397000E-003,-4.387000E-002,2.706000E-002,1.295000E-002,1.422000E-002,-8.288000E-004,-2.639000E-003,5.530000E-004,-1.220000E-005,-5.221000E-003,-9.132000E-002,3.201000E-003,1.217000E-002,9.237000E-002,7.886000E-002,1.128000E-002,3.211000E-002,9.198000E-004,1.699000E-002,5.169000E-003,-3.825000E-002,4.548000E-001,5.959000E-002,3.699000E-003,1.703000E-003,-1.041000E-003,3.083000E-003,4.340000E-003,2.913000E-003,5.707000E-001,-6.287000E-001,-1.028000E-002,-1.496000E-001,-2.512000E-001,7.337000E-004,-6.965000E-003,2.496000E-004,-6.641000E-002,6.893000E-004,1.826000E-001,-7.545000E-002,-1.313000E-003
2,07/13/21,5.015000E-002,1.931000E-003,1.879000E-002,-7.372000E-002,1.267000E-002,9.680000E-003,-8.814000E-004,7.922000E-004,-1.999000E-004,6.455000E-005,9.104000E-003,5.873000E-002,7.229000E-003,5.738000E-004,-6.014000E-002,-1.081000E-001,4.015000E-002,-2.568000E-002,7.479000E-003,5.302000E-002,7.231000E-003,-3.609000E-003,1.156000E-001,-2.254000E-002,-3.802000E-003,-8.117000E-004,-3.791000E-003,-4.425000E-003,-3.045000E-004,-2.367000E-003,4.012000E-002,-1.635000E+000,7.078000E-002,5.178000E-002,1.441000E-001,2.822000E-002,9.346000E-002,-3.920000E-004,-6.745000E-002,4.262000E-004,3.426000E-001,9.611000E-003,-1.506000E-003
2,07/14/21,1.114000E-002,6.428000E-003,-1.947000E-002,-3.796000E-002,-3.312000E-002,-1.190000E-003,-1.540000E-005,8.706000E-004,-3.414000E-004,-6.033000E-005,-3.926000E-004,2.808000E-002,-2.409000E-002,-1.261000E-002,-7.797000E-002,-1.387000E-001,1.512000E-001,9.195000E-002,7.109000E-003,-1.004000E-001,-1.521000E-002,-3.149000E-002,3.248000E-001,-7.673000E-002,-4.997000E-003,-3.377000E-004,-5.467000E-003,-7.666000E-003,1.495000E-002,7.786000E-004,1.130000E+001,-2.992000E-003,9.006000E-002,1.704000E-001,-2.608000E-001,2.079000E-002,1.826000E-002,-3.631000E-005,4.992000E-002,2.029000E-004,2.484000E-001,-6.901000E-004,1.716000E-002
2,07/15/21,-1.047000E-002,7.584000E-003,-1.039000E-002,5.656000E-002,1.828000E-002,2.624000E-002,-1.418000E-003,-1.892000E-003,2.790000E-004,1.210000E-005,-9.199000E-003,3.357000E-003,-1.012000E-002,1.480000E-002,2.258000E-001,7.813000E-002,-1.092000E-002,-5.124000E-002,-1.646000E-003,6.427000E-002,1.050000E-002,2.292000E-002,-4.008000E-002,-3.802000E-002,-7.867000E-003,-1.824000E-003,1.004000E-002,4.755000E-004,8.029000E-003,5.840000E-003,1.057000E-001,-1.794000E-001,-1.707000E-001,-5.256000E-001,-2.650000E-001,4.887000E-003,-1.033000E-002,-3.834000E-004,-4.622000E-002,4.841000E-004,2.992000E-001,-8.609000E-003,1.318000E-002
2,07/16/21,1.518000E-002,-5.187000E-003,4.543000E-002,-3.418000E-002,7.471000E-003,2.085000E-002,7.137000E-004,2.961000E-004,-4.477000E-005,4.150000E-005,-4.685000E-003,5.113000E-002,1.501000E-002,-6.760000E-003,-2.808000E-003,-3.362000E-002,4.357000E-002,-8.906000E-002,6.377000E-004,-5.031000E-002,-4.030000E-003,-3.969000E-002,5.982000E-001,3.003000E-002,5.675000E-003,1.621000E-003,9.156000E-003,5.890000E-003,1.206000E-003,5.960000E-004,4.965000E-001,2.054000E-002,-3.049000E-002,-2.564000E-001,-2.033000E-001,-1.059000E-004,-1.127000E-002,2.599000E-004,2.923000E-002,-3.793000E-004,-5.738000E-002,3.332000E-004,-7.237000E-004
2,07/17/21,2.603000E-002,5.786000E-003,5.641000E-002,-2.687000E-002,2.358000E-002,3.041000E-002,-4.342000E-004,-1.079000E-003,7.841000E-005,4.225000E-005,5.684000E-004,2.421000E-002,-1.088000E-002,6.755000E-003,3.317000E-002,-5.507000E-003,-9.263000E-003,-8.051000E-002,4.981000E-004,-8.454000E-002,-8.725000E-003,-3.029000E-002,9.305000E-002,3.521000E-003,-4.537000E-004,1.823000E-003,-6.260000E-003,-4.777000E-003,3.127000E-003,-1.890000E-003,8.016000E-006,-1.076000E-003,-1.291000E-001,1.389000E-001,1.440000E-001,1.481000E-002,-8.706000E-003,3.695000E-004,-5.978000E-002,7.889000E-004,1.616000E-002,-3.003000E-002,9.550000E-003
2,07/18/21,1.458000E-002,9.117000E-003,5.134000E-002,-8.413000E-002,2.920000E-002,2.407000E-002,-5.844000E-004,1.825000E-003,5.901000E-005,1.715000E-005,-9.144000E-004,6.625000E-002,-7.747000E-003,1.249000E-003,-4.976000E-002,-3.439000E-002,6.312000E-002,-2.513000E-001,2.596000E-003,-1.526000E-001,-2.791000E-002,-5.332000E-002,2.213000E-001,7.953000E-003,-1.330000E-003,-7.801000E-004,-2.181000E-003,-1.041000E-003,4.045000E-003,-1.721000E-003,7.339000E-005,-1.957000E-003,-1.042000E-001,-8.373000E-001,-1.719000E-001,8.862000E-003,-2.598000E-002,-8.556000E-004,-1.598000E-002,8.032000E-004,-2.401000E-003,-4.316000E-003,1.211000E-002
2,07/19/21,1.436000E-001,-5.620000E-003,-1.931000E-001,4.285000E-001,-1.342000E-002,-2.425000E-002,6.231000E-003,3.246000E-003,1.966000E-004,-1.194000E-004,1.239000E-002,1.470000E-001,-2.073000E-002,-5.405000E-003,-2.445000E-001,5.004000E-002,2.387000E-001,1.341000E-001,-2.509000E-003,-2.351000E-002,-1.660000E-003,1.955000E-003,1.433000E-001,3.453000E-002,6.858000E-003,3.268000E-003,-2.392000E-002,-2.992000E-003,6.068000E-003,-2.477000E-004,-2.564000E-005,6.194000E-004,1.686000E-001,1.682000E-001,1.363000E-001,2.662000E-003,-1.085000E-002,-9.085000E-004,3.670000E-002,-4.143000E-004,3.268000E-001,-4.952000E-003,1.035000E-002
