**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00483,  0.00388,  0.00398,  0.00456,  0.00496,  0.03103,  0.00583,  0.00595,  1.02119,  1.23282
Chloroform,  0.00073,  0.00013,  0.00042,  0.00073,  0.00082,  0.00608,  0.00090,  0.00124,  1.37415,  1.68957
Trichlorofluoromethane,  0.01958,  0.00000,  0.01968,  0.02281,  0.02607,  0.07197,  0.02361,  0.01321,  0.55937,  0.67451
Dichlorodifluoromethane,  0.00117,  0.00000,  0.00379,  0.01331,  0.03300,  0.08033,  0.01981,  0.02047,  1.03360, 17.50118
Carbon Tetrachloride,  0.00000,  0.00000,  0.00000,  0.00083,  0.00370,  0.02425,  0.00269,  0.00538,  1.99769,  0.00000
1_1_2-Trichlorotrifluoroethane,  0.00605,  0.00000,  0.00597,  0.00615,  0.00781,  0.02266,  0.00708,  0.00416,  0.58681,  0.68691
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00054,  0.00000,  0.00000,  0.00053,  0.00080,  0.00505,  0.00069,  0.00109,  1.57925,  2.02314
Tetrachloroethene,  0.00048,  0.00019,  0.00022,  0.00044,  0.00049,  0.00093,  0.00040,  0.00018,  0.44017,  0.36499
1_2-Dichlorobenzene,  0.00465,  0.00000,  0.00001,  0.00175,  0.00451,  0.00465,  0.00212,  0.00218,  1.02894,  0.46876
1_4-Dichlorobenzene,  0.00039,  0.00000,  0.00000,  0.00000,  0.00038,  0.00449,  0.00055,  0.00136,  2.45329,  3.46561
PCBTF,  0.00055,  0.00000,  0.00030,  0.00052,  0.00060,  0.00171,  0.00049,  0.00035,  0.71266,  0.63566
N-Butane,  0.07237,  0.01939,  0.05008,  0.06664,  0.07172,  0.07472,  0.05818,  0.01643,  0.28234,  0.22699
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00084,  0.00235,  0.00043,  0.00077,  1.78921,  0.00000
N-Pentane,  0.00031,  0.00000,  0.00000,  0.00000,  0.00024,  0.00925,  0.00059,  0.00206,  3.51226,  6.54426
Isopentane,  0.01629,  0.00892,  0.01166,  0.01438,  0.01943,  0.05531,  0.01672,  0.00994,  0.59478,  0.61062
2-Methyl pentane,  0.00125,  0.00125,  0.00194,  0.00615,  0.00964,  0.02782,  0.00674,  0.00607,  0.90096,  4.83852
Butene,  0.02299,  0.00917,  0.01778,  0.02301,  0.02542,  0.02565,  0.02120,  0.00470,  0.22174,  0.20448
Propylene,  0.01665,  0.00000,  0.01012,  0.01718,  0.06117,  0.06793,  0.03183,  0.02535,  0.79650,  1.52208
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00217,  0.00011,  0.00048,  4.47214,  0.00000
Isoprene,  0.04483,  0.00306,  0.04166,  0.04547,  0.05807,  0.13951,  0.04862,  0.02675,  0.55012,  0.59661
alpha-Pinene,  0.01106,  0.00172,  0.01044,  0.01281,  0.01298,  0.02555,  0.01161,  0.00473,  0.40747,  0.42765
MVK,  0.01898,  0.00017,  0.01714,  0.01807,  0.02689,  0.06472,  0.02063,  0.01316,  0.63814,  0.69347
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.09351,  0.00468,  0.02091,  4.47214,  0.00000
Toluene,  0.02568,  0.00787,  0.01442,  0.02367,  0.02478,  0.08876,  0.02455,  0.01650,  0.67211,  0.64263
Ethylbenzene,  0.00390,  0.00098,  0.00225,  0.00384,  0.00408,  0.01480,  0.00393,  0.00282,  0.71751,  0.72389
Propylbenzene,  0.00079,  0.00014,  0.00066,  0.00076,  0.00079,  0.00314,  0.00081,  0.00061,  0.75754,  0.77696
m_p-Xylene,  0.01198,  0.00397,  0.00771,  0.01145,  0.01165,  0.02626,  0.01040,  0.00471,  0.45337,  0.39350
o-Xylene,  0.00484,  0.00110,  0.00341,  0.00480,  0.00498,  0.01736,  0.00469,  0.00325,  0.69305,  0.67033
p-Isopropyl Toluene,  0.00000,  0.00000,  0.00000,  0.00002,  0.00008,  0.00332,  0.00035,  0.00096,  2.72480,  0.00000
Naphthalene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00468,  0.00046,  0.00142,  3.07829,  0.00000
Methanol,  1.12550,  0.00000,  0.44239,  0.82016,  0.91220,  1.12550,  0.69448,  0.30821,  0.44380,  0.27384
Ethanol,  0.10150,  0.00000,  0.09219,  0.13203,  0.15691,  0.17637,  0.12350,  0.04528,  0.36663,  0.44609
Phenol,  0.04374,  0.00000,  0.01678,  0.04252,  0.05041,  0.14333,  0.03681,  0.03121,  0.84776,  0.71352
Formaldehyde,  0.33088,  0.07477,  0.31588,  0.38166,  0.45089,  0.45566,  0.34708,  0.12690,  0.36564,  0.38354
Acetaldehyde,  0.14352,  0.05516,  0.08569,  0.14224,  0.21713,  0.22004,  0.14514,  0.06176,  0.42549,  0.43029
Isovaleraldehyde,  0.01960,  0.00310,  0.01489,  0.01855,  0.02784,  0.02954,  0.01856,  0.00781,  0.42087,  0.39856
