
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,07/10/21,1.852500E+000,-2.000000E-001,6.504800E-001,4.599400E+000,1.608900E-001,5.018900E-001,2.351400E+000,2.280000E+000,4.090700E+000,1.588900E-001
11,07/11/21,7.176600E-001,1.290100E+000,5.588100E-002,4.436100E+000,9.897000E-001,5.734300E-001,6.372500E-001,4.888900E-001,2.457700E+000,4.858600E-001
11,07/12/21,1.554700E+000,-2.000000E-001,2.952000E-001,5.238000E+000,-2.000000E-001,4.142500E-001,3.308200E+000,2.370200E+000,4.077700E+000,1.448700E+000
11,07/13/21,2.641000E-001,1.006800E+000,6.456600E-002,5.082300E+000,1.146700E+000,-2.000000E-001,1.270800E+000,-2.000000E-001,2.951200E+000,7.541800E-001
11,07/14/21,5.615700E+000,-1.809100E-001,3.716400E-001,-2.000000E-001,5.661600E-001,5.944400E-001,2.176500E+000,2.072500E+000,4.070900E+000,1.258600E+000
11,07/15/21,1.632700E+000,-2.000000E-001,2.748900E-001,1.610700E+000,-2.000000E-001,6.054400E-001,2.957400E+000,3.144000E+000,4.016700E+000,9.250200E-001
11,07/16/21,1.354700E+000,9.110900E-001,4.757600E-002,2.085700E+000,3.050000E-001,3.274100E-001,2.096000E+000,1.644200E+000,3.466500E+000,5.772900E-001
11,07/17/21,-1.286300E-001,1.107400E+000,1.845900E-001,-1.908100E-001,9.838900E-001,4.082300E-001,1.050800E+000,9.664900E-001,2.876400E+000,4.585000E-001
11,07/18/21,-1.426900E-001,1.698400E+000,1.687800E-001,-2.000000E-001,1.681900E+000,1.160700E+000,7.395700E-001,-2.000000E-001,2.164300E+000,4.557100E-001
11,07/19/21,-1.185200E-001,-2.000000E-001,5.012100E-001,-1.159100E-001,1.063100E+000,-2.000000E-001,5.743700E-001,2.015900E+000,2.595400E+000,1.028800E+000
11,07/20/21,1.067400E+001,6.155200E-001,-3.476000E-002,2.305900E+000,5.637100E-001,2.660400E-001,2.837800E+000,1.963100E+000,2.044400E+000,8.783900E-001
11,07/21/21,4.621000E+000,2.977100E-001,-2.881800E-003,2.789900E+000,8.320900E-001,-1.025200E-001,1.583000E+000,1.117000E+000,3.123800E+000,5.971700E-001
11,07/22/21,3.131900E+000,-2.000000E-001,3.199100E-001,2.765000E+000,-2.000000E-001,4.855700E-001,3.461500E+000,3.505900E+000,3.793200E+000,1.317500E+000
11,07/23/21,3.777100E+000,-2.000000E-001,3.832100E-001,-1.601800E-001,5.451000E-001,1.128900E+000,1.976500E+000,2.182800E+000,3.069000E+000,1.058900E+000
11,07/24/21,-1.292800E-001,8.273900E-001,2.465200E-001,-1.646800E-001,3.147100E-001,7.749900E-001,1.732300E+000,1.987500E+000,2.625100E+000,6.612400E-001
11,07/25/21,6.798900E-001,1.226600E+000,2.195200E-001,2.314400E+000,2.165700E-001,7.615300E-001,9.929200E-001,5.268500E-001,2.180000E+000,7.401200E-001
11,07/26/21,-1.130800E-001,1.628300E-001,-3.889300E-002,1.058800E+000,1.204900E+000,2.448800E-001,-8.936400E-002,1.544600E+000,-2.000000E-001,5.800600E-002
11,07/27/21,2.044600E+000,8.247800E-001,-2.000000E-001,2.708500E+000,8.450300E-001,5.358700E-001,1.324400E+000,1.278800E+000,2.243400E+000,2.319200E-001
11,07/28/21,2.717300E-001,9.246400E-001,9.758900E-002,1.468900E+000,1.060600E+000,8.067200E-001,1.457900E+000,2.424600E+000,2.090900E+000,5.594100E-001
11,07/29/21,6.105900E-001,7.409600E-001,1.403600E-001,1.973000E+000,1.467400E+000,1.796100E+000,1.923300E+000,3.388000E+000,3.321000E-001,7.520400E-001
11,07/30/21,7.297200E-001,8.839000E-001,-1.849700E-001,3.555600E+000,1.498700E+000,2.758300E-001,8.923600E-001,1.671300E+000,1.931600E+000,2.658100E-001
11,07/31/21,1.379200E+000,8.030700E-001,-1.668000E-001,4.362800E+000,1.006000E+000,2.564400E-001,1.849900E+000,1.137500E+000,1.993900E+000,4.158100E-001
11,08/01/21,2.980300E-001,1.232100E-001,1.014500E-001,1.356800E+000,1.918100E+000,9.447900E-001,1.695800E+000,3.032500E-001,1.285000E+000,5.746200E-001
11,08/02/21,-1.771900E-001,1.329200E+000,-1.258900E-001,-1.710700E-001,2.880800E+000,3.524200E-001,5.530400E-001,1.747400E-001,1.326500E+000,-2.000000E-001
