
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Dichloromethane,5.894800E-003,2.081000E-002,5.420400E-003,8.301800E-005,5.841500E-003,1.148400E-002,7.625800E-003,6.263400E-003,5.595900E-002,5.417900E-003
11,Chloroform,7.913200E-004,3.603400E-003,9.895300E-004,1.586900E-003,1.054900E-005,2.844500E-003,1.256200E-003,5.526700E-004,1.342200E-002,8.713700E-004
11,Trichlorofluoromethane,5.808300E-003,6.170700E-002,0.000000E+000,0.000000E+000,3.474000E-002,2.711800E-003,1.625500E-002,0.000000E+000,1.125500E-001,2.120400E-002
11,Dichlorodifluoromethane,1.032400E-002,1.429800E-001,5.049400E-002,3.865700E-005,3.665600E-002,5.587600E-002,9.130300E-003,1.975200E-002,7.854300E-002,0.000000E+000
11,Carbon Tetrachloride,1.205700E-003,1.946000E-002,4.396400E-003,8.712600E-004,8.707400E-003,4.289800E-003,0.000000E+000,2.505100E-003,3.026100E-002,6.089900E-004
11,1_1_2-Trichlorotrifluoroethane,1.596600E-003,2.301600E-002,2.758100E-003,1.465500E-003,9.345600E-003,4.515700E-003,0.000000E+000,0.000000E+000,3.221300E-002,5.427500E-003
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.850700E-004,5.587900E-003,1.606100E-003,0.000000E+000,1.914700E-003,1.068600E-003,1.148700E-003,0.000000E+000,4.616300E-003,4.421000E-004
11,Tetrachloroethene,1.774900E-004,1.173000E-004,2.868400E-004,1.477600E-004,1.189600E-004,8.814600E-004,1.307200E-004,1.053600E-003,2.288900E-003,5.006700E-004
11,1_2-Dichlorobenzene,0.000000E+000,2.135900E-004,6.969900E-004,0.000000E+000,0.000000E+000,0.000000E+000,1.449600E-004,0.000000E+000,5.463900E-004,4.770700E-003
11,1_4-Dichlorobenzene,1.568000E-004,0.000000E+000,9.115900E-003,3.476800E-004,1.489700E-004,0.000000E+000,6.281500E-004,0.000000E+000,4.264100E-004,3.168500E-004
11,PCBTF,8.357000E-004,0.000000E+000,5.327900E-005,3.655100E-004,2.761200E-004,9.794900E-004,1.177500E-003,4.031500E-003,4.404400E-003,7.275500E-004
11,N-Butane,4.323500E-004,3.388500E-002,1.696200E-002,1.040900E-002,2.730200E-003,7.722500E-002,1.462800E-001,1.133500E-003,4.964500E-002,7.410800E-002
11,Isobutane,1.140100E-003,5.802500E-003,1.079900E-002,0.000000E+000,0.000000E+000,8.098200E-002,9.202300E-002,0.000000E+000,4.662100E-002,0.000000E+000
11,N-Pentane,5.398200E-004,4.224900E-003,1.318300E-003,0.000000E+000,2.176700E-003,0.000000E+000,7.413200E-002,2.945000E-003,5.751300E-003,3.932800E-004
11,Isopentane,9.557700E-003,0.000000E+000,5.198500E-003,1.113400E-002,1.693100E-002,5.582800E-002,7.422900E-002,1.218800E-002,1.509700E-001,2.382000E-002
11,2-Methyl pentane,8.709400E-003,7.513300E-003,0.000000E+000,5.611800E-003,7.971500E-003,7.770400E-002,2.127000E-002,2.569800E-003,1.929900E-001,2.525400E-003
11,Butene,3.608700E-004,1.573600E-002,6.996600E-003,1.377100E-002,4.698000E-003,3.861400E-002,5.410500E-002,1.420000E-003,5.077300E-002,2.681300E-002
11,Propylene,0.000000E+000,6.337000E-002,9.811400E-002,5.658000E-003,0.000000E+000,5.168100E-002,1.059200E-001,5.349000E-002,0.000000E+000,2.593500E-002
11,cis-2-Pentene,0.000000E+000,1.084800E-003,9.251400E-005,2.164100E-004,9.404300E-004,2.198400E-004,2.801500E-003,0.000000E+000,4.134500E-003,0.000000E+000
11,Isoprene,1.018300E-002,1.596400E-002,0.000000E+000,2.130200E-002,3.255500E-001,0.000000E+000,2.220100E-002,2.688800E-002,1.086700E-001,3.566500E-002
11,alpha-Pinene,1.628000E-003,9.985000E-003,2.428900E-003,4.552000E-003,5.969900E-002,1.900600E-003,4.765800E-003,1.055600E-002,1.837800E-002,8.028800E-003
11,MVK,3.837200E-003,3.881400E-003,0.000000E+000,1.731900E-002,1.495800E-001,6.182500E-003,1.197500E-002,6.677600E-003,5.525700E-002,1.539300E-002
11,Benzene,4.424600E-004,2.154200E-002,2.142800E-003,1.233200E-003,0.000000E+000,2.299800E-002,2.209200E-002,1.165900E-002,1.668400E-001,0.000000E+000
11,Toluene,1.168700E-002,4.209300E-003,5.009500E-004,5.546500E-003,2.088300E-002,7.951600E-003,3.689800E-002,1.065400E-001,1.120000E-001,2.773700E-002
11,Ethylbenzene,2.015400E-003,6.844400E-004,1.019500E-004,4.778200E-004,3.586500E-003,2.233700E-003,5.622400E-003,1.778800E-002,1.576200E-002,4.289100E-003
11,Propylbenzene,3.934300E-004,0.000000E+000,2.275200E-004,0.000000E+000,1.022100E-003,8.186000E-004,1.175400E-003,3.500100E-003,3.747100E-003,9.109400E-004
11,m_p-Xylene,1.903300E-003,1.658400E-003,2.463600E-004,0.000000E+000,5.542400E-003,0.000000E+000,7.827200E-003,2.509600E-002,7.302500E-003,1.319100E-002
11,o-Xylene,1.893600E-003,4.704200E-004,8.334400E-005,2.496300E-004,4.025700E-003,1.730800E-003,4.731800E-003,1.925600E-002,1.089800E-002,5.368200E-003
11,p-Isopropyl Toluene,4.837200E-004,0.000000E+000,5.825400E-004,2.276400E-003,4.384200E-003,1.482000E-003,6.385300E-004,9.902500E-004,8.843400E-003,0.000000E+000
11,Naphthalene,1.271800E-003,2.848300E-004,0.000000E+000,3.089100E-004,3.706000E-003,2.056400E-003,0.000000E+000,6.337200E-003,4.928700E-003,0.000000E+000
11,Methanol,7.332500E+001,3.206000E+000,9.245900E-001,2.004200E-001,2.944000E+000,1.779900E-001,4.326600E-002,2.589700E+000,1.862100E-004,5.616400E-001
11,Ethanol,0.000000E+000,3.046600E-001,0.000000E+000,4.817500E+000,1.131400E-001,1.371300E-002,0.000000E+000,7.236200E-002,1.960200E-001,2.634100E-002
11,Phenol,1.030900E-003,4.856200E-002,1.298500E-002,0.000000E+000,1.097900E-001,0.000000E+000,0.000000E+000,0.000000E+000,1.354600E-001,3.790600E-002
11,Formaldehyde,0.000000E+000,7.828800E-002,2.243000E-003,2.587500E-001,9.856000E-001,7.248700E-001,3.790300E-002,1.558400E-001,7.639100E-001,3.380500E-001
11,Acetaldehyde,9.651500E-003,0.000000E+000,2.889100E-002,1.286900E-001,4.533900E-001,4.484800E-001,0.000000E+000,3.562200E-001,2.804400E-001,1.539300E-001
11,Isovaleraldehyde,2.408000E-004,1.990800E-002,2.763000E-003,3.518200E-003,9.017400E-003,0.000000E+000,0.000000E+000,9.188400E-003,2.242600E-003,1.552000E-002
11,Hexaldehyde,0.000000E+000,5.106100E-002,9.264500E-003,4.829500E-003,2.296300E-002,7.014900E-003,0.000000E+000,1.360600E-002,0.000000E+000,4.366000E-002
11,m_p-Tolualdehyde,3.249000E-005,0.000000E+000,0.000000E+000,3.581600E-006,3.397200E-004,3.167200E-004,4.843200E-005,5.006700E-004,2.955000E-005,1.220800E-004
11,Phenylacetaldehyde,1.251400E-003,4.583300E-002,2.636600E-002,0.000000E+000,3.053900E-002,0.000000E+000,0.000000E+000,0.000000E+000,5.334000E-002,3.979800E-003
11,Cyclohexanone,9.038900E-005,2.474400E-004,9.907600E-005,2.151900E-004,2.795200E-004,2.627300E-004,0.000000E+000,7.980600E-004,0.000000E+000,8.771800E-005
11,Methyl acetate,7.271800E-003,8.342000E-003,0.000000E+000,6.662100E-003,0.000000E+000,2.795400E-002,1.175200E-002,2.060200E-002,1.348200E-001,2.969700E-003
11,n-Butyl acetate,5.942600E-003,4.789600E-004,0.000000E+000,7.614100E-003,0.000000E+000,0.000000E+000,2.057500E-002,4.729600E-002,5.297700E-002,4.237000E-003
11,D5-Siloxane,4.346500E-003,0.000000E+000,5.988400E-003,8.362500E-003,0.000000E+000,4.951200E-002,2.410500E-003,9.337800E-004,3.399800E-002,7.867400E-003

Factor Profiles (% of species sum) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Dichloromethane,4.723404E+000,1.667470E+001,4.343276E+000,6.652093E-002,4.680696E+000,9.201937E+000,6.110425E+000,5.018757E+000,4.483901E+001,4.341272E+000
11,Chloroform,3.051939E+000,1.389748E+001,3.816389E+000,6.120307E+000,4.068506E-002,1.097058E+001,4.844873E+000,2.131521E+000,5.176555E+001,3.360673E+000
11,Trichlorofluoromethane,2.277978E+000,2.420109E+001,0.000000E+000,0.000000E+000,1.362481E+001,1.063551E+000,6.375107E+000,0.000000E+000,4.414139E+001,8.316073E+000
11,Dichlorodifluoromethane,2.556750E+000,3.540915E+001,1.250489E+001,9.573447E-003,9.077897E+000,1.383775E+001,2.261128E+000,4.891603E+000,1.945126E+001,0.000000E+000
11,Carbon Tetrachloride,1.667505E+000,2.691353E+001,6.080299E+000,1.204968E+000,1.204249E+001,5.932870E+000,0.000000E+000,3.464598E+000,4.185150E+001,8.422440E-001
11,1_1_2-Trichlorotrifluoroethane,1.987353E+000,2.864896E+001,3.433120E+000,1.824168E+000,1.163285E+001,5.620877E+000,0.000000E+000,0.000000E+000,4.009684E+001,6.755832E+000
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,2.296256E+000,3.332187E+001,9.577524E+000,0.000000E+000,1.141777E+001,6.372294E+000,6.849948E+000,0.000000E+000,2.752800E+001,2.636338E+000
11,Tetrachloroethene,3.111840E+000,2.056560E+000,5.029016E+000,2.590599E+000,2.085664E+000,1.545418E+001,2.291846E+000,1.847222E+001,4.013009E+001,8.777987E+000
11,1_2-Dichlorobenzene,0.000000E+000,3.351677E+000,1.093724E+001,0.000000E+000,0.000000E+000,0.000000E+000,2.274728E+000,0.000000E+000,8.574011E+000,7.486234E+001
11,1_4-Dichlorobenzene,1.407444E+000,0.000000E+000,8.182476E+001,3.120792E+000,1.337162E+000,0.000000E+000,5.638305E+000,0.000000E+000,3.827477E+000,2.844061E+000
11,PCBTF,6.502971E+000,0.000000E+000,4.145887E-001,2.844204E+000,2.148618E+000,7.621868E+000,9.162676E+000,3.137098E+001,3.427269E+001,5.661406E+000
11,N-Butane,1.047334E-001,8.208376E+000,4.108912E+000,2.521499E+000,6.613696E-001,1.870715E+001,3.543518E+001,2.745815E-001,1.202611E+001,1.795208E+001
11,Isobutane,4.803099E-001,2.444521E+000,4.549484E+000,0.000000E+000,0.000000E+000,3.411670E+001,3.876814E+001,0.000000E+000,1.964084E+001,0.000000E+000
11,N-Pentane,5.900878E-001,4.618321E+000,1.441060E+000,0.000000E+000,2.379393E+000,0.000000E+000,8.103514E+001,3.219237E+000,6.286859E+000,4.299021E-001
11,Isopentane,2.655977E+000,0.000000E+000,1.444605E+000,3.094014E+000,4.704935E+000,1.551398E+001,2.062741E+001,3.386909E+000,4.195287E+001,6.619311E+000
11,2-Methyl pentane,2.664523E+000,2.298593E+000,0.000000E+000,1.716855E+000,2.438773E+000,2.377249E+001,6.507270E+000,7.861956E-001,5.904269E+001,7.726121E-001
11,Butene,1.691942E-001,7.377836E+000,3.280361E+000,6.456544E+000,2.202661E+000,1.810420E+001,2.536717E+001,6.657681E-001,2.380496E+001,1.257130E+001
11,Propylene,0.000000E+000,1.567912E+001,2.427555E+001,1.399913E+000,0.000000E+000,1.278701E+001,2.620692E+001,1.323460E+001,0.000000E+000,6.416886E+000
11,cis-2-Pentene,0.000000E+000,1.143099E+001,9.748583E-001,2.280402E+000,9.909700E+000,2.316545E+000,2.952057E+001,0.000000E+000,4.356694E+001,0.000000E+000
11,Isoprene,1.797773E+000,2.818388E+000,0.000000E+000,3.760794E+000,5.747471E+001,0.000000E+000,3.919509E+000,4.746983E+000,1.918531E+001,6.296531E+000
11,alpha-Pinene,1.335279E+000,8.189655E+000,1.992174E+000,3.733531E+000,4.896487E+001,1.558864E+000,3.908889E+000,8.657988E+000,1.507356E+001,6.585188E+000
11,MVK,1.420645E+000,1.437009E+000,0.000000E+000,6.412005E+000,5.537894E+001,2.288944E+000,4.433499E+000,2.472245E+000,2.045777E+001,5.698944E+000
11,Benzene,1.777309E-001,8.653162E+000,8.607370E-001,4.953616E-001,0.000000E+000,9.238020E+000,8.874090E+000,4.683280E+000,6.701762E+001,0.000000E+000
11,Toluene,3.499591E+000,1.260445E+000,1.500060E-001,1.660861E+000,6.253269E+000,2.381051E+000,1.104885E+001,3.190266E+001,3.353762E+001,8.305651E+000
11,Ethylbenzene,3.834379E+000,1.302175E+000,1.939640E-001,9.090717E-001,6.823460E+000,4.249704E+000,1.069684E+001,3.384238E+001,2.998784E+001,8.160185E+000
11,Propylbenzene,3.335512E+000,0.000000E+000,1.928922E+000,0.000000E+000,8.665397E+000,6.940117E+000,9.965079E+000,2.967396E+001,3.176803E+001,7.722979E+000
11,m_p-Xylene,3.032318E+000,2.642146E+000,3.924983E-001,0.000000E+000,8.830095E+000,0.000000E+000,1.247021E+001,3.998269E+001,1.163427E+001,2.101577E+001
11,o-Xylene,3.887697E+000,9.658062E-001,1.711112E-001,5.125084E-001,8.265053E+000,3.553457E+000,9.714726E+000,3.953396E+001,2.237438E+001,1.102130E+001
11,p-Isopropyl Toluene,2.457797E+000,0.000000E+000,2.959905E+000,1.156646E+001,2.227626E+001,7.530090E+000,3.244391E+000,5.031492E+000,4.493360E+001,0.000000E+000
11,Naphthalene,6.731295E+000,1.507528E+000,0.000000E+000,1.634977E+000,1.961486E+001,1.088397E+001,0.000000E+000,3.354109E+001,2.608628E+001,0.000000E+000
11,Methanol,8.731995E+001,3.817903E+000,1.101059E+000,2.386725E-001,3.505898E+000,2.119615E-001,5.152383E-002,3.083975E+000,2.217504E-004,6.688357E-001
11,Ethanol,0.000000E+000,5.495572E+000,0.000000E+000,8.689988E+001,2.040862E+000,2.473603E-001,0.000000E+000,1.305293E+000,3.535883E+000,4.751489E-001
11,Phenol,2.981773E-001,1.404606E+001,3.755779E+000,0.000000E+000,3.175564E+001,0.000000E+000,0.000000E+000,0.000000E+000,3.918042E+001,1.096392E+001
11,Formaldehyde,0.000000E+000,2.340131E+000,6.704621E-002,7.734376E+000,2.946087E+001,2.166731E+001,1.132970E+000,4.658262E+000,2.283427E+001,1.010476E+001
11,Acetaldehyde,5.189837E-001,0.000000E+000,1.553536E+000,6.919961E+000,2.437984E+001,2.411581E+001,0.000000E+000,1.915478E+001,1.507991E+001,8.277175E+000
11,Isovaleraldehyde,3.859073E-001,3.190466E+001,4.427998E+000,5.638286E+000,1.445133E+001,0.000000E+000,0.000000E+000,1.472538E+001,3.594002E+000,2.487243E+001
11,Hexaldehyde,0.000000E+000,3.350483E+001,6.079112E+000,3.168986E+000,1.506769E+001,4.602986E+000,0.000000E+000,8.927886E+000,0.000000E+000,2.864850E+001
11,m_p-Tolualdehyde,2.331968E+000,0.000000E+000,0.000000E+000,2.570692E-001,2.438339E+001,2.273256E+001,3.476205E+000,3.593557E+001,2.120950E+000,8.762287E+000
