
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,07/10/21,1.785900E+000,5.159100E-001,1.887400E+000,1.916000E+000,8.903600E-001,3.300000E-001,1.768800E-001,4.863300E+000,2.013000E-001,4.442300E+000,2.362300E+000
4,07/11/21,6.947400E-001,-1.288700E-001,2.082800E+000,1.085600E+000,1.729600E-001,-2.744600E-002,1.814500E+000,5.427700E+000,6.019400E-001,2.130100E+000,5.720300E-001
4,07/12/21,1.499300E+000,5.906100E-002,1.778400E+000,2.401100E+000,6.157700E-001,1.666100E-001,-2.000000E-001,5.678700E+000,1.469900E+000,4.419000E+000,3.795900E+000
4,07/13/21,2.320900E-001,-2.000000E-001,2.629100E+000,-2.000000E-001,3.097400E-001,-1.317000E-001,1.174000E+000,5.727200E+000,8.887600E-001,2.696600E+000,1.085400E+000
4,07/14/21,5.514700E+000,3.702000E-004,2.012600E+000,2.914300E+000,3.711700E-001,9.874600E-001,1.484900E-002,-1.352300E-001,1.414600E+000,4.105300E+000,2.211000E+000
4,07/15/21,1.553500E+000,3.474100E-001,1.474200E+000,3.610200E+000,3.800100E-001,5.725600E-002,1.079000E-001,1.705200E+000,9.385300E-001,4.275000E+000,3.679500E+000
4,07/16/21,1.305700E+000,-2.000000E-001,1.918200E+000,2.322600E+000,1.444300E-001,4.195300E-001,1.397900E+000,2.346600E+000,6.980300E-001,3.268900E+000,2.187900E+000
4,07/17/21,-1.719800E-001,-2.000000E-001,2.306600E+000,2.000600E+000,9.874900E-002,5.506900E-001,1.645500E+000,-6.194000E-002,6.197400E-001,2.251100E+000,1.054600E+000
4,07/18/21,-1.602200E-001,-2.000000E-001,3.110400E+000,7.202200E-001,6.232500E-002,1.725000E+000,1.933100E+000,-4.111500E-002,6.580900E-001,1.207900E+000,5.240200E-001
4,07/19/21,-1.126700E-001,-2.000000E-001,2.504800E+000,3.039300E+000,2.767300E-001,-2.000000E-001,-1.521800E-001,-1.950900E-002,1.111800E+000,1.533400E+000,3.412400E+000
4,07/20/21,1.096600E+001,1.317000E+000,3.968600E-001,1.309700E+000,2.435800E-001,6.232600E-001,-2.000000E-001,2.294500E+000,8.749200E-001,3.197500E+000,2.753000E+000
4,07/21/21,4.727000E+000,2.561800E-001,1.860000E+000,8.694200E-001,1.781600E-001,2.020200E-001,3.551200E-001,3.030000E+000,6.977100E-001,3.404600E+000,1.495300E+000
4,07/22/21,3.059600E+000,8.990200E-001,9.006800E-001,2.459800E+000,6.048000E-001,4.713700E-001,-2.000000E-001,2.793400E+000,1.301900E+000,5.144200E+000,3.542000E+000
4,07/23/21,3.766800E+000,8.478800E-001,1.307000E+000,1.726000E+000,4.529200E-001,1.853000E+000,-1.181300E-001,-2.000000E-001,1.108100E+000,3.726000E+000,1.645800E+000
4,07/24/21,-1.843200E-001,4.530600E-001,1.263000E+000,1.912400E+000,2.615000E-001,9.102200E-001,1.284800E+000,-1.371000E-001,7.363200E-001,2.761300E+000,1.690100E+000
4,07/25/21,6.418200E-001,-2.000000E-001,1.369500E+000,9.524600E-001,3.089900E-001,7.656900E-001,1.646100E+000,2.616900E+000,8.078300E-001,1.991400E+000,8.768300E-001
4,07/26/21,-1.439100E-001,2.702500E+000,2.051000E-001,9.766200E-001,-6.891000E-002,-2.000000E-001,-2.000000E-001,8.129200E-001,6.969400E-002,-2.000000E-001,8.988500E-004
4,07/27/21,2.006600E+000,1.842900E+000,1.227900E+000,4.790000E-002,2.322000E-002,1.224100E+000,7.032400E-001,2.783200E+000,2.848100E-001,2.607700E+000,1.030600E+000
4,07/28/21,2.011300E-001,2.454800E+000,1.237700E+000,1.253900E+000,1.921500E-001,5.419500E-001,9.241800E-001,1.337900E+000,6.055000E-001,2.522300E+000,1.373700E+000
4,07/29/21,5.690200E-001,4.046500E+000,-6.109000E-002,1.382100E+000,2.912600E-001,9.455300E-001,6.285200E-001,1.594400E+000,6.528300E-001,1.158000E+000,2.084600E+000
