
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
4,Dichloromethane,5.693400E-003,3.350300E-003,2.127100E-002,8.426300E-003,4.546000E-003,8.080600E-003,2.031700E-002,7.822100E-004,4.790100E-003,3.950700E-002,8.098300E-003
4,Chloroform,5.588900E-004,0.000000E+000,3.968200E-003,2.915200E-003,1.065300E-003,1.755000E-003,3.287800E-003,1.819300E-003,7.264800E-004,9.444300E-003,4.998100E-004
4,Trichlorofluoromethane,1.072500E-002,0.000000E+000,7.799900E-002,1.463000E-002,0.000000E+000,0.000000E+000,5.827800E-002,3.184400E-003,1.943200E-002,5.393800E-002,1.715800E-002
4,Dichlorodifluoromethane,1.947200E-002,5.219300E-002,5.466700E-002,7.739400E-003,4.359700E-002,3.106300E-002,1.384200E-001,0.000000E+000,1.056200E-003,3.188700E-002,2.462200E-002
4,Carbon Tetrachloride,2.511500E-003,2.320800E-003,1.974000E-002,8.834500E-003,4.080100E-003,4.201000E-004,1.818100E-002,2.450900E-003,0.000000E+000,1.308300E-002,9.453000E-004
4,1_1_2-Trichlorotrifluoroethane,3.316300E-003,1.822200E-003,2.070400E-002,2.504600E-003,2.173800E-003,2.818200E-003,2.201800E-002,2.538500E-003,6.012300E-003,1.628100E-002,0.000000E+000
4,1_2-Dichloro-1_1_2_2-tetrafluoroethane,9.171900E-004,5.214100E-004,3.991400E-003,5.611400E-004,1.098100E-003,5.198400E-004,5.404300E-003,3.382500E-005,5.300500E-004,1.082200E-003,2.199000E-003
4,Tetrachloroethene,5.326900E-005,3.745000E-004,3.862400E-004,9.086300E-004,2.589100E-004,8.707900E-004,1.076400E-004,2.524800E-004,4.837900E-004,2.012100E-003,0.000000E+000
4,1_2-Dichlorobenzene,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,9.650300E-004,0.000000E+000,1.704900E-004,0.000000E+000,4.642300E-003,3.097000E-004,2.509000E-004
4,1_4-Dichlorobenzene,1.360200E-004,0.000000E+000,6.409100E-004,5.767300E-004,9.444500E-003,0.000000E+000,0.000000E+000,0.000000E+000,3.889000E-004,0.000000E+000,0.000000E+000
4,PCBTF,4.136300E-004,1.547900E-003,2.577800E-004,2.444600E-003,1.171200E-004,1.068000E-003,0.000000E+000,1.499100E-004,5.517500E-004,5.373700E-003,8.650000E-004
4,N-Butane,0.000000E+000,2.475200E-002,6.646600E-003,0.000000E+000,1.356200E-002,8.652500E-002,3.130200E-002,1.344700E-002,7.221800E-002,4.294800E-002,1.265800E-001
4,Isobutane,1.651700E-004,1.093600E-002,0.000000E+000,0.000000E+000,1.543500E-002,1.062300E-001,1.196600E-002,1.109900E-002,0.000000E+000,6.361900E-002,2.380600E-002
4,N-Pentane,4.129300E-004,0.000000E+000,4.273100E-003,2.336600E-003,0.000000E+000,4.433300E-003,4.409400E-003,0.000000E+000,2.811400E-004,6.034500E-003,7.285100E-002
