
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
2,07/10/21,1.703000E+000,-1.667900E-001,2.005700E+000,2.927200E-001,4.085400E+000,7.478800E-001,1.757100E+000,4.161200E+000
2,07/11/21,6.858500E-001,4.678400E-001,7.648700E-001,6.109100E-001,1.766300E+000,3.109700E+000,8.199500E-001,-2.000000E-001
2,07/12/21,1.390700E+000,-2.000000E-001,2.191000E+000,1.575300E+000,4.275300E+000,3.771200E-001,1.951700E+000,4.665700E+000
2,07/13/21,8.331200E-002,6.659900E-001,9.427600E-001,7.286100E-001,2.490400E+000,1.776800E+000,-2.000000E-001,4.772500E+000
2,07/14/21,5.403700E+000,-4.649700E-002,1.797100E+000,1.388000E+000,3.677700E+000,1.762800E+000,1.606100E+000,-2.000000E-001
2,07/15/21,1.546800E+000,-2.000000E-001,1.708600E+000,1.157900E+000,4.066600E+000,8.389900E-001,2.621000E+000,1.598900E+000
2,07/16/21,1.257700E+000,4.248000E-001,1.540500E+000,6.766200E-001,3.237500E+000,1.351500E+000,1.320900E+000,1.972300E+000
2,07/17/21,-1.677700E-001,6.112900E-001,6.793300E-001,6.025300E-001,2.289600E+000,2.423000E+000,9.544600E-001,-1.145000E-001
2,07/18/21,-1.840800E-001,8.783200E-001,9.666600E-001,5.247000E-001,1.478000E+000,3.508800E+000,-2.000000E-001,-9.315300E-002
2,07/19/21,-1.307400E-001,-8.085600E-002,-1.927900E-002,1.179100E+000,1.904500E+000,2.034100E+000,2.253600E+000,-5.046900E-002
2,07/20/21,1.022700E+001,6.025400E-001,1.755600E+000,8.152800E-001,2.749400E+000,-2.000000E-001,9.993500E-001,2.368100E+000
2,07/21/21,4.496700E+000,1.126300E-001,1.213800E+000,6.430900E-001,3.041300E+000,1.166900E+000,5.567200E-001,2.732700E+000
2,07/22/21,3.039700E+000,-2.000000E-001,2.009200E+000,1.492600E+000,4.516300E+000,8.951000E-003,2.395300E+000,2.911000E+000
2,07/23/21,3.811400E+000,-1.361900E-001,1.896400E+000,1.246500E+000,3.000500E+000,1.471200E+000,1.478500E+000,-1.655400E-001
2,07/24/21,-1.443000E-001,5.269500E-001,1.366000E+000,7.980600E-001,2.543800E+000,1.397200E+000,1.434100E+000,-1.350000E-001
2,07/25/21,5.861500E-001,9.247200E-001,9.955800E-001,7.791400E-001,2.055700E+000,8.948000E-001,2.940500E-001,2.091800E+000
2,07/26/21,-7.619600E-002,2.069800E-001,-9.710000E-002,-2.305300E-002,-2.000000E-001,3.339900E-001,1.615200E+000,1.162700E+000
2,07/27/21,2.004000E+000,5.043000E-001,1.250500E+000,1.335000E-001,2.321400E+000,9.324100E-001,8.501800E-001,2.873300E+000
2,07/28/21,2.592700E-001,7.069000E-001,1.214000E+000,5.532300E-001,2.303300E+000,1.078300E+000,1.650600E+000,1.635100E+000
