
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
2,Dichloromethane,4.780600E-003,2.419400E-002,9.873800E-003,3.997200E-003,5.374300E-002,1.946300E-002,9.181000E-003,0.000000E+000
2,Chloroform,5.518200E-004,3.734800E-003,2.101800E-003,7.952300E-004,1.304100E-002,3.827200E-003,1.478300E-003,3.953300E-004
2,Trichlorofluoromethane,5.267500E-003,7.048300E-002,9.503800E-003,2.182200E-003,1.025300E-001,6.290700E-002,0.000000E+000,1.223500E-003
2,Dichlorodifluoromethane,1.200800E-002,1.782800E-001,3.268300E-002,1.337700E-003,6.296700E-002,6.469400E-002,4.925800E-002,0.000000E+000
2,Carbon Tetrachloride,1.187600E-003,2.213200E-002,2.226900E-004,0.000000E+000,2.634700E-002,1.743500E-002,4.047900E-003,8.600600E-004
2,1_1_2-Trichlorotrifluoroethane,1.580500E-003,2.689300E-002,0.000000E+000,1.131400E-003,2.978600E-002,1.906300E-002,4.246500E-004,1.428900E-003
2,1_2-Dichloro-1_1_2_2-tetrafluoroethane,4.096800E-004,6.739600E-003,1.750200E-003,8.719100E-005,3.808100E-003,3.501500E-003,4.539300E-004,0.000000E+000
2,Tetrachloroethene,1.683900E-004,3.341200E-004,4.868000E-004,5.656400E-004,2.317300E-003,5.394700E-004,1.294500E-003,0.000000E+000
2,1_2-Dichlorobenzene,0.000000E+000,2.713600E-004,0.000000E+000,4.999800E-003,3.851400E-004,9.390900E-005,0.000000E+000,2.100400E-004
2,1_4-Dichlorobenzene,6.936800E-005,2.202500E-004,1.042300E-005,4.948800E-003,3.953800E-005,1.734300E-004,1.654900E-004,6.526900E-005
2,PCBTF,6.825700E-004,1.178300E-004,9.632400E-004,8.868300E-004,5.976300E-003,2.877700E-004,3.392100E-003,6.540700E-004
2,N-Butane,5.168500E-003,5.701200E-002,1.856300E-001,4.815700E-002,6.871900E-002,1.720200E-002,1.923600E-002,7.002900E-003
2,Isobutane,9.408400E-003,1.891500E-003,1.363100E-001,0.000000E+000,5.090200E-002,2.399500E-002,8.166500E-003,0.000000E+000
2,N-Pentane,1.797500E-005,4.893600E-003,6.411600E-002,7.233400E-004,8.209500E-003,0.000000E+000,2.101800E-003,3.491400E-003
