
Residuals from Base Run #2 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
2,07/10/21,1.728000E-002,4.084000E-003,-3.730000E-002,2.317000E-002,-2.181000E-002,4.626000E-003,-8.038000E-004,3.179000E-003,-3.094000E-004,8.782000E-003,-2.088000E-003,4.171000E-002,-1.094000E-001,2.775000E-002,-1.553000E-002,-1.037000E-001,3.985000E-002,2.230000E-002,-9.238000E-004,3.462000E-002,-1.096000E-003,-1.611000E-002,1.536000E-001,-3.056000E-002,1.038000E-003,-2.486000E-003,3.158000E-003,-3.199000E-003,4.067000E-004,4.425000E-003,1.136000E+000,1.981000E+000,2.065000E-001,-1.422000E+000,-8.840000E-001,9.776000E-003,-1.480000E-002,-9.499000E-004,6.568000E-002,-8.753000E-004,1.542000E-001,2.970000E-003,3.933000E-002
2,07/11/21,2.073000E-002,1.570000E-002,2.834000E-002,4.534000E-002,5.713000E-003,2.070000E-002,7.061000E-004,5.268000E-004,7.726000E-005,-4.790000E-005,-7.165000E-003,-3.560000E-002,-9.200000E-003,2.234000E-003,-1.983000E-002,-1.318000E-001,5.122000E-002,2.162000E-002,-1.783000E-003,-1.728000E-001,-2.929000E-002,-7.182000E-002,4.269000E-001,1.868000E-002,-2.863000E-003,-9.383000E-005,6.638000E-003,1.408000E-003,3.042000E-003,5.221000E-003,4.809000E-001,2.717000E+001,8.946000E-003,-5.436000E-001,-2.998000E-001,-9.726000E-003,-3.884000E-002,-1.291000E-003,4.885000E-002,1.528000E-005,1.006000E-001,9.120000E-003,2.015000E-002
2,07/12/21,-2.513000E-002,1.079000E-002,-8.396000E-004,-2.909000E-002,1.858000E-002,1.412000E-002,1.125000E-003,-3.114000E-003,-2.263000E-004,3.705000E-004,-9.004000E-003,-5.761000E-002,-9.054000E-002,1.333000E-001,1.040000E-001,-4.962000E-002,4.618000E-002,5.896000E-002,2.465000E-003,-3.287000E-002,-9.624000E-003,-5.984000E-002,4.875000E-001,5.385000E-002,2.872000E-003,1.213000E-003,1.069000E-002,5.821000E-003,3.745000E-003,5.970000E-003,8.438000E-001,2.940000E+000,7.295000E-002,-7.983000E-001,-6.448000E-001,-1.229000E-002,-4.186000E-002,-3.426000E-004,-5.172000E-002,-8.289000E-005,1.694000E-001,-7.142000E-002,4.431000E-002
2,07/13/21,5.799000E-002,6.980000E-003,6.047000E-002,-6.542000E-002,2.088000E-002,2.029000E-002,3.453000E-004,1.381000E-003,-4.193000E-004,4.839000E-004,6.227000E-003,1.549000E-002,-2.733000E-002,1.067000E-002,-4.656000E-002,-1.559000E-001,4.813000E-002,-5.350000E-002,8.490000E-003,-8.835000E-002,-2.616000E-002,-7.045000E-002,1.361000E-001,-4.690000E-002,-7.298000E-003,-1.494000E-003,-4.993000E-003,-6.040000E-003,-4.210000E-003,-2.256000E-004,6.850000E-002,1.697000E+000,1.356000E-001,-6.531000E-001,-2.281000E-001,1.144000E-002,2.938000E-002,-9.334000E-004,-3.654000E-002,-3.157000E-004,3.742000E-001,-1.312000E-003,5.910000E-002
2,07/14/21,1.195000E-002,4.132000E-003,-6.440000E-003,-1.041000E-001,-3.590000E-002,-7.422000E-003,-3.142000E-004,3.505000E-004,-5.479000E-005,-2.402000E-004,9.184000E-004,-4.920000E-002,-1.383000E-001,4.675000E-002,-9.560000E-002,-1.661000E-001,1.131000E-001,3.649000E-002,7.263000E-003,-1.146000E-003,-2.332000E-003,1.464000E-002,3.179000E-001,-4.079000E-002,-2.379000E-005,-7.077000E-004,2.242000E-003,-3.444000E-003,1.639000E-002,1.479000E-003,1.939000E+001,-1.316000E-002,1.615000E-001,7.707000E-002,-4.764000E-001,2.977000E-002,4.354000E-002,-2.226000E-004,5.295000E-002,5.888000E-005,2.231000E-001,4.914000E-002,-4.107000E-004
2,07/15/21,-1.278000E-002,6.306000E-003,1.316000E-002,-4.890000E-003,1.954000E-002,1.566000E-002,4.087000E-004,-3.139000E-003,-4.474000E-004,5.486000E-004,-9.964000E-003,5.030000E-002,-1.100000E-001,1.711000E-001,2.219000E-001,-3.039000E-002,2.890000E-003,3.851000E-002,1.635000E-005,1.070000E-001,1.573000E-002,3.843000E-002,-3.289000E-003,-3.362000E-004,-2.108000E-003,-1.569000E-003,2.854000E-002,7.903000E-003,1.057000E-002,8.025000E-003,4.159000E-001,-1.087000E-001,-1.332000E-001,-1.191000E+000,-7.216000E-001,5.262000E-004,-1.568000E-002,-7.724000E-004,-4.976000E-002,2.828000E-004,2.577000E-001,3.432000E-002,5.623000E-003
2,07/16/21,2.012000E-002,-4.053000E-003,8.711000E-002,-2.296000E-002,1.824000E-002,2.620000E-002,3.696000E-003,-2.281000E-004,-1.527000E-004,1.684000E-004,-6.121000E-003,6.127000E-003,-6.792000E-002,5.712000E-002,-1.894000E-002,-1.127000E-001,3.324000E-002,-8.077000E-002,1.389000E-003,-7.868000E-002,-1.305000E-002,-5.475000E-002,6.216000E-001,2.174000E-002,4.905000E-003,7.004000E-004,1.503000E-002,6.570000E-003,-1.158000E-003,3.105000E-003,1.253000E+000,1.068000E+000,3.454000E-002,-8.590000E-001,-5.343000E-001,-6.403000E-003,-3.886000E-002,-1.519000E-004,5.011000E-002,-7.881000E-004,-7.049000E-002,9.598000E-003,3.202000E-002
2,07/17/21,2.695000E-002,4.682000E-003,7.397000E-002,-2.936000E-002,2.690000E-002,2.895000E-002,1.070000E-003,-1.656000E-003,2.892000E-005,5.148000E-005,9.253000E-004,3.555000E-003,-4.041000E-002,5.411000E-002,2.692000E-002,-3.536000E-002,-2.716000E-002,-6.169000E-002,1.089000E-003,-4.542000E-002,-5.768000E-003,-1.594000E-002,9.263000E-002,1.002000E-003,-3.580000E-004,9.159000E-004,-3.330000E-003,-5.187000E-003,1.451000E-003,-1.385000E-003,3.196000E-005,-5.122000E-004,-9.397000E-002,-1.464000E-001,-7.341000E-002,1.455000E-002,-1.742000E-002,1.684000E-004,-5.514000E-002,6.761000E-004,-4.563000E-003,-1.211000E-002,2.252000E-002
2,07/18/21,1.595000E-002,7.003000E-003,5.893000E-002,-4.298000E-002,2.978000E-002,2.584000E-002,8.021000E-004,1.974000E-003,2.696000E-004,-1.665000E-004,-5.297000E-005,4.645000E-002,-3.322000E-003,-4.227000E-005,-3.876000E-002,-2.341000E-002,5.298000E-002,-2.375000E-001,2.391000E-003,-1.283000E-001,-2.673000E-002,-4.765000E-002,1.815000E-001,-1.016000E-002,-2.900000E-003,-1.819000E-003,-3.031000E-003,-2.799000E-003,-1.525000E-003,-2.125000E-003,5.535000E-005,7.465000E-004,-7.262000E-002,-6.448000E-001,-8.987000E-003,1.130000E-002,-3.177000E-002,-7.841000E-004,-1.115000E-002,7.448000E-004,-1.419000E-002,-6.013000E-003,5.509000E-002
2,07/19/21,1.467000E-001,-6.931000E-003,-1.196000E-001,3.485000E-001,-9.082000E-003,-3.242000E-002,1.201000E-002,1.348000E-003,1.486000E-004,-3.373000E-004,1.122000E-002,4.614000E-001,-2.333000E-002,2.495000E-001,-1.405000E-001,-5.849000E-002,3.465000E-001,3.903000E-001,2.347000E-003,1.474000E-001,2.361000E-002,8.364000E-002,2.101000E-001,4.286000E-002,8.081000E-003,2.608000E-003,-3.871000E-003,-1.797000E-003,6.033000E-003,-2.436000E-003,9.574000E-005,2.135000E-004,2.839000E-001,-3.756000E-001,-4.792000E-001,-4.686000E-003,-2.888000E-002,-1.702000E-003,3.787000E-002,-1.293000E-003,2.662000E-001,1.407000E-002,7.150000E-003
