**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 2

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00478,  0.00477,  0.00480,  0.00526,  0.00571,  0.00620,  0.00531,  0.00047,  0.08780,  0.09755
Chloroform,  0.00055,  0.00051,  0.00055,  0.00070,  0.00079,  0.00087,  0.00069,  0.00012,  0.17008,  0.21121
Trichlorofluoromethane,  0.00527,  0.00509,  0.00527,  0.00683,  0.00831,  0.01026,  0.00695,  0.00158,  0.22772,  0.30044
Dichlorodifluoromethane,  0.01201,  0.00748,  0.01196,  0.01225,  0.01549,  0.01855,  0.01288,  0.00298,  0.23153,  0.24827
Carbon Tetrachloride,  0.00119,  0.00118,  0.00121,  0.00131,  0.00185,  0.00248,  0.00154,  0.00038,  0.24640,  0.31874
1_1_2-Trichlorotrifluoroethane,  0.00158,  0.00157,  0.00162,  0.00196,  0.00271,  0.00348,  0.00216,  0.00059,  0.27228,  0.37231
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00041,  0.00029,  0.00035,  0.00041,  0.00058,  0.00077,  0.00048,  0.00015,  0.31234,  0.36802
Tetrachloroethene,  0.00017,  0.00003,  0.00011,  0.00017,  0.00018,  0.00022,  0.00015,  0.00005,  0.33512,  0.29855
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00008,  0.00001,  0.00002,  2.33222,  0.00000
1_4-Dichlorobenzene,  0.00007,  0.00000,  0.00006,  0.00007,  0.00010,  0.00032,  0.00008,  0.00007,  0.78395,  0.95805
PCBTF,  0.00068,  0.00029,  0.00051,  0.00068,  0.00085,  0.00094,  0.00068,  0.00018,  0.27219,  0.27064
N-Butane,  0.00517,  0.00095,  0.00272,  0.00517,  0.00703,  0.01019,  0.00502,  0.00237,  0.47255,  0.45877
Isobutane,  0.00941,  0.00000,  0.00387,  0.00925,  0.00976,  0.01031,  0.00711,  0.00337,  0.47412,  0.35838
N-Pentane,  0.00002,  0.00000,  0.00000,  0.00002,  0.00031,  0.00125,  0.00017,  0.00032,  1.84229, 17.65499
Isopentane,  0.01069,  0.00426,  0.00813,  0.01065,  0.01131,  0.01201,  0.00958,  0.00234,  0.24383,  0.21854
2-Methyl pentane,  0.01155,  0.00390,  0.01069,  0.01155,  0.01291,  0.01434,  0.01122,  0.00262,  0.23389,  0.22727
Butene,  0.00251,  0.00015,  0.00118,  0.00250,  0.00297,  0.00339,  0.00218,  0.00094,  0.43362,  0.37651
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00270,  0.00023,  0.00062,  2.75378,  0.00000
