
**** Error Estimation Summary ****

BS-DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,D5-Siloxane

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,D5-Siloxane

BS-DISP Diagnostics:
,# of Cases Accepted:,57
,% of Cases Accepted:,57%
,Largest Decrease in Q:,-22.576
,%dQ:,-0.104311
,# of Decreases in Q:,14
,# of Swaps in Best Fit:,25
,# of Swaps in DISP:,4
,Swaps by Factor:,17,14,5,19,2,0,1,12,5

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.051
,%dQ:,-0.000236
,Swaps by Factor:,0,0,0,0,0,0,0,0,0

BS Mapping:
,Commercial and industrial solvents,Education institution,Winter blend gasoline,Plant decomposition,institutional refrigerator, air conditioning,Biogenic,Summer blend gasoline,VCP (EtOH),VCP (Siloxane),Unmapped
Boot Factor 1,100,0,0,0,0,0,0,0,0,0
Boot Factor 2,0,100,0,0,0,0,0,0,0,0
Boot Factor 3,10,7,72,0,1,2,5,1,2,0
Boot Factor 4,3,1,0,91,0,0,0,3,1,1
Boot Factor 5,1,2,0,0,95,0,1,0,1,0
Boot Factor 6,4,4,0,0,1,85,4,0,1,1
Boot Factor 7,11,3,1,0,1,0,82,1,1,0
Boot Factor 8,0,0,0,0,0,1,0,99,0,0
Boot Factor 9,6,8,3,0,2,1,5,1,70,4

Concentrations for Commercial and industrial solvents,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.053058,0.011294,0.026878,0.034375,0.044047,0.0515566,0.00792785,0.03093193,0.053936,0.048783,0.0530155,0.057248,
Chloroform,0.01321,0.00213704,0.0063313,0.0088244,0.011172,0.0130996,0.00573935,0.009585675,0.013432,0.012305,0.013224,0.014143,
Trichlorofluoromethane,0.11283,0,0.037524,0.072577,0.099415,0.13242,0.0266855,0.08053525,0.134385,0.10315,0.11217,0.12119,
Dichlorodifluoromethane,0.059454,0,0.0043086,0.028478,0.058812,0.097532,0,0.055245,0.11049,0.044928,0.059143,0.073358,
Carbon Tetrachloride,0.027985,0.0001577462,0.0093688,0.016549,0.024062,0.0339152,0.00365655,0.02123928,0.038822,0.025348,0.027839,0.03033,
1_1_2-Trichlorotrifluoroethane,0.030708,0,0.0090806,0.01739,0.027541,0.0376892,0.00576555,0.02201602,0.0382665,0.027449,0.0303535,0.033258,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.0040889,0,0.00083451,0.0019231,0.0032348,0.00606348,0,0.00313495,0.0062699,0.0035672,0.0040787,0.0045902,
Tetrachloroethene,0.0021808,0.000700002,0.0010712,0.0014615,0.0019153,0.00296566,0.000704,0.00187425,0.0030445,0.0019797,0.00218375,0.0023878,
1_2-Dichlorobenzene,0.00065648,0,2.2325E-05,0.00022541,0.00045326,0.000808283999999998,0,0.0004623275,0.000924654999999998,0.00034586,0.000558035,0.00077021,
1_4-Dichlorobenzene,0.00035653,0,0,0,0.00021654,0.0013901,-4.02049999999999E-22,0.0003735825,0.000747165,3.1194E-05,0.000249087,0.00046698,
PCBTF,0.0055558,0,0.0019676,0.003888,0.0055082,0.00862316,0,0.00459645,0.0091929,0.0050491,0.00556575,0.0060824,
N-Butane,0.057936,0,0.028127,0.050119,0.08616,0.148042,-3.87799999999999E-20,0.050675,0.10135,0.044046,0.0577165,0.071387,
Isobutane,0.053326,0,0.016962,0.048938,0.080539,0.124212,0,0.058455,0.11691,0.038918,0.051043,0.063168,
N-Pentane,0.019839,0,0,0.0090361,0.029629,0.0602856,-7.58999999999998E-21,0.02734825,0.0546965,0.01604,0.0201605,0.024281,
Isopentane,0.14593,0.0345114,0.076827,0.11446,0.14744,0.188648,0.038031,0.1172655,0.1965,0.13277,0.145005,0.15724,
2-Methyl pentane,0.18731,0.03561,0.091872,0.14171,0.17635,0.243482,0.081152,0.162736,0.24432,0.17012,0.184755,0.19939,
Butene,0.047692,0.00955482,0.02144,0.03769,0.050662,0.0789828,0.00458465,0.03777232,0.07096,0.039189,0.0473215,0.055454,
Propylene,0,0,0,0,0.023124,0.0933761999999999,0,0.03360575,0.0672115,0,0.0011975,0.002395,
cis-2-Pentene,0.0043346,0.000131545,0.0020991,0.0031524,0.0040831,0.00515202,0.00116865,0.003129175,0.0050897,0.0039091,0.00430605,0.004703,
Isoprene,0.021633,0,0,0.0049998,0.081269,0.197294,0,0.10531,0.21062,-2.7964E-19,0.041625,0.08325,
alpha-Pinene,0.0034936,0,0,0.0021613,0.014506,0.0381498,0,0.021309,0.042618,-1.3626E-18,0.0073725,0.014745,
MVK,0.012585,0,0,0.0052905,0.042718,0.0941742,0,0.05295,0.1059,0,0.0208685,0.041737,
Benzene,0.16714,0.0280734,0.077946,0.1075,0.13105,0.169738,0.0323085,0.1056067,0.178905,0.15323,0.166985,0.18074,
Toluene,0.11497,0.0343702,0.063215,0.09336,0.12035,0.173772,0.040593,0.1087915,0.17699,0.10214,0.114525,0.12691,
Ethylbenzene,0.016001,0.00421184,0.0086201,0.013738,0.018244,0.025508,0.0049499,0.01588295,0.026816,0.013973,0.0159205,0.017868,
Propylbenzene,0.00358,0.0011359,0.0020979,0.0029973,0.003933,0.00542696,0.001433235,0.003705543,0.00597785,0.0031075,0.00355335,0.0039992,
m_p-Xylene,0.0071411,0,0.00030281,0.0076619,0.015298,0.0235566,0,0.01163925,0.0232785,0.0042484,0.0070336,0.0098188,
o-Xylene,0.010827,0.00130382,0.005623,0.009588,0.014514,0.0215568,0.002346,0.01267975,0.0230135,0.0087434,0.0107627,0.012782,
p-Isopropyl Toluene,0.0077885,0,0.0035178,0.0054523,0.0082952,0.0107866,0.0011628,0.00622765,0.0112925,0.0067341,0.007732,0.0087299,
Naphthalene,0.0038365,0,0.0020055,0.0032222,0.0046709,0.00739714,1.51335E-05,0.004786567,0.00955799999999999,0.0029817,0.00381855,0.0046554,
Methanol,1.166,0,0,0.089054,1.1638,2.76068,-5.40215E-17,1.630325,3.26065,0,1.6578,3.3156,
Ethanol,0.14138,0,0,0,0.097945,0.315654,0,0.1197125,0.239425,0,0.139705,0.27941,
Phenol,0.11012,0,0.015093,0.056368,0.10034,0.176382,0,0.08396,0.16792,0.089854,0.110502,0.13115,
Formaldehyde,0.41977,0,0.16434,0.36134,0.65853,1.01488,0,0.6979,1.3958,0.15726,0.415415,0.67357,
Acetaldehyde,0.13811,0,0.067595,0.16307,0.27485,0.581141999999999,0,0.4016575,0.803315,0.021213,0.1354865,0.24976,
