
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,07/10/21,3.697900E-001,4.166400E+000,4.512200E+000,1.973200E+000,1.238300E-001,-8.794100E-002,2.299800E+000,6.727300E-001,2.019900E+000
4,07/11/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,07/12/21,-1.570000E-001,4.392300E+000,5.284700E+000,2.190600E+000,1.292200E+000,-2.000000E-001,1.862300E+000,2.996000E-001,2.781800E+000
4,07/13/21,1.146900E+000,3.136400E+000,5.133100E+000,-2.000000E-001,6.083200E-001,8.415100E-001,1.204000E-001,-2.000000E-001,8.690200E-001
4,07/14/21,1.165800E+000,4.157000E+000,-2.000000E-001,1.677700E+000,1.082000E+000,-1.529100E-001,7.254300E+000,5.744200E-001,1.492800E+000
4,07/15/21,3.305500E-001,4.136200E+000,1.620700E+000,2.987400E+000,8.822800E-001,-2.000000E-001,2.136500E+000,7.012300E-001,2.478500E+000
4,07/16/21,8.483500E-001,3.492500E+000,2.108500E+000,1.541300E+000,4.917900E-001,5.421000E-001,1.708700E+000,5.105800E-001,1.729500E+000
4,07/17/21,1.763000E+000,2.795700E+000,-1.344800E-001,8.580300E-001,4.421200E-001,7.868300E-001,-1.596900E-001,8.697100E-001,7.003400E-001
4,07/18/21,2.353100E+000,1.929300E+000,-1.000500E-001,-2.000000E-001,4.230300E-001,1.280400E+000,-1.810000E-001,1.754400E+000,5.761000E-001
4,07/19/21,1.880600E+000,2.302800E+000,-1.201300E-001,1.619700E+000,9.639700E-001,-2.000000E-001,-9.574200E-002,-2.000000E-001,2.343500E+000
4,07/20/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,07/21/21,9.950800E-001,3.153600E+000,2.804700E+000,7.862900E-001,4.691000E-001,1.376600E-001,5.907800E+000,-2.000000E-001,1.113800E+000
4,07/22/21,-2.000000E-001,4.244100E+000,2.882100E+000,3.242500E+000,1.196000E+000,-2.000000E-001,4.084300E+000,6.368100E-002,2.876300E+000
4,07/23/21,9.444800E-001,3.212600E+000,-1.883500E-001,1.827300E+000,1.001400E+000,-2.000000E-001,4.979400E+000,1.288200E+000,1.384000E+000
4,07/24/21,1.004300E+000,2.639700E+000,-1.806900E-001,1.891900E+000,6.345600E-001,5.469700E-001,-1.232900E-001,1.172000E+000,1.426100E+000
4,07/25/21,5.001600E-001,2.085200E+000,2.316500E+000,5.153200E-001,6.961800E-001,1.078700E+000,7.958000E-001,1.008500E+000,7.759700E-001
4,07/26/21,7.434000E-001,-2.000000E-001,1.098400E+000,1.637400E+000,2.175900E-002,2.069400E-001,-6.618800E-002,1.418800E-001,2.716600E-002
4,07/27/21,6.452100E-001,2.323200E+000,2.920500E+000,1.145800E+000,7.116700E-002,6.971300E-001,2.568700E+000,5.408900E-001,9.874800E-001
4,07/28/21,1.155700E+000,2.132300E+000,1.546500E+000,2.423100E+000,4.741200E-001,7.373600E-001,4.026800E-001,9.805300E-001,1.217800E+000
4,07/29/21,1.106600E+000,5.603500E-001,1.993500E+000,3.183500E+000,6.397400E-001,4.611000E-001,9.570500E-001,1.206600E+000,2.257100E+000
4,07/30/21,1.188000E+000,1.974600E+000,3.764500E+000,1.645000E+000,8.595800E-002,7.721600E-001,8.999800E-001,3.023100E-001,6.690600E-001
4,07/31/21,7.280500E-001,2.141900E+000,4.458500E+000,1.069700E+000,2.589600E-001,5.849700E-001,1.669300E+000,-5.140900E-002,1.677200E+000
4,08/01/21,2.053100E+000,1.250900E+000,1.410200E+000,2.902500E-001,4.949900E-001,7.309200E-003,3.897500E-001,9.761800E-001,1.652500E+000
4,08/02/21,3.119800E+000,1.156000E+000,-6.372600E-002,2.089900E-001,-1.870400E-001,8.902300E-001,-1.521500E-001,6.808900E-001,5.453400E-001
4,08/03/21,2.776400E+000,1.988300E+000,1.495900E+000,2.495400E+000,-2.153800E-002,1.566500E-001,-1.837500E-001,-1.758700E-002,1.342900E+000
4,08/04/21,1.683000E+000,3.016100E+000,1.815200E+000,1.892100E+000,2.595200E-001,-2.000000E-001,3.121600E-001,9.387800E-001,2.688700E+000
4,08/05/21,1.566500E+000,2.961300E+000,1.929400E+000,2.290300E+000,8.186200E-001,-3.023100E-002,2.309800E-001,9.224300E-001,2.587600E+000
4,08/06/21,1.800300E+000,2.322900E+000,-1.445900E-001,1.407800E+000,8.471300E-001,1.246800E-001,-1.117200E-001,2.143400E+000,1.510800E+000
4,08/07/21,1.350700E+000,1.767600E+000,1.263700E+000,1.080300E+000,7.965200E-001,1.139800E+000,-2.000000E-001,1.652400E+000,2.792200E-001
4,08/08/21,7.523400E-001,1.623100E+000,2.470700E+000,4.799500E-001,5.821400E-001,1.170600E+000,6.440200E-001,9.205200E-001,7.804100E-001
4,08/09/21,5.280200E-001,1.450500E-001,1.777400E+000,2.774500E+000,4.927500E-001,1.505600E+000,1.510300E-001,2.604700E+000,1.164800E+000
4,08/10/21,1.106300E+000,2.232200E+000,1.696700E+000,2.326500E+000,8.012600E-001,3.580000E-001,3.634200E-001,1.426900E+000,2.208100E+000
4,08/11/21,2.141900E+000,9.450500E-001,1.022400E+000,-1.935700E-001,1.075600E+000,1.122800E+000,2.015200E-001,-2.504600E-003,-2.000000E-001
4,08/12/21,1.444500E+000,2.964900E+000,9.671600E-001,1.203400E+000,-2.000000E-001,3.123000E+000,4.910600E-001,2.791200E+000,-2.769600E-002
4,08/13/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
4,08/14/21,1.348500E+000,3.153600E-001,1.430200E+000,8.126900E-001,1.286300E-001,8.249600E-001,7.208700E+000,7.943200E-001,3.457200E-001
4,08/15/21,9.583000E-001,8.680600E-001,7.388800E-001,3.063400E-001,4.685100E-001,3.210100E-001,5.304100E+000,2.326600E+000,4.583600E-001
4,08/16/21,2.110400E+000,8.968900E-001,1.398800E+000,1.041700E+000,6.535400E-001,-1.669400E-001,1.996300E+000,4.207200E+000,1.618900E+000
4,08/17/21,9.495500E-001,-2.000000E-001,9.552400E-001,2.174800E+000,1.162400E+000,8.514100E-001,2.976800E+000,3.067600E+000,4.474900E-001
