
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,Dichloromethane,1.097600E-002,5.295700E-002,0.000000E+000,7.183900E-003,4.241100E-003,2.487300E-002,4.329100E-003,1.037300E-002,8.216400E-003
4,Chloroform,7.243500E-004,1.320700E-002,1.030100E-003,1.036700E-003,9.171700E-004,4.521900E-003,9.033000E-004,2.417600E-003,8.693300E-004
4,Trichlorofluoromethane,4.587200E-002,1.123000E-001,8.881900E-004,6.907100E-003,3.810500E-003,7.298500E-002,5.878000E-003,0.000000E+000,4.681200E-003
4,Dichlorodifluoromethane,4.427400E-002,5.887000E-002,2.058800E-003,8.813700E-003,8.940400E-003,1.679900E-001,1.939300E-002,5.320300E-002,3.862400E-002
4,Carbon Tetrachloride,1.156300E-002,2.784100E-002,1.101900E-003,3.305600E-003,0.000000E+000,2.317200E-002,1.229500E-003,3.396100E-003,0.000000E+000
4,1_1_2-Trichlorotrifluoroethane,1.230100E-002,3.050800E-002,1.795700E-003,0.000000E+000,1.424700E-003,2.745200E-002,2.301800E-003,3.689600E-003,0.000000E+000
4,1_2-Dichloro-1_1_2_2-tetrafluoroethane,2.589300E-003,4.056700E-003,0.000000E+000,0.000000E+000,2.877200E-004,6.626200E-003,3.821400E-004,9.005900E-004,1.798800E-003
4,Tetrachloroethene,2.010100E-004,2.180800E-003,8.943600E-005,1.002400E-003,6.305200E-004,2.288300E-004,2.389200E-004,7.100200E-004,3.358700E-004
4,1_2-Dichlorobenzene,5.786200E-005,6.567300E-004,9.896400E-005,0.000000E+000,5.244200E-003,7.022800E-005,0.000000E+000,0.000000E+000,5.606600E-005
4,1_4-Dichlorobenzene,1.758500E-004,3.562700E-004,0.000000E+000,0.000000E+000,5.358000E-003,0.000000E+000,5.990300E-005,0.000000E+000,6.668500E-005
4,PCBTF,4.882100E-005,5.624400E-003,7.353800E-004,3.098900E-003,8.260300E-004,0.000000E+000,8.273100E-004,6.981400E-004,8.525600E-004
4,N-Butane,6.590100E-003,5.759500E-002,7.783900E-003,9.933800E-003,6.216300E-002,3.797900E-002,6.296100E-003,6.037100E-002,1.654100E-001
4,Isobutane,0.000000E+000,5.241200E-002,0.000000E+000,0.000000E+000,1.538300E-002,0.000000E+000,6.473100E-003,7.545100E-002,8.506800E-002
4,N-Pentane,0.000000E+000,1.982800E-002,0.000000E+000,1.199600E-003,2.652600E-003,1.415000E-003,2.196800E-003,0.000000E+000,6.498500E-002
4,Isopentane,2.001000E-002,1.452500E-001,1.748700E-002,2.359700E-002,2.912500E-002,0.000000E+000,1.193300E-002,4.887200E-002,6.132500E-002
4,2-Methyl pentane,1.111300E-002,1.865200E-001,1.554000E-002,3.018200E-003,5.921000E-003,8.760300E-003,5.620400E-003,7.274100E-002,1.648500E-002
4,Butene,1.109200E-002,4.742900E-002,1.284800E-002,6.898000E-003,2.339400E-002,1.774600E-002,2.924200E-003,3.022600E-002,6.145000E-002
4,Propylene,0.000000E+000,0.000000E+000,0.000000E+000,3.715300E-002,9.424400E-002,8.700100E-002,1.184600E-002,4.120500E-002,1.391200E-001
