
Factor Contributions (avg = 1) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
19,07/10/21,2.306500E+000,1.973700E+000,1.249200E-001,-8.829500E-002,3.757200E-001,6.677600E-001,4.163700E+000,2.017400E+000,4.509600E+000
19,07/11/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
19,07/12/21,1.870700E+000,2.192400E+000,1.294200E+000,-2.000000E-001,-1.474400E-001,2.893100E-001,4.387900E+000,2.780600E+000,5.278600E+000
19,07/13/21,1.304200E-001,-2.000000E-001,6.098000E-001,8.430100E-001,1.153800E+000,-2.000000E-001,3.128800E+000,8.666600E-001,5.128500E+000
19,07/14/21,7.260300E+000,1.677300E+000,1.083100E+000,-1.510100E-001,1.161000E+000,5.791400E-001,4.155800E+000,1.489900E+000,-2.000000E-001
19,07/15/21,2.150600E+000,2.987900E+000,8.834500E-001,-2.000000E-001,3.377900E-001,6.894100E-001,4.134200E+000,2.479300E+000,1.619200E+000
19,07/16/21,1.720700E+000,1.540900E+000,4.927100E-001,5.407900E-001,8.544300E-001,5.006700E-001,3.491100E+000,1.728200E+000,2.106400E+000
19,07/17/21,-1.409800E-001,8.566600E-001,4.426600E-001,7.841700E-001,1.769700E+000,8.626300E-001,2.794700E+000,6.984300E-001,-1.341800E-001
19,07/18/21,-1.703000E-001,-2.000000E-001,4.231900E-001,1.278200E+000,2.358500E+000,1.743900E+000,1.928300E+000,5.762500E-001,-9.982400E-002
19,07/19/21,-7.740000E-002,1.618400E+000,9.648100E-001,-2.000000E-001,1.887500E+000,-2.000000E-001,2.296000E+000,2.347600E+000,-1.198800E-001
19,07/20/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
19,07/21/21,5.910800E+000,7.884600E-001,4.701200E-001,1.406500E-001,9.875500E-001,-2.000000E-001,3.151900E+000,1.112100E+000,2.805400E+000
19,07/22/21,4.092300E+000,3.241300E+000,1.197700E+000,-2.000000E-001,-2.000000E-001,6.684200E-002,4.243300E+000,2.870200E+000,2.881400E+000
19,07/23/21,4.983200E+000,1.824600E+000,1.002300E+000,-2.000000E-001,9.418100E-001,1.291300E+000,3.213300E+000,1.382900E+000,-1.882400E-001
19,07/24/21,-1.082400E-001,1.890700E+000,6.350000E-001,5.433900E-001,1.011300E+000,1.160000E+000,2.641400E+000,1.425200E+000,-1.803700E-001
19,07/25/21,7.988700E-001,5.144200E-001,6.969600E-001,1.077400E+000,5.036500E-001,1.002700E+000,2.085300E+000,7.755800E-001,2.314300E+000
19,07/26/21,-6.934900E-002,1.639900E+000,2.168800E-002,2.058500E-001,7.416500E-001,1.431900E-001,-2.000000E-001,2.754000E-002,1.097300E+000
19,07/27/21,2.568400E+000,1.147000E+000,7.177200E-002,6.975900E-001,6.425400E-001,5.406900E-001,2.322400E+000,9.864100E-001,2.920000E+000
19,07/28/21,4.096300E-001,2.423100E+000,4.745100E-001,7.342400E-001,1.159300E+000,9.752800E-001,2.133100E+000,1.216100E+000,1.545700E+000
19,07/29/21,9.491500E-001,3.180600E+000,6.401800E-001,4.619000E-001,1.108500E+000,1.220400E+000,5.566800E-001,2.255100E+000,1.991500E+000
19,07/30/21,9.013900E-001,1.647000E+000,8.646800E-002,7.729300E-001,1.186700E+000,2.950100E-001,1.973200E+000,6.675600E-001,3.766800E+000
19,07/31/21,1.668200E+000,1.070800E+000,2.597400E-001,5.862500E-001,7.255400E-001,-5.147600E-002,2.139700E+000,1.675300E+000,4.460200E+000
19,08/01/21,3.921000E-001,2.880200E-001,4.951200E-001,5.701500E-003,2.056000E+000,9.666000E-001,1.251700E+000,1.654200E+000,1.409400E+000
19,08/02/21,-1.419900E-001,2.096000E-001,-1.874200E-001,8.881700E-001,3.119400E+000,6.698500E-001,1.156900E+000,5.442000E-001,-6.354300E-002
