**** Analysis Summary ****

Time of run: ,05/02/23 20:18
Concentration file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_conc_cor_v3.csv
Uncertainty file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_uncertainty_cor_v3.csv
Configuration file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\EPA PMF\Data\Redlands_VOC_2023.cfg


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
Dichloromethane,Strong,      7.7,  0.00907,  0.07957,  0.12222,  0.17640,  0.42224,  94.74 %, 100.00 %
Chloroform,Strong,      7.8,  0.00163,  0.01390,  0.02290,  0.03589,  0.07860,  94.74 %, 100.00 %
Trichlorofluoromethane,Strong,      8.8,  0.00987,  0.19262,  0.24640,  0.33457,  0.73528,  94.74 %, 100.00 %
Dichlorodifluoromethane,Strong,      9.3,  0.01260,  0.34842,  0.41837,  0.51291,  1.29920,  94.74 %, 100.00 %
Carbon Tetrachloride,Strong,      8.9,  0.00321,  0.05564,  0.07524,  0.09668,  0.19656,  94.74 %, 100.00 %
1_1_2-Trichlorotrifluoroethane,Strong,      8.3,  0.00523,  0.06313,  0.07616,  0.10398,  0.21336,  94.74 %, 100.00 %
1_2-Dichloro-1_1_2_2-tetrafluoroethane,Strong,      8.7,  0.00037,  0.01411,  0.01669,  0.02153,  0.04536,  94.74 %, 100.00 %
Tetrachloroethene,Strong,      7.5,  0.00027,  0.00216,  0.00618,  0.00896,  0.01670,  94.74 %, 100.00 %
1_2-Dichlorobenzene,Strong,      6.5,  0.00003,  0.00003,  0.00382,  0.00720,  0.03605,  94.74 %, 100.00 %
1_4-Dichlorobenzene,Strong,      6.9,  0.00005,  0.00005,  0.00328,  0.00636,  0.09721,  94.74 %, 100.00 %
PCBTF,Strong,      9.0,  0.00008,  0.00385,  0.01169,  0.02205,  0.05055,  94.74 %, 100.00 %
N-Butane,Strong,      8.3,  0.01133,  0.20595,  0.40472,  0.62734,  1.98827,  94.74 %, 100.00 %
Isobutane,Strong,      8.5,  0.00117,  0.10650,  0.25759,  0.38195,  0.92555,  94.74 %, 100.00 %
N-Pentane,Strong,      7.6,  0.00033,  0.00475,  0.07845,  0.13695,  0.43545,  94.74 %, 100.00 %
Isopentane,Strong,      8.7,  0.00417,  0.15135,  0.33368,  0.55873,  1.18045,  94.74 %, 100.00 %
2-Methyl pentane,Strong,      8.1,  0.00473,  0.07383,  0.32372,  0.53972,  1.23013,  94.74 %, 100.00 %
Butene,Strong,      7.4,  0.01483,  0.11125,  0.22070,  0.30350,  0.76800,  94.74 %, 100.00 %
Propylene,Strong,      6.8,  0.03033,  0.18750,  0.37095,  0.55045,  2.19855,  94.74 %, 100.00 %
cis-2-Pentene,Strong,      6.7,  0.00065,  0.00065,  0.00935,  0.01514,  0.03780,  94.74 %, 100.00 %
Isoprene,Strong,      6.8,  0.11486,  0.32573,  0.61814,  0.79597,  1.17569,  94.74 %, 100.00 %
alpha-Pinene,Strong,      5.8,  0.04898,  0.09136,  0.13188,  0.16103,  0.25407,  94.74 %, 100.00 %
MVK,Strong,      7.6,  0.03015,  0.14438,  0.29928,  0.40477,  1.53982,  94.74 %, 100.00 %
Benzene,Strong,      4.4,  0.03365,  0.03365,  0.22304,  0.38003,  1.25868,  94.74 %, 100.00 %
Toluene,Strong,      8.8,  0.00688,  0.11816,  0.29067,  0.50319,  1.25990,  94.74 %, 100.00 %
Ethylbenzene,Strong,      8.8,  0.00101,  0.01909,  0.04531,  0.07893,  0.14906,  94.74 %, 100.00 %
Propylbenzene,Strong,      7.7,  0.00059,  0.00392,  0.01120,  0.01786,  0.03156,  94.74 %, 100.00 %
m_p-Xylene,Strong,      8.9,  0.00116,  0.03503,  0.05956,  0.09596,  0.18752,  94.74 %, 100.00 %
o-Xylene,Strong,      8.8,  0.00101,  0.02122,  0.04388,  0.07402,  0.14051,  94.74 %, 100.00 %
p-Isopropyl Toluene,Strong,      7.8,  0.00059,  0.00544,  0.01995,  0.03262,  0.13012,  94.74 %, 100.00 %
Naphthalene,Strong,      6.9,  0.00101,  0.00101,  0.01949,  0.03032,  0.06888,  94.74 %, 100.00 %
Methanol,Strong,      6.9,  0.02651,  0.02651, 28.23408, 85.12756,483.56224,  94.74 %, 100.00 %
Ethanol,Strong,      8.0,  0.03000,  0.18000,  4.96500,  8.73500, 26.16000,  94.74 %, 100.00 %
Phenol,Strong,      7.2,  0.02621,  0.21217,  0.33784,  0.48304,  0.92431,  94.74 %, 100.00 %
Formaldehyde,Strong,      3.4,  0.49238,  2.98263,  3.97483,  4.65113,  6.44394,  94.74 %, 100.00 %
Acetaldehyde,Strong,      4.1,  0.21390,  1.42033,  2.13688,  2.60905,  4.12253,  94.74 %, 100.00 %
Isovaleraldehyde,Strong,      5.6,  0.00428,  0.05154,  0.06932,  0.09109,  0.27216,  94.74 %, 100.00 %
Hexaldehyde,Strong,      5.8,  0.00911,  0.09450,  0.16250,  0.23888,  0.88146,  94.74 %, 100.00 %
m_p-Tolualdehyde,Strong,      3.4,  0.00019,  0.00019,  0.00159,  0.00204,  0.00345,  94.74 %, 100.00 %
Phenylacetaldehyde,Strong,      5.6,  0.01943,  0.01943,  0.16115,  0.23107,  0.39177,  94.74 %, 100.00 %
Cyclohexanone,Strong,      5.9,  0.00012,  0.00143,  0.00238,  0.00310,  0.00738,  94.74 %, 100.00 %
Methyl acetate,Strong,      7.7,  0.00666,  0.05468,  0.18357,  0.37295,  0.95200,  94.74 %, 100.00 %
n-Butyl acetate,Strong,      8.6,  0.00163,  0.04903,  0.11596,  0.22482,  0.69510,  94.74 %, 100.00 %
Diethylphthalate,Bad,      6.5,  0.00239,  0.00239,  0.08010,  0.27813,  0.68848,   0.00 %, 100.00 %
D5-Siloxane,Strong,      8.8,  0.00016,  0.05498,  0.12819,  0.17836,  0.35360,  94.74 %, 100.00 %
O3_form,Bad,      8.8, 19.05586, 44.77196, 55.61542, 68.13959, 88.62234,   0.00 %, 100.00 %
b1_b2_3hr,Bad,      8.9,  0.71426,  6.00982,  8.46680, 13.12223, 36.12959,   0.00 %, 100.00 %
b3_b2_3hr,Bad,      8.7, -1.39950,  2.00000,  3.55686,  6.56630,  9.30327,   0.00 %, 100.00 %
NOx,Bad,      9.1,  3.11288,  8.68820, 11.48000, 16.09059, 28.96164,   0.00 %, 100.00 %

Excluded Samples
07/11/21
07/20/21
08/13/21
09/07/21
09/09/21
09/24/21


**** Base Run Summary ****

Number of base runs:  ,100
Base random seed:  ,69
Number of factors:  ,9
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,22072.1     ,35949.4     ,Yes      ,2119,10.9435
2,21644.2     ,39388.6     ,Yes      ,2623,11.99044
3,21890.2     ,38857.1     ,Yes      ,2773,11.82865
4,22071.8     ,35950.7     ,Yes      ,2740,10.9439
5,21643.8     ,39360.4     ,Yes      ,3240,11.98186
6,22229.7     ,35405.4     ,Yes      ,3161,10.7779
7,21889.5     ,38858.7     ,Yes      ,2207,11.82913
8,22560.5     ,36572.5     ,Yes      ,2542,11.13318
9,21643.7     ,39360.9     ,Yes      ,2328,11.98201
10,22579.7     ,39471.4     ,Yes      ,2313,12.01565
11,21654.4     ,39002.1     ,Yes      ,2419,11.87279
12,21889.8     ,38859       ,Yes      ,2580,11.82922
13,21888.9     ,38859       ,Yes      ,1829,11.82922
14,23054.1     ,40723.2     ,Yes      ,2989,12.39671
15,21889.2     ,38859.1     ,Yes      ,2625,11.82925
16,21889.6     ,38858.4     ,Yes      ,1901,11.82904
17,21643.9     ,39387.7     ,Yes      ,2047,11.99017
18,21888.9     ,38858.4     ,Yes      ,2636,11.82904
19,21643.1     ,39366.1     ,Yes      ,1957,11.98359
20,21654.4     ,38989.3     ,Yes      ,3086,11.86889
21,21644.3     ,39388.1     ,Yes      ,2014,11.99029
22,21890.2     ,38857       ,Yes      ,3569,11.82862
23,21889.8     ,38859.5     ,Yes      ,2465,11.82938
24,22772.8     ,40742.4     ,Yes      ,2631,12.40256
25,22097.9     ,35956       ,Yes      ,2526,10.94551
26,21643.3     ,39406.8     ,Yes      ,1601,11.99598
27,22578.5     ,39472       ,Yes      ,2629,12.01583
28,22682.1     ,37481.2     ,Yes      ,4296,11.4098
29,21644       ,39393       ,Yes      ,2326,11.99178
30,22212.3     ,36663.3     ,Yes      ,1363,11.16082
31,21890.4     ,38857.6     ,Yes      ,3109,11.8288
32,22578.6     ,39470.6     ,Yes      ,2265,12.0154
33,21644.7     ,39402       ,Yes      ,2419,11.99452
34,21643.2     ,39353.1     ,Yes      ,2074,11.97963
35,21889.5     ,38860.7     ,Yes      ,3427,11.82974
36,21644.1     ,39410.3     ,Yes      ,3486,11.99705
37,21645.5     ,39389.9     ,Yes      ,2107,11.99084
38,21890.2     ,38860.3     ,Yes      ,1580,11.82962
39,21644.1     ,39360.8     ,Yes      ,3017,11.98198
40,21889.1     ,38857.5     ,Yes      ,2312,11.82877
41,22217       ,35558.2     ,Yes      ,2575,10.82441
42,21644.5     ,39403.1     ,Yes      ,2568,11.99485
43,21888.8     ,38857.4     ,Yes      ,2780,11.82874
44,21643.7     ,39365       ,Yes      ,2847,11.98326
45,21643.5     ,39363       ,Yes      ,2843,11.98265
46,21658.4     ,38972.4     ,Yes      ,3493,11.86374
47,22576.2     ,39474.1     ,Yes      ,2668,12.01647
48,22265.3     ,36629.9     ,Yes      ,1103,11.15065
49,21645.4     ,39393.1     ,Yes      ,2716,11.99181
50,21644.9     ,39394.7     ,Yes      ,4420,11.9923
51,21888.5     ,38857.4     ,Yes      ,2799,11.82874
52,22345.1     ,35634       ,Yes      ,2126,10.84749
53,21890.2     ,38859.3     ,Yes      ,2787,11.82932
54,22538.3     ,37648.8     ,Yes      ,2106,11.46082
55,21646.2     ,39411.7     ,Yes      ,1733,11.99747
56,23050.2     ,40750       ,Yes      ,2518,12.40487
57,22770.5     ,40744.1     ,Yes      ,2224,12.40307
58,21889.6     ,38859.1     ,Yes      ,2567,11.82925
59,21644       ,39387.3     ,Yes      ,1963,11.99005
60,21654.2     ,38978.9     ,Yes      ,3146,11.86572
61,21889.7     ,38858.7     ,Yes      ,2119,11.82913
62,21889.2     ,38858       ,Yes      ,3157,11.82892
63,22097.8     ,35956.1     ,Yes      ,2312,10.94554
64,21644.7     ,39372.4     ,Yes      ,1728,11.98551
65,21889.4     ,38860.3     ,Yes      ,2290,11.82962
66,21646.1     ,39403.4     ,Yes      ,2516,11.99495
67,21890.1     ,38859.2     ,Yes      ,1819,11.82928
68,21644.2     ,39370.2     ,Yes      ,2800,11.98484
69,21890       ,38859.5     ,Yes      ,1998,11.82938
70,21644.5     ,39411.1     ,Yes      ,1849,11.99729
71,22040.4     ,36538.6     ,Yes      ,2689,11.12286
72,22218       ,35566.1     ,Yes      ,1597,10.82682
73,22772.3     ,40743.8     ,Yes      ,1678,12.40298
74,21889.4     ,38858.7     ,Yes      ,2273,11.82913
75,21643.7     ,39365.7     ,Yes      ,3041,11.98347
76,21645.4     ,39394.5     ,Yes      ,2183,11.99224
77,21644.4     ,39360.7     ,Yes      ,3351,11.98195
78,22770.6     ,40743.5     ,Yes      ,2629,12.40289
79,22315       ,35956.6     ,Yes      ,1794,10.94569
80,21643.5     ,39360.8     ,Yes      ,2847,11.98198
81,21890       ,38860.1     ,Yes      ,2897,11.82956
82,23221.2     ,39660.5     ,Yes      ,1603,12.07321
83,21645       ,39394       ,Yes      ,1625,11.99209
84,21888.8     ,38855.8     ,Yes      ,2577,11.82825
85,22133.7     ,36051       ,Yes      ,2594,10.97443
86,21644.9     ,39380.1     ,Yes      ,1783,11.98785
87,21889.5     ,38859.3     ,Yes      ,3369,11.82932
88,21643.9     ,39362.6     ,Yes      ,2422,11.98253
89,21889       ,38858.4     ,Yes      ,2508,11.82904
90,21644.1     ,39386.9     ,Yes      ,2225,11.98992
91,22770.9     ,40741.5     ,Yes      ,1764,12.40228
92,22043.1     ,36698.8     ,Yes      ,1726,11.17163
93,21643.6     ,39359.7     ,Yes      ,3130,11.98164
94,21643.6     ,39360.5     ,Yes      ,2422,11.98189
95,22265.3     ,35311.7     ,Yes      ,1212,10.74938
96,21643.4     ,39363.7     ,Yes      ,3059,11.98286
97,21890.1     ,38859.1     ,Yes      ,2417,11.82925
98,22147.9     ,36632.7     ,Yes      ,2918,11.15151
99,21643.8     ,39364.4     ,Yes      ,2695,11.98307
100,21644.7     ,39387.6     ,Yes      ,1952,11.99014

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
2,18008.57588,
3,17523.34302,4279.72669,
4,0.13807,18004.69546,17526.92221,
5,17999.21458,3.51930,4320.92797,17995.29186,
6,12644.39908,14386.87562,15039.43001,12633.96242,14342.69785,
7,17533.51989,4266.29656,0.39493,17537.09676,4307.87216,15041.86238,
8,9561.66250,16154.14129,14921.01250,9552.12232,16141.17365,5435.42958,14935.06396,
9,17999.81425,3.43304,4322.36633,17995.90348,0.04273,14342.09238,4309.28456,16140.63402,
