
Factor Profiles (conc. of species) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
19,Dichloromethane,4.326100E-003,7.227400E-003,4.242900E-003,2.489300E-002,1.102900E-002,1.029400E-002,5.296900E-002,8.212700E-003,0.000000E+000
19,Chloroform,8.976100E-004,1.059200E-003,9.196300E-004,4.524900E-003,7.375700E-004,2.390400E-003,1.321000E-002,8.669500E-004,1.032900E-003
19,Trichlorofluoromethane,5.951300E-003,6.893200E-003,3.795200E-003,7.308700E-002,4.587000E-002,0.000000E+000,1.122600E-001,4.623100E-003,9.610700E-004
19,Dichlorodifluoromethane,1.932400E-002,8.884000E-003,8.789800E-003,1.680800E-001,4.440200E-002,5.318200E-002,5.888700E-002,3.869800E-002,2.031400E-003
19,Carbon Tetrachloride,1.238900E-003,3.301400E-003,0.000000E+000,2.318300E-002,1.158900E-002,3.383300E-003,2.784000E-002,0.000000E+000,1.105100E-003
19,1_1_2-Trichlorotrifluoroethane,2.310000E-003,0.000000E+000,1.411700E-003,2.747800E-002,1.232100E-002,3.682200E-003,3.050000E-002,0.000000E+000,1.802900E-003
19,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.840200E-004,0.000000E+000,2.840200E-004,6.629500E-003,2.594400E-003,9.010000E-004,4.056300E-003,1.797900E-003,0.000000E+000
19,Tetrachloroethene,2.375000E-004,9.929400E-004,6.317000E-004,2.279100E-004,1.993300E-004,7.165300E-004,2.183800E-003,3.367100E-004,9.151800E-005
19,1_2-Dichlorobenzene,0.000000E+000,0.000000E+000,5.242000E-003,7.026000E-005,5.858400E-005,0.000000E+000,6.559200E-004,5.596700E-005,9.892300E-005
19,1_4-Dichlorobenzene,6.038200E-005,0.000000E+000,5.356200E-003,0.000000E+000,1.766900E-004,2.907200E-007,3.542800E-004,6.688200E-005,0.000000E+000
19,PCBTF,8.241300E-004,3.078000E-003,8.267600E-004,0.000000E+000,4.480700E-005,7.324800E-004,5.607400E-003,8.518900E-004,7.446200E-004
19,N-Butane,6.102200E-003,1.016700E-002,6.204900E-002,3.807700E-002,6.689200E-003,6.019800E-002,5.769700E-002,1.654000E-001,7.770900E-003
19,Isobutane,6.298000E-003,0.000000E+000,1.541100E-002,0.000000E+000,0.000000E+000,7.509700E-002,5.279600E-002,8.508100E-002,0.000000E+000
19,N-Pentane,2.201600E-003,1.196700E-003,2.655800E-003,1.396600E-003,0.000000E+000,0.000000E+000,1.987600E-002,6.497400E-002,0.000000E+000
19,Isopentane,1.185900E-002,2.363600E-002,2.918000E-002,0.000000E+000,2.008500E-002,4.847700E-002,1.455100E-001,6.136900E-002,1.754500E-002
19,2-Methyl pentane,5.425400E-003,3.003900E-003,5.993900E-003,8.830900E-003,1.113200E-002,7.243800E-002,1.867900E-001,1.657200E-002,1.559400E-002
19,Butene,2.840000E-003,7.112600E-003,2.337200E-002,1.777700E-002,1.122600E-002,3.004600E-002,4.742500E-002,6.141200E-002,1.285600E-002
19,Propylene,1.171800E-002,3.753000E-002,9.408200E-002,8.708800E-002,0.000000E+000,4.103600E-002,0.000000E+000,1.391100E-001,0.000000E+000
19,cis-2-Pentene,0.000000E+000,0.000000E+000,0.000000E+000,1.089200E-003,1.118100E-003,4.761700E-004,4.299700E-003,2.013700E-003,4.555800E-004
