
Residuals from Base Run #19 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
19,07/10/21,2.191000E-002,2.072000E-003,-6.902000E-002,3.904000E-002,-2.651000E-002,5.083000E-004,-1.149000E-003,3.393000E-003,-3.341000E-004,8.702000E-003,-2.450000E-003,9.378000E-002,-3.816000E-002,-1.394000E-002,-1.676000E-002,-3.883000E-002,5.416000E-002,3.587000E-002,-2.207000E-003,4.533000E-002,6.853000E-003,-7.663000E-003,1.402000E-001,-1.039000E-002,5.331000E-003,-1.188000E-003,6.404000E-003,2.920000E-004,-1.719000E-003,5.422000E-003,-1.560000E+000,9.348000E-001,1.767000E-001,-1.215000E+000,-7.406000E-001,1.265000E-002,-7.152000E-003,-7.225000E-004,5.637000E-002,-6.280000E-004,1.286000E-001,3.165000E-003,1.953000E-002
19,07/11/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
19,07/12/21,-2.142000E-002,7.902000E-003,-3.584000E-002,-3.535000E-003,1.524000E-002,1.150000E-002,3.707000E-004,-2.925000E-003,-5.966000E-005,3.443000E-004,-9.708000E-003,-8.567000E-002,-5.824000E-002,5.175000E-002,6.882000E-002,1.273000E-002,3.090000E-002,1.657000E-002,-1.718000E-004,1.676000E-002,5.805000E-003,-3.635000E-002,4.662000E-001,6.751000E-002,6.921000E-003,2.523000E-003,1.358000E-002,9.643000E-003,1.077000E-003,8.584000E-003,-4.621000E-001,7.149000E-001,5.539000E-002,-5.197000E-001,-3.946000E-001,-7.723000E-003,-2.860000E-002,-1.092000E-006,-5.920000E-002,2.867000E-004,1.371000E-001,-7.935000E-002,2.666000E-002
19,07/13/21,4.711000E-002,9.081000E-004,1.494000E-002,-6.858000E-002,1.130000E-002,1.146000E-002,-6.789000E-004,8.693000E-004,-3.987000E-004,2.926000E-004,3.752000E-003,6.716000E-002,3.687000E-002,-9.745000E-003,-6.975000E-002,-1.690000E-001,5.159000E-002,-3.316000E-002,6.533000E-003,4.885000E-002,3.665000E-003,2.340000E-003,8.241000E-002,-3.091000E-002,-3.939000E-003,-4.157000E-004,3.896000E-003,-2.349000E-003,-5.262000E-003,-7.644000E-004,8.629000E-002,9.244000E-001,1.278000E-001,-2.204000E-001,3.761000E-002,1.653000E-002,4.592000E-002,-5.623000E-004,-4.665000E-002,1.004000E-005,2.973000E-001,-7.320000E-003,-6.476000E-003
19,07/14/21,1.117000E-002,1.993000E-003,-4.773000E-002,-8.585000E-002,-3.807000E-002,-1.199000E-002,5.949000E-004,2.126000E-004,-1.122000E-004,-3.010000E-004,-1.574000E-003,3.897000E-002,-5.209000E-002,-4.341000E-003,-9.916000E-002,-8.623000E-002,1.508000E-001,5.244000E-002,6.812000E-003,-7.392000E-002,-5.778000E-003,-2.562000E-002,2.951000E-001,-6.608000E-002,-3.336000E-003,-4.983000E-004,-4.791000E-004,-4.945000E-003,1.322000E-002,1.703000E-003,1.144000E+001,-8.792000E-003,1.061000E-001,5.081000E-001,-1.794000E-001,3.412000E-002,4.091000E-002,-3.537000E-005,4.546000E-002,4.010000E-004,1.864000E-001,1.744000E-002,3.113000E-002
19,07/15/21,-9.613000E-003,6.341000E-003,-1.706000E-002,3.827000E-002,2.006000E-002,1.812000E-002,-7.590000E-005,-2.752000E-003,-3.790000E-004,6.522000E-004,-1.049000E-002,-2.031000E-002,-1.225000E-001,7.144000E-002,1.868000E-001,5.051000E-002,-1.292000E-002,-3.343000E-002,-2.176000E-003,8.623000E-002,1.646000E-002,2.846000E-002,-1.272000E-002,-2.033000E-002,-3.627000E-003,-1.456000E-003,2.031000E-002,6.582000E-003,9.419000E-003,1.185000E-002,-2.500000E+000,-2.440000E-001,-1.646000E-001,-8.699000E-001,-4.335000E-001,1.133000E-003,-1.909000E-002,-6.037000E-004,-5.294000E-002,6.237000E-004,2.577000E-001,1.161000E-002,4.752000E-002
19,07/16/21,1.893000E-002,-5.569000E-003,5.579000E-002,-7.995000E-003,1.451000E-002,2.377000E-002,3.168000E-003,-1.014000E-004,-1.323000E-004,1.769000E-004,-7.210000E-003,2.350000E-002,-2.467000E-002,5.343000E-003,-2.724000E-002,-6.267000E-002,3.977000E-002,-9.272000E-002,3.868000E-005,-6.283000E-002,-5.877000E-003,-4.504000E-002,6.009000E-001,2.231000E-002,5.871000E-003,1.355000E-003,1.414000E-002,7.642000E-003,-2.026000E-003,4.470000E-003,3.936000E-002,6.668000E-001,9.957000E-003,-5.244000E-001,-3.074000E-001,-5.486000E-003,-3.936000E-002,4.772000E-005,4.462000E-002,-5.473000E-004,-9.265000E-002,-3.199000E-003,3.431000E-002
19,07/17/21,1.989000E-002,3.788000E-003,4.892000E-002,-7.808000E-003,2.479000E-002,2.861000E-002,7.690000E-004,-1.532000E-003,-4.543000E-005,1.124000E-004,-1.485000E-004,4.577000E-003,-4.344000E-002,1.758000E-002,1.457000E-002,-3.518000E-002,-2.347000E-002,-5.500000E-002,1.444000E-004,-2.687000E-002,-4.022000E-004,-5.536000E-003,6.538000E-002,8.218000E-003,1.493000E-003,1.559000E-003,1.626000E-004,-1.737000E-003,1.511000E-003,1.377000E-003,-1.087000E-004,-1.191000E-003,-1.178000E-001,-3.892000E-003,1.222000E-001,1.380000E-002,-2.932000E-002,2.887000E-004,-5.340000E-002,9.332000E-004,-2.572000E-002,-2.174000E-002,3.883000E-002
19,07/18/21,1.158000E-002,7.415000E-003,8.250000E-002,-9.271000E-002,3.287000E-002,3.101000E-002,1.130000E-003,1.628000E-003,2.769000E-004,-1.467000E-004,-1.781000E-003,5.931000E-002,-1.069000E-003,-6.502000E-005,-1.700000E-002,-4.216000E-002,5.849000E-002,-2.630000E-001,3.633000E-003,1.187000E-002,-5.801000E-003,2.176000E-002,1.840000E-001,5.227000E-003,-2.167000E-003,-1.322000E-003,-8.888000E-005,-1.940000E-003,2.033000E-003,-2.953000E-003,2.641000E-004,8.004000E-005,-1.429000E-002,-6.066000E-001,-1.077000E-001,7.485000E-003,-5.872000E-002,-9.452000E-004,8.209000E-003,4.555000E-004,-3.224000E-002,-7.676000E-003,1.326000E-002
19,07/19/21,1.412000E-001,-5.257000E-003,-1.552000E-001,4.093000E-001,-1.906000E-003,-2.510000E-002,9.710000E-003,2.206000E-003,1.565000E-004,-1.982000E-004,1.128000E-002,1.295000E-001,-1.835000E-001,6.677000E-002,-2.447000E-001,-9.911000E-003,2.445000E-001,1.714000E-001,-2.797000E-003,-4.213000E-002,-5.806000E-003,-6.917000E-003,1.986000E-001,1.834000E-002,7.275000E-003,2.455000E-003,-1.334000E-002,-2.736000E-005,5.715000E-003,7.405000E-003,-1.750000E-004,-2.965000E-004,2.260000E-001,-7.479000E-002,1.796000E-001,-1.690000E-003,-2.695000E-002,-1.191000E-003,2.485000E-002,-3.300000E-004,2.927000E-001,-1.511000E-002,9.833000E-002
