**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 19

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00433,  0.00364,  0.00429,  0.00437,  0.00482,  0.00576,  0.00453,  0.00041,  0.08957,  0.09372
Chloroform,  0.00090,  0.00085,  0.00090,  0.00096,  0.00106,  0.00127,  0.00099,  0.00011,  0.11028,  0.12125
Trichlorofluoromethane,  0.00595,  0.00575,  0.00590,  0.00794,  0.00848,  0.01282,  0.00760,  0.00173,  0.22696,  0.28994
Dichlorodifluoromethane,  0.01932,  0.01568,  0.01913,  0.01936,  0.01991,  0.02792,  0.01960,  0.00149,  0.07594,  0.07702
Carbon Tetrachloride,  0.00124,  0.00118,  0.00122,  0.00155,  0.00225,  0.00334,  0.00174,  0.00055,  0.31791,  0.44748
1_1_2-Trichlorotrifluoroethane,  0.00231,  0.00228,  0.00230,  0.00284,  0.00322,  0.00441,  0.00288,  0.00059,  0.20347,  0.25347
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00038,  0.00030,  0.00038,  0.00038,  0.00050,  0.00064,  0.00044,  0.00008,  0.18556,  0.21027
Tetrachloroethene,  0.00024,  0.00011,  0.00023,  0.00024,  0.00025,  0.00028,  0.00023,  0.00003,  0.14591,  0.14002
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00008,  0.00000,  0.00001,  6.04710,  0.00000
1_4-Dichlorobenzene,  0.00006,  0.00000,  0.00006,  0.00006,  0.00006,  0.00028,  0.00007,  0.00005,  0.66774,  0.76236
PCBTF,  0.00082,  0.00036,  0.00081,  0.00081,  0.00082,  0.00100,  0.00079,  0.00012,  0.14670,  0.14022
N-Butane,  0.00610,  0.00000,  0.00000,  0.00335,  0.00612,  0.00904,  0.00332,  0.00286,  0.86099,  0.46810
Isobutane,  0.00630,  0.00000,  0.00000,  0.00148,  0.00622,  0.00903,  0.00301,  0.00294,  0.97735,  0.46712
N-Pentane,  0.00220,  0.00000,  0.00000,  0.00089,  0.00222,  0.00406,  0.00119,  0.00118,  0.99248,  0.53681
Isopentane,  0.01186,  0.00750,  0.01173,  0.01188,  0.01296,  0.01658,  0.01245,  0.00163,  0.13081,  0.13736
2-Methyl pentane,  0.00543,  0.00000,  0.00532,  0.00665,  0.00676,  0.01428,  0.00710,  0.00287,  0.40494,  0.52974
Butene,  0.00284,  0.00000,  0.00045,  0.00215,  0.00282,  0.00403,  0.00186,  0.00112,  0.59911,  0.39288
Propylene,  0.01172,  0.00120,  0.00607,  0.00889,  0.01181,  0.01523,  0.00881,  0.00325,  0.36895,  0.27739
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.03561,  0.01347,  0.03468,  0.03813,  0.04500,  0.05468,  0.03885,  0.00868,  0.22330,  0.24365
alpha-Pinene,  0.00579,  0.00185,  0.00563,  0.00641,  0.00780,  0.01071,  0.00662,  0.00170,  0.25743,  0.29437
MVK,  0.01629,  0.00431,  0.01585,  0.01742,  0.01929,  0.02220,  0.01662,  0.00392,  0.23612,  0.24078
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Toluene,  0.01376,  0.00204,  0.01280,  0.01369,  0.01640,  0.01980,  0.01390,  0.00335,  0.24083,  0.24328
Ethylbenzene,  0.00257,  0.00057,  0.00240,  0.00256,  0.00302,  0.00360,  0.00258,  0.00059,  0.22818,  0.22866
Propylbenzene,  0.00052,  0.00018,  0.00050,  0.00051,  0.00060,  0.00075,  0.00052,  0.00012,  0.22144,  0.22361
m_p-Xylene,  0.00297,  0.00000,  0.00255,  0.00295,  0.00349,  0.00480,  0.00293,  0.00085,  0.28900,  0.28488
o-Xylene,  0.00253,  0.00019,  0.00230,  0.00252,  0.00303,  0.00369,  0.00253,  0.00067,  0.26516,  0.26484
p-Isopropyl Toluene,  0.00090,  0.00033,  0.00089,  0.00091,  0.00099,  0.00142,  0.00094,  0.00020,  0.20721,  0.21693
Naphthalene,  0.00172,  0.00117,  0.00169,  0.00172,  0.00214,  0.00246,  0.00184,  0.00033,  0.17722,  0.18922
Methanol, 56.07600, 55.73100, 55.95275, 56.04700, 56.24775, 57.62300, 56.14530,  0.35077,  0.00625,  0.00626
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04240,  0.00181,  0.00744,  4.11410,  0.00000
Phenol,  0.00649,  0.00122,  0.00615,  0.00847,  0.01139,  0.02222,  0.00927,  0.00433,  0.46715,  0.66747
Formaldehyde,  0.08105,  0.00000,  0.07811,  0.08488,  0.09388,  0.17570,  0.08830,  0.03435,  0.38900,  0.42381
Acetaldehyde,  0.06718,  0.00000,  0.06327,  0.06701,  0.07656,  0.12069,  0.06711,  0.02183,  0.32527,  0.32492
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00059,  0.00115,  0.00026,  0.00030,  1.18059,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
m_p-Tolualdehyde,  0.00007,  0.00001,  0.00007,  0.00007,  0.00008,  0.00011,  0.00007,  0.00002,  0.27778,  0.26592
Phenylacetaldehyde,  0.00295,  0.00213,  0.00285,  0.00307,  0.00496,  0.00698,  0.00394,  0.00128,  0.32408,  0.43392
Cyclohexanone,  0.00011,  0.00002,  0.00011,  0.00011,  0.00013,  0.00018,  0.00011,  0.00003,  0.26209,  0.26351
Methyl acetate,  0.00789,  0.00525,  0.00774,  0.00819,  0.00870,  0.01239,  0.00833,  0.00124,  0.14849,  0.15678
n-Butyl acetate,  0.00572,  0.00000,  0.00560,  0.00571,  0.00584,  0.00677,  0.00530,  0.00130,  0.24576,  0.22793
D5-Siloxane,  0.00671,  0.00260,  0.00609,  0.00640,  0.00674,  0.00858,  0.00627,  0.00111,  0.17788,  0.16618

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00723,  0.00546,  0.00692,  0.00724,  0.00747,  0.01374,  0.00773,  0.00177,  0.22936,  0.24539
Chloroform,  0.00106,  0.00025,  0.00106,  0.00110,  0.00116,  0.00340,  0.00117,  0.00057,  0.48852,  0.53805
Trichlorofluoromethane,  0.00689,  0.00000,  0.00521,  0.00529,  0.00690,  0.02818,  0.00591,  0.00521,  0.88198,  0.75576
Dichlorodifluoromethane,  0.00888,  0.00000,  0.00879,  0.00905,  0.01357,  0.06172,  0.01350,  0.01257,  0.93081,  1.41440
Carbon Tetrachloride,  0.00330,  0.00244,  0.00331,  0.00382,  0.00424,  0.01166,  0.00412,  0.00167,  0.40669,  0.50704
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00842,  0.00043,  0.00171,  3.94325,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00010,  0.00127,  0.00014,  0.00029,  2.04099,  0.00000
Tetrachloroethene,  0.00099,  0.00050,  0.00086,  0.00099,  0.00100,  0.00151,  0.00097,  0.00020,  0.20758,  0.20351
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00001,  0.00039,  0.00003,  0.00008,  2.90329,  0.00000
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00079,  0.00005,  0.00014,  3.10322,  0.00000
PCBTF,  0.00308,  0.00124,  0.00245,  0.00307,  0.00318,  0.00491,  0.00300,  0.00079,  0.26424,  0.25720
N-Butane,  0.01017,  0.00000,  0.01015,  0.01053,  0.01757,  0.03977,  0.01301,  0.00675,  0.51871,  0.66399
Isobutane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01476,  0.00088,  0.00258,  2.94092,  0.00000
N-Pentane,  0.00120,  0.00000,  0.00000,  0.00120,  0.00201,  0.00224,  0.00113,  0.00079,  0.69601,  0.65672
Isopentane,  0.02364,  0.00000,  0.01960,  0.02364,  0.02380,  0.03283,  0.02227,  0.00443,  0.19870,  0.18722
2-Methyl pentane,  0.00300,  0.00000,  0.00000,  0.00300,  0.00397,  0.04663,  0.00599,  0.01041,  1.73829,  3.46498
Butene,  0.00711,  0.00083,  0.00713,  0.00828,  0.00856,  0.02258,  0.00865,  0.00330,  0.38192,  0.46453
Propylene,  0.03753,  0.00000,  0.03753,  0.04727,  0.04816,  0.08156,  0.04568,  0.01553,  0.34006,  0.41390
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.03965,  0.00219,  0.02338,  0.03533,  0.03970,  0.07234,  0.03120,  0.01250,  0.40060,  0.31521
alpha-Pinene,  0.01258,  0.00467,  0.01042,  0.01209,  0.01259,  0.01981,  0.01150,  0.00250,  0.21709,  0.19848
MVK,  0.01384,  0.00000,  0.00745,  0.01258,  0.01386,  0.02955,  0.01113,  0.00486,  0.43690,  0.35142
Benzene,  0.00691,  0.00000,  0.00696,  0.00783,  0.00861,  0.05790,  0.01129,  0.01135,  1.00543,  1.64346
Toluene,  0.10594,  0.05722,  0.09805,  0.09860,  0.10628,  0.11845,  0.09838,  0.01273,  0.12940,  0.12017
Ethylbenzene,  0.01764,  0.01068,  0.01631,  0.01695,  0.01769,  0.01990,  0.01656,  0.00191,  0.11526,  0.10820
Propylbenzene,  0.00352,  0.00212,  0.00337,  0.00346,  0.00353,  0.00410,  0.00337,  0.00035,  0.10498,  0.10060
