
Factor Profiles (conc. of species) from Base Run #8 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
8	Dichloromethane	5.525500E-002	5.202300E-003	9.807300E-003	3.893200E-003	4.953400E-004	7.028600E-003	2.580000E-002	5.551500E-003	1.192400E-002
8	Chloroform	1.306900E-002	0.000000E+000	1.709600E-003	7.515200E-004	1.514300E-003	7.056300E-004	4.444400E-003	7.210000E-004	2.949600E-003
8	Trichlorofluoromethane	1.192100E-001	3.204700E-002	6.200500E-003	3.096200E-003	2.622700E-003	3.563200E-003	7.612000E-002	5.648300E-003	6.619800E-003
8	Dichlorodifluoromethane	7.137200E-002	3.042100E-002	2.154900E-002	1.260000E-002	1.365400E-004	2.303100E-002	1.723100E-001	8.214800E-003	6.277900E-002
8	Carbon Tetrachloride	3.031500E-002	7.431900E-003	0.000000E+000	0.000000E+000	1.516900E-003	2.305800E-003	2.364500E-002	1.042200E-003	5.750400E-003
8	1_1_2-Trichlorotrifluoroethane	3.234200E-002	8.231900E-003	0.000000E+000	1.230400E-003	2.554100E-003	0.000000E+000	2.807300E-002	1.364300E-003	6.265700E-003
8	1_2-Dichloro-1_1_2_2-tetrafluoroethane	4.828800E-003	1.376400E-003	1.242700E-003	3.594200E-004	0.000000E+000	0.000000E+000	7.123700E-003	3.546300E-004	1.416200E-003
8	Tetrachloroethene	2.137300E-003	2.262500E-004	4.897800E-004	5.714800E-004	7.519600E-005	1.117900E-003	2.574500E-004	1.700900E-004	6.922100E-004
8	1_2-Dichlorobenzene	5.536400E-004	6.907000E-006	1.920400E-004	5.060900E-003	9.026800E-005	0.000000E+000	1.432000E-004	1.737300E-006	0.000000E+000
8	1_4-Dichlorobenzene	2.908600E-004	9.371300E-005	1.777500E-004	5.042800E-003	0.000000E+000	0.000000E+000	7.719700E-005	5.851400E-005	4.309100E-005
8	PCBTF	5.333900E-003	8.717500E-005	1.214200E-003	7.823800E-004	2.393100E-004	3.474800E-003	0.000000E+000	9.641800E-004	7.918900E-004
8	N-Butane	4.123100E-002	9.463200E-003	1.860600E-001	5.671300E-002	4.800000E-003	1.357200E-002	4.464000E-002	1.027500E-003	5.559100E-002
8	Isobutane	4.004000E-002	4.267800E-004	1.103200E-001	9.314100E-003	0.000000E+000	0.000000E+000	6.388000E-004	2.742700E-003	7.460100E-002
8	N-Pentane	1.398100E-002	0.000000E+000	6.858700E-002	8.785400E-004	0.000000E+000	1.655100E-003	5.370200E-003	6.838200E-004	0.000000E+000
8	Isopentane	1.427600E-001	1.537400E-002	7.917600E-002	2.551500E-002	1.779100E-002	1.770600E-002	1.706000E-003	7.762500E-003	5.216200E-002
8	2-Methyl pentane	1.813900E-001	1.288000E-002	3.753900E-002	2.027700E-003	9.908800E-003	1.047200E-002	9.224600E-004	8.869300E-003	6.562200E-002
8	Butene	4.415700E-002	9.320200E-003	6.782000E-002	2.153900E-002	1.327600E-002	8.168800E-003	2.148600E-002	2.364500E-004	2.885000E-002
8	Propylene	0.000000E+000	0.000000E+000	1.182100E-001	9.610600E-002	0.000000E+000	5.371000E-002	9.167700E-002	0.000000E+000	4.136700E-002
8	cis-2-Pentene	4.195700E-003	9.689000E-004	2.501700E-003	0.000000E+000	3.580800E-004	0.000000E+000	1.110200E-003	0.000000E+000	4.625900E-004
8	Isoprene	7.431500E-002	3.446200E-001	4.051600E-002	1.191600E-002	3.582300E-002	4.103800E-002	9.929100E-003	4.115200E-003	0.000000E+000
8	alpha-Pinene	1.134300E-002	6.600700E-002	8.299000E-003	3.728000E-003	6.399300E-003	1.479300E-002	1.069700E-002	1.774200E-004	1.626700E-003
8	MVK	3.856300E-002	1.590000E-001	2.332800E-002	5.395200E-003	2.509100E-002	1.333400E-002	0.000000E+000	3.700000E-004	3.708400E-003
8	Benzene	1.686000E-001	0.000000E+000	2.253800E-002	8.553200E-005	4.910700E-003	2.301100E-003	2.072300E-002	1.229500E-003	2.868600E-002
8	Toluene	1.280500E-001	1.464000E-002	3.142900E-002	2.263300E-002	6.312400E-003	9.632900E-002	7.573500E-003	1.240000E-002	1.432900E-002
8	Ethylbenzene	1.823300E-002	2.317800E-003	4.693400E-003	3.586400E-003	8.134400E-004	1.620100E-002	1.247800E-003	2.138000E-003	3.249300E-003
