
Residuals from Base Run #8 (Convergent Run)

Base_Run	Date_Time	Dichloromethane	Chloroform	Trichlorofluoromethane	Dichlorodifluoromethane	Carbon Tetrachloride	1_1_2-Trichlorotrifluoroethane	1_2-Dichloro-1_1_2_2-tetrafluoroethane	Tetrachloroethene	1_2-Dichlorobenzene	1_4-Dichlorobenzene	PCBTF	N-Butane	Isobutane	N-Pentane	Isopentane	2-Methyl pentane	Butene	Propylene	cis-2-Pentene	Isoprene	alpha-Pinene	MVK	Benzene	Toluene	Ethylbenzene	Propylbenzene	m_p-Xylene	o-Xylene	p-Isopropyl Toluene	Naphthalene	Methanol	Ethanol	Phenol	Formaldehyde	Acetaldehyde	Isovaleraldehyde	Hexaldehyde	m_p-Tolualdehyde	Phenylacetaldehyde	Cyclohexanone	Methyl acetate	n-Butyl acetate	D5-Siloxane	O3_form	NOx
8	07/10/21	1.757000E-002	2.368000E-003	-7.302000E-002	3.287000E-002	-2.986000E-002	-1.473000E-003	-2.143000E-003	3.532000E-003	-3.286000E-004	8.541000E-003	1.543000E-004	1.043000E-001	-4.686000E-002	-3.156000E-003	-1.104000E-002	-2.259000E-002	4.882000E-002	3.463000E-002	-1.895000E-003	1.413000E-002	4.328000E-003	-2.871000E-002	1.343000E-001	-2.608000E-002	2.365000E-003	-1.885000E-003	7.073000E-004	-3.637000E-003	-3.335000E-003	2.590000E-003	5.080000E-001	3.136000E-001	1.539000E-001	-1.198000E+000	-7.271000E-001	1.636000E-002	5.828000E-003	-6.321000E-004	4.378000E-002	-6.205000E-004	1.627000E-001	1.792000E-002	9.058000E-003	7.918000E+000	-7.005000E-001
8	07/11/21	1.987000E-002	8.697000E-003	3.308000E-002	4.288000E-002	3.699000E-003	1.410000E-002	9.954000E-004	8.066000E-004	-3.081000E-004	3.144000E-004	-8.308000E-003	-2.318000E-003	3.528000E-002	-2.278000E-003	-5.493000E-002	-1.483000E-001	2.000000E-002	3.177000E-002	-2.083000E-003	1.723000E-002	6.249000E-003	-2.450000E-002	3.961000E-001	3.137000E-002	8.447000E-004	1.910000E-003	1.895000E-002	8.092000E-003	-4.814000E-003	7.743000E-003	2.749000E-001	4.245000E+000	1.077000E-001	-7.297000E-001	-3.574000E-001	-2.194000E-002	-6.887000E-002	-7.972000E-004	6.978000E-002	-5.744000E-004	6.361000E-002	-2.715000E-003	-1.054000E-002	5.424000E-001	2.934000E-002
8	07/12/21	-2.759000E-002	6.974000E-003	-4.341000E-002	-1.307000E-002	1.002000E-002	6.532000E-003	-7.723000E-004	-2.638000E-003	-1.456000E-004	2.583000E-004	-6.101000E-003	-5.484000E-002	-6.867000E-002	7.585000E-002	7.271000E-002	2.033000E-002	2.847000E-002	4.313000E-002	2.385000E-004	2.649000E-002	1.487000E-002	-4.289000E-002	4.514000E-001	6.828000E-002	6.501000E-003	2.324000E-003	1.278000E-002	8.683000E-003	-1.681000E-003	5.815000E-003	1.036000E+000	-6.936000E-001	4.054000E-002	-3.346000E-001	-2.746000E-001	-4.275000E-004	-5.873000E-003	2.575000E-004	-7.203000E-002	4.405000E-004	1.675000E-001	-5.202000E-002	7.643000E-003	5.370000E+000	-1.273000E+000
8	07/13/21	5.684000E-002	3.441000E-003	2.395000E-002	-6.616000E-002	1.347000E-002	1.430000E-002	-9.844000E-004	1.489000E-003	-2.489000E-004	2.925000E-004	8.502000E-003	6.249000E-002	3.993000E-002	-1.143000E-002	-4.954000E-002	-8.305000E-002	4.505000E-002	-5.964000E-002	7.468000E-003	-7.057000E-002	-1.643000E-002	-6.007000E-002	1.120000E-001	-3.429000E-002	-5.565000E-003	-9.613000E-004	-6.392000E-003	-6.587000E-003	-5.639000E-003	-3.570000E-003	1.192000E-002	1.519000E-001	8.552000E-002	-2.086000E-001	5.519000E-002	2.448000E-002	6.890000E-002	-4.430000E-004	-6.289000E-002	2.189000E-004	3.688000E-001	2.750000E-002	-8.838000E-003	1.856000E+000	1.067000E+000
8	07/14/21	6.384000E-003	5.625000E-003	-3.289000E-002	-5.543000E-002	-3.660000E-002	-3.015000E-003	-1.242000E-004	5.144000E-004	-1.424000E-004	-2.076000E-004	-1.850000E-003	1.736000E-002	-5.742000E-002	-1.124000E-003	-7.978000E-002	-1.127000E-001	1.454000E-001	5.188000E-002	6.240000E-003	-7.679000E-002	-9.438000E-003	-2.647000E-002	2.978000E-001	-8.411000E-002	-5.126000E-003	-1.100000E-003	-5.051000E-003	-7.453000E-003	1.464000E-002	3.071000E-003	4.195000E+000	-6.374000E-003	1.017000E-001	1.206000E-001	-2.550000E-001	2.587000E-002	2.212000E-002	-1.295000E-004	5.131000E-002	2.131000E-004	2.267000E-001	1.078000E-002	3.967000E-002	-1.300000E+000	1.725000E+000
8	07/15/21	-1.600000E-002	6.106000E-003	-1.879000E-002	4.342000E-002	1.858000E-002	1.705000E-002	-7.985000E-004	-2.487000E-003	-4.721000E-004	6.545000E-004	-9.273000E-003	-6.435000E-003	-1.252000E-001	8.076000E-002	1.927000E-001	2.460000E-002	-1.185000E-002	-7.533000E-003	-2.591000E-003	1.398000E-001	3.288000E-002	4.525000E-002	-3.283000E-002	-3.149000E-003	-5.291000E-005	-7.278000E-004	2.858000E-002	1.156000E-002	8.321000E-003	1.357000E-002	-1.067000E+000	-3.429000E-001	-1.614000E-001	-6.472000E-001	-1.887000E-001	5.309000E-003	-8.288000E-003	-3.263000E-004	-5.769000E-002	8.878000E-004	2.689000E-001	2.292000E-002	4.325000E-002	-4.032000E+000	-8.812000E-001
8	07/16/21	1.174000E-002	-6.455000E-003	4.702000E-002	-1.892000E-002	1.061000E-002	2.041000E-002	1.843000E-003	1.693000E-005	-1.640000E-004	1.789000E-004	-5.747000E-003	2.977000E-002	-2.955000E-002	1.265000E-002	-2.947000E-002	-7.168000E-002	3.528000E-002	-8.374000E-002	-1.327000E-004	-2.203000E-002	5.078000E-003	-3.332000E-002	5.804000E-001	1.862000E-002	5.642000E-003	1.223000E-003	1.504000E-002	7.889000E-003	-3.183000E-003	4.290000E-003	3.301000E-001	1.698000E-001	-9.857000E-004	-3.983000E-001	-1.766000E-001	-2.668000E-003	-3.120000E-002	2.439000E-004	3.262000E-002	-3.741000E-004	-7.671000E-002	8.141000E-003	2.604000E-002	1.419000E+000	-1.599000E-001
8	07/17/21	2.264000E-002	4.793000E-003	6.401000E-002	-2.830000E-002	2.719000E-002	3.182000E-002	7.073000E-004	-1.649000E-003	-3.843000E-005	1.303000E-004	-1.890000E-004	4.941000E-003	-4.231000E-002	2.183000E-002	1.595000E-002	-2.983000E-002	-2.380000E-002	-8.405000E-002	5.822000E-004	-6.532000E-002	-8.190000E-003	-2.808000E-002	7.121000E-002	-6.309000E-003	-1.144000E-003	9.074000E-004	-3.776000E-003	-4.657000E-003	1.534000E-003	1.204000E-005	-6.588000E-005	-1.549000E-003	-1.200000E-001	-2.853000E-001	-1.000000E-001	1.430000E-002	-2.730000E-002	1.137000E-004	-5.319000E-002	8.070000E-004	-8.868000E-003	-1.907000E-002	2.734000E-002	2.038000E+000	1.338000E+000
8	07/18/21	1.557000E-002	7.302000E-003	9.560000E-002	-9.265000E-002	3.540000E-002	3.419000E-002	1.219000E-003	1.735000E-003	2.456000E-004	-9.116000E-005	-1.737000E-003	6.312000E-002	1.155000E-002	-3.549000E-003	-1.116000E-002	-1.008000E-002	6.448000E-002	-2.793000E-001	4.212000E-003	1.584000E-001	1.970000E-002	8.752000E-002	1.810000E-001	-5.469000E-003	-3.616000E-003	-1.591000E-003	-2.789000E-003	-3.456000E-003	4.280000E-003	-2.302000E-003	1.541000E-004	-1.462000E-003	3.161000E-002	-1.215000E-001	6.105000E-002	1.011000E-002	-5.005000E-002	-7.993000E-004	1.530000E-002	5.942000E-004	-1.783000E-002	-8.460000E-003	1.496000E-002	-1.004000E+001	3.231000E-001
8	07/19/21	1.425000E-001	-6.681000E-003	-1.597000E-001	4.446000E-001	-5.646000E-003	-2.908000E-002	1.269000E-002	1.725000E-003	-6.788000E-005	-1.349000E-004	1.005000E-002	4.252000E-001	-2.807000E-002	1.900000E-001	-1.676000E-001	-5.842000E-002	3.462000E-001	3.853000E-001	-9.529000E-005	-3.290000E-003	3.847000E-004	1.365000E-002	1.805000E-001	1.275000E-002	7.079000E-003	2.624000E-003	-4.035000E-003	7.843000E-004	5.009000E-003	6.139000E-003	-8.209000E-005	1.117000E-006	1.993000E-001	-2.376000E-001	-2.602000E-002	-4.181000E-003	-3.227000E-002	-1.440000E-003	2.968000E-002	-6.197000E-004	2.573000E-001	-1.695000E-002	1.082000E-001	1.751000E+000	-2.814000E-001
