**** Run Comparison Statistics ****

Concentration of Species	Lowest Q (Robust) Run = Run 8

Factor 1		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Dichloromethane	  0.05526	  0.03867	  0.04249	  0.04254	  0.05475	  0.05526	  0.04696	  0.00613	  0.13055	  0.11096
Chloroform	  0.01307	  0.00776	  0.01005	  0.01016	  0.01307	  0.01316	  0.01100	  0.00160	  0.14582	  0.12275
Trichlorofluoromethane	  0.11921	  0.05256	  0.08829	  0.08840	  0.11917	  0.12652	  0.09821	  0.02362	  0.24054	  0.19817
Dichlorodifluoromethane	  0.07137	  0.00000	  0.01392	  0.02849	  0.06929	  0.08473	  0.04038	  0.03103	  0.76854	  0.43478
Carbon Tetrachloride	  0.03032	  0.01186	  0.02062	  0.02064	  0.03017	  0.03266	  0.02411	  0.00678	  0.28129	  0.22370
1_1_2-Trichlorotrifluoroethane	  0.03234	  0.00931	  0.02008	  0.02012	  0.03229	  0.03657	  0.02501	  0.00846	  0.33822	  0.26151
1_2-Dichloro-1_1_2_2-tetrafluoroethane	  0.00483	  0.00000	  0.00253	  0.00255	  0.00475	  0.00543	  0.00337	  0.00158	  0.46883	  0.32740
Tetrachloroethene	  0.00214	  0.00137	  0.00195	  0.00196	  0.00216	  0.00283	  0.00204	  0.00030	  0.14911	  0.14247
1_2-Dichlorobenzene	  0.00055	  0.00000	  0.00049	  0.00063	  0.00067	  0.00067	  0.00054	  0.00018	  0.33324	  0.32740
1_4-Dichlorobenzene	  0.00029	  0.00000	  0.00030	  0.00038	  0.00039	  0.00054	  0.00032	  0.00014	  0.44323	  0.49019
PCBTF	  0.00533	  0.00214	  0.00535	  0.00573	  0.00602	  0.00797	  0.00557	  0.00129	  0.23220	  0.24247
N-Butane	  0.04123	  0.00000	  0.01696	  0.03202	  0.04447	  0.09057	  0.03378	  0.02207	  0.65344	  0.53531
Isobutane	  0.04004	  0.00000	  0.00000	  0.03489	  0.04559	  0.05628	  0.02508	  0.02237	  0.89182	  0.55864
N-Pentane	  0.01398	  0.00000	  0.00941	  0.01535	  0.01692	  0.05590	  0.01472	  0.01130	  0.76786	  0.80822
Isopentane	  0.14276	  0.10102	  0.10939	  0.12557	  0.14688	  0.14984	  0.12620	  0.01793	  0.14207	  0.12559
2-Methyl pentane	  0.18139	  0.13322	  0.13349	  0.15895	  0.18460	  0.20235	  0.15991	  0.02540	  0.15885	  0.14004
Butene	  0.04416	  0.02034	  0.02717	  0.03948	  0.04518	  0.05356	  0.03698	  0.01013	  0.27400	  0.22949
Propylene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.03163	  0.00158	  0.00707	  4.47214	  0.00000
cis-2-Pentene	  0.00420	  0.00162	  0.00286	  0.00317	  0.00419	  0.00432	  0.00339	  0.00080	  0.23463	  0.18979
Isoprene	  0.07432	  0.00000	  0.00000	  0.06103	  0.07515	  0.20867	  0.05718	  0.06718	  1.17487	  0.90392
alpha-Pinene	  0.01134	  0.00000	  0.00000	  0.01023	  0.01150	  0.03708	  0.00962	  0.01150	  1.19534	  1.01398
MVK	  0.03856	  0.00000	  0.00000	  0.03320	  0.03904	  0.09858	  0.02860	  0.03225	  1.12763	  0.83636
Benzene	  0.16860	  0.11297	  0.13980	  0.14015	  0.16790	  0.16860	  0.14673	  0.01618	  0.11029	  0.09599
Toluene	  0.12805	  0.06577	  0.12814	  0.13816	  0.14363	  0.19288	  0.13516	  0.02657	  0.19660	  0.20752
Ethylbenzene	  0.01823	  0.00920	  0.01825	  0.02032	  0.02083	  0.02915	  0.01958	  0.00425	  0.21730	  0.23335
Propylbenzene	  0.00411	  0.00236	  0.00411	  0.00423	  0.00425	  0.00621	  0.00425	  0.00080	  0.18737	  0.19380
m_p-Xylene	  0.01112	  0.00325	  0.01109	  0.01768	  0.01781	  0.02837	  0.01497	  0.00597	  0.39882	  0.53705
o-Xylene	  0.01348	  0.00605	  0.01349	  0.01709	  0.01741	  0.02603	  0.01573	  0.00454	  0.28835	  0.33648
p-Isopropyl Toluene	  0.00865	  0.00546	  0.00567	  0.00677	  0.00869	  0.00924	  0.00721	  0.00154	  0.21330	  0.17780
Naphthalene	  0.00523	  0.00419	  0.00421	  0.00520	  0.00525	  0.00828	  0.00527	  0.00124	  0.23482	  0.23658
Methanol	  1.64350	  0.00000	  0.26544	  1.16180	  1.66570	  2.44410	  1.10140	  0.80714	  0.73283	  0.49111
Ethanol	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.01814	  0.00177	  0.00544	  3.07917	  0.00000
Phenol	  0.13245	  0.01008	  0.08321	  0.08803	  0.13220	  0.17493	  0.10450	  0.04386	  0.41967	  0.33111
Formaldehyde	  0.52153	  0.02702	  0.02807	  0.48446	  0.54721	  0.94319	  0.38931	  0.30933	  0.79456	  0.59312
Acetaldehyde	  0.19316	  0.01662	  0.01797	  0.20131	  0.27476	  0.43542	  0.16854	  0.13414	  0.79592	  0.69447
Isovaleraldehyde	  0.00341	  0.00045	  0.00337	  0.00366	  0.00395	  0.00622	  0.00354	  0.00124	  0.35134	  0.36479
Hexaldehyde	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000
m_p-Tolualdehyde	  0.00002	  0.00000	  0.00000	  0.00003	  0.00009	  0.00040	  0.00007	  0.00011	  1.57650	  6.26754
Phenylacetaldehyde	  0.05013	  0.01164	  0.03001	  0.03189	  0.04944	  0.06206	  0.03818	  0.01578	  0.41333	  0.31483
Cyclohexanone	  0.00000	  0.00000	  0.00000	  0.00013	  0.00013	  0.00042	  0.00012	  0.00013	  1.13611	  0.00000
Methyl acetate	  0.13193	  0.08605	  0.11023	  0.11043	  0.13256	  0.14547	  0.11909	  0.01428	  0.11988	  0.10821
n-Butyl acetate	  0.05984	  0.01915	  0.05987	  0.07509	  0.07781	  0.09857	  0.06786	  0.01885	  0.27773	  0.31495
D5-Siloxane	  0.02310	  0.00000	  0.00113	  0.01381	  0.02432	  0.03053	  0.01296	  0.01161	  0.89590	  0.50252
O3_form	  7.93710	  2.82640	  2.85905	  7.92795	  8.58083	 11.98700	  6.57431	  3.24181	  0.49310	  0.40844
NOx	  0.00000	  0.00000	  0.00000	  0.79008	  0.81770	  3.56810	  0.87956	  1.16804	  1.32798	  0.00000

Factor 2		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Dichloromethane	  0.00520	  0.00000	  0.00521	  0.00566	  0.00604	  0.03144	  0.00731	  0.00698	  0.95583	  1.34246
Chloroform	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00579	  0.00066	  0.00156	  2.36423	  0.00000
Trichlorofluoromethane	  0.03205	  0.00000	  0.02810	  0.02835	  0.03096	  0.10896	  0.03040	  0.02406	  0.79163	  0.75088
Dichlorodifluoromethane	  0.03042	  0.00960	  0.01012	  0.02361	  0.03133	  0.11021	  0.02639	  0.02237	  0.84767	  0.73537
Carbon Tetrachloride	  0.00743	  0.00070	  0.00583	  0.00592	  0.00735	  0.03029	  0.00727	  0.00622	  0.85532	  0.83716
1_1_2-Trichlorotrifluoroethane	  0.00823	  0.00000	  0.00612	  0.00623	  0.00802	  0.03466	  0.00786	  0.00740	  0.94098	  0.89883
1_2-Dichloro-1_1_2_2-tetrafluoroethane	  0.00138	  0.00000	  0.00091	  0.00111	  0.00137	  0.00616	  0.00133	  0.00126	  0.95034	  0.91729
Tetrachloroethene	  0.00023	  0.00019	  0.00024	  0.00025	  0.00025	  0.00055	  0.00027	  0.00009	  0.33188	  0.40158
1_2-Dichlorobenzene	  0.00001	  0.00000	  0.00000	  0.00006	  0.00011	  0.00101	  0.00010	  0.00022	  2.10208	 31.83937
1_4-Dichlorobenzene	  0.00009	  0.00000	  0.00009	  0.00012	  0.00018	  0.00916	  0.00058	  0.00202	  3.51389	 21.56440
PCBTF	  0.00009	  0.00009	  0.00011	  0.00012	  0.00019	  0.00054	  0.00017	  0.00012	  0.70204	  1.35855
N-Butane	  0.00946	  0.00681	  0.00690	  0.00978	  0.01146	  0.03169	  0.01093	  0.00581	  0.53145	  0.61393
Isobutane	  0.00043	  0.00000	  0.00000	  0.00000	  0.00145	  0.03184	  0.00375	  0.00896	  2.38821	 21.00022
N-Pentane	  0.00000	  0.00000	  0.00000	  0.00000	  0.00121	  0.00270	  0.00060	  0.00076	  1.27021	  0.00000
Isopentane	  0.01537	  0.00160	  0.01492	  0.01758	  0.01990	  0.06834	  0.02036	  0.01740	  0.85428	  1.13147
2-Methyl pentane	  0.01288	  0.00000	  0.01269	  0.01756	  0.02229	  0.07943	  0.02089	  0.02039	  0.97621	  1.58324
Butene	  0.00932	  0.00329	  0.00939	  0.01012	  0.01014	  0.02641	  0.01095	  0.00547	  0.49988	  0.58739
Propylene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.08244	  0.00434	  0.01841	  4.24044	  0.00000
cis-2-Pentene	  0.00097	  0.00000	  0.00090	  0.00111	  0.00127	  0.00278	  0.00111	  0.00076	  0.68055	  0.78071
Isoprene	  0.34462	  0.00000	  0.21741	  0.34453	  0.35352	  0.35423	  0.29314	  0.09616	  0.32803	  0.27903
alpha-Pinene	  0.06601	  0.00170	  0.05051	  0.06472	  0.06598	  0.06613	  0.05713	  0.01533	  0.26828	  0.23221
MVK	  0.15900	  0.00000	  0.09532	  0.15900	  0.16592	  0.16621	  0.13535	  0.04753	  0.35121	  0.29896
Benzene	  0.00000	  0.00000	  0.00000	  0.00144	  0.00319	  0.06677	  0.00890	  0.01922	  2.15999	  0.00000
Toluene	  0.01464	  0.00220	  0.01121	  0.01249	  0.01509	  0.02473	  0.01346	  0.00445	  0.33066	  0.30410
Ethylbenzene	  0.00232	  0.00029	  0.00141	  0.00210	  0.00245	  0.00319	  0.00194	  0.00070	  0.36039	  0.30124
Propylbenzene	  0.00082	  0.00025	  0.00074	  0.00075	  0.00086	  0.00132	  0.00079	  0.00021	  0.26366	  0.25407
m_p-Xylene	  0.00370	  0.00000	  0.00061	  0.00064	  0.00378	  0.00389	  0.00189	  0.00166	  0.87598	  0.44823
o-Xylene	  0.00258	  0.00021	  0.00103	  0.00148	  0.00272	  0.00320	  0.00175	  0.00094	  0.53600	  0.36428
p-Isopropyl Toluene	  0.00350	  0.00039	  0.00350	  0.00383	  0.00416	  0.00729	  0.00359	  0.00174	  0.48468	  0.49720
Naphthalene	  0.00285	  0.00000	  0.00215	  0.00256	  0.00305	  0.00383	  0.00250	  0.00081	  0.32338	  0.28375
Methanol	  1.16130	  0.64170	  1.44118	  2.11775	  2.76375	  3.63650	  2.05745	  0.81844	  0.39780	  0.70476
Ethanol	  0.31534	  0.00000	  0.11588	  0.13350	  0.31379	  0.31651	  0.19153	  0.09963	  0.52016	  0.31593
Phenol	  0.12092	  0.01455	  0.11974	  0.12603	  0.13142	  0.15143	  0.11322	  0.03640	  0.32151	  0.30102
Formaldehyde	  1.14590	  0.00000	  1.00878	  1.14995	  1.15570	  1.15750	  1.03212	  0.27598	  0.26739	  0.24084
Acetaldehyde	  0.49952	  0.01046	  0.45402	  0.46548	  0.50371	  0.51311	  0.43978	  0.12078	  0.27464	  0.24180
Isovaleraldehyde	  0.00822	  0.00000	  0.00230	  0.00517	  0.00792	  0.01607	  0.00542	  0.00395	  0.72992	  0.48104
Hexaldehyde	  0.01974	  0.00000	  0.00150	  0.01388	  0.01906	  0.02900	  0.01131	  0.01002	  0.88570	  0.50773
m_p-Tolualdehyde	  0.00037	  0.00000	  0.00025	  0.00025	  0.00037	  0.00047	  0.00028	  0.00012	  0.44811	  0.33909
Phenylacetaldehyde	  0.02919	  0.00879	  0.02730	  0.02753	  0.02895	  0.06500	  0.02801	  0.01156	  0.41255	  0.39593
Cyclohexanone	  0.00024	  0.00000	  0.00004	  0.00016	  0.00026	  0.00036	  0.00015	  0.00012	  0.77725	  0.48146
Methyl acetate	  0.00000	  0.00000	  0.00000	  0.00214	  0.00437	  0.03677	  0.00619	  0.01109	  1.79147	  0.00000
n-Butyl acetate	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00286	  0.00044	  0.00103	  2.34418	  0.00000
D5-Siloxane	  0.00086	  0.00000	  0.00000	  0.00099	  0.00171	  0.01759	  0.00257	  0.00497	  1.93798	  5.81524
O3_form	 13.46300	  1.94630	 13.48150	 13.59350	 13.80225	 21.59600	 13.56986	  4.31942	  0.31831	  0.32084
NOx	  2.70790	  0.00000	  2.07068	  2.08860	  2.76718	  5.42730	  2.28611	  1.37616	  0.60197	  0.50820

Factor 3		Statistics Over All Runs
	Lowest Q	Min	25th	50th	75th	Max	Mean    	Std Dev	RSD % mean	RSD % Lowest Q
Dichloromethane	  0.00981	  0.00687	  0.00980	  0.00995	  0.01175	  0.02784	  0.01165	  0.00450	  0.38656	  0.45924
Chloroform	  0.00171	  0.00103	  0.00103	  0.00145	  0.00237	  0.00539	  0.00184	  0.00116	  0.63216	  0.67952
Trichlorofluoromethane	  0.00620	  0.00089	  0.00095	  0.00451	  0.00881	  0.05032	  0.00813	  0.01181	  1.45231	  1.90389
Dichlorodifluoromethane	  0.02155	  0.00000	  0.02999	  0.04083	  0.04328	  0.09171	  0.03883	  0.02133	  0.54934	  0.98975
Carbon Tetrachloride	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.01349	  0.00136	  0.00336	  2.46444	  0.00000
1_1_2-Trichlorotrifluoroethane	  0.00000	  0.00000	  0.00000	  0.00000	  0.00018	  0.01580	  0.00138	  0.00371	  2.69233	  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane	  0.00124	  0.00016	  0.00146	  0.00174	  0.00194	  0.00409	  0.00182	  0.00093	  0.51379	  0.75225
Tetrachloroethene	  0.00049	  0.00000	  0.00043	  0.00046	  0.00049	  0.00146	  0.00050	  0.00032	  0.64547	  0.65341
1_2-Dichlorobenzene	  0.00019	  0.00000	  0.00000	  0.00013	  0.00017	  0.00079	  0.00012	  0.00018	  1.48021	  0.92317
1_4-Dichlorobenzene	  0.00018	  0.00000	  0.00001	  0.00005	  0.00014	  0.00216	  0.00018	  0.00047	  2.64702	  2.65185
PCBTF	  0.00121	  0.00041	  0.00104	  0.00104	  0.00118	  0.00538	  0.00136	  0.00112	  0.81996	  0.92004
N-Butane	  0.18606	  0.00998	  0.17306	  0.18876	  0.19030	  0.19046	  0.17155	  0.04312	  0.25135	  0.23175
Isobutane	  0.11032	  0.00318	  0.10143	  0.10175	  0.10650	  0.12634	  0.09596	  0.02825	  0.29442	  0.25608
N-Pentane	  0.06859	  0.00000	  0.06832	  0.06849	  0.06882	  0.07336	  0.06566	  0.01553	  0.23647	  0.22638
Isopentane	  0.07918	  0.02379	  0.05973	  0.06543	  0.07563	  0.09665	  0.06462	  0.01776	  0.27484	  0.22433
2-Methyl pentane	  0.03754	  0.00080	  0.02007	  0.02320	  0.03447	  0.11981	  0.02984	  0.02370	  0.79450	  0.63146
Butene	  0.06782	  0.00870	  0.06508	  0.06899	  0.06937	  0.07057	  0.06426	  0.01384	  0.21541	  0.20412
Propylene	  0.11821	  0.02148	  0.12434	  0.13460	  0.13893	  0.15676	  0.12363	  0.03355	  0.27135	  0.28379
cis-2-Pentene	  0.00250	  0.00000	  0.00234	  0.00241	  0.00260	  0.00413	  0.00246	  0.00073	  0.29574	  0.29114
Isoprene	  0.04052	  0.00000	  0.00286	  0.03106	  0.03999	  0.04052	  0.02417	  0.01642	  0.67923	  0.40516
alpha-Pinene	  0.00830	  0.00000	  0.00444	  0.00756	  0.00839	  0.00876	  0.00642	  0.00262	  0.40787	  0.31577
MVK	  0.02333	  0.00000	  0.00538	  0.01811	  0.02264	  0.02333	  0.01436	  0.00894	  0.62260	  0.38314
Benzene	  0.02254	  0.00630	  0.01266	  0.02205	  0.02751	  0.07631	  0.02211	  0.01468	  0.66399	  0.65141
Toluene	  0.03143	  0.01103	  0.02881	  0.02906	  0.03144	  0.12546	  0.03392	  0.02344	  0.69095	  0.74567
Ethylbenzene	  0.00469	  0.00186	  0.00452	  0.00454	  0.00476	  0.01835	  0.00522	  0.00344	  0.65913	  0.73341
Propylbenzene	  0.00120	  0.00029	  0.00103	  0.00110	  0.00121	  0.00385	  0.00121	  0.00067	  0.54938	  0.55407
m_p-Xylene	  0.00632	  0.00204	  0.00638	  0.00709	  0.00724	  0.01822	  0.00689	  0.00353	  0.51258	  0.55845
o-Xylene	  0.00346	  0.00106	  0.00347	  0.00372	  0.00380	  0.01586	  0.00420	  0.00325	  0.77370	  0.94084
p-Isopropyl Toluene	  0.00091	  0.00000	  0.00022	  0.00047	  0.00072	  0.00191	  0.00052	  0.00044	  0.85061	  0.48961
Naphthalene	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.00063	  0.00006	  0.00017	  3.10694	  0.00000
Methanol	  0.00000	  0.00000	  0.00000	  0.00003	  0.40489	  0.91541	  0.20546	  0.34036	  1.65653	7545599017.67818
Ethanol	  0.03831	  0.00000	  0.04939	  0.11580	  0.15091	  0.21807	  0.10306	  0.06445	  0.62539	  1.68225
Phenol	  0.00000	  0.00000	  0.00000	  0.00000	  0.00000	  0.03147	  0.00157	  0.00704	  4.47214	  0.00000
Formaldehyde	  0.23923	  0.00000	  0.17040	  0.17579	  0.20060	  0.23923	  0.16148	  0.06405	  0.39665	  0.26773
Acetaldehyde	  0.04553	  0.00000	  0.03211	  0.03486	  0.03926	  0.27747	  0.04491	  0.05759	  1.28256	  1.26495
