
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,07/10/21,6.526600E-001,2.243100E+000,4.616700E+000,2.280100E+000,1.776300E+000,4.139100E+000,6.771700E-001,1.506200E-001,-2.000000E-001,2.418900E-001
6,07/11/21,5.181600E-002,4.995300E-001,4.429500E+000,6.019700E-001,6.496000E-001,2.463700E+000,6.451700E-001,4.803200E-001,1.259000E+000,1.043800E+000
6,07/12/21,2.974200E-001,2.317200E+000,5.229000E+000,3.240900E+000,1.466000E+000,4.158600E+000,5.745400E-001,1.450600E+000,-2.000000E-001,-2.000000E-001
6,07/13/21,5.891500E-002,-2.000000E-001,5.056700E+000,1.240800E+000,1.946100E-001,3.041300E+000,-2.000000E-001,7.418300E-001,1.010800E+000,1.080300E+000
6,07/14/21,3.880700E-001,1.999300E+000,-2.000000E-001,2.115500E+000,5.688900E+000,4.093500E+000,6.090100E-001,1.251500E+000,-1.513700E-001,7.368200E-001
6,07/15/21,2.844400E-001,3.084900E+000,1.625600E+000,2.864400E+000,1.594800E+000,4.032700E+000,8.800300E-001,9.252400E-001,-2.000000E-001,-6.835900E-002
6,07/16/21,5.112200E-002,1.590900E+000,2.101900E+000,2.049100E+000,1.321300E+000,3.498500E+000,4.707500E-001,5.760100E-001,8.374200E-001,4.350500E-001
6,07/17/21,1.866000E-001,9.192000E-001,-1.672400E-001,1.014000E+000,-1.298100E-001,2.873500E+000,5.278800E-001,4.548200E-001,1.046200E+000,1.177100E+000
6,07/18/21,1.692400E-001,-2.000000E-001,-1.888600E-001,7.143900E-001,-1.360100E-001,2.112100E+000,1.294900E+000,4.551300E-001,1.625500E+000,1.909600E+000
6,07/19/21,4.962800E-001,1.933900E+000,-9.002800E-002,6.006800E-001,-1.077700E-001,2.601000E+000,-2.000000E-001,1.022100E+000,-2.000000E-001,1.294100E+000
6,07/20/21,-1.852600E-002,1.934200E+000,2.314200E+000,2.831900E+000,1.080200E+001,2.130600E+000,3.784600E-002,8.731700E-001,7.307000E-001,3.362800E-001
6,07/21/21,2.521000E-003,1.062200E+000,2.791400E+000,1.548500E+000,4.643700E+000,3.186900E+000,-1.462000E-001,5.882600E-001,3.229700E-001,8.389900E-001
6,07/22/21,3.276700E-001,3.437500E+000,2.769400E+000,3.409900E+000,3.102700E+000,3.890800E+000,5.632100E-001,1.318200E+000,-2.000000E-001,-2.000000E-001
6,07/23/21,3.944000E-001,2.105700E+000,-1.622700E-001,1.951300E+000,3.838200E+000,3.129100E+000,1.070700E+000,1.058800E+000,-2.000000E-001,6.122700E-001
6,07/24/21,2.495200E-001,1.922600E+000,-1.494300E-001,1.713800E+000,-1.451000E-001,2.646900E+000,8.703200E-001,6.602400E-001,7.687500E-001,4.506800E-001
6,07/25/21,2.208800E-001,5.042300E-001,2.290300E+000,9.711600E-001,6.376300E-001,2.212300E+000,7.717800E-001,7.346400E-001,1.191800E+000,2.434400E-001
6,07/26/21,-4.305800E-002,1.560100E+000,1.094000E+000,-7.465800E-002,-1.198000E-001,-2.000000E-001,2.156600E-001,5.507400E-002,2.350900E-001,1.029800E+000
6,07/27/21,-2.000000E-001,1.260600E+000,2.731400E+000,1.310400E+000,2.030000E+000,2.300800E+000,4.860300E-001,2.222900E-001,8.828800E-001,6.945900E-001
6,07/28/21,9.636100E-002,2.401100E+000,1.504500E+000,1.444100E+000,2.433800E-001,2.104000E+000,8.722900E-001,5.585300E-001,9.313000E-001,1.067200E+000
6,07/29/21,1.355600E-001,3.402200E+000,1.997800E+000,1.952500E+000,5.801200E-001,3.219700E-001,1.816300E+000,7.654100E-001,7.622300E-001,1.401800E+000
6,07/30/21,-1.906700E-001,1.664700E+000,3.581300E+000,8.749100E-001,6.874600E-001,1.967600E+000,2.910800E-001,2.594900E-001,9.076200E-001,1.447300E+000
6,07/31/21,-1.709000E-001,1.138100E+000,4.364000E+000,1.846400E+000,1.328500E+000,2.061100E+000,2.522400E-001,4.121600E-001,8.317500E-001,8.636000E-001
6,08/01/21,9.855600E-002,3.208300E-001,1.358600E+000,1.699500E+000,2.999200E-001,1.277000E+000,1.000200E+000,5.824100E-001,1.705900E-001,1.929800E+000
6,08/02/21,-1.316400E-001,1.757300E-001,-1.135300E-001,5.561700E-001,-1.439700E-001,1.292200E+000,4.362800E-001,-2.000000E-001,1.321600E+000,2.973300E+000
6,08/03/21,-1.918100E-001,1.985700E+000,1.533200E+000,1.472000E+000,-1.994800E-001,2.120000E+000,-1.266000E-002,8.697200E-002,4.642800E-001,2.780900E+000
6,08/04/21,-1.182700E-001,1.901700E+000,1.758700E+000,2.947900E+000,2.172500E-001,2.911400E+000,1.123700E+000,3.934500E-001,-2.680800E-002,1.460700E+000
6,08/05/21,1.565000E-001,2.281200E+000,1.848100E+000,2.797100E+000,1.385000E-001,2.823500E+000,1.124500E+000,1.073000E+000,1.203400E-001,1.335100E+000
6,08/06/21,3.510200E-001,1.492500E+000,-1.393100E-001,1.699200E+000,-1.326500E-001,2.288700E+000,1.876100E+000,9.365300E-001,2.286000E-001,1.401700E+000
6,08/07/21,3.449600E-001,1.097300E+000,1.155800E+000,4.628700E-001,-1.798100E-001,1.845100E+000,1.248800E+000,8.355700E-001,1.232300E+000,1.164800E+000
6,08/08/21,1.518200E-001,4.779600E-001,2.348400E+000,9.511700E-001,5.131400E-001,1.698300E+000,7.301600E-001,6.307500E-001,1.323500E+000,6.730100E-001
6,08/09/21,1.092100E-001,2.812300E+000,1.719400E+000,9.377700E-001,-3.681100E-002,-8.586300E-003,2.713800E+000,6.244600E-001,1.825600E+000,8.402500E-001
6,08/10/21,2.200200E-001,2.376500E+000,1.632400E+000,2.401300E+000,2.123600E-001,2.083800E+000,1.507700E+000,9.165900E-001,5.726500E-001,9.634100E-001
6,08/11/21,5.537700E-001,-2.000000E-001,8.844200E-001,-9.705400E-002,1.739600E-001,1.075300E+000,-1.849200E-001,1.038600E+000,1.242100E+000,2.038200E+000
6,08/12/21,-2.000000E-001,1.410400E+000,8.651800E-001,2.670100E-001,3.186400E-001,2.990000E+000,2.047300E+000,-2.000000E-001,3.791200E+000,1.141000E+000
6,08/13/21,1.250400E-001,-2.000000E-001,7.567600E-001,-2.000000E-001,1.066400E+001,1.663000E-001,3.899700E-001,8.788800E-001,1.461700E+000,1.426300E+000
6,08/14/21,-8.593000E-002,1.021200E+000,1.327100E+000,4.353800E-001,5.809300E+000,2.258800E-001,1.073300E+000,2.003600E-001,1.158900E+000,2.028000E+000
6,08/15/21,8.527800E-002,4.519600E-001,6.588500E-001,6.213100E-001,4.146900E+000,8.270700E-001,2.280800E+000,7.019800E-001,2.600200E-001,1.375300E+000
6,08/16/21,1.361800E-001,1.175000E+000,1.294100E+000,1.627200E+000,1.474200E+000,7.081600E-001,4.163100E+000,8.996400E-001,-8.322200E-002,2.618100E+000
6,08/17/21,5.295700E-001,2.331100E+000,9.331900E-001,3.391800E-001,2.107000E+000,-2.000000E-001,2.881500E+000,1.245400E+000,8.359700E-001,1.384000E+000
6,08/18/21,-1.356500E-002,5.896800E-002,-8.908800E-002,-1.539900E-001,1.310000E+000,1.268900E-001,-1.510100E-002,-1.116600E-001,2.181800E+000,6.952200E-001
6,08/19/21,-9.175200E-003,-7.011800E-002,-1.021000E-001,-1.731500E-001,1.075700E+000,1.700600E-001,-2.746400E-003,-1.217800E-001,2.413300E+000,5.967800E-001
6,08/20/21,2.163000E-001,3.536100E+000,6.416500E-001,1.476700E+000,2.521000E+000,1.256800E+000,3.115700E+000,7.919800E-001,1.168700E+000,-2.000000E-001
6,08/21/21,7.441000E-001,3.921700E+000,-2.309600E-002,-2.000000E-001,4.618400E-001,1.340600E-001,-1.560200E-002,1.643900E+000,1.853800E-001,1.276600E-001
6,08/22/21,-3.888200E-003,1.078700E+000,-1.731300E-001,8.685500E-001,-1.984900E-001,5.748200E-001,2.278400E+000,1.788600E-001,2.479200E+000,2.794800E-001
6,08/23/21,1.545700E-001,1.404400E+000,8.213900E-001,8.871500E-001,2.883600E-001,9.944700E-001,2.085700E+000,4.991300E-001,1.902500E+000,2.158000E-001
6,08/24/21,3.815800E-001,1.706800E+000,-2.000000E-001,3.631900E-001,6.878200E-001,1.042600E+000,2.357800E+000,8.472200E-001,1.586200E+000,1.044800E+000
6,08/25/21,3.596700E-001,1.910800E+000,-1.714600E-001,1.006900E+000,-1.786300E-001,1.646800E+000,1.592600E+000,9.096700E-001,7.497700E-001,1.770800E+000
6,08/26/21,5.551200E-001,5.214700E-001,-1.558200E-001,-4.259300E-003,1.480000E+000,1.100100E+000,5.982600E-001,7.140700E-001,1.187400E+000,2.570900E+000
6,08/27/21,-1.985400E-001,5.238800E-001,1.803000E+000,6.039300E-001,-1.755900E-001,1.201100E+000,1.378100E+000,-1.678400E-001,9.848600E-001,2.463000E+000
6,08/28/21,2.437700E-003,4.996600E-001,2.240900E+000,9.285200E-001,2.315300E-001,1.498100E+000,1.967000E+000,4.837700E-001,3.190800E-001,2.837400E+000
6,08/29/21,1.357700E-001,1.110700E-001,1.821300E+000,2.491800E-001,4.711500E-001,1.276700E+000,1.321800E+000,6.384200E-001,8.236200E-001,2.634500E+000
6,08/30/21,-1.468700E-002,-4.353900E-002,3.995200E-002,-1.487600E-003,-1.374600E-002,-4.290500E-002,2.574500E-002,2.095300E-002,-2.000000E-001,1.140900E+000
6,08/31/21,4.630900E-002,3.556600E+000,1.737300E+000,1.742000E+000,6.135600E-001,1.422800E+000,3.505700E+000,6.246000E-001,5.117800E-001,-6.535800E-002
6,09/01/21,5.753500E-001,1.131300E+000,1.484500E+000,5.484800E-001,-1.979700E-001,9.050800E-001,1.096600E+000,1.076100E+000,2.071700E+000,-1.394800E-001
6,09/02/21,-2.000000E-001,2.705500E+000,2.505300E+000,9.176600E-001,2.739400E-001,8.217400E-001,2.794700E+000,4.414100E-002,1.865200E+000,-3.727100E-002
6,09/03/21,1.297200E-001,4.344400E-001,1.877200E+000,4.314400E-001,6.684800E-001,1.196700E+000,1.432900E+000,5.654000E-001,7.439000E-001,9.138900E-001
6,09/04/21,-1.218000E-002,-3.530300E-002,3.902800E-002,-1.254600E-003,-1.245600E-002,-3.440400E-002,2.022900E-002,1.813300E-002,-1.647000E-001,9.875000E-001
6,09/05/21,1.279200E-001,-1.906400E-001,1.122300E+000,-1.783400E-001,1.542700E-001,5.705800E-001,4.218900E-001,4.104600E-001,1.258900E+000,2.424300E+000
6,09/06/21,-7.251800E-002,6.767800E-001,1.915300E+000,1.098000E+000,3.452400E-001,1.196000E+000,2.628900E+000,3.028600E-001,3.533800E-001,1.949400E+000
6,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/08/21,1.884600E-001,2.132700E+000,1.628700E+000,2.204000E+000,2.784400E-001,2.037600E+000,2.346300E+000,9.212900E-001,-2.000000E-001,1.189500E+000
