
Factor Profiles (conc. of species) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,Dichloromethane,5.452200E-003,6.250600E-003,0.000000E+000,7.070900E-003,5.745100E-003,5.533100E-002,1.221100E-002,5.391200E-003,2.157400E-002,5.779700E-003
6,Chloroform,1.001900E-003,4.963900E-004,1.452800E-003,1.056500E-003,7.694200E-004,1.341200E-002,3.103600E-003,9.162200E-004,3.733900E-003,0.000000E+000
6,Trichlorofluoromethane,0.000000E+000,0.000000E+000,0.000000E+000,1.600500E-002,5.248800E-003,1.105900E-001,4.336700E-003,2.081300E-002,6.394100E-002,3.405700E-002
6,Dichlorodifluoromethane,5.046700E-002,1.904300E-002,0.000000E+000,9.171000E-003,1.021900E-002,7.628900E-002,5.604100E-002,0.000000E+000,1.484400E-001,3.410400E-002
6,Carbon Tetrachloride,4.378800E-003,2.449800E-003,8.037700E-004,0.000000E+000,1.109200E-003,2.971300E-002,4.635000E-003,5.577200E-004,2.025400E-002,8.411000E-003
6,1_1_2-Trichlorotrifluoroethane,2.773100E-003,0.000000E+000,1.319300E-003,0.000000E+000,1.460800E-003,3.161700E-002,4.872200E-003,5.326400E-003,2.387300E-002,9.103500E-003
6,1_2-Dichloro-1_1_2_2-tetrafluoroethane,1.602700E-003,0.000000E+000,0.000000E+000,1.191400E-003,3.484500E-004,4.488200E-003,1.078300E-003,4.250300E-004,5.759100E-003,1.882300E-003
6,Tetrachloroethene,2.911400E-004,1.073600E-003,1.305500E-004,7.782200E-005,1.993900E-004,2.273500E-003,8.933800E-004,5.130500E-004,1.249900E-004,1.273100E-004
6,1_2-Dichlorobenzene,7.184500E-004,0.000000E+000,0.000000E+000,1.133000E-004,0.000000E+000,5.665900E-004,0.000000E+000,4.751400E-003,2.262300E-004,0.000000E+000
6,1_4-Dichlorobenzene,9.113800E-003,0.000000E+000,3.687000E-004,6.172700E-004,1.416200E-004,4.139800E-004,0.000000E+000,3.185100E-004,0.000000E+000,1.648500E-004
6,PCBTF,5.446200E-005,4.086500E-003,3.018000E-004,1.106200E-003,8.507400E-004,4.482500E-003,9.506900E-004,7.633600E-004,0.000000E+000,2.702500E-004
6,N-Butane,1.680900E-002,4.830300E-004,1.049500E-002,1.410400E-001,2.683500E-003,5.050500E-002,7.890100E-002,7.632100E-002,3.368500E-002,2.139900E-003
6,Isobutane,1.050300E-002,0.000000E+000,0.000000E+000,8.766300E-002,3.548400E-003,4.631200E-002,8.211500E-002,1.675200E-003,5.508100E-003,0.000000E+000
6,N-Pentane,1.077100E-003,2.755300E-003,0.000000E+000,7.322800E-002,4.952100E-004,7.251700E-003,0.000000E+000,8.417300E-004,4.057400E-003,1.707800E-003
6,Isopentane,5.352800E-003,1.189500E-002,1.202600E-002,6.848400E-002,1.124500E-002,1.494800E-001,5.992100E-002,2.479200E-002,0.000000E+000,1.650900E-002
6,2-Methyl pentane,1.280500E-004,2.988400E-003,5.504900E-003,1.645100E-002,1.086800E-002,1.905700E-001,8.082300E-002,3.353100E-003,7.951000E-003,8.556500E-003
6,Butene,6.777900E-003,9.880700E-004,1.381600E-002,5.189400E-002,1.396700E-003,5.002000E-002,4.005000E-002,2.791200E-002,1.566300E-002,4.912200E-003
6,Propylene,9.691200E-002,5.413000E-002,5.121000E-003,1.064000E-001,0.000000E+000,0.000000E+000,4.902600E-002,2.791000E-002,6.523100E-002,0.000000E+000
6,cis-2-Pentene,8.821200E-005,0.000000E+000,2.218800E-004,2.780500E-003,0.000000E+000,4.081900E-003,2.867600E-004,0.000000E+000,1.096100E-003,9.414400E-004
6,Isoprene,0.000000E+000,3.183300E-002,3.642900E-002,2.544300E-002,1.619300E-002,8.396100E-002,0.000000E+000,3.216000E-002,1.634200E-002,3.254100E-001
6,alpha-Pinene,2.440900E-003,1.159100E-002,7.069700E-003,5.466300E-003,2.733400E-003,1.411100E-002,1.430800E-003,7.457800E-003,1.039700E-002,5.929600E-002
6,MVK,0.000000E+000,9.243600E-003,2.446000E-002,1.348700E-002,6.761900E-003,4.347400E-002,5.649800E-003,1.393500E-002,3.790200E-003,1.502300E-001
6,Benzene,2.401600E-003,1.036400E-002,0.000000E+000,1.955400E-002,3.094600E-004,1.666200E-001,2.724100E-002,0.000000E+000,2.196900E-002,0.000000E+000
6,Toluene,6.029400E-004,1.074800E-001,4.695100E-003,3.535700E-002,1.177500E-002,1.127300E-001,8.399200E-003,2.812700E-002,4.446300E-003,2.041300E-002
6,Ethylbenzene,1.163400E-004,1.799000E-002,3.890600E-004,5.352800E-003,2.071700E-003,1.584500E-002,2.227400E-003,4.363000E-003,7.365900E-004,3.486800E-003
6,Propylbenzene,2.296800E-004,3.536400E-003,0.000000E+000,1.104200E-003,4.255200E-004,3.718900E-003,8.405000E-004,9.267700E-004,0.000000E+000,1.015700E-003
6,m_p-Xylene,2.822700E-004,2.523500E-002,0.000000E+000,7.524000E-003,1.935100E-003,7.498200E-003,0.000000E+000,1.332100E-002,1.747800E-003,5.263800E-003
6,o-Xylene,1.028900E-004,1.948700E-002,2.196300E-004,4.496300E-003,1.960900E-003,1.096300E-002,1.646500E-003,5.441400E-003,5.236000E-004,3.886200E-003
6,p-Isopropyl Toluene,5.944900E-004,9.388200E-004,2.473800E-003,5.178200E-004,5.973100E-004,8.458400E-003,1.752800E-003,0.000000E+000,0.000000E+000,4.331700E-003
6,Naphthalene,0.000000E+000,6.512800E-003,5.103300E-004,0.000000E+000,1.360000E-003,4.561900E-003,1.976100E-003,0.000000E+000,3.036400E-004,3.712900E-003
6,Methanol,8.378500E-001,2.885800E+000,1.433300E+000,9.446200E-002,7.231500E+001,1.611300E-001,7.064300E-001,2.823800E-001,3.725400E+000,1.603200E+000
6,Ethanol,0.000000E+000,0.000000E+000,4.824000E+000,0.000000E+000,0.000000E+000,1.945200E-001,9.288000E-002,1.291900E-001,2.652800E-001,3.699600E-002
6,Phenol,1.386400E-002,0.000000E+000,0.000000E+000,0.000000E+000,2.860200E-003,1.310500E-001,0.000000E+000,3.631300E-002,4.980900E-002,1.119400E-001
6,Isovaleraldehyde,2.876500E-003,8.913400E-003,3.564200E-003,0.000000E+000,1.443300E-004,2.618200E-003,0.000000E+000,1.536200E-002,2.101900E-002,7.857800E-003
6,Hexaldehyde,9.462700E-003,1.430000E-002,5.362500E-003,0.000000E+000,0.000000E+000,0.000000E+000,5.151000E-003,4.303900E-002,5.507200E-002,1.990400E-002
6,m_p-Tolualdehyde,0.000000E+000,5.146600E-004,1.922900E-005,3.512900E-005,5.255500E-005,6.349300E-006,3.026200E-004,1.274600E-004,0.000000E+000,3.296600E-004
6,Phenylacetaldehyde,2.687700E-002,0.000000E+000,0.000000E+000,0.000000E+000,1.051000E-003,5.225700E-002,0.000000E+000,3.379200E-003,4.736900E-002,3.047600E-002
6,Cyclohexanone,9.808500E-005,8.071000E-004,2.214600E-004,0.000000E+000,1.025600E-004,0.000000E+000,2.379500E-004,9.514000E-005,2.639700E-004,2.499900E-004
6,Methyl acetate,0.000000E+000,1.991700E-002,5.890400E-003,9.437700E-003,7.547900E-003,1.348100E-001,3.064100E-002,3.500200E-003,8.713700E-003,0.000000E+000
6,n-Butyl acetate,0.000000E+000,4.765500E-002,6.425300E-003,2.018300E-002,5.672900E-003,5.448400E-002,0.000000E+000,4.632200E-003,3.023800E-004,0.000000E+000
6,D5-Siloxane,6.123900E-003,1.215900E-003,8.965700E-003,0.000000E+000,5.681000E-003,3.238900E-002,5.050800E-002,8.605000E-003,0.000000E+000,0.000000E+000

Factor Profiles (% of species sum) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
6,Dichloromethane,4.368550E+000,5.008265E+000,0.000000E+000,5.665526E+000,4.603235E+000,4.433371E+001,9.784008E+000,4.319674E+000,1.728607E+001,4.630959E+000
6,Chloroform,3.861968E+000,1.913407E+000,5.600028E+000,4.072432E+000,2.965841E+000,5.169849E+001,1.196327E+001,3.531702E+000,1.439286E+001,0.000000E+000
6,Trichlorofluoromethane,0.000000E+000,0.000000E+000,0.000000E+000,6.276680E+000,2.058422E+000,4.337007E+001,1.700723E+000,8.162232E+000,2.507574E+001,1.335613E+001
6,Dichlorodifluoromethane,1.249882E+001,4.716252E+000,0.000000E+000,2.271320E+000,2.530871E+000,1.889399E+001,1.387930E+001,0.000000E+000,3.676314E+001,8.446309E+000
6,Carbon Tetrachloride,6.055402E+000,3.387806E+000,1.111526E+000,0.000000E+000,1.533903E+000,4.108983E+001,6.409699E+000,7.712659E-001,2.800907E+001,1.163149E+001
6,1_1_2-Trichlorotrifluoroethane,3.451478E+000,0.000000E+000,1.642038E+000,0.000000E+000,1.818152E+000,3.935140E+001,6.064076E+000,6.629386E+000,2.971300E+001,1.133047E+001
6,1_2-Dichloro-1_1_2_2-tetrafluoroethane,9.553825E+000,0.000000E+000,0.000000E+000,7.102032E+000,2.077139E+000,2.675452E+001,6.427834E+000,2.533638E+000,3.433046E+001,1.122054E+001
6,Tetrachloroethene,5.103483E+000,1.881946E+001,2.288451E+000,1.364166E+000,3.495169E+000,3.985288E+001,1.566033E+001,8.993411E+000,2.190988E+000,2.231656E+000
6,1_2-Dichlorobenzene,1.126809E+001,0.000000E+000,0.000000E+000,1.776985E+000,0.000000E+000,8.886334E+000,0.000000E+000,7.452042E+001,3.548166E+000,0.000000E+000
6,1_4-Dichlorobenzene,8.182082E+001,0.000000E+000,3.310072E+000,5.541655E+000,1.271420E+000,3.716582E+000,0.000000E+000,2.859482E+000,0.000000E+000,1.479971E+000
6,PCBTF,4.232852E-001,3.176077E+001,2.345626E+000,8.597519E+000,6.612053E+000,3.483853E+001,7.388877E+000,5.932926E+000,0.000000E+000,2.100415E+000
6,N-Butane,4.069361E+000,1.169387E-001,2.540778E+000,3.414496E+001,6.496597E-001,1.222696E+001,1.910147E+001,1.847687E+001,8.154942E+000,5.180573E-001
6,Isobutane,4.425582E+000,0.000000E+000,0.000000E+000,3.693800E+001,1.495167E+000,1.951419E+001,3.460028E+001,7.058684E-001,2.320913E+000,0.000000E+000
6,N-Pentane,1.178263E+000,3.014082E+000,0.000000E+000,8.010568E+001,5.417209E-001,7.932790E+000,0.000000E+000,9.207865E-001,4.438477E+000,1.868199E+000
6,Isopentane,1.488109E+000,3.306878E+000,3.343297E+000,1.903895E+001,3.126175E+000,4.155630E+001,1.665838E+001,6.892318E+000,0.000000E+000,4.589597E+000
6,2-Methyl pentane,3.913581E-002,9.133421E-001,1.682458E+000,5.027905E+000,3.321577E+000,5.824374E+001,2.470186E+001,1.024805E+000,2.430057E+000,2.615116E+000
6,Butene,3.175704E+000,4.629483E-001,6.473320E+000,2.431431E+001,6.544070E-001,2.343627E+001,1.876495E+001,1.307783E+001,7.338710E+000,2.301552E+000
6,Propylene,2.394485E+001,1.337435E+001,1.265288E+000,2.628913E+001,0.000000E+000,0.000000E+000,1.211326E+001,6.895956E+000,1.611716E+001,0.000000E+000
6,cis-2-Pentene,9.288610E-001,0.000000E+000,2.336368E+000,2.927831E+001,0.000000E+000,4.298188E+001,3.019546E+000,0.000000E+000,1.154179E+001,9.913242E+000
6,Isoprene,0.000000E+000,5.606662E+000,6.416143E+000,4.481208E+000,2.852030E+000,1.478783E+001,0.000000E+000,5.664256E+000,2.878273E+000,5.731360E+001
6,alpha-Pinene,2.000838E+000,9.501295E+000,5.795126E+000,4.480798E+000,2.240604E+000,1.156697E+001,1.172845E+000,6.113256E+000,8.522557E+000,4.860571E+001
6,MVK,0.000000E+000,3.410526E+000,9.024781E+000,4.976174E+000,2.494876E+000,1.604020E+001,2.084555E+000,5.141469E+000,1.398435E+000,5.542898E+001
6,Benzene,9.665979E-001,4.171311E+000,0.000000E+000,7.870110E+000,1.245517E-001,6.706135E+001,1.096398E+001,0.000000E+000,8.842100E+000,0.000000E+000
6,Toluene,1.805072E-001,3.217718E+001,1.405611E+000,1.058512E+001,3.525180E+000,3.374892E+001,2.514538E+000,8.420613E+000,1.331126E+000,6.111209E+000
6,Ethylbenzene,2.212684E-001,3.421538E+001,7.399576E-001,1.018055E+001,3.940189E+000,3.013578E+001,4.236317E+000,8.298038E+000,1.400929E+000,6.631584E+000
6,Propylbenzene,1.946825E+000,2.997541E+001,0.000000E+000,9.359475E+000,3.606814E+000,3.152233E+001,7.124288E+000,7.855534E+000,0.000000E+000,8.609327E+000
6,m_p-Xylene,4.494232E-001,4.017854E+001,0.000000E+000,1.197952E+001,3.081018E+000,1.193845E+001,0.000000E+000,2.120936E+001,2.782803E+000,8.380890E+000
6,o-Xylene,2.111542E-001,3.999186E+001,4.507318E-001,9.227453E+000,4.024223E+000,2.249863E+001,3.379001E+000,1.116702E+001,1.074549E+000,7.975386E+000
6,p-Isopropyl Toluene,3.023065E+000,4.774032E+000,1.257962E+001,2.633188E+000,3.037405E+000,4.301215E+001,8.913235E+000,0.000000E+000,0.000000E+000,2.202730E+001
