
Factor Contributions (avg = 1) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
9,07/10/21,-2.000000E-001,1.721300E+000,2.003500E+000,4.188900E+000,2.997600E-001,1.825700E+000,9.569000E-001,3.991800E+000
9,07/11/21,4.651800E-001,6.753000E-001,7.576400E-001,-2.000000E-001,6.077300E-001,8.557800E-001,3.174500E+000,1.725900E+000
9,07/12/21,-2.000000E-001,1.411600E+000,2.154000E+000,4.645500E+000,1.582300E+000,1.998700E+000,5.094500E-001,4.214400E+000
9,07/13/21,6.527300E-001,1.466300E-001,9.369800E-001,4.774400E+000,7.380800E-001,-2.000000E-001,1.906400E+000,2.434100E+000
9,07/14/21,-3.266600E-002,5.376600E+000,1.780000E+000,-2.000000E-001,1.385200E+000,1.658600E+000,1.792400E+000,3.647300E+000
9,07/15/21,-2.000000E-001,1.521300E+000,1.711200E+000,1.606900E+000,1.156900E+000,2.686500E+000,9.509200E-001,4.006900E+000
9,07/16/21,4.115600E-001,1.260300E+000,1.522200E+000,1.977000E+000,6.779000E-001,1.367800E+000,1.467400E+000,3.176200E+000
9,07/17/21,6.307100E-001,-1.822700E-001,6.600400E-001,-1.162700E-001,5.999600E-001,9.645800E-001,2.440200E+000,2.274300E+000
9,07/18/21,8.798400E-001,-1.755200E-001,9.624800E-001,-9.328000E-002,5.214800E-001,-2.000000E-001,3.535400E+000,1.468200E+000
9,07/19/21,-8.010200E-002,-1.697800E-001,-4.675000E-002,-5.101800E-002,1.177500E+000,2.314600E+000,2.142000E+000,1.843600E+000
9,07/20/21,6.136600E-001,1.023700E+001,1.739600E+000,2.373400E+000,8.198300E-001,1.019200E+000,-2.000000E-001,2.744800E+000
9,07/21/21,9.715800E-002,4.519100E+000,1.212500E+000,2.731600E+000,6.478200E-001,5.600900E-001,1.272900E+000,3.000700E+000
9,07/22/21,-2.000000E-001,3.034700E+000,1.954000E+000,2.910600E+000,1.497800E+000,2.401900E+000,6.440800E-002,4.520600E+000
9,07/23/21,-8.105700E-002,3.801200E+000,1.860700E+000,-1.700700E-001,1.243300E+000,1.459000E+000,1.359400E+000,3.048800E+000
9,07/24/21,5.646700E-001,-1.687700E-001,1.339500E+000,-1.379900E-001,7.948600E-001,1.419600E+000,1.353300E+000,2.562200E+000
9,07/25/21,9.416800E-001,6.093900E-001,9.813500E-001,2.075300E+000,7.832000E-001,2.683800E-001,9.045500E-001,2.054700E+000
9,07/26/21,2.109900E-001,-8.661000E-002,-8.953200E-002,1.156700E+000,-2.059700E-002,1.605200E+000,3.092000E-001,-2.000000E-001
9,07/27/21,5.440900E-001,2.035300E+000,1.234100E+000,2.854500E+000,1.378800E-001,8.308600E-001,8.695500E-001,2.340000E+000
9,07/28/21,7.464900E-001,2.537100E-001,1.192300E+000,1.633900E+000,5.533500E-001,1.631600E+000,1.043300E+000,2.317500E+000
9,07/29/21,7.337400E-001,6.354800E-001,1.983300E+000,2.194900E+000,6.250800E-001,3.173100E+000,5.077100E-001,7.091800E-001
9,07/30/21,7.462300E-001,6.943800E-001,6.647900E-001,4.018400E+000,1.065100E-001,1.079900E+000,9.039100E-001,2.131400E+000
9,07/31/21,5.681400E-001,1.317100E+000,1.442800E+000,4.492000E+000,3.166500E-001,8.593800E-001,6.595700E-001,2.127800E+000
9,08/01/21,-2.776700E-002,2.757400E-001,1.466300E+000,1.414600E+000,5.920900E-001,6.698200E-001,2.324600E+000,9.043100E-001
9,08/02/21,9.547300E-001,-1.521200E-001,6.830400E-001,-6.752600E-002,-1.667700E-001,7.688300E-002,2.715900E+000,9.991600E-001
