
Factor Profiles (conc. of species) from Base Run #9 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
9,Dichloromethane,2.401800E-002,4.775500E-003,1.009800E-002,0.000000E+000,4.045500E-003,9.137400E-003,1.979600E-002,5.328000E-002
9,Chloroform,3.720900E-003,5.457800E-004,2.102800E-003,3.926900E-004,8.118100E-004,1.431300E-003,3.852500E-003,1.305800E-002
9,Trichlorofluoromethane,7.003500E-002,5.489800E-003,1.051000E-002,9.901700E-004,2.296300E-003,0.000000E+000,6.358400E-002,1.010500E-001
9,Dichlorodifluoromethane,1.786800E-001,1.226900E-002,3.342400E-002,0.000000E+000,1.586400E-003,4.935000E-002,6.471200E-002,6.123500E-002
9,Carbon Tetrachloride,2.204800E-002,1.252000E-003,5.948200E-004,7.955000E-004,0.000000E+000,3.976900E-003,1.762500E-002,2.591300E-002
9,1_1_2-Trichlorotrifluoroethane,2.680800E-002,1.650200E-003,2.454600E-004,1.373700E-003,1.212500E-003,4.248800E-004,1.922800E-002,2.933300E-002
9,1_2-Dichloro-1_1_2_2-tetrafluoroethane,6.687700E-003,4.274200E-004,1.827700E-003,0.000000E+000,9.865600E-005,4.769500E-004,3.573400E-003,3.658300E-003
9,Tetrachloroethene,3.424300E-004,1.636600E-004,4.722600E-004,0.000000E+000,5.667100E-004,1.285100E-003,5.295900E-004,2.345800E-003
9,1_2-Dichlorobenzene,2.712000E-004,0.000000E+000,0.000000E+000,2.011300E-004,4.991400E-003,0.000000E+000,9.677800E-005,3.903700E-004
9,1_4-Dichlorobenzene,2.194600E-004,6.782800E-005,2.897900E-005,5.431200E-005,4.945300E-003,1.716500E-004,1.787100E-004,2.852400E-005
9,PCBTF,1.252500E-004,6.664200E-004,9.450500E-004,6.877900E-004,8.862000E-004,3.363500E-003,2.807200E-004,5.995800E-003
9,N-Butane,5.709900E-002,5.004800E-003,1.839800E-001,6.959500E-003,4.801800E-002,1.930400E-002,1.690800E-002,7.066100E-002
9,Isobutane,2.098300E-003,9.143800E-003,1.339300E-001,0.000000E+000,0.000000E+000,8.200200E-003,2.288600E-002,5.448900E-002
9,N-Pentane,4.844900E-003,0.000000E+000,6.370400E-002,3.242700E-003,7.158100E-004,2.109100E-003,0.000000E+000,8.925100E-003
9,Isopentane,0.000000E+000,1.048000E-002,8.610200E-002,1.457800E-002,2.381300E-002,3.153500E-002,5.127700E-002,1.413700E-001
9,2-Methyl pentane,0.000000E+000,1.125000E-002,3.577500E-002,1.109800E-002,4.787500E-003,1.698100E-002,5.406600E-002,1.996900E-001
9,Butene,2.338200E-002,2.479200E-003,6.854100E-002,1.096200E-002,1.899900E-002,1.683600E-002,2.133500E-002,5.040100E-002
