
Residuals from Base Run #9 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
9,07/10/21,1.944000E-002,4.512000E-003,-3.491000E-002,2.272000E-002,-2.150000E-002,5.442000E-003,-7.039000E-004,3.151000E-003,-3.089000E-004,8.748000E-003,-1.947000E-003,4.113000E-002,-1.181000E-001,2.759000E-002,-2.013000E-002,-1.052000E-001,3.883000E-002,2.002000E-002,-9.322000E-004,-1.968000E-002,-9.843000E-003,-4.316000E-002,1.636000E-001,-2.995000E-002,7.438000E-004,-2.570000E-003,2.556000E-003,-3.829000E-003,-2.113000E-004,3.515000E-003,1.396000E+000,1.930000E+000,1.991000E-001,9.323000E-003,-1.558000E-002,-1.047000E-003,6.514000E-002,-9.642000E-004,1.589000E-001,6.847000E-003,3.268000E-002
9,07/11/21,2.118000E-002,1.589000E-002,2.832000E-002,4.455000E-002,5.483000E-003,2.075000E-002,6.088000E-004,5.470000E-004,8.861000E-005,-6.202000E-005,-7.005000E-003,-3.400000E-002,-8.713000E-003,2.030000E-003,-1.983000E-002,-1.286000E-001,5.121000E-002,2.077000E-002,-1.770000E-003,-1.931000E-001,-3.191000E-002,-7.919000E-002,4.273000E-001,2.085000E-002,-2.680000E-003,-1.073000E-004,6.220000E-003,1.392000E-003,2.691000E-003,4.722000E-003,5.102000E-001,2.718000E+001,-2.166000E-004,-9.389000E-003,-3.667000E-002,-1.283000E-003,4.842000E-002,5.192000E-006,1.030000E-001,1.114000E-002,1.741000E-002
9,07/12/21,-2.335000E-002,1.108000E-002,1.566000E-003,-3.036000E-002,1.895000E-002,1.469000E-002,1.256000E-003,-3.153000E-003,-2.149000E-004,3.579000E-004,-8.922000E-003,-5.399000E-002,-9.524000E-002,1.352000E-001,1.027000E-001,-5.238000E-002,4.787000E-002,6.044000E-002,2.553000E-003,-6.153000E-002,-1.401000E-002,-7.444000E-002,4.971000E-001,5.349000E-002,2.528000E-003,1.157000E-003,1.050000E-002,5.256000E-003,3.613000E-003,5.446000E-003,9.726000E-001,3.096000E+000,7.240000E-002,-1.300000E-002,-4.387000E-002,-4.047000E-004,-5.204000E-002,-1.509000E-004,1.726000E-001,-6.880000E-002,4.055000E-002
9,07/13/21,5.889000E-002,7.148000E-003,6.139000E-002,-6.546000E-002,2.101000E-002,2.055000E-002,3.608000E-004,1.388000E-003,-4.233000E-004,4.715000E-004,6.295000E-003,1.583000E-002,-3.183000E-002,1.143000E-002,-4.815000E-002,-1.581000E-001,4.807000E-002,-5.209000E-002,8.500000E-003,-1.110000E-001,-2.935000E-002,-8.259000E-002,1.409000E-001,-4.570000E-002,-7.282000E-003,-1.475000E-003,-4.566000E-003,-6.113000E-003,-4.417000E-003,-4.891000E-004,7.423000E-002,1.745000E+000,1.347000E-001,1.127000E-002,2.845000E-002,-9.743000E-004,-3.746000E-002,-3.559000E-004,3.761000E-001,1.044000E-003,5.685000E-002
9,07/14/21,1.323000E-002,4.318000E-003,-4.859000E-003,-1.052000E-001,-3.576000E-002,-7.012000E-003,-2.498000E-004,3.263000E-004,-4.963000E-005,-2.411000E-004,1.065000E-003,-4.863000E-002,-1.408000E-001,4.609000E-002,-9.729000E-002,-1.659000E-001,1.137000E-001,3.401000E-002,7.313000E-003,-1.887000E-002,-4.561000E-003,8.622000E-003,3.234000E-001,-3.958000E-002,-3.790000E-005,-7.553000E-004,1.785000E-003,-3.607000E-003,1.618000E-002,1.099000E-003,2.009000E+001,-1.345000E-002,1.604000E-001,2.925000E-002,4.392000E-002,-2.328000E-004,5.349000E-002,1.072000E-005,2.259000E-001,5.108000E-002,-3.030000E-003
9,07/15/21,-1.105000E-002,6.593000E-003,1.574000E-002,-6.567000E-003,2.002000E-002,1.641000E-002,5.071000E-004,-3.189000E-003,-4.314000E-004,5.415000E-004,-9.841000E-003,4.652000E-002,-1.191000E-001,1.695000E-001,2.169000E-001,-3.194000E-002,1.724000E-003,3.347000E-002,5.203000E-006,7.221000E-002,1.041000E-002,2.226000E-002,4.955000E-003,-6.647000E-004,-2.467000E-003,-1.678000E-003,2.779000E-002,7.318000E-003,1.019000E-002,7.362000E-003,4.835000E-001,-1.201000E-001,-1.390000E-001,-6.377000E-005,-1.648000E-002,-8.226000E-004,-4.925000E-002,2.222000E-004,2.613000E-001,3.659000E-002,6.030000E-004
9,07/16/21,2.196000E-002,-3.703000E-003,8.966000E-002,-2.243000E-002,1.865000E-002,2.696000E-002,3.834000E-003,-2.364000E-004,-1.413000E-004,1.561000E-004,-5.967000E-003,8.520000E-003,-7.142000E-002,5.762000E-002,-2.022000E-002,-1.122000E-001,3.411000E-002,-8.032000E-002,1.447000E-003,-1.095000E-001,-1.767000E-002,-6.903000E-002,6.291000E-001,2.327000E-002,4.882000E-003,6.720000E-004,1.476000E-002,6.312000E-003,-1.465000E-003,2.557000E-003,1.391000E+000,1.083000E+000,3.059000E-002,-6.676000E-003,-3.918000E-002,-1.972000E-004,5.052000E-002,-8.407000E-004,-6.674000E-002,1.244000E-002,2.820000E-002
9,07/17/21,2.736000E-002,4.722000E-003,7.464000E-002,-2.970000E-002,2.695000E-002,2.905000E-002,1.093000E-003,-1.665000E-003,2.631000E-005,5.226000E-005,1.016000E-003,4.121000E-003,-4.150000E-002,5.401000E-002,2.601000E-002,-3.574000E-002,-2.659000E-002,-6.133000E-002,1.110000E-003,-5.195000E-002,-6.014000E-003,-1.721000E-002,9.403000E-002,1.860000E-003,-2.959000E-004,9.011000E-004,-3.338000E-003,-5.144000E-003,1.331000E-003,-1.526000E-003,2.154000E-005,-5.005000E-004,-9.721000E-002,1.440000E-002,-1.720000E-002,1.907000E-004,-5.472000E-002,6.703000E-004,-3.671000E-003,-1.141000E-002,2.184000E-002
9,07/18/21,1.534000E-002,6.907000E-003,5.732000E-002,-4.297000E-002,2.920000E-002,2.546000E-002,6.782000E-004,1.981000E-003,2.724000E-004,-1.735000E-004,7.636000E-007,4.722000E-002,-2.253000E-003,-3.309000E-004,-3.992000E-002,-2.397000E-002,5.257000E-002,-2.370000E-001,2.353000E-003,-1.350000E-001,-2.691000E-002,-4.859000E-002,1.784000E-001,-9.257000E-003,-2.786000E-003,-1.835000E-003,-3.096000E-003,-2.678000E-003,-1.787000E-003,-2.313000E-003,6.572000E-005,6.516000E-004,-7.756000E-002,1.178000E-002,-2.945000E-002,-7.519000E-004,-1.180000E-002,7.496000E-004,-1.492000E-002,-5.551000E-003,5.438000E-002
9,07/19/21,1.480000E-001,-6.559000E-003,-1.185000E-001,3.464000E-001,-8.993000E-003,-3.224000E-002,1.195000E-002,1.361000E-003,1.635000E-004,-3.539000E-004,1.144000E-002,4.649000E-001,-2.366000E-002,2.503000E-001,-1.399000E-001,-5.378000E-002,3.475000E-001,3.912000E-001,2.400000E-003,1.144000E-001,1.863000E-002,6.945000E-002,2.133000E-001,4.499000E-002,8.180000E-003,2.577000E-003,-4.409000E-003,-2.017000E-003,5.582000E-003,-3.201000E-003,7.691000E-005,1.879000E-004,2.685000E-001,-4.732000E-003,-2.788000E-002,-1.714000E-003,3.740000E-002,-1.310000E-003,2.707000E-001,1.693000E-002,3.094000E-003
9,07/20/21,2.400000E-002,-3.840000E-003,-3.609000E-002,-9.274000E-002,7.202000E-003,-1.372000E-002,5.646000E-003,-4.295000E-004,7.842000E-005,-8.561000E-005,2.289000E-005,-4.472000E-002,-1.974000E-002,8.414000E-002,-1.211000E-001,-2.117000E-002,1.782000E-002,-7.124000E-002,2.764000E-003,4.930000E-002,5.068000E-003,2.696000E-002,4.345000E-001,7.583000E-002,1.358000E-002,2.381000E-003,2.413000E-002,1.580000E-002,-5.275000E-003,-1.837000E-003,6.781000E+001,6.775000E-002,7.988000E-002,1.329000E-002,5.085000E-002,-2.463000E-004,5.455000E-002,-1.070000E-003,-1.157000E-001,1.541000E-001,-2.349000E-002
9,07/21/21,4.063000E-002,-3.466000E-004,2.770000E-002,5.880000E-002,-4.376000E-003,4.116000E-003,2.416000E-003,-5.140000E-004,-1.730000E-004,1.301000E-004,5.240000E-004,1.843000E-002,-9.299000E-002,1.569000E-002,-3.255000E-002,-5.951000E-002,1.235000E-003,4.755000E-002,-1.865000E-003,3.078000E-002,2.296000E-003,8.261000E-003,-7.065000E-002,-4.497000E-003,3.373000E-003,-9.651000E-005,1.412000E-002,7.597000E-003,-1.608000E-003,3.811000E-004,4.368000E+000,1.403000E+000,5.794000E-002,-1.508000E-002,-3.566000E-002,-3.809000E-004,9.730000E-002,-8.672000E-004,-3.360000E-002,2.291000E-002,-1.409000E-003
