
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
5,07/10/21,1.760400E+000,2.510600E-001,4.622100E+000,-1.744900E-001,1.306900E-001,8.318800E-001,3.987800E+000,2.174900E+000,2.110400E+000
5,07/11/21,6.586000E-001,1.462700E+000,1.576700E+000,6.807200E-001,4.962400E-001,1.519700E+000,2.481700E+000,3.872400E-001,4.511100E-001
5,07/12/21,1.446700E+000,-2.000000E-001,5.321800E+000,-2.000000E-001,1.342100E+000,4.879300E-001,4.123500E+000,2.900900E+000,2.213500E+000
5,07/13/21,1.578400E-001,1.004500E+000,4.968500E+000,6.887100E-001,6.451000E-001,-2.000000E-001,3.073800E+000,1.031100E+000,-2.000000E-001
5,07/14/21,5.597400E+000,9.047900E-001,-2.000000E-001,-1.501100E-001,1.148100E+000,1.051600E+000,4.058400E+000,1.793400E+000,2.079800E+000
5,07/15/21,1.564300E+000,-6.911400E-003,1.699600E+000,-2.000000E-001,9.344500E-001,1.410900E+000,3.927000E+000,2.299900E+000,3.049700E+000
5,07/16/21,1.294000E+000,5.458900E-001,2.138500E+000,4.937400E-001,5.210500E-001,6.669500E-001,3.465000E+000,1.799400E+000,1.556700E+000
5,07/17/21,-1.729100E-001,1.221600E+000,-1.669400E-001,6.885700E-001,4.805200E-001,1.049000E+000,2.870700E+000,7.239200E-001,8.808700E-001
5,07/18/21,-1.941600E-001,1.833100E+000,-2.000000E-001,1.210200E+000,4.528200E-001,1.700600E+000,2.106600E+000,5.849000E-001,-2.000000E-001
5,07/19/21,-1.283800E-001,1.514300E+000,-9.856700E-002,-2.000000E-001,1.040800E+000,-2.000000E-001,2.576200E+000,5.492800E-001,1.953200E+000
5,07/20/21,1.094900E+001,5.185200E-001,2.393400E+000,4.503700E-001,6.925700E-001,-2.000000E-001,2.254300E+000,2.644100E+000,1.914200E+000
5,07/21/21,4.665300E+000,9.930600E-001,2.811600E+000,5.093600E-002,5.079300E-001,6.250600E-002,3.158200E+000,1.349300E+000,9.953200E-001
5,07/22/21,3.098600E+000,-2.000000E-001,2.954800E+000,-2.000000E-001,1.238000E+000,4.030100E-001,3.937800E+000,3.020000E+000,3.472400E+000
5,07/23/21,3.809300E+000,7.155000E-001,-1.691700E-001,-2.000000E-001,1.041800E+000,1.470200E+000,3.095400E+000,1.723300E+000,2.108700E+000
5,07/24/21,-1.586100E-001,5.364400E-001,-1.406800E-001,5.390200E-001,6.599900E-001,1.097400E+000,2.651100E+000,1.488800E+000,1.900900E+000
5,07/25/21,6.106000E-001,2.844100E-001,2.293800E+000,9.605100E-001,7.182200E-001,9.525500E-001,2.137500E+000,8.569800E-001,4.745500E-001
5,07/26/21,-7.740300E-002,9.599800E-001,1.095400E+000,1.853100E-001,2.596100E-002,1.752700E-001,-2.000000E-001,-2.101600E-002,1.485600E+000
5,07/27/21,2.028600E+000,6.329200E-001,2.869800E+000,6.011000E-001,7.908200E-002,5.170800E-001,2.320200E+000,1.158500E+000,1.168400E+000
5,07/28/21,2.603400E-001,1.049400E+000,1.570100E+000,6.624900E-001,4.913500E-001,9.045500E-001,2.126800E+000,1.297200E+000,2.353500E+000
5,07/29/21,6.656700E-001,1.422600E+000,2.034800E+000,5.415100E-001,6.392600E-001,1.018300E+000,4.629700E-001,2.189400E+000,3.201600E+000
5,07/30/21,7.039700E-001,1.373000E+000,3.710500E+000,6.220900E-001,1.007100E-001,1.931500E-001,1.974400E+000,7.631000E-001,1.593100E+000
5,07/31/21,1.341400E+000,8.822000E-001,4.420500E+000,5.596300E-001,2.660700E-001,-1.486100E-001,2.068100E+000,1.799300E+000,1.058000E+000
5,08/01/21,2.746300E-001,1.942800E+000,1.339400E+000,4.006300E-002,5.131900E-001,7.771900E-001,1.282400E+000,1.693300E+000,2.734100E-001
5,08/02/21,-1.702000E-001,3.008900E+000,-1.745400E-001,8.148800E-001,-1.705200E-001,5.991900E-001,1.305700E+000,5.291200E-001,1.201700E-001
5,08/03/21,-1.908000E-001,2.751700E+000,1.496000E+000,1.126000E-001,-3.428800E-003,-1.598200E-001,2.107700E+000,1.377200E+000,2.111200E+000
5,08/04/21,2.036000E-001,1.499300E+000,1.802700E+000,-1.978400E-001,2.683500E-001,6.864800E-001,2.915100E+000,2.897800E+000,1.893600E+000
5,08/05/21,1.334800E-001,1.355700E+000,1.932900E+000,2.630900E-002,8.423900E-001,6.245300E-001,2.861000E+000,2.776600E+000,2.355800E+000
5,08/06/21,-1.658600E-001,1.382300E+000,-1.608600E-001,1.657100E-001,8.766100E-001,1.891000E+000,2.297400E+000,1.654000E+000,1.475300E+000
5,08/07/21,-2.000000E-001,1.102000E+000,1.219900E+000,1.033300E+000,8.267800E-001,1.580000E+000,1.810000E+000,3.336000E-001,1.077500E+000
5,08/08/21,4.961700E-001,6.420400E-001,2.420700E+000,1.102000E+000,5.955100E-001,7.851000E-001,1.656500E+000,8.642300E-001,4.396700E-001
5,08/09/21,3.170800E-002,7.061400E-001,1.804600E+000,1.553100E+000,4.782300E-001,2.412500E+000,8.697700E-002,1.077300E+000,2.630600E+000
5,08/10/21,2.256900E-001,9.818100E-001,1.712500E+000,4.289900E-001,8.158900E-001,1.121000E+000,2.123300E+000,2.355700E+000,2.353400E+000
5,08/11/21,1.463600E-001,2.057100E+000,9.140000E-001,9.842700E-001,1.130600E+000,-6.120400E-003,1.099900E+000,-1.889400E-001,-1.859600E-001
5,08/12/21,3.069100E-001,1.063800E+000,9.400900E-001,2.731000E+000,-2.000000E-001,2.764800E+000,3.196300E+000,-7.010400E-002,1.111400E+000
5,08/13/21,1.082600E+001,1.456900E+000,7.778000E-001,1.177500E+000,6.200300E-001,8.582300E-001,2.236700E-001,-2.000000E-001,-2.000000E-001
5,08/14/21,5.575600E+000,1.873200E+000,1.381800E+000,8.395500E-001,1.382100E-001,1.130600E+000,3.258200E-001,4.584400E-001,9.391900E-001
5,08/15/21,3.998300E+000,1.110400E+000,6.699700E-001,3.040300E-001,4.785500E-001,2.485700E+000,8.567500E-001,6.391400E-001,4.645600E-001
5,08/16/21,1.447800E+000,2.278800E+000,1.296600E+000,-1.278900E-001,6.567600E-001,4.020600E+000,7.822800E-001,1.785600E+000,1.063200E+000
5,08/17/21,2.173300E+000,1.271500E+000,9.492500E-001,8.296400E-001,1.180100E+000,3.017100E+000,-2.000000E-001,4.623500E-001,2.228300E+000
5,08/18/21,1.348100E+000,7.247100E-001,-7.717200E-002,1.741300E+000,-3.485500E-002,1.139000E-001,1.622900E-001,-1.804100E-001,-1.289900E-002
5,08/19/21,1.044900E+000,6.223300E-001,-8.788500E-002,2.002000E+000,-3.576900E-002,1.889100E-001,1.697400E-001,-2.000000E-001,-1.049200E-001
5,08/20/21,2.556000E+000,-2.000000E-001,6.844300E-001,9.521300E-001,6.898000E-001,3.320900E+000,1.318900E+000,1.435200E+000,3.336500E+000
5,08/21/21,5.357800E-001,3.234600E-001,-2.683800E-003,3.756100E-001,1.510400E+000,7.980900E-003,4.307900E-002,-2.000000E-001,4.171600E+000
5,08/22/21,-1.792500E-001,1.896000E-001,-1.519600E-001,1.980600E+000,7.651000E-002,2.357600E+000,6.815100E-001,8.609300E-001,9.309000E-001
5,08/23/21,3.013400E-001,1.490200E-001,8.769600E-001,1.572000E+000,4.701600E-001,2.204500E+000,1.038100E+000,8.448400E-001,1.290500E+000
5,08/24/21,6.841700E-001,1.054800E+000,-2.000000E-001,1.248800E+000,8.112400E-001,2.845600E+000,1.059400E+000,3.064800E-001,1.627600E+000
5,08/25/21,-1.877600E-001,1.889800E+000,-2.000000E-001,4.818100E-001,8.434000E-001,1.913200E+000,1.629200E+000,9.190600E-001,1.907000E+000
5,08/26/21,1.453700E+000,2.737600E+000,-1.929300E-001,8.064500E-001,8.849000E-001,9.096400E-001,1.124500E+000,-6.462200E-002,4.684600E-001
5,08/27/21,-1.916500E-001,2.415200E+000,1.788700E+000,6.154200E-001,-1.883400E-001,1.539600E+000,1.135300E+000,6.139300E-001,3.993200E-001
5,08/28/21,1.955700E-001,2.571900E+000,2.313900E+000,1.667900E-001,3.557600E-001,2.051500E+000,1.470100E+000,9.454800E-001,4.272800E-001
5,08/29/21,4.300900E-001,2.507600E+000,1.840300E+000,6.222900E-001,5.289400E-001,1.576500E+000,1.219600E+000,2.137100E-001,1.064100E-001
5,08/30/21,-1.896200E-002,1.037500E+000,1.088800E-002,-2.000000E-001,4.274500E-003,-2.639400E-002,-1.443300E-002,2.774100E-002,-4.227100E-002
5,08/31/21,6.503600E-001,-2.000000E-001,1.825400E+000,4.103100E-001,4.508300E-001,3.683200E+000,1.438200E+000,1.690400E+000,3.371000E+000
5,09/01/21,-1.782100E-001,-1.715500E-001,1.588400E+000,1.834000E+000,1.187600E+000,1.096100E+000,9.782400E-001,4.609100E-001,1.028100E+000
5,09/02/21,3.286400E-001,-2.000000E-001,2.712100E+000,1.486000E+000,-5.139700E-002,2.695400E+000,9.303900E-001,8.967300E-001,2.441400E+000
5,09/03/21,6.489600E-001,8.581400E-001,1.938800E+000,5.876400E-001,4.900700E-001,1.510600E+000,1.190500E+000,3.795100E-001,3.969800E-001
5,09/04/21,-1.649000E-002,9.472500E-001,1.398400E-002,-2.000000E-001,4.043600E-003,-2.739200E-002,-7.929200E-003,2.606700E-002,-4.035600E-002
5,09/05/21,1.333900E-001,2.352100E+000,1.122300E+000,9.702700E-001,3.829700E-001,6.168300E-001,5.450800E-001,-1.970600E-001,-2.000000E-001
5,09/06/21,3.187500E-001,1.767600E+000,1.911000E+000,2.082700E-001,1.809400E-001,2.654900E+000,1.170000E+000,1.163300E+000,5.789600E-001
5,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/08/21,2.694000E-001,1.149800E+000,1.685500E+000,-2.000000E-001,7.824400E-001,2.161000E+000,2.007900E+000,2.224800E+000,2.086900E+000
5,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
5,09/11/21,3.230000E-001,2.479800E+000,2.151100E+000,3.196700E-001,-1.240900E-001,1.479800E+000,6.853500E-001,-2.000000E-001,6.624600E-001
5,09/12/21,-3.106200E-002,2.976500E+000,9.716500E-001,7.537100E-001,-7.903700E-002,4.087100E-001,4.374300E-001,-1.528300E-001,-2.000000E-001
5,09/13/21,2.560700E+000,2.578500E+000,1.550200E+000,5.156100E-001,-1.273900E-001,9.139300E-001,6.633800E-001,2.737400E-001,6.736700E-002
5,09/14/21,6.244800E+000,1.950700E+000,1.078100E+000,5.909900E-001,-9.963800E-002,2.006700E+000,3.697000E-001,6.786700E-001,9.041200E-001
5,09/15/21,3.896700E+000,1.159900E+000,1.684500E+000,1.616900E-001,-1.777400E-001,2.189200E+000,9.982500E-001,1.136300E+000,2.008900E+000
5,09/16/21,3.026500E+000,7.434700E-001,1.942800E+000,2.073700E-001,-2.000000E-001,3.313400E+000,1.050300E+000,1.546600E+000,2.233900E+000
5,09/17/21,1.287200E+000,1.846300E-002,1.101300E+000,5.081500E-001,-1.471800E-001,3.600900E+000,8.164400E-001,1.329300E+000,2.801800E+000
5,09/18/21,9.363900E-001,8.038500E-001,1.310800E+000,5.828800E-001,-1.259600E-001,2.675100E+000,6.611400E-001,7.426400E-001,2.107500E+000
5,09/19/21,7.776500E-001,4.537400E-001,1.016800E+000,1.145900E+000,-1.057000E-001,1.950500E+000,5.459800E-001,3.785500E-001,6.590400E-001
5,09/20/21,1.201600E+000,1.525500E+000,1.365200E+000,2.683300E-001,-1.697400E-001,1.767900E+000,9.884100E-001,9.961400E-001,1.416200E+000
5,09/21/21,3.492100E-001,2.629900E+000,1.299900E+000,1.125900E+000,-5.057400E-002,3.431600E-001,1.801400E-001,-1.317700E-001,-1.141200E-001
5,09/22/21,2.200100E-001,2.174400E+000,1.096500E+000,3.233100E-001,-1.327000E-001,1.584400E+000,8.746400E-001,2.118300E-001,5.797000E-001
5,09/23/21,1.347900E-001,1.925800E+000,1.220100E+000,8.549400E-001,-1.060700E-001,1.177600E+000,5.826600E-001,3.846900E-001,1.391600E+000
5,09/24/21,8.737700E+000,7.489500E-001,1.572900E+000,3.494600E-001,-1.135400E-001,3.507900E+000,4.907200E-001,1.132300E+000,1.986500E+000
5,09/25/21,-1.904900E-002,1.040700E+000,1.077800E-002,-2.000000E-001,4.286300E-003,-2.635000E-002,-1.469900E-002,2.780600E-002,-4.228700E-002
5,09/26/21,-1.466800E-002,8.113500E-001,1.695400E-002,-1.625600E-001,3.785400E-003,-2.571000E-002,-3.012700E-003,2.174600E-002,-3.323000E-002
5,09/27/21,-1.443500E-001,3.775300E-001,-1.163600E-001,1.276700E+000,-5.846000E-002,2.579800E+000,2.842400E-001,7.476800E-001,9.985100E-001
5,09/28/21,-1.219900E-001,3.107800E-001,-7.960900E-002,9.961300E-001,-4.026300E-002,2.048400E+000,2.322500E-001,1.250100E-001,1.274500E+000
