
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
5,Dichloromethane,5.180500E-003,8.148100E-003,8.079100E-006,2.462200E-002,3.721900E-003,1.115800E-002,5.558100E-002,9.506400E-003,7.021300E-003
5,Chloroform,6.018500E-004,2.794200E-004,1.480400E-003,4.342500E-003,7.528700E-004,2.929800E-003,1.332700E-002,1.613900E-003,5.916200E-004
5,Trichlorofluoromethane,4.970300E-003,4.036400E-002,7.798800E-006,7.041100E-002,3.128800E-003,6.384300E-003,1.203300E-001,6.858800E-003,3.288900E-003
5,Dichlorodifluoromethane,8.617400E-003,4.228500E-002,1.984200E-003,1.704200E-001,8.810900E-003,5.689000E-002,7.674600E-002,2.219200E-002,1.284200E-002
5,Carbon Tetrachloride,8.946100E-004,9.706300E-003,1.288400E-003,2.238000E-002,0.000000E+000,5.560900E-003,3.080700E-002,0.000000E+000,1.639200E-003
5,1_1_2-Trichlorotrifluoroethane,1.190800E-003,1.115400E-002,1.678400E-003,2.648100E-002,1.246000E-003,5.539400E-003,3.303400E-002,0.000000E+000,0.000000E+000
5,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.065900E-004,2.252800E-003,0.000000E+000,6.703300E-003,3.019200E-004,1.107800E-003,4.782400E-003,1.302800E-003,0.000000E+000
5,Tetrachloroethene,1.663900E-004,2.036100E-004,1.299000E-004,2.506500E-004,5.509100E-004,7.129400E-004,2.051000E-003,4.421500E-004,1.194800E-003
5,1_2-Dichlorobenzene,0.000000E+000,0.000000E+000,1.195600E-004,7.661400E-005,5.107800E-003,0.000000E+000,6.260100E-004,1.218400E-004,0.000000E+000
5,1_4-Dichlorobenzene,5.257000E-005,1.101900E-004,0.000000E+000,0.000000E+000,5.182000E-003,7.500300E-005,3.050900E-004,1.546100E-004,0.000000E+000
5,PCBTF,8.417800E-004,1.328000E-004,7.524200E-004,0.000000E+000,5.875500E-004,8.918100E-004,4.651600E-003,1.242300E-003,3.781800E-003
5,N-Butane,1.918800E-003,4.777000E-003,8.752200E-003,4.425500E-002,5.949100E-002,5.971800E-002,5.288600E-002,1.686900E-001,8.854000E-003
5,Isobutane,4.129500E-003,0.000000E+000,0.000000E+000,1.538300E-003,1.078000E-002,7.149700E-002,4.372700E-002,1.035900E-001,0.000000E+000
5,N-Pentane,3.912200E-004,0.000000E+000,0.000000E+000,5.318900E-003,5.403000E-004,0.000000E+000,1.577100E-002,6.651100E-002,2.413900E-003
5,Isopentane,7.516300E-003,1.769400E-002,1.985800E-002,0.000000E+000,2.559600E-002,5.155700E-002,1.368400E-001,7.806600E-002,2.211300E-002
5,2-Methyl pentane,7.561500E-003,6.995000E-003,1.829600E-002,5.184500E-003,3.806400E-003,7.083400E-002,1.798300E-001,3.237300E-002,4.288100E-003
5,Butene,4.198200E-004,8.420000E-003,1.351000E-002,2.081500E-002,2.236100E-002,3.105200E-002,4.852600E-002,6.336900E-002,5.085600E-003
5,Propylene,0.000000E+000,0.000000E+000,0.000000E+000,9.633100E-002,8.904600E-002,4.334600E-002,0.000000E+000,1.278200E-001,4.472700E-002
5,cis-2-Pentene,0.000000E+000,9.282100E-004,3.614300E-004,1.091300E-003,0.000000E+000,3.736600E-004,4.446100E-003,2.329400E-003,0.000000E+000
5,Isoprene,1.274400E-002,3.297800E-001,5.068500E-002,9.134800E-003,1.845400E-002,1.749000E-002,7.737100E-002,2.698900E-002,2.448600E-002
5,alpha-Pinene,2.170300E-003,6.021700E-002,9.570700E-003,1.069100E-002,4.620800E-003,5.423300E-003,1.338000E-002,6.125000E-003,9.594200E-003
5,MVK,4.631000E-003,1.525300E-001,3.136200E-002,0.000000E+000,8.742100E-003,1.229400E-002,3.915800E-002,1.616600E-002,6.195800E-003
5,Benzene,0.000000E+000,1.055900E-003,0.000000E+000,1.874300E-002,1.034000E-003,2.802000E-002,1.699600E-001,2.104700E-002,8.203300E-003
5,Toluene,1.101800E-002,2.124100E-002,8.231500E-003,5.161000E-003,1.732300E-002,1.256700E-002,1.151600E-001,3.459200E-002,1.090200E-001
5,Ethylbenzene,1.949400E-003,3.531800E-003,1.113600E-003,7.941200E-004,2.699300E-003,2.958000E-003,1.602300E-002,5.441700E-003,1.807200E-002
5,Propylbenzene,3.858800E-004,1.025600E-003,9.116900E-005,0.000000E+000,8.436700E-004,9.888700E-004,3.673100E-003,1.326600E-003,3.458000E-003
5,m_p-Xylene,2.065200E-003,6.112800E-003,0.000000E+000,2.098800E-003,8.899200E-003,4.277500E-004,8.115600E-003,8.510000E-003,2.658900E-002
5,o-Xylene,1.890900E-003,4.056700E-003,7.314600E-004,6.468400E-004,3.501900E-003,2.450300E-003,1.106700E-002,4.606100E-003,1.979500E-002
5,p-Isopropyl Toluene,5.351100E-004,4.011300E-003,2.778500E-003,1.235900E-004,7.076000E-004,2.180300E-003,8.440500E-003,8.055900E-004,0.000000E+000
5,Naphthalene,1.224800E-003,3.309900E-003,9.121800E-004,0.000000E+000,0.000000E+000,3.603400E-003,4.516300E-003,0.000000E+000,5.298500E-003
5,Methanol,7.246100E+001,2.152800E+000,1.159200E+000,3.697700E+000,5.603000E-001,1.354600E+000,1.698100E+000,0.000000E+000,1.144800E+000
5,Ethanol,0.000000E+000,1.721500E-001,4.668100E+000,2.254900E-001,0.000000E+000,1.045400E-001,1.508800E-001,5.640800E-002,1.327700E-002
5,Phenol,1.505500E-003,1.238800E-001,0.000000E+000,6.120000E-002,2.757000E-002,0.000000E+000,1.315500E-001,0.000000E+000,6.887200E-004
5,Isovaleraldehyde,1.683500E-005,9.066900E-003,5.251900E-003,2.707300E-002,7.602700E-003,0.000000E+000,3.734900E-003,0.000000E+000,9.783400E-003
5,Hexaldehyde,0.000000E+000,2.376600E-002,1.023100E-002,7.520000E-002,2.233500E-002,0.000000E+000,0.000000E+000,0.000000E+000,2.124000E-002
5,m_p-Tolualdehyde,4.236700E-005,3.039900E-004,7.035800E-005,0.000000E+000,1.104300E-004,3.105000E-004,0.000000E+000,6.766300E-005,4.791100E-004
5,Phenylacetaldehyde,4.313100E-004,3.361900E-002,0.000000E+000,5.954700E-002,1.351700E-002,0.000000E+000,5.116900E-002,2.369300E-003,0.000000E+000
5,Cyclohexanone,8.940300E-005,2.154000E-004,2.918600E-004,2.984500E-004,1.203500E-004,3.339800E-004,0.000000E+000,0.000000E+000,7.270600E-004
5,Methyl acetate,5.728700E-003,0.000000E+000,1.035800E-002,7.242300E-003,2.468000E-003,3.011100E-002,1.334200E-001,1.349800E-002,1.815000E-002
5,n-Butyl acetate,5.636200E-003,0.000000E+000,8.061600E-003,1.056800E-003,4.896700E-004,0.000000E+000,5.694300E-002,1.939300E-002,4.950500E-002
5,D5-Siloxane,3.227900E-003,1.116400E-003,1.265500E-002,0.000000E+000,1.321400E-002,4.506400E-002,1.934900E-002,1.662300E-002,2.444900E-003

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
5,Dichloromethane,4.146149E+000,6.521230E+000,6.466007E-003,1.970591E+001,2.978776E+000,8.930166E+000,4.448356E+001,7.608329E+000,5.619410E+000
5,Chloroform,2.322010E+000,1.078036E+000,5.711561E+000,1.675389E+001,2.904663E+000,1.130352E+001,5.141716E+001,6.226620E+000,2.282541E+000
5,Trichlorofluoromethane,1.943468E+000,1.578298E+001,3.049457E-003,2.753184E+001,1.223411E+000,2.496365E+000,4.705098E+001,2.681902E+000,1.286013E+000
5,Dichlorodifluoromethane,2.150117E+000,1.055048E+001,4.950753E-001,4.252129E+001,2.198397E+000,1.419455E+001,1.914880E+001,5.537099E+000,3.204192E+000
