**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 5

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00518,  0.00440,  0.00514,  0.00523,  0.00550,  0.00579,  0.00528,  0.00029,  0.05573,  0.05685
Chloroform,  0.00060,  0.00045,  0.00060,  0.00062,  0.00065,  0.00076,  0.00062,  0.00007,  0.10508,  0.10875
Trichlorofluoromethane,  0.00497,  0.00479,  0.00498,  0.00608,  0.00760,  0.00911,  0.00631,  0.00148,  0.23496,  0.29850
Dichlorodifluoromethane,  0.00862,  0.00862,  0.00876,  0.00904,  0.01100,  0.01571,  0.01012,  0.00206,  0.20312,  0.23858
Carbon Tetrachloride,  0.00089,  0.00086,  0.00090,  0.00121,  0.00173,  0.00217,  0.00129,  0.00042,  0.32784,  0.47209
1_1_2-Trichlorotrifluoroethane,  0.00119,  0.00116,  0.00119,  0.00162,  0.00218,  0.00252,  0.00166,  0.00048,  0.28619,  0.39992
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00031,  0.00030,  0.00031,  0.00037,  0.00047,  0.00062,  0.00040,  0.00010,  0.24766,  0.31939
Tetrachloroethene,  0.00017,  0.00011,  0.00015,  0.00017,  0.00017,  0.00019,  0.00016,  0.00002,  0.13191,  0.12585
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  4.47214,  0.00000
1_4-Dichlorobenzene,  0.00005,  0.00003,  0.00005,  0.00005,  0.00009,  0.00023,  0.00007,  0.00005,  0.68274,  0.95754
PCBTF,  0.00084,  0.00049,  0.00077,  0.00079,  0.00085,  0.00090,  0.00079,  0.00009,  0.11718,  0.10942
N-Butane,  0.00192,  0.00000,  0.00011,  0.00193,  0.00199,  0.00437,  0.00142,  0.00132,  0.92996,  0.68616
Isobutane,  0.00413,  0.00000,  0.00004,  0.00357,  0.00423,  0.00760,  0.00262,  0.00236,  0.90232,  0.57250
N-Pentane,  0.00039,  0.00000,  0.00008,  0.00033,  0.00040,  0.00108,  0.00035,  0.00030,  0.84368,  0.75546
Isopentane,  0.00752,  0.00718,  0.00734,  0.00758,  0.00876,  0.01081,  0.00812,  0.00111,  0.13692,  0.14793
2-Methyl pentane,  0.00756,  0.00596,  0.00656,  0.00758,  0.00775,  0.01133,  0.00759,  0.00118,  0.15612,  0.15663
Butene,  0.00042,  0.00000,  0.00000,  0.00042,  0.00045,  0.00239,  0.00055,  0.00071,  1.29037,  1.69831
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
Isoprene,  0.01274,  0.01126,  0.01279,  0.01802,  0.03734,  0.04644,  0.02355,  0.01265,  0.53742,  0.99292
alpha-Pinene,  0.00217,  0.00190,  0.00218,  0.00312,  0.00660,  0.00840,  0.00416,  0.00234,  0.56195,  1.07798
MVK,  0.00463,  0.00394,  0.00465,  0.00699,  0.01487,  0.01999,  0.00940,  0.00570,  0.60614,  1.23077
Benzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00011,  0.00001,  0.00002,  4.47214,  0.00000
Toluene,  0.01102,  0.00525,  0.01014,  0.01107,  0.01112,  0.01370,  0.01058,  0.00184,  0.17437,  0.16738
Ethylbenzene,  0.00195,  0.00103,  0.00176,  0.00195,  0.00197,  0.00246,  0.00188,  0.00031,  0.16778,  0.16141
Propylbenzene,  0.00039,  0.00028,  0.00036,  0.00039,  0.00039,  0.00053,  0.00038,  0.00006,  0.15316,  0.15222
m_p-Xylene,  0.00207,  0.00119,  0.00196,  0.00207,  0.00210,  0.00298,  0.00203,  0.00041,  0.20200,  0.19813
o-Xylene,  0.00189,  0.00108,  0.00175,  0.00190,  0.00192,  0.00256,  0.00184,  0.00035,  0.18883,  0.18422
p-Isopropyl Toluene,  0.00054,  0.00047,  0.00049,  0.00054,  0.00078,  0.00092,  0.00061,  0.00015,  0.25218,  0.28890
Naphthalene,  0.00122,  0.00107,  0.00122,  0.00123,  0.00127,  0.00182,  0.00132,  0.00022,  0.16532,  0.17852
Methanol, 72.46100, 72.41800, 72.53375, 72.68250, 72.97425, 73.51300, 72.79925,  0.33763,  0.00464,  0.00466
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01165,  0.00058,  0.00260,  4.47214,  0.00000
Phenol,  0.00151,  0.00000,  0.00093,  0.00151,  0.00840,  0.01531,  0.00465,  0.00516,  1.10928,  3.42682
Isovaleraldehyde,  0.00002,  0.00000,  0.00002,  0.00017,  0.00040,  0.00111,  0.00024,  0.00029,  1.17120, 16.97455
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00031,  0.00177,  0.00019,  0.00041,  2.20932,  0.00000
m_p-Tolualdehyde,  0.00004,  0.00003,  0.00003,  0.00004,  0.00006,  0.00009,  0.00005,  0.00002,  0.36456,  0.41442
Phenylacetaldehyde,  0.00043,  0.00031,  0.00044,  0.00127,  0.00293,  0.00400,  0.00170,  0.00140,  0.82336,  3.25021
Cyclohexanone,  0.00009,  0.00007,  0.00009,  0.00009,  0.00010,  0.00015,  0.00010,  0.00002,  0.20509,  0.22231
Methyl acetate,  0.00573,  0.00303,  0.00503,  0.00559,  0.00585,  0.00700,  0.00537,  0.00090,  0.16714,  0.15665
n-Butyl acetate,  0.00564,  0.00057,  0.00482,  0.00537,  0.00566,  0.00649,  0.00495,  0.00131,  0.26480,  0.23274
D5-Siloxane,  0.00323,  0.00152,  0.00288,  0.00327,  0.00381,  0.00663,  0.00345,  0.00145,  0.42025,  0.44880

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00815,  0.00809,  0.00822,  0.01419,  0.02030,  0.03026,  0.01531,  0.00739,  0.48269,  0.90691
