
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,07/10/21,2.119900E+000,3.810200E+000,4.201000E-001,4.594200E+000,1.619300E+000,8.738700E-001,3.296700E-001,1.675900E+000
11,07/11/21,1.107100E+000,1.664300E+000,1.668200E+000,4.620300E+000,4.763600E-001,1.641600E+000,5.326000E-001,3.942500E-001
11,07/12/21,1.989400E+000,4.109500E+000,2.637600E-001,5.176900E+000,1.282700E+000,5.497500E-001,1.626300E+000,1.759000E+000
11,07/13/21,-2.000000E-001,2.341100E+000,9.943200E-001,5.094800E+000,1.407400E-002,1.973600E+000,7.760100E-001,6.887000E-001
11,07/14/21,1.671500E+000,3.682600E+000,-1.907200E-001,-2.000000E-001,5.477200E+000,1.815300E+000,1.327700E+000,1.716600E+000
11,07/15/21,2.670000E+000,3.946200E+000,2.437300E-001,1.580600E+000,1.519800E+000,1.007400E+000,1.154900E+000,1.420500E+000
11,07/16/21,1.612900E+000,3.049800E+000,1.287600E+000,2.129400E+000,1.214900E+000,1.163300E+000,6.760500E-001,1.148000E+000
11,07/17/21,9.291200E-001,2.279000E+000,1.146900E+000,-1.851100E-001,-1.482000E-001,2.304900E+000,5.826800E-001,4.088700E-001
11,07/18/21,-2.000000E-001,1.469500E+000,1.396100E+000,-2.000000E-001,-1.538600E-001,3.336300E+000,4.884300E-001,8.297600E-001
11,07/19/21,2.865200E+000,1.469700E+000,1.629100E+000,-2.000000E-001,-1.951900E-001,1.494600E+000,1.114800E+000,3.589000E-002
11,07/20/21,1.193100E+000,2.616100E+000,6.415100E-001,2.383400E+000,1.042200E+001,-2.000000E-001,8.343800E-001,1.639300E+000
11,07/21/21,9.160700E-001,2.785600E+000,1.026400E+000,3.040700E+000,4.442500E+000,9.090800E-001,6.525000E-001,8.376100E-001
11,07/22/21,2.255100E+000,4.474600E+000,-5.101400E-002,2.788300E+000,3.011600E+000,3.643000E-001,1.514300E+000,1.627100E+000
11,07/23/21,1.285900E+000,3.150400E+000,-2.000000E-001,-1.630500E-001,3.858800E+000,1.437100E+000,1.196500E+000,1.763500E+000
11,07/24/21,1.295200E+000,2.591300E+000,8.619400E-001,-1.501900E-001,-1.261100E-001,1.268900E+000,7.788500E-001,1.185000E+000
11,07/25/21,3.416300E-001,1.959100E+000,1.613600E+000,2.304700E+000,5.424400E-001,6.990900E-001,7.989100E-001,7.655300E-001
11,07/26/21,1.513100E+000,-1.307800E-001,-4.297900E-003,1.080500E+000,-8.932600E-002,3.641200E-001,-2.499800E-003,-1.524500E-002
11,07/27/21,6.335800E-001,2.410700E+000,6.275500E-001,2.702300E+000,2.001200E+000,1.078200E+000,1.663800E-001,1.093600E+000
11,07/28/21,1.352900E+000,2.383000E+000,7.773600E-001,1.493400E+000,2.606100E-001,1.326100E+000,5.666800E-001,1.066400E+000
11,07/29/21,3.215500E+000,7.207500E-001,7.059200E-001,2.079600E+000,6.160000E-001,5.546400E-001,6.221700E-001,2.195900E+000
11,07/30/21,8.635800E-001,2.182200E+000,9.162900E-001,3.775800E+000,6.293000E-001,1.046500E+000,1.606200E-001,4.884600E-001
11,07/31/21,7.233300E-001,2.148300E+000,9.176100E-001,4.497800E+000,1.212200E+000,7.335700E-001,3.580700E-001,1.279700E+000
11,08/01/21,8.416600E-001,8.585800E-001,7.036400E-001,1.358200E+000,2.251800E-001,2.083000E+000,5.495200E-001,1.398800E+000
11,08/02/21,1.691200E-002,1.006900E+000,1.029100E+000,-1.447100E-001,-1.192400E-001,2.875900E+000,-1.825900E-001,6.410200E-001
11,08/03/21,8.153400E-002,1.852600E+000,5.928900E-001,1.560900E+000,-1.852100E-001,2.791800E+000,5.852100E-002,9.593300E-001
11,08/04/21,1.241500E+000,2.956400E+000,-1.010700E-001,1.777200E+000,1.965000E-001,1.958100E+000,4.096800E-001,2.592700E+000
11,08/05/21,1.218100E+000,3.026700E+000,5.972900E-002,1.874400E+000,1.312400E-001,1.686700E+000,9.940200E-001,2.587100E+000
11,08/06/21,1.215000E+000,2.208200E+000,1.245500E-001,-1.466100E-001,-1.090100E-001,2.181600E+000,9.695800E-001,1.848600E+000
11,08/07/21,1.001900E+000,1.696700E+000,9.436700E-001,1.141700E+000,-1.875700E-001,1.757500E+000,8.701000E-001,4.409700E-001
11,08/08/21,3.029100E-001,1.569300E+000,1.191200E+000,2.308100E+000,4.512700E-001,1.058900E+000,6.505400E-001,7.829900E-001
11,08/09/21,2.506900E+000,8.174700E-001,1.384600E+000,1.736100E+000,2.626300E-002,2.767200E-001,4.212600E-001,1.185700E+000
11,08/10/21,1.664600E+000,2.410600E+000,4.386800E-001,1.650700E+000,2.197700E-001,1.197800E+000,9.138500E-001,2.172100E+000
11,08/11/21,-2.000000E-001,6.597300E-001,8.531500E-001,8.879000E-001,1.523200E-001,2.233400E+000,1.150100E+000,-1.525300E-001
11,08/12/21,1.121800E+000,2.850400E+000,4.940300E+000,8.805200E-001,2.591900E-001,1.670000E+000,-2.000000E-001,-1.205300E-001
11,08/13/21,1.071100E-001,2.821300E-001,9.799600E-001,8.014400E-001,1.192600E+001,4.151300E-001,6.043400E-001,-2.000000E-001
11,08/14/21,1.328700E+000,4.226400E-001,7.172900E-001,1.318600E+000,5.562000E+000,1.111500E+000,9.558200E-002,4.908300E-001
11,08/15/21,7.352200E-001,9.770300E-001,-2.000000E-001,6.671200E-001,4.194400E+000,1.619700E+000,4.947900E-001,8.603100E-001
11,08/16/21,1.698900E+000,9.625400E-001,-2.000000E-001,1.274900E+000,1.501100E+000,2.433100E+000,6.515000E-001,2.390400E+000
11,08/17/21,2.610400E+000,2.927900E-001,5.064600E-001,9.310300E-001,2.219400E+000,8.854500E-001,1.119600E+000,4.967600E-001
11,08/18/21,-5.532900E-003,1.097800E-001,1.891200E+000,-6.967100E-002,1.345400E+000,4.156500E-001,-8.686600E-002,-1.655600E-001
11,08/19/21,2.733300E-002,3.105200E-002,1.927700E+000,-7.552100E-002,1.039200E+000,5.383800E-001,-8.571700E-002,-1.541400E-001
11,08/20/21,3.206000E+000,1.971900E+000,1.066000E+000,6.665100E-001,2.559300E+000,-2.000000E-001,7.151000E-001,1.754400E+000
11,08/21/21,5.250600E+000,-2.000000E-001,-2.000000E-001,-5.675100E-002,5.199800E-001,-2.000000E-001,1.420800E+000,3.150600E-002
11,08/22/21,7.861300E-001,1.003900E+000,2.157900E+000,-1.219800E-001,-1.430900E-001,4.228500E-001,6.163200E-002,1.145500E+000
