
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,Dichloromethane,1.026900E-002,5.031700E-002,2.353000E-002,4.716300E-004,5.514200E-003,1.869900E-002,8.805200E-003,7.643800E-003
11,Chloroform,1.232700E-003,1.261900E-002,3.578600E-003,1.067800E-003,6.815700E-004,3.552400E-003,1.630500E-003,1.549500E-003
11,Trichlorofluoromethane,0.000000E+000,9.029300E-002,6.582900E-002,3.632800E-003,8.032200E-003,6.317900E-002,1.611300E-002,6.826900E-003
11,Dichlorodifluoromethane,5.613700E-002,3.601900E-002,1.719300E-001,0.000000E+000,1.519800E-002,6.304000E-002,3.413600E-002,3.104000E-002
11,Carbon Tetrachloride,3.936700E-003,2.200800E-002,2.095500E-002,1.807900E-003,1.944800E-003,1.719400E-002,4.131600E-003,1.146900E-004
11,1_1_2-Trichlorotrifluoroethane,8.016600E-004,2.437300E-002,2.497700E-002,2.393000E-003,2.552000E-003,1.900300E-002,6.200800E-003,0.000000E+000
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,8.021900E-004,2.710200E-003,6.519800E-003,4.941900E-005,5.677700E-004,3.391900E-003,1.369000E-003,1.500700E-003
11,Tetrachloroethene,1.274800E-003,2.392200E-003,3.378200E-004,6.278300E-005,1.543400E-004,4.556700E-004,6.470400E-004,3.793800E-004
11,1_2-Dichlorobenzene,0.000000E+000,3.369500E-004,1.987500E-004,1.337400E-004,1.063600E-005,1.470000E-004,5.059700E-003,6.920100E-005
11,1_4-Dichlorobenzene,1.757500E-004,0.000000E+000,1.381700E-004,0.000000E+000,6.654800E-005,2.212900E-004,5.021300E-003,8.971700E-005
11,PCBTF,3.428400E-003,6.273200E-003,9.879400E-005,2.589200E-004,6.795300E-004,4.289800E-004,9.098700E-004,8.455800E-004
11,N-Butane,1.582000E-002,8.361000E-002,5.658300E-002,6.317400E-003,6.014700E-003,1.524600E-002,5.791100E-002,1.676600E-001
11,Isobutane,2.708200E-003,7.691600E-002,2.043800E-003,0.000000E+000,8.682400E-003,2.050400E-002,1.067300E-003,1.190100E-001
11,N-Pentane,0.000000E+000,1.596200E-002,4.516300E-003,3.149100E-003,0.000000E+000,0.000000E+000,1.482600E-003,5.874200E-002
11,Isopentane,2.705900E-002,1.607200E-001,0.000000E+000,1.081700E-002,1.060000E-002,5.014000E-002,2.522100E-002,7.447500E-002
11,2-Methyl pentane,1.373700E-002,2.166100E-001,0.000000E+000,0.000000E+000,1.316100E-002,5.618000E-002,5.328700E-003,3.168700E-002
11,Butene,1.743300E-002,5.326200E-002,2.474600E-002,1.431300E-002,2.414200E-003,1.810900E-002,2.409800E-002,5.951300E-002
11,Propylene,6.448400E-002,0.000000E+000,9.417300E-002,0.000000E+000,0.000000E+000,0.000000E+000,9.585900E-002,1.497800E-001
11,cis-2-Pentene,0.000000E+000,4.060500E-003,1.059300E-003,2.813900E-004,0.000000E+000,1.891600E-003,0.000000E+000,2.063100E-003
11,Isoprene,4.493000E-002,0.000000E+000,5.087800E-002,7.580500E-002,3.941600E-002,2.901900E-001,1.456500E-002,1.421800E-002
11,alpha-Pinene,1.411300E-002,0.000000E+000,1.925000E-002,1.404700E-002,7.401500E-003,5.142800E-002,5.833900E-003,3.825200E-003
11,MVK,1.882100E-002,0.000000E+000,1.880600E-002,4.559300E-002,1.666000E-002,1.381800E-001,5.220100E-003,1.121800E-002
11,Benzene,1.544500E-002,1.580200E-001,1.963600E-002,0.000000E+000,0.000000E+000,3.920800E-002,9.826500E-003,9.326700E-003
11,Toluene,8.259100E-002,1.497000E-001,1.202200E-002,6.261500E-003,7.832500E-003,2.039800E-002,2.806100E-002,2.112500E-002
11,Ethylbenzene,1.507900E-002,2.165000E-002,1.859300E-003,5.505200E-004,1.495700E-003,3.099900E-003,4.260900E-003,3.748500E-003
11,Propylbenzene,3.008200E-003,4.835100E-003,3.446700E-004,0.000000E+000,3.625600E-004,1.049400E-003,1.116200E-003,9.255100E-004
11,m_p-Xylene,2.208500E-002,1.330200E-002,3.538400E-003,2.954000E-004,1.662600E-003,1.781200E-003,1.112500E-002,6.785400E-003
11,o-Xylene,1.716800E-002,1.636200E-002,1.931500E-003,2.142200E-004,1.463900E-003,2.341800E-003,5.064600E-003,3.099400E-003
11,p-Isopropyl Toluene,8.874200E-004,6.778500E-003,4.220700E-004,2.698000E-003,9.024500E-004,6.416500E-003,5.137700E-004,9.401100E-004
11,Naphthalene,8.377100E-003,4.469900E-003,4.900100E-004,6.260000E-004,1.321800E-003,3.653800E-003,0.000000E+000,0.000000E+000
11,Methanol,1.564600E+000,5.282000E-001,3.744200E+000,3.361900E+000,7.267200E+001,1.670500E+000,9.155900E-001,2.033000E-001
11,Ethanol,8.103400E-002,1.062200E-001,2.305700E-001,4.844800E+000,5.100600E-003,1.888700E-001,9.423600E-002,1.442900E-002
11,Phenol,1.598500E-002,5.919800E-002,7.436900E-002,1.886500E-002,1.039400E-002,1.308900E-001,3.362800E-002,0.000000E+000
11,Methyl acetate,2.311000E-002,1.401700E-001,3.389200E-003,6.753800E-003,5.396500E-003,2.465100E-002,5.382600E-003,1.175000E-002
11,n-Butyl acetate,3.287500E-002,7.617700E-002,2.304700E-003,6.999400E-003,2.460800E-003,0.000000E+000,7.102100E-003,9.374100E-003
11,D5-Siloxane,5.323900E-002,1.369600E-002,0.000000E+000,2.905600E-003,4.536500E-003,1.360100E-002,1.296400E-002,1.619800E-002

Factor Profiles (% of species sum) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
11,Dichloromethane,8.198813E+000,4.017331E+001,1.878645E+001,3.765514E-001,4.402561E+000,1.492936E+001,7.030109E+000,6.102843E+000
11,Chloroform,4.757243E+000,4.869931E+001,1.381055E+001,4.120860E+000,2.630319E+000,1.370944E+001,6.292434E+000,5.979839E+000
