
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Methyl acetate,n-Butyl acetate,D5-Siloxane
11,07/10/21,2.609000E-002,4.786000E-003,-2.271000E-002,5.678000E-004,-2.070000E-002,6.964000E-003,-5.637000E-004,2.953000E-003,-2.850000E-004,8.649000E-003,-1.034000E-003,5.593000E-002,-1.115000E-001,3.142000E-002,-3.964000E-003,-6.611000E-002,3.624000E-002,-9.799000E-003,1.341000E-004,-6.349000E-003,-1.032000E-002,-3.378000E-002,2.007000E-001,-3.669000E-002,-1.076000E-003,-2.914000E-003,-3.158000E-003,-7.559000E-003,7.951000E-004,7.789000E-004,9.970000E-001,-4.007000E-001,2.052000E-001,1.661000E-001,1.065000E-002,7.566000E-003
11,07/11/21,3.074000E-002,1.509000E-002,5.433000E-002,-3.446000E-002,5.260000E-003,1.713000E-002,-1.437000E-004,7.868000E-004,-2.898000E-004,3.359000E-004,-8.705000E-003,-4.982000E-002,5.392000E-002,-3.054000E-003,2.021000E-002,-5.197000E-002,1.164000E-002,-4.810000E-002,-5.443000E-004,-2.427000E-001,-5.415000E-002,-1.419000E-001,4.929000E-001,7.893000E-003,-3.777000E-003,1.075000E-003,2.856000E-003,1.394000E-004,-1.202000E-003,5.936000E-003,2.501000E-001,3.405000E+000,5.718000E-002,1.242000E-001,-2.516000E-002,2.670000E-002
11,07/12/21,-2.134000E-002,9.612000E-003,-6.039000E-003,-5.391000E-002,1.539000E-002,1.022000E-002,6.380000E-004,-3.301000E-003,-3.168000E-004,1.865000E-004,-7.280000E-003,-3.665000E-002,-9.207000E-002,1.407000E-001,1.098000E-001,-2.689000E-002,4.114000E-002,5.131000E-002,3.362000E-003,-6.433000E-002,-1.628000E-002,-7.333000E-002,5.193000E-001,5.459000E-002,2.882000E-003,1.132000E-003,9.966000E-003,4.752000E-003,3.495000E-003,4.115000E-003,1.533000E+000,1.305000E-001,5.493000E-002,1.698000E-001,-6.157000E-002,2.440000E-002
11,07/13/21,6.269000E-002,5.294000E-003,5.400000E-002,-6.854000E-002,1.779000E-002,1.766000E-002,4.782000E-004,1.293000E-003,-3.994000E-004,4.386000E-004,8.192000E-003,2.365000E-002,-3.395000E-002,1.208000E-002,-3.915000E-002,-1.221000E-001,4.006000E-002,-5.428000E-002,9.033000E-003,-1.001000E-001,-2.575000E-002,-7.686000E-002,1.619000E-001,-4.277000E-002,-6.519000E-003,-1.424000E-003,-5.016000E-003,-6.441000E-003,-4.075000E-003,-1.328000E-003,5.715000E-002,-5.016000E-001,1.309000E-001,3.706000E-001,7.137000E-003,4.659000E-002
11,07/14/21,1.982000E-002,6.183000E-003,1.556000E-002,-5.217000E-002,-2.696000E-002,2.424000E-003,2.029000E-003,4.116000E-004,7.437000E-005,-1.385000E-004,-5.543000E-004,-5.853000E-002,-1.778000E-001,3.562000E-002,-1.431000E-001,-2.401000E-001,1.244000E-001,4.604000E-002,7.329000E-003,-7.810000E-002,-1.330000E-002,-1.987000E-002,3.395000E-001,-4.836000E-002,-2.092000E-003,-1.221000E-003,2.935000E-003,-4.322000E-003,1.454000E-002,1.699000E-003,1.845000E+001,-4.391000E-003,2.097000E-001,2.271000E-001,4.754000E-002,2.196000E-003
11,07/15/21,-1.048000E-002,7.328000E-003,1.541000E-002,-2.919000E-002,2.055000E-002,1.618000E-002,-9.799000E-005,-3.194000E-003,-4.275000E-004,4.504000E-004,-9.837000E-003,4.983000E-002,-1.297000E-001,1.708000E-001,2.060000E-001,-5.229000E-002,5.504000E-003,2.418000E-002,2.548000E-004,3.032000E-002,1.514000E-003,7.832000E-003,1.767000E-002,-4.034000E-004,-2.970000E-003,-1.881000E-003,2.819000E-002,6.915000E-003,9.897000E-003,6.750000E-003,7.550000E-001,-1.772000E-001,-1.402000E-001,2.696000E-001,4.299000E-002,-6.667000E-003
11,07/16/21,2.225000E-002,-3.069000E-003,8.931000E-002,-9.681000E-002,1.579000E-002,2.367000E-002,2.146000E-003,-3.114000E-004,-1.188000E-004,1.261000E-004,-5.871000E-003,1.685000E-002,-5.061000E-002,6.508000E-002,5.808000E-003,-8.571000E-002,3.866000E-002,-1.223000E-001,2.356000E-003,-7.780000E-002,-1.821000E-002,-4.804000E-002,6.564000E-001,1.865000E-002,3.233000E-003,5.081000E-004,1.040000E-002,3.276000E-003,5.129000E-004,1.281000E-003,1.204000E+000,5.320000E-003,4.575000E-002,-4.963000E-002,1.439000E-002,1.886000E-002
11,07/17/21,2.738000E-002,5.795000E-003,7.377000E-002,-5.851000E-002,2.740000E-002,2.890000E-002,4.637000E-004,-1.531000E-003,7.762000E-006,4.015000E-005,3.033000E-004,3.721000E-003,-4.117000E-002,5.564000E-002,2.202000E-002,-6.014000E-002,-1.707000E-002,-6.702000E-002,1.129000E-003,-8.446000E-002,-1.276000E-002,-2.928000E-002,1.030000E-001,2.592000E-003,-7.226000E-004,8.760000E-004,-2.156000E-003,-5.178000E-003,1.442000E-003,-8.827000E-004,4.990000E-005,-3.433000E-004,-7.554000E-002,9.377000E-003,-1.016000E-002,2.983000E-002
11,07/18/21,1.702000E-002,8.091000E-003,5.540000E-002,-7.826000E-002,2.881000E-002,2.437000E-002,1.491000E-004,2.216000E-003,2.470000E-004,-1.642000E-004,-6.673000E-004,4.293000E-002,4.481000E-003,-6.007000E-004,-3.367000E-002,-3.898000E-002,6.596000E-002,-2.593000E-001,2.486000E-003,-1.608000E-001,-3.300000E-002,-5.835000E-002,2.006000E-001,-5.545000E-003,-2.808000E-003,-1.663000E-003,-2.756000E-003,-2.707000E-003,-1.181000E-003,-1.087000E-003,8.324000E-005,-2.083000E-004,-4.552000E-002,1.417000E-003,-4.974000E-003,6.959000E-002
11,07/19/21,1.327000E-001,-5.219000E-003,-1.507000E-001,7.175000E-002,-2.364000E-002,-5.022000E-002,3.446000E-003,1.293000E-003,2.830000E-004,-3.788000E-004,1.102000E-002,3.669000E-001,-2.173000E-002,2.350000E-001,-9.026000E-002,2.478000E-002,3.202000E-001,1.725000E-001,3.006000E-003,1.388000E-001,3.290000E-003,9.260000E-002,2.595000E-001,4.353000E-002,5.482000E-003,2.522000E-003,-1.636000E-002,-7.732000E-003,1.051000E-002,-4.274000E-003,6.581000E-005,-1.861000E-003,2.538000E-001,3.297000E-001,2.221000E-002,-1.638000E-002
