**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 11

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.01027,  0.00549,  0.01029,  0.01049,  0.01134,  0.01859,  0.01073,  0.00279,  0.25962,  0.27131
Chloroform,  0.00123,  0.00018,  0.00100,  0.00126,  0.00197,  0.00257,  0.00132,  0.00062,  0.47352,  0.50517
Trichlorofluoromethane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00432,  0.00062,  0.00138,  2.24330,  0.00000
Dichlorodifluoromethane,  0.05614,  0.01105,  0.03012,  0.05548,  0.05752,  0.11162,  0.04906,  0.02301,  0.46905,  0.40988
Carbon Tetrachloride,  0.00394,  0.00069,  0.00394,  0.00403,  0.00477,  0.00636,  0.00409,  0.00110,  0.26853,  0.27904
1_1_2-Trichlorotrifluoroethane,  0.00080,  0.00000,  0.00078,  0.00087,  0.00279,  0.00428,  0.00144,  0.00124,  0.86191,  1.55036
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00080,  0.00051,  0.00079,  0.00082,  0.00100,  0.00257,  0.00092,  0.00042,  0.45566,  0.52399
Tetrachloroethene,  0.00127,  0.00100,  0.00115,  0.00129,  0.00137,  0.00170,  0.00126,  0.00017,  0.13734,  0.13570
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00030,  0.00001,  0.00007,  4.47214,  0.00000
1_4-Dichlorobenzene,  0.00018,  0.00000,  0.00010,  0.00018,  0.00030,  0.00033,  0.00017,  0.00011,  0.61734,  0.61422
PCBTF,  0.00343,  0.00185,  0.00222,  0.00346,  0.00365,  0.00454,  0.00315,  0.00080,  0.25485,  0.23427
N-Butane,  0.01582,  0.01220,  0.01555,  0.01623,  0.06046,  0.09764,  0.03211,  0.02741,  0.85363,  1.73260
Isobutane,  0.00271,  0.00135,  0.00274,  0.00385,  0.06406,  0.08353,  0.02327,  0.03188,  1.37009, 11.77320
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00369,  0.00018,  0.00082,  4.47214,  0.00000
Isopentane,  0.02706,  0.02502,  0.02711,  0.02787,  0.04570,  0.07046,  0.03421,  0.01210,  0.35374,  0.44727
2-Methyl pentane,  0.01374,  0.01005,  0.01346,  0.01413,  0.05617,  0.07713,  0.02753,  0.02314,  0.84066,  1.68484
Butene,  0.01743,  0.01230,  0.01526,  0.01783,  0.03121,  0.04791,  0.02191,  0.01013,  0.46252,  0.58118
Propylene,  0.06448,  0.02907,  0.03366,  0.06545,  0.06589,  0.12412,  0.05895,  0.02348,  0.39825,  0.36406
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00011,  0.00002,  0.00004,  2.06289,  0.00000
Isoprene,  0.04493,  0.00330,  0.02127,  0.04641,  0.05656,  0.07076,  0.04351,  0.02098,  0.48211,  0.46691
alpha-Pinene,  0.01411,  0.00714,  0.00935,  0.01451,  0.01655,  0.02073,  0.01412,  0.00438,  0.31013,  0.31025
MVK,  0.01882,  0.00448,  0.01104,  0.01946,  0.02167,  0.02805,  0.01832,  0.00717,  0.39153,  0.38102
Benzene,  0.01545,  0.00955,  0.01528,  0.01848,  0.02235,  0.04346,  0.01957,  0.00675,  0.34476,  0.43693
Toluene,  0.08259,  0.04303,  0.05936,  0.08342,  0.08849,  0.09933,  0.07546,  0.01860,  0.24655,  0.22527
Ethylbenzene,  0.01508,  0.00820,  0.01084,  0.01523,  0.01611,  0.01764,  0.01378,  0.00322,  0.23358,  0.21340
Propylbenzene,  0.00301,  0.00201,  0.00254,  0.00304,  0.00324,  0.00433,  0.00291,  0.00057,  0.19768,  0.19105
m_p-Xylene,  0.02209,  0.00926,  0.01572,  0.02257,  0.02277,  0.02501,  0.01977,  0.00581,  0.29379,  0.26300
o-Xylene,  0.01717,  0.00845,  0.01187,  0.01734,  0.01844,  0.01901,  0.01547,  0.00399,  0.25761,  0.23216
p-Isopropyl Toluene,  0.00089,  0.00048,  0.00073,  0.00091,  0.00166,  0.00359,  0.00116,  0.00072,  0.62018,  0.80815
Naphthalene,  0.00838,  0.00526,  0.00636,  0.00859,  0.00922,  0.00945,  0.00797,  0.00159,  0.19921,  0.18945
Methanol,  1.56460,  0.00000,  0.86041,  1.68850,  2.28093,  2.76570,  1.56699,  0.83235,  0.53117,  0.53199
Ethanol,  0.08103,  0.00000,  0.00000,  0.08079,  0.14836,  0.23364,  0.08327,  0.08885,  1.06702,  1.09649
Phenol,  0.01599,  0.00000,  0.00154,  0.01642,  0.03376,  0.03762,  0.01828,  0.01430,  0.78228,  0.89470
Methyl acetate,  0.02311,  0.01327,  0.01878,  0.02361,  0.02874,  0.04620,  0.02391,  0.00742,  0.31020,  0.32089
n-Butyl acetate,  0.03288,  0.01042,  0.01961,  0.03319,  0.03546,  0.03857,  0.02845,  0.01027,  0.36098,  0.31242
D5-Siloxane,  0.05324,  0.04268,  0.04440,  0.04937,  0.05446,  0.06361,  0.05012,  0.00543,  0.10826,  0.10191

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.05032,  0.02795,  0.03851,  0.04213,  0.05028,  0.05037,  0.04238,  0.00707,  0.16689,  0.14057
Chloroform,  0.01262,  0.01036,  0.01149,  0.01210,  0.01262,  0.01264,  0.01194,  0.00076,  0.06342,  0.06001
Trichlorofluoromethane,  0.09029,  0.05875,  0.07412,  0.08288,  0.08987,  0.09029,  0.07958,  0.01045,  0.13129,  0.11572
Dichlorodifluoromethane,  0.03602,  0.00000,  0.00000,  0.00716,  0.03472,  0.03615,  0.01457,  0.01566,  1.07481,  0.43470
Carbon Tetrachloride,  0.02201,  0.01201,  0.01724,  0.01883,  0.02185,  0.02201,  0.01901,  0.00269,  0.14159,  0.12232
1_1_2-Trichlorotrifluoroethane,  0.02437,  0.01171,  0.01957,  0.02103,  0.02415,  0.02437,  0.02102,  0.00325,  0.15436,  0.13315
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00271,  0.00000,  0.00000,  0.00130,  0.00266,  0.00271,  0.00143,  0.00114,  0.79469,  0.42011
Tetrachloroethene,  0.00239,  0.00151,  0.00171,  0.00211,  0.00240,  0.00241,  0.00207,  0.00034,  0.16641,  0.14382
1_2-Dichlorobenzene,  0.00034,  0.00000,  0.00032,  0.00034,  0.00034,  0.00063,  0.00034,  0.00018,  0.53037,  0.53332
1_4-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00023,  0.00004,  0.00009,  2.09107,  0.00000
PCBTF,  0.00627,  0.00318,  0.00449,  0.00533,  0.00630,  0.00646,  0.00529,  0.00105,  0.19859,  0.16748
N-Butane,  0.08361,  0.04579,  0.05765,  0.07080,  0.08422,  0.12698,  0.07301,  0.01958,  0.26813,  0.23413
Isobutane,  0.07692,  0.06749,  0.07687,  0.07802,  0.13038,  0.13631,  0.09434,  0.02549,  0.27016,  0.33136
N-Pentane,  0.01596,  0.00000,  0.01554,  0.01624,  0.02733,  0.05833,  0.02079,  0.01694,  0.81490,  1.06154
Isopentane,  0.16072,  0.14361,  0.16167,  0.16335,  0.17858,  0.20005,  0.16887,  0.01331,  0.07881,  0.08280
2-Methyl pentane,  0.21661,  0.16791,  0.19825,  0.21734,  0.23022,  0.24545,  0.21383,  0.02052,  0.09594,  0.09471
Butene,  0.05326,  0.04208,  0.04829,  0.04955,  0.05349,  0.06856,  0.05023,  0.00599,  0.11922,  0.11243
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04686,  0.00410,  0.01277,  3.11256,  0.00000
cis-2-Pentene,  0.00406,  0.00308,  0.00384,  0.00407,  0.00434,  0.00483,  0.00400,  0.00045,  0.11245,  0.11080
Isoprene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00386,  0.02599,  0.00556,  0.01028,  1.84945,  0.00000
alpha-Pinene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00032,  0.00004,  0.00010,  2.61550,  0.00000
MVK,  0.00000,  0.00000,  0.00000,  0.00943,  0.01698,  0.02261,  0.00953,  0.00926,  0.97176,  0.00000
Benzene,  0.15802,  0.09979,  0.11873,  0.14811,  0.15816,  0.15846,  0.14002,  0.01900,  0.13569,  0.12024
Toluene,  0.14970,  0.07880,  0.09571,  0.12807,  0.15030,  0.15849,  0.12324,  0.02741,  0.22240,  0.18309
Ethylbenzene,  0.02165,  0.01122,  0.01283,  0.01810,  0.02175,  0.02306,  0.01747,  0.00438,  0.25058,  0.20217
Propylbenzene,  0.00484,  0.00280,  0.00300,  0.00419,  0.00486,  0.00507,  0.00400,  0.00091,  0.22749,  0.18832
m_p-Xylene,  0.01330,  0.00000,  0.00081,  0.00667,  0.01341,  0.01762,  0.00725,  0.00617,  0.85059,  0.46351
o-Xylene,  0.01636,  0.00602,  0.00707,  0.01233,  0.01646,  0.01812,  0.01198,  0.00449,  0.37509,  0.27457
p-Isopropyl Toluene,  0.00678,  0.00440,  0.00680,  0.00723,  0.00856,  0.00912,  0.00734,  0.00128,  0.17486,  0.18927
Naphthalene,  0.00447,  0.00086,  0.00254,  0.00450,  0.00492,  0.00546,  0.00393,  0.00131,  0.33248,  0.29213
Methanol,  0.52820,  0.00000,  0.00000,  0.93617,  1.39680,  2.52120,  0.90482,  0.84262,  0.93126,  1.59527
Ethanol,  0.10622,  0.00000,  0.00000,  0.00000,  0.10471,  0.20692,  0.04720,  0.06320,  1.33905,  0.59502
Phenol,  0.05920,  0.01535,  0.02871,  0.05820,  0.05916,  0.06331,  0.04561,  0.01732,  0.37974,  0.29258
Methyl acetate,  0.14017,  0.11202,  0.13781,  0.14043,  0.14240,  0.15399,  0.13786,  0.01033,  0.07491,  0.07368
n-Butyl acetate,  0.07618,  0.02674,  0.05458,  0.06978,  0.07648,  0.08048,  0.06332,  0.01575,  0.24879,  0.20679
D5-Siloxane,  0.01370,  0.00000,  0.01404,  0.02234,  0.02751,  0.03466,  0.02016,  0.01000,  0.49623,  0.73029

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.02353,  0.00813,  0.00885,  0.02038,  0.02348,  0.02353,  0.01719,  0.00653,  0.37963,  0.27741
Chloroform,  0.00358,  0.00054,  0.00183,  0.00281,  0.00358,  0.00359,  0.00245,  0.00118,  0.47929,  0.32851
Trichlorofluoromethane,  0.06583,  0.00662,  0.01567,  0.02504,  0.06568,  0.06583,  0.03426,  0.02499,  0.72938,  0.37959
Dichlorodifluoromethane,  0.17193,  0.00000,  0.00044,  0.01796,  0.17169,  0.17193,  0.06893,  0.07912,  1.14780,  0.46017
Carbon Tetrachloride,  0.02096,  0.00000,  0.00089,  0.00302,  0.02092,  0.02096,  0.00889,  0.00924,  1.03946,  0.44093
1_1_2-Trichlorotrifluoroethane,  0.02498,  0.00000,  0.00000,  0.00134,  0.02492,  0.02498,  0.00998,  0.01175,  1.17709,  0.47039
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00652,  0.00008,  0.00046,  0.00223,  0.00650,  0.00652,  0.00317,  0.00267,  0.84092,  0.40891
Tetrachloroethene,  0.00034,  0.00025,  0.00034,  0.00054,  0.00115,  0.00127,  0.00070,  0.00039,  0.55078,  1.14699
1_2-Dichlorobenzene,  0.00020,  0.00000,  0.00000,  0.00016,  0.00020,  0.00461,  0.00057,  0.00134,  2.35717,  6.75314
1_4-Dichlorobenzene,  0.00014,  0.00000,  0.00003,  0.00012,  0.00014,  0.00233,  0.00021,  0.00050,  2.37325,  3.64697
PCBTF,  0.00010,  0.00010,  0.00010,  0.00186,  0.00353,  0.00400,  0.00186,  0.00166,  0.89506, 16.83013
N-Butane,  0.05658,  0.00861,  0.02231,  0.05664,  0.09270,  0.13933,  0.06178,  0.04012,  0.64947,  0.70913
Isobutane,  0.00204,  0.00000,  0.00000,  0.00000,  0.00198,  0.00204,  0.00071,  0.00097,  1.35322,  0.47285
N-Pentane,  0.00452,  0.00000,  0.00274,  0.00453,  0.05511,  0.06592,  0.02078,  0.02605,  1.25363,  5.76763
Isopentane,  0.00000,  0.00000,  0.00000,  0.02514,  0.04291,  0.04892,  0.02138,  0.01925,  0.90041,  0.00000
2-Methyl pentane,  0.00000,  0.00000,  0.00000,  0.00451,  0.02234,  0.05075,  0.01132,  0.01526,  1.34824,  0.00000
Butene,  0.02475,  0.00663,  0.01271,  0.02476,  0.03892,  0.05215,  0.02579,  0.01424,  0.55220,  0.57561
Propylene,  0.09417,  0.00000,  0.01849,  0.07515,  0.09419,  0.10706,  0.06210,  0.04018,  0.64699,  0.42667
cis-2-Pentene,  0.00106,  0.00000,  0.00000,  0.00106,  0.00173,  0.00183,  0.00097,  0.00072,  0.74290,  0.67719
Isoprene,  0.05088,  0.01508,  0.01738,  0.04815,  0.04931,  0.05088,  0.03769,  0.01514,  0.40172,  0.29758
alpha-Pinene,  0.01925,  0.00000,  0.00000,  0.01384,  0.01897,  0.01925,  0.01114,  0.00803,  0.72062,  0.41689
MVK,  0.01881,  0.00645,  0.00774,  0.01803,  0.01839,  0.02116,  0.01458,  0.00533,  0.36543,  0.28328
Benzene,  0.01964,  0.00000,  0.01980,  0.01993,  0.03355,  0.06742,  0.02784,  0.01789,  0.64268,  0.91130
Toluene,  0.01202,  0.01182,  0.01225,  0.05596,  0.08997,  0.11364,  0.05528,  0.04195,  0.75882,  3.48926
Ethylbenzene,  0.00186,  0.00167,  0.00189,  0.00836,  0.01354,  0.01895,  0.00868,  0.00685,  0.78837,  3.68243
Propylbenzene,  0.00034,  0.00029,  0.00035,  0.00162,  0.00257,  0.00376,  0.00167,  0.00135,  0.80397,  3.90495
m_p-Xylene,  0.00354,  0.00354,  0.00357,  0.01686,  0.01792,  0.02915,  0.01386,  0.00985,  0.71044,  2.78293
o-Xylene,  0.00193,  0.00193,  0.00196,  0.00864,  0.01403,  0.02094,  0.00906,  0.00739,  0.81518,  3.82386
p-Isopropyl Toluene,  0.00042,  0.00000,  0.00000,  0.00010,  0.00040,  0.00129,  0.00025,  0.00033,  1.32168,  0.77679
Naphthalene,  0.00049,  0.00000,  0.00000,  0.00048,  0.00122,  0.00555,  0.00137,  0.00215,  1.57216,  4.38165
Methanol,  3.74420,  0.00000,  0.44417,  1.47395,  2.57895,  3.74420,  1.56924,  1.11941,  0.71334,  0.29897
Ethanol,  0.23057,  0.00000,  0.05115,  0.23084,  0.23405,  0.34027,  0.18461,  0.11467,  0.62116,  0.49734
Phenol,  0.07437,  0.00603,  0.02039,  0.03602,  0.07381,  0.07437,  0.04354,  0.02619,  0.60151,  0.35217
