
Factor Contributions (avg = 1) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,07/10/21,2.235600E+000,1.705500E+000,4.515900E-001,5.819700E-001,4.478200E+000,1.790600E+000,1.356100E+000,8.393600E-001,3.901700E+000,8.681300E-001
11,07/11/21,8.095200E-001,4.144100E-001,8.590200E-001,2.268200E+000,5.160000E+000,6.399400E-001,1.521100E+000,2.035600E-001,1.755200E+000,1.029800E+000
11,07/12/21,2.516300E+000,2.585400E+000,1.913200E+000,1.344400E-001,5.127300E+000,1.460700E+000,8.138700E-001,6.590500E-001,4.275800E+000,7.640300E-002
11,07/13/21,-1.961300E-001,7.654000E-001,1.172000E+000,1.397000E+000,4.725100E+000,1.719000E-001,1.862200E+000,2.414100E-001,2.959600E+000,-2.000000E-001
11,07/14/21,2.186600E+000,1.502000E+000,1.724500E+000,3.265800E-001,-2.000000E-001,5.553100E+000,7.663500E-001,4.691200E-001,4.028100E+000,9.345700E-001
11,07/15/21,3.286300E+000,1.948100E+000,1.383800E+000,5.533200E-001,1.556900E+000,1.572400E+000,8.011100E-001,4.802700E-001,3.979900E+000,8.991400E-001
11,07/16/21,2.006500E+000,1.567300E+000,1.064800E+000,1.531600E+000,2.158600E+000,1.297800E+000,1.092700E+000,2.086200E-001,3.154700E+000,5.194700E-001
11,07/17/21,9.374500E-001,6.201200E-001,8.844200E-001,1.922800E+000,-5.418400E-002,-1.614500E-001,1.590500E+000,1.815300E-001,2.709800E+000,5.013900E-001
11,07/18/21,-2.000000E-001,5.151000E-001,8.715900E-001,2.259700E+000,-3.127600E-002,-2.000000E-001,2.173800E+000,1.311400E-001,1.943900E+000,1.445100E+000
11,07/19/21,2.631700E+000,9.888500E-001,1.360500E+000,1.507900E+000,-1.168300E-001,-1.940000E-001,1.668500E+000,5.204900E-001,1.218300E+000,2.028000E+000
11,07/20/21,2.299500E+000,2.727800E+000,1.178100E+000,-2.000000E-001,2.155700E+000,1.067500E+001,-2.000000E-001,2.212000E-001,2.463700E+000,-2.000000E-001
11,07/21/21,1.485300E+000,1.154400E+000,1.060000E+000,9.657300E-001,2.816700E+000,4.534400E+000,1.108600E+000,1.499200E-001,2.787500E+000,1.544300E-001
11,07/22/21,3.542300E+000,2.640300E+000,1.779600E+000,-2.000000E-001,2.577000E+000,3.088600E+000,4.378100E-001,6.017600E-001,4.258600E+000,3.177700E-001
11,07/23/21,2.068600E+000,1.521800E+000,1.427900E+000,8.488900E-002,-1.654600E-001,3.771300E+000,6.880400E-001,4.578200E-001,3.328200E+000,1.067000E+000
11,07/24/21,1.943700E+000,1.392100E+000,1.037000E+000,1.118600E+000,-8.596800E-002,-1.304300E-001,9.458000E-001,3.048000E-001,2.630400E+000,7.211800E-001
11,07/25/21,6.323100E-001,7.064800E-001,1.122200E+000,1.634400E+000,2.316500E+000,6.296100E-001,6.260700E-001,3.355000E-001,1.978400E+000,9.989500E-001
11,07/26/21,1.358900E+000,3.799200E-002,5.104500E-002,4.860600E-002,1.048000E+000,-5.638600E-002,9.626300E-001,-3.721600E-002,-2.000000E-001,1.611000E-001
11,07/27/21,1.065500E+000,1.049300E+000,5.829500E-001,9.031900E-001,2.583700E+000,2.044500E+000,1.057000E+000,-8.385000E-002,2.489500E+000,2.898500E-001
11,07/28/21,2.207300E+000,1.245200E+000,8.613100E-001,1.010900E+000,1.468000E+000,2.951100E-001,1.503100E+000,1.759200E-001,2.235300E+000,5.561600E-001
11,07/29/21,3.465800E+000,2.358600E+000,8.367800E-001,3.683000E-001,1.905500E+000,6.702400E-001,1.536700E+000,2.820000E-001,3.147900E-001,1.455900E+000
11,07/30/21,1.491800E+000,6.953100E-001,5.910900E-001,9.780300E-001,3.378500E+000,7.331700E-001,1.848500E+000,-8.323600E-002,1.947800E+000,1.982700E-001
11,07/31/21,1.133400E+000,1.666300E+000,7.205400E-001,6.613900E-001,4.113800E+000,1.353900E+000,1.389100E+000,3.533200E-002,2.196700E+000,-1.581800E-001
11,08/01/21,7.809700E-001,1.678500E+000,7.738800E-001,9.561400E-001,1.388100E+000,2.282400E-001,1.926300E+000,1.995600E-001,1.020500E+000,9.460200E-001
11,08/02/21,2.556700E-001,5.139900E-001,7.437900E-002,1.582500E+000,1.015500E-002,-1.751000E-001,2.849600E+000,-2.000000E-001,1.201700E+000,3.416100E-001
11,08/03/21,3.146000E+000,1.351100E+000,4.154300E-001,8.249200E-001,1.531500E+000,-2.000000E-001,3.126200E+000,-1.435500E-001,1.727700E+000,-2.000000E-001
11,08/04/21,2.162300E+000,2.613900E+000,7.640900E-001,-1.262000E-002,1.722400E+000,2.057800E-001,2.100800E+000,3.416000E-002,3.053800E+000,6.472000E-001
11,08/05/21,2.419400E+000,2.540200E+000,1.447700E+000,-4.323900E-002,1.762200E+000,1.373200E-001,1.928500E+000,3.150800E-001,3.020700E+000,6.631700E-001
11,08/06/21,1.515900E+000,1.441500E+000,1.241300E+000,4.955800E-001,-8.450000E-002,-1.644900E-001,1.669300E+000,3.847000E-001,2.383700E+000,1.745500E+000
11,08/07/21,9.652000E-001,2.422600E-001,1.126100E+000,1.486300E+000,1.176900E+000,-1.625200E-001,1.354700E+000,3.675300E-001,1.747300E+000,1.486800E+000
11,08/08/21,4.382200E-001,7.998300E-001,9.171700E-001,1.329500E+000,2.309800E+000,5.279000E-001,9.173700E-001,2.544100E-001,1.737200E+000,6.252000E-001
11,08/09/21,2.590000E+000,1.234400E+000,7.092100E-001,1.159400E+000,1.674300E+000,1.033500E-001,9.040500E-001,2.016000E-001,1.594800E-001,2.602900E+000
11,08/10/21,2.407400E+000,2.276600E+000,1.178200E+000,3.239500E-001,1.567800E+000,2.481300E-001,1.443200E+000,3.650500E-001,2.305800E+000,1.054600E+000
11,08/11/21,-2.000000E-001,-2.000000E-001,1.220700E+000,1.446400E+000,8.889900E-001,1.227200E-001,1.988600E+000,5.216800E-001,8.601000E-001,7.581800E-002
11,08/12/21,1.507100E+000,1.580200E-001,4.161700E-001,5.624300E+000,1.098000E+000,3.679900E-001,1.534500E+000,-2.000000E-001,2.203900E+000,2.813700E+000
11,08/13/21,-2.000000E-001,-1.637200E-001,1.034400E+000,7.933400E-001,6.968200E-001,1.055900E+001,5.153200E-003,1.454500E-001,3.424600E-001,9.489000E-001
11,08/14/21,9.172800E-001,5.463100E-001,3.064400E-001,7.329800E-001,1.277200E+000,5.707300E+000,1.161500E+000,-5.422400E-002,4.618300E-001,1.124300E+000
11,08/15/21,4.322700E-001,5.005500E-001,8.382900E-001,6.697500E-002,6.494700E-001,4.033400E+000,8.997100E-001,1.214700E-001,1.018400E+000,2.635600E+000
11,08/16/21,1.115000E+000,1.640500E+000,9.626100E-001,-2.000000E-001,1.262700E+000,1.408000E+000,2.305900E+000,2.130900E-001,1.081100E+000,3.975100E+000
11,08/17/21,2.127000E+000,5.598000E-001,1.262700E+000,4.693100E-001,8.829700E-001,2.147200E+000,9.145300E-001,5.562700E-001,-2.000000E-001,3.421400E+000
11,08/18/21,1.145200E-002,-1.942200E-002,2.568900E-002,1.953900E+000,9.187100E-003,1.342700E+000,4.648800E-001,-4.838400E-002,7.229300E-002,4.986000E-002
11,08/19/21,-8.842000E-002,-3.795600E-002,2.381100E-002,2.220700E+000,1.225800E-002,1.079500E+000,3.473200E-001,-3.661600E-002,1.053400E-001,7.793900E-002
11,08/20/21,3.402300E+000,1.498300E+000,1.013400E+000,1.031000E+000,6.311200E-001,2.587900E+000,-2.000000E-001,3.303500E-001,1.394600E+000,3.178100E+000
11,08/21/21,3.652300E+000,-2.000000E-001,1.583200E+000,-2.000000E-001,-1.313400E-001,5.628800E-001,8.060600E-002,7.694100E-001,9.583500E-002,1.473800E-001
11,08/22/21,1.014800E+000,1.039800E+000,3.831800E-001,2.239300E+000,-3.469000E-002,-1.111000E-001,3.054100E-001,3.065600E-002,6.613500E-001,2.163800E+000
11,08/23/21,1.261100E+000,9.079000E-001,6.861400E-001,1.739600E+000,8.766000E-001,3.636100E-001,3.330000E-001,2.240000E-001,1.137800E+000,1.949000E+000
11,08/24/21,1.727000E+000,3.466000E-001,1.047600E+000,1.818400E+000,-1.140500E-001,7.148500E-001,8.790900E-001,3.828200E-001,8.837300E-001,2.845500E+000
11,08/25/21,2.172700E+000,8.777100E-001,1.132700E+000,1.159200E+000,-1.215900E-001,-1.784900E-001,1.810900E+000,3.738700E-001,1.462100E+000,1.721500E+000
11,08/26/21,6.795700E-001,-1.807800E-002,8.659600E-001,1.844400E+000,-8.458200E-002,1.408300E+000,2.180300E+000,4.930000E-001,7.607200E-001,1.021400E+000
11,08/27/21,4.484600E-001,5.549700E-001,6.845200E-002,1.211100E+000,1.807100E+000,-1.714000E-001,2.523200E+000,-1.911000E-001,1.173700E+000,1.348000E+000
11,08/28/21,4.824300E-001,7.899700E-001,7.088000E-001,5.881100E-001,2.175500E+000,1.789700E-001,2.981800E+000,4.030000E-002,1.507600E+000,2.019300E+000
11,08/29/21,1.772800E-001,1.296000E-001,8.709200E-001,1.113600E+000,1.864600E+000,4.218100E-001,2.449000E+000,1.447500E-001,1.123900E+000,1.627200E+000
11,08/30/21,-5.679800E-002,2.631800E-002,2.627200E-002,-2.000000E-001,3.690700E-002,-4.542100E-002,1.101000E+000,-4.932300E-002,-5.142200E-002,6.377800E-003
11,08/31/21,3.179500E+000,1.667900E+000,7.980000E-001,3.565100E-001,1.670500E+000,7.263100E-001,2.707900E-001,1.908200E-001,1.797100E+000,3.184500E+000
11,09/01/21,9.807000E-001,5.700000E-001,1.248400E+000,1.848000E+000,1.472700E+000,-1.162700E-001,5.851500E-002,6.570600E-001,8.850300E-001,1.181300E+000
11,09/02/21,2.261900E+000,9.752600E-001,2.485500E-001,1.447000E+000,2.397500E+000,4.350300E-001,2.835300E-001,-8.457300E-002,1.074600E+000,2.689900E+000
11,09/03/21,4.491100E-001,3.079000E-001,7.821200E-001,9.192600E-001,1.861900E+000,6.591300E-001,9.668100E-001,1.904700E-001,1.093500E+000,1.736600E+000
11,09/04/21,-4.810400E-002,2.417200E-002,2.423700E-002,-1.922000E-001,3.673400E-002,-4.049300E-002,9.886400E-001,-4.385700E-002,-4.536800E-002,4.435400E-003
11,09/05/21,-2.000000E-001,-1.657900E-001,5.744100E-001,1.377500E+000,1.142200E+000,1.237000E-001,2.242600E+000,9.244700E-002,4.148600E-001,6.327900E-001
11,09/06/21,8.401900E-001,1.058200E+000,4.886300E-001,6.569500E-001,1.995500E+000,3.208000E-001,1.965200E+000,1.450700E-003,1.127300E+000,2.741100E+000
11,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/08/21,2.345500E+000,1.958800E+000,1.214900E+000,-2.000000E-001,1.584000E+000,2.691400E-001,1.658700E+000,3.213000E-001,2.089600E+000,2.313500E+000
11,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
11,09/11/21,5.215600E-001,-2.000000E-001,-2.000000E-001,1.216200E+000,2.207800E+000,3.313900E-001,2.485600E+000,5.214000E-001,6.069600E-001,1.283800E+000
