
Factor Profiles (conc. of species) from Base Run #11 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10
11,Dichloromethane,8.226500E-003,8.972700E-003,9.715000E-003,2.487700E-002,7.738700E-004,6.199100E-003,6.840600E-003,3.748300E-003,4.676300E-002,8.630900E-003
11,Chloroform,9.154700E-004,1.052100E-003,1.732400E-003,4.285200E-003,1.609200E-003,6.177200E-004,1.286700E-004,7.853700E-004,1.293000E-002,1.970200E-003
11,Trichlorofluoromethane,1.353700E-003,1.160800E-002,3.672600E-002,6.753100E-002,0.000000E+000,1.062500E-002,3.758300E-002,0.000000E+000,9.036800E-002,0.000000E+000
11,Dichlorodifluoromethane,1.790700E-002,7.769200E-002,3.705000E-002,1.687600E-001,3.676200E-003,1.907800E-002,2.963400E-002,9.261000E-003,0.000000E+000,4.465700E-002
11,Carbon Tetrachloride,3.727300E-003,2.488500E-003,3.740400E-003,2.492000E-002,1.216600E-003,2.736100E-003,8.651300E-003,1.964300E-003,2.114800E-002,1.707900E-003
11,1_1_2-Trichlorotrifluoroethane,0.000000E+000,2.775600E-003,1.101600E-002,2.619200E-002,2.005800E-003,3.292200E-003,9.519300E-003,7.655600E-004,2.241700E-002,2.366000E-003
11,1_2-Dichloro-1_1_2_2-tetrafluoroethane,2.798000E-004,3.110400E-003,2.406100E-003,6.448800E-003,0.000000E+000,7.624200E-004,1.851500E-003,4.993700E-005,1.530700E-003,4.878000E-004
11,Tetrachloroethene,1.109000E-003,6.259200E-005,4.663600E-004,1.950000E-004,1.715600E-004,1.408200E-004,1.652300E-004,4.397300E-004,2.102000E-003,8.594800E-004
11,1_2-Dichlorobenzene,0.000000E+000,1.317600E-004,4.354200E-003,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.790500E-003,0.000000E+000,0.000000E+000
11,1_4-Dichlorobenzene,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,4.243500E-005,1.698200E-004,4.876800E-004,9.456300E-003,5.001300E-004,0.000000E+000
11,PCBTF,4.077100E-003,4.378000E-004,1.482300E-004,0.000000E+000,7.150300E-005,8.021500E-004,5.231300E-004,7.485700E-004,4.927900E-003,1.116100E-003
11,N-Butane,6.260600E-004,1.485900E-001,7.363700E-002,1.424100E-002,1.273700E-002,0.000000E+000,2.637100E-003,3.124000E-002,5.736300E-002,7.340900E-002
11,Isobutane,0.000000E+000,9.928800E-002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.228600E-003,6.248900E-002,7.085400E-002
11,N-Pentane,1.397300E-003,6.351300E-002,3.463500E-003,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.771400E-004,2.204400E-002,0.000000E+000
11,Isopentane,1.805100E-002,4.170600E-002,1.411600E-002,0.000000E+000,1.049700E-002,8.268700E-003,2.097200E-002,2.529600E-002,1.772300E-001,4.404700E-002
11,2-Methyl pentane,7.927300E-003,1.853800E-002,0.000000E+000,9.597100E-003,2.502100E-003,6.678700E-003,1.614300E-002,2.082400E-003,2.021300E-001,6.512400E-002
11,Butene,6.099300E-003,5.417800E-002,2.263900E-002,1.287200E-002,1.600600E-002,2.178400E-004,6.230900E-003,1.493100E-002,4.768400E-002,3.390400E-002
11,Propylene,3.111100E-002,1.423500E-001,3.303000E-002,5.147200E-002,0.000000E+000,0.000000E+000,0.000000E+000,8.532600E-002,0.000000E+000,5.469000E-002
11,cis-2-Pentene,0.000000E+000,2.520500E-003,0.000000E+000,1.301700E-003,1.462000E-004,0.000000E+000,1.129200E-003,0.000000E+000,4.327700E-003,0.000000E+000
11,Isoprene,1.065400E-002,5.258100E-003,8.065900E-002,8.724500E-003,1.394800E-002,5.887000E-002,3.642200E-001,0.000000E+000,9.488600E-003,1.868800E-002
11,alpha-Pinene,5.861700E-003,3.727000E-003,1.800000E-002,8.956900E-003,2.928900E-003,1.071800E-002,6.453000E-002,1.389000E-003,0.000000E+000,5.921500E-003
11,MVK,0.000000E+000,3.765300E-003,3.662400E-002,0.000000E+000,1.318300E-002,2.601700E-002,1.690800E-001,0.000000E+000,1.064300E-002,1.389100E-002
11,Benzene,2.287400E-002,1.117900E-002,0.000000E+000,3.747500E-002,2.896700E-003,0.000000E+000,5.200900E-003,2.791200E-003,1.552500E-001,1.255100E-002
11,Toluene,1.166300E-001,7.175200E-003,1.479800E-002,5.985000E-003,8.031400E-003,1.179900E-002,2.411600E-002,2.199400E-002,1.146700E-001,9.449800E-003
11,Ethylbenzene,1.968200E-002,1.205100E-003,2.139800E-003,1.031400E-003,1.013000E-003,2.116900E-003,4.037700E-003,3.538200E-003,1.566300E-002,2.342900E-003
11,Propylbenzene,3.962400E-003,2.665700E-004,3.019500E-004,2.259100E-004,8.745800E-005,4.533400E-004,1.195000E-003,1.028400E-003,3.582700E-003,7.494000E-004
11,m_p-Xylene,2.845900E-002,1.445700E-003,6.327300E-003,1.377600E-003,6.260300E-004,2.774500E-003,6.221600E-003,9.131800E-003,6.853400E-003,0.000000E+000
