
Residuals from Base Run #11 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Methyl acetate,n-Butyl acetate,D5-Siloxane
11,07/10/21,2.312000E-002,8.113000E-004,-5.065000E-002,4.718000E-002,-2.816000E-002,2.897000E-003,1.956000E-004,3.226000E-003,-6.738000E-005,1.432000E-004,1.339000E-003,1.132000E-001,-5.915000E-002,8.033000E-003,-4.949000E-002,-3.328000E-002,4.742000E-002,-2.722000E-002,-1.674000E-003,1.525000E-002,-1.449000E-003,-1.973000E-002,1.659000E-001,-2.926000E-002,1.964000E-003,-2.443000E-003,-3.886000E-003,-5.788000E-003,-2.531000E-003,3.935000E-003,-4.943000E-001,-3.538000E-001,1.805000E-001,1.513000E-001,1.329000E-002,-2.856000E-003
11,07/11/21,2.306000E-002,9.834000E-003,3.681000E-002,-6.984000E-002,-3.297000E-003,8.121000E-003,-1.193000E-003,6.912000E-004,2.947000E-005,-6.467000E-006,-6.500000E-003,-5.475000E-002,4.877000E-002,3.059000E-004,8.248000E-004,-6.231000E-002,4.276000E-003,-1.250000E-002,-8.659000E-004,-4.883000E-002,-1.752000E-002,-4.495000E-002,4.620000E-001,3.312000E-002,1.840000E-004,1.964000E-003,8.476000E-003,4.190000E-003,-1.604000E-003,6.946000E-003,4.467000E-001,3.462000E-001,1.089000E-001,9.652000E-002,-2.219000E-002,-4.972000E-003
11,07/12/21,-2.786000E-002,4.474000E-003,-6.083000E-002,-4.438000E-003,1.198000E-002,3.605000E-003,-6.452000E-004,-2.786000E-003,4.064000E-004,-1.293000E-004,-4.527000E-003,-7.620000E-002,-6.930000E-002,6.054000E-002,5.233000E-002,2.728000E-002,2.801000E-002,4.693000E-002,-4.111000E-004,-2.128000E-003,-1.015000E-003,-3.892000E-002,4.814000E-001,4.902000E-002,4.406000E-003,2.157000E-003,8.882000E-003,6.221000E-003,2.058000E-003,7.859000E-003,2.540000E-001,-6.882000E-001,1.950000E-002,1.586000E-001,-8.632000E-002,3.537000E-002
11,07/13/21,4.688000E-002,-1.711000E-003,6.093000E-003,-5.627000E-002,1.039000E-002,8.490000E-003,1.733000E-005,1.012000E-003,-1.036000E-004,3.604000E-005,1.005000E-002,4.773000E-002,2.296000E-002,-6.182000E-003,-1.000000E-001,-1.355000E-001,4.425000E-002,-1.914000E-002,6.831000E-003,3.477000E-002,5.818000E-004,-1.078000E-003,1.023000E-001,-2.426000E-002,-2.592000E-003,-2.990000E-004,1.203000E-003,-1.924000E-003,-4.276000E-003,-9.149000E-004,2.386000E-002,8.744000E-001,1.183000E-001,3.172000E-001,4.880000E-004,-9.025000E-003
11,07/14/21,1.262000E-002,3.357000E-003,-3.101000E-002,-1.105000E-002,-3.191000E-002,-4.783000E-003,1.922000E-003,7.195000E-004,-1.344000E-004,-4.268000E-005,-5.464000E-004,1.907000E-002,-6.953000E-002,2.223000E-003,-1.510000E-001,-1.572000E-001,1.509000E-001,7.348000E-002,6.519000E-003,-7.350000E-002,-1.494000E-002,-2.892000E-002,3.229000E-001,-6.586000E-002,-2.178000E-003,-1.811000E-004,-8.416000E-004,-4.478000E-003,1.608000E-002,5.749000E-003,2.806000E+000,-3.563000E-003,1.583000E-001,2.148000E-001,1.463000E-002,2.793000E-002
11,07/15/21,-1.360000E-002,4.662000E-003,-2.405000E-002,1.595000E-002,1.525000E-002,1.177000E-002,-7.143000E-004,-2.680000E-003,1.259000E-004,-5.147000E-005,-9.001000E-003,4.278000E-002,-1.227000E-001,1.039000E-001,1.677000E-001,8.138000E-003,3.440000E-003,-1.130000E-003,-2.169000E-003,4.946000E-002,5.834000E-003,1.147000E-002,-5.475000E-003,-2.832000E-002,-5.155000E-003,-1.790000E-003,1.994000E-002,4.242000E-003,9.127000E-003,1.144000E-002,-4.396000E-001,-2.735000E-001,-1.639000E-001,2.671000E-001,1.422000E-002,3.671000E-002
11,07/16/21,1.776000E-002,-6.158000E-003,5.577000E-002,-7.036000E-002,8.216000E-003,1.864000E-002,1.509000E-003,1.777000E-004,-8.294000E-005,2.800000E-005,-4.694000E-003,4.999000E-002,-2.793000E-002,1.901000E-002,-2.377000E-002,-4.489000E-002,4.639000E-002,-1.060000E-001,1.253000E-004,-3.976000E-002,-8.199000E-003,-3.166000E-002,6.219000E-001,1.325000E-002,3.801000E-003,1.003000E-003,7.687000E-003,3.482000E-003,-5.829000E-004,3.609000E-003,3.076000E-001,-2.054000E-001,3.482000E-002,-6.245000E-002,-7.512000E-004,3.236000E-002
11,07/17/21,1.776000E-002,1.810000E-003,3.725000E-002,-4.160000E-002,1.868000E-002,2.203000E-002,5.737000E-005,-1.263000E-003,3.491000E-005,6.841000E-006,6.424000E-004,2.257000E-002,-3.313000E-002,1.789000E-002,-2.306000E-002,-5.271000E-002,-1.602000E-002,-7.054000E-002,-8.320000E-004,-2.655000E-002,-2.692000E-003,-9.566000E-003,6.397000E-002,1.011000E-002,2.236000E-003,1.804000E-003,3.353000E-004,-1.071000E-003,1.346000E-003,3.237000E-003,-6.710000E-005,-6.971000E-004,-7.941000E-002,-2.467000E-002,-2.250000E-002,3.870000E-002
11,07/18/21,8.726000E-003,5.260000E-003,5.680000E-002,-1.224000E-001,2.628000E-002,2.317000E-002,4.323000E-004,1.694000E-003,-8.727000E-005,1.146000E-005,-1.379000E-003,5.792000E-002,1.048000E-002,-3.843000E-004,-5.056000E-002,-5.972000E-002,6.147000E-002,-2.721000E-001,2.796000E-003,-4.850000E-002,-1.875000E-002,-1.124000E-002,1.831000E-001,1.549000E-002,2.804000E-004,-7.254000E-004,2.855000E-003,1.078000E-003,1.517000E-003,-1.672000E-003,7.838000E-005,-6.477000E-004,-2.583000E-003,-3.934000E-002,-7.284000E-003,1.043000E-002
11,07/19/21,1.435000E-001,-2.806000E-003,-1.380000E-001,1.265000E-001,-1.525000E-002,-4.182000E-002,4.248000E-003,1.714000E-003,-5.005000E-005,-3.825000E-005,1.099000E-002,2.100000E-001,-1.839000E-001,1.706000E-001,-1.335000E-001,1.254000E-002,2.785000E-001,1.224000E-001,1.949000E-003,-2.219000E-002,-2.074000E-002,7.323000E-003,2.858000E-001,2.898000E-002,3.310000E-003,1.825000E-003,-2.273000E-002,-9.241000E-003,9.483000E-003,-7.094000E-004,-2.175000E-005,-1.541000E-003,2.628000E-001,3.491000E-001,1.354000E-002,3.604000E-002
