
Factor Contributions (avg = 1) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,07/10/21,1.690400E+000,3.626300E-001,9.078900E-001,4.511100E+000,2.869200E+000,7.237100E-001,6.643200E-001,5.398400E-001,3.929700E+000,1.090300E+000,2.007100E+000
5,07/11/21,4.861700E-001,2.463900E+000,7.224200E-001,5.436300E+000,5.836400E-001,2.069500E-001,4.675800E-001,6.810300E-001,1.966100E+000,1.548500E+000,4.686600E-001
5,07/12/21,1.363200E+000,5.346900E-001,2.641300E-001,5.103400E+000,2.417300E+000,3.939900E-001,5.121800E-001,1.953000E+000,4.176700E+000,1.542700E+000,3.336100E+000
5,07/13/21,6.325900E-002,1.909900E+000,1.224700E+000,5.071000E+000,5.526400E-002,1.996500E-001,-1.851000E-002,1.017900E+000,3.100500E+000,-5.251300E-002,9.761800E-001
5,07/14/21,5.573000E+000,3.703200E-001,1.303400E+000,-2.000000E-001,2.727400E+000,2.526800E-001,5.361400E-001,1.587700E+000,3.829800E+000,1.030500E+000,1.901500E+000
5,07/15/21,1.549900E+000,3.483800E-001,7.886400E-001,1.535400E+000,3.421300E+000,2.029600E-001,8.067200E-002,1.403400E+000,3.848200E+000,1.768800E+000,3.313100E+000
5,07/16/21,1.238300E+000,1.633100E+000,8.404600E-001,2.147500E+000,2.020300E+000,5.118000E-002,3.046000E-001,9.629800E-001,3.162000E+000,1.222400E+000,2.013800E+000
5,07/17/21,-1.720100E-001,1.922100E+000,1.629500E+000,-8.160300E-002,1.000500E+000,9.483500E-002,-2.000000E-001,7.688200E-001,2.794900E+000,7.701600E-001,1.055800E+000
5,07/18/21,-1.844300E-001,2.444800E+000,2.308200E+000,-8.812500E-002,-2.000000E-001,8.438300E-002,8.438600E-001,6.642200E-001,2.135500E+000,5.103300E-001,6.802300E-001
5,07/19/21,-1.995100E-001,1.078800E+000,1.986800E+000,-1.849600E-001,2.906000E+000,3.147700E-001,-2.000000E-001,1.257800E+000,9.701800E-001,2.328400E+000,3.147400E+000
5,07/20/21,1.067400E+001,2.722800E-001,-5.541300E-002,2.186300E+000,2.713800E+000,-2.666700E-002,1.267100E+000,1.000600E+000,2.079700E+000,8.442500E-001,2.584800E+000
5,07/21/21,4.549100E+000,1.052800E+000,1.074000E+000,2.895800E+000,2.121100E+000,4.723300E-002,4.660400E-001,8.874800E-001,2.739200E+000,2.445200E-001,1.122000E+000
5,07/22/21,3.078200E+000,-2.000000E-001,3.926500E-001,2.622100E+000,4.198900E+000,3.156600E-001,5.714300E-001,1.792500E+000,4.210900E+000,5.083000E-001,3.135100E+000
5,07/23/21,3.850200E+000,-7.686200E-002,1.147100E+000,-1.390800E-001,2.852400E+000,2.977300E-001,1.467800E+000,1.334900E+000,3.298000E+000,4.277700E-002,1.322600E+000
5,07/24/21,-1.353000E-001,9.772500E-001,1.052400E+000,-7.062900E-002,2.294300E+000,1.660200E-001,5.527300E-001,9.932300E-001,2.658000E+000,3.307500E-001,1.571700E+000
5,07/25/21,5.634600E-001,1.838500E+000,3.683700E-001,2.376900E+000,5.836700E-001,2.666200E-001,6.977500E-001,9.571100E-001,2.066400E+000,7.863600E-001,8.195000E-001
5,07/26/21,-8.345800E-002,-2.000000E-001,8.807200E-001,9.933300E-001,1.148700E+000,-1.539700E-003,-6.124600E-002,4.075700E-002,-2.000000E-001,1.357000E+000,-5.434000E-002
5,07/27/21,2.036900E+000,7.669000E-001,9.632700E-001,2.674800E+000,1.582300E+000,-1.530300E-001,1.244900E+000,4.493800E-001,2.487400E+000,-9.932100E-002,9.174200E-001
5,07/28/21,2.644000E-001,7.568000E-001,1.569100E+000,1.474000E+000,2.687200E+000,8.921600E-002,5.216500E-001,8.038200E-001,2.304800E+000,3.627300E-001,1.177100E+000
5,07/29/21,6.145000E-001,4.942700E-001,1.404500E+000,1.907200E+000,3.921800E+000,1.927300E-001,1.944600E+000,7.831900E-001,9.352400E-002,1.471200E+000,1.918800E+000
5,07/30/21,6.658900E-001,8.317600E-001,1.628800E+000,3.578900E+000,2.083100E+000,-9.287300E-002,5.012300E-001,4.660300E-001,2.002200E+000,8.570100E-002,5.559700E-001
5,07/31/21,1.281800E+000,8.926300E-001,1.001600E+000,4.210400E+000,1.501000E+000,-4.902300E-002,8.272800E-001,6.269600E-001,2.127600E+000,2.170500E-001,1.586200E+000
5,08/01/21,2.182500E-001,1.221300E+000,1.930600E+000,1.344100E+000,9.834600E-001,1.541900E-001,1.563200E+000,6.495300E-001,9.259800E-001,6.839800E-001,1.212600E+000
5,08/02/21,-1.481100E-001,1.394700E+000,3.222500E+000,-7.729200E-002,6.837900E-001,-1.861900E-001,1.117200E+000,-7.915200E-002,1.100000E+000,-2.000000E-001,5.338200E-001
5,08/03/21,-1.989400E-001,4.385100E-001,3.355400E+000,1.513000E+000,2.710400E+000,-2.000000E-001,9.669200E-002,3.593300E-001,2.174800E+000,-2.000000E-001,1.128100E+000
5,08/04/21,2.151600E-001,-8.260200E-002,2.191900E+000,1.702300E+000,2.784700E+000,-1.210200E-001,2.008600E+000,7.451900E-001,2.966300E+000,1.583600E-002,2.401800E+000
