
Factor Profiles (conc. of species) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,Dichloromethane,6.075500E-003,2.562200E-002,7.104900E-003,2.715400E-004,1.684600E-002,4.007100E-003,6.560100E-003,5.448600E-003,4.182600E-002,4.206400E-003,7.041600E-003
5,Chloroform,6.271000E-004,4.011400E-003,5.724200E-005,1.153700E-003,8.337200E-004,8.587600E-004,1.162400E-003,8.208900E-004,1.281000E-002,2.842200E-003,9.457200E-004
5,Trichlorofluoromethane,9.422700E-003,7.184000E-002,3.169700E-002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,2.204800E-002,9.334000E-002,1.287200E-002,1.461200E-002
5,Dichlorodifluoromethane,1.155200E-002,1.795500E-001,2.688000E-002,0.000000E+000,8.948800E-002,4.182100E-002,6.038700E-002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
5,Carbon Tetrachloride,1.749300E-003,2.288900E-002,7.005900E-003,3.452500E-004,2.037100E-003,3.470300E-003,8.709000E-004,0.000000E+000,2.401400E-002,8.372500E-003,2.084900E-003
5,1_1_2-Trichlorotrifluoroethane,2.883600E-003,2.716700E-002,8.294300E-003,1.224700E-003,7.914300E-004,1.706700E-003,4.077800E-003,6.279900E-003,2.543600E-002,2.317700E-003,0.000000E+000
5,1_2-Dichloro-1_1_2_2-tetrafluoroethane,5.210700E-004,6.898300E-003,1.559200E-003,0.000000E+000,1.938900E-003,1.084000E-003,9.475300E-004,5.831400E-004,1.520700E-003,2.870700E-004,1.617000E-003
5,Tetrachloroethene,1.227700E-004,2.034900E-004,1.102200E-004,1.057700E-004,1.037900E-003,2.779700E-004,5.801000E-004,4.485600E-004,2.041400E-003,7.966200E-004,0.000000E+000
5,1_2-Dichlorobenzene,8.589700E-005,2.657900E-004,4.064200E-005,0.000000E+000,0.000000E+000,1.053800E-003,1.103600E-004,4.759400E-003,0.000000E+000,0.000000E+000,0.000000E+000
5,1_4-Dichlorobenzene,2.091200E-004,0.000000E+000,2.610600E-004,0.000000E+000,0.000000E+000,9.301500E-003,0.000000E+000,2.802800E-004,5.823700E-004,0.000000E+000,6.470600E-004
5,PCBTF,7.512400E-004,0.000000E+000,2.024800E-004,0.000000E+000,3.892400E-003,2.242200E-004,3.016800E-004,6.347300E-004,4.580900E-003,1.643700E-003,7.049200E-004
5,N-Butane,3.218200E-004,3.267300E-002,9.036300E-003,1.004200E-002,3.818300E-002,1.493100E-002,9.369800E-002,8.306900E-002,3.705600E-002,0.000000E+000,1.012200E-001
5,Isobutane,0.000000E+000,1.163500E-002,0.000000E+000,1.120700E-003,2.012500E-002,1.645100E-002,1.142300E-001,2.480000E-003,7.166900E-002,0.000000E+000,9.256100E-003
5,N-Pentane,7.943000E-004,0.000000E+000,0.000000E+000,0.000000E+000,5.165700E-003,0.000000E+000,0.000000E+000,5.204100E-003,1.439300E-002,5.512800E-004,6.852000E-002
5,Isopentane,9.309700E-003,0.000000E+000,2.097400E-002,1.070800E-002,0.000000E+000,7.487700E-003,5.323900E-002,2.455600E-002,1.735900E-001,1.991100E-002,3.864600E-002
5,2-Methyl pentane,1.249000E-002,9.640600E-003,2.494400E-002,0.000000E+000,3.804100E-002,0.000000E+000,4.304500E-002,4.172500E-003,2.012200E-001,3.607100E-003,0.000000E+000
5,Butene,8.373900E-004,1.624400E-002,9.981600E-003,1.493600E-002,2.012000E-002,7.395100E-003,3.768300E-002,2.907100E-002,3.890900E-002,3.195100E-003,3.727900E-002
5,Propylene,0.000000E+000,5.007700E-002,0.000000E+000,0.000000E+000,5.687100E-002,9.841800E-002,7.078700E-002,3.161300E-002,0.000000E+000,2.137400E-002,7.740300E-002
5,cis-2-Pentene,0.000000E+000,1.163000E-003,1.069800E-003,3.214200E-004,0.000000E+000,0.000000E+000,5.852500E-004,0.000000E+000,3.979600E-003,0.000000E+000,2.312900E-003
5,Isoprene,4.097400E-002,4.740200E-002,3.228700E-001,5.810500E-002,2.148800E-002,0.000000E+000,0.000000E+000,4.199300E-002,5.551100E-003,2.336600E-002,6.976600E-003
5,alpha-Pinene,7.172500E-003,1.612800E-002,5.689600E-002,1.061900E-002,7.511200E-003,1.937900E-003,4.389100E-003,9.779400E-003,0.000000E+000,6.812000E-003,7.548900E-004
5,MVK,1.793100E-002,1.682300E-002,1.504900E-001,3.385500E-002,1.080900E-003,0.000000E+000,8.232700E-003,1.839200E-002,1.262900E-002,1.068600E-002,1.477400E-003
5,Benzene,0.000000E+000,3.114900E-002,2.528400E-003,1.585200E-003,1.429600E-002,0.000000E+000,0.000000E+000,0.000000E+000,1.534800E-001,2.383900E-002,2.504000E-002
5,Toluene,9.006900E-003,7.379100E-003,1.400800E-002,6.888100E-003,1.001300E-001,5.974800E-003,1.111200E-002,2.655700E-002,1.023100E-001,3.608600E-002,1.408300E-002
5,Ethylbenzene,1.535700E-003,1.290300E-003,2.116100E-003,7.560500E-004,1.656800E-002,9.151100E-004,1.924800E-003,4.152200E-003,1.426300E-002,6.884600E-003,2.203900E-003
5,Propylbenzene,3.619100E-004,1.521900E-004,9.099200E-004,1.330600E-004,3.599500E-003,4.068900E-004,7.777600E-004,8.853900E-004,3.270400E-003,1.002900E-003,3.027200E-004
5,m_p-Xylene,1.502300E-003,2.027200E-003,2.175000E-003,4.110300E-004,2.068300E-002,1.788200E-003,0.000000E+000,1.300400E-002,5.140200E-003,1.080100E-002,5.258300E-003
5,o-Xylene,1.458900E-003,9.699700E-004,2.040700E-003,5.789800E-004,1.686300E-002,1.072600E-003,1.095900E-003,5.072600E-003,9.636700E-003,7.865500E-003,2.002000E-003
5,p-Isopropyl Toluene,9.109500E-004,3.607500E-004,5.377000E-003,2.752000E-003,3.085100E-003,6.412800E-004,5.780600E-004,0.000000E+000,6.081300E-003,0.000000E+000,0.000000E+000
5,Naphthalene,1.136900E-003,7.204800E-004,2.456200E-003,5.757500E-004,4.332400E-003,0.000000E+000,0.000000E+000,0.000000E+000,4.277400E-003,5.824800E-003,0.000000E+000
5,Methanol,7.260400E+001,3.878900E+000,1.496900E+000,2.436100E+000,1.558100E+000,9.368900E-001,6.661100E-002,5.502800E-001,0.000000E+000,9.705600E-001,1.336200E-002
5,Ethanol,4.396400E-002,0.000000E+000,1.720100E-001,5.008200E+000,0.000000E+000,0.000000E+000,0.000000E+000,1.665300E-001,0.000000E+000,1.060000E-001,1.008800E-001
5,Phenol,1.265000E-002,7.474900E-002,1.041500E-001,1.156600E-002,9.309300E-004,9.529300E-003,0.000000E+000,4.024700E-002,7.549000E-002,1.593300E-002,0.000000E+000
5,Methyl acetate,5.136100E-003,9.545500E-003,0.000000E+000,7.384800E-003,1.353600E-002,2.634100E-004,1.913000E-002,1.065200E-003,1.375300E-001,2.417800E-002,2.585400E-004
5,n-Butyl acetate,4.146000E-003,1.241900E-003,0.000000E+000,6.873100E-003,5.440200E-002,1.068500E-003,0.000000E+000,6.028400E-003,4.736200E-002,8.463800E-003,1.149500E-002
5,D5-Siloxane,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,6.598200E-003,2.089000E-002,5.601800E-003,4.046900E-002,5.154200E-002,0.000000E+000

Factor Profiles (% of species sum) from Base Run #5 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9,Factor 10,Factor 11
5,Dichloromethane,4.860021E+000,2.049600E+001,5.683477E+000,2.172151E-001,1.347575E+001,3.205430E+000,5.247671E+000,4.358541E+000,3.345819E+001,3.364858E+000,5.632841E+000
5,Chloroform,2.400554E+000,1.535574E+001,2.191238E-001,4.416392E+000,3.191501E+000,3.287355E+000,4.449696E+000,3.142387E+000,4.903700E+001,1.088001E+001,3.620240E+000
5,Trichlorofluoromethane,3.683164E+000,2.808096E+001,1.238979E+001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,8.618166E+000,3.648492E+001,5.031433E+000,5.711567E+000
5,Dichlorodifluoromethane,2.819776E+000,4.382710E+001,6.561251E+000,0.000000E+000,2.184350E+001,1.020826E+001,1.474011E+001,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000
5,Carbon Tetrachloride,2.401593E+000,3.142403E+001,9.618317E+000,4.739896E-001,2.796710E+000,4.764333E+000,1.195648E+000,0.000000E+000,3.296853E+001,1.149450E+001,2.862334E+000
5,1_1_2-Trichlorotrifluoroethane,3.596447E+000,3.388288E+001,1.034471E+001,1.527455E+000,9.870773E-001,2.128609E+000,5.085862E+000,7.832337E+000,3.172397E+001,2.890652E+000,0.000000E+000
5,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.072906E+000,4.068135E+001,9.195071E+000,0.000000E+000,1.143428E+001,6.392674E+000,5.587870E+000,3.438952E+000,8.968025E+000,1.692938E+000,9.535935E+000
5,Tetrachloroethene,2.144529E+000,3.554535E+000,1.925307E+000,1.847575E+000,1.812989E+001,4.855541E+000,1.013311E+001,7.835383E+000,3.565889E+001,1.391525E+001,0.000000E+000
5,1_2-Dichlorobenzene,1.360014E+000,4.208275E+000,6.434882E-001,0.000000E+000,0.000000E+000,1.668490E+001,1.747339E+000,7.535598E+001,0.000000E+000,0.000000E+000,0.000000E+000
