
Factor Contributions (avg = 1) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,07/10/21,2.124100E+000,1.673100E+000,4.195300E-001,3.806100E+000,8.744800E-001,1.613500E+000,4.590500E+000,3.280400E-001
16,07/11/21,1.106300E+000,3.933300E-001,1.670300E+000,1.662400E+000,1.636000E+000,4.869200E-001,4.616700E+000,5.339100E-001
16,07/12/21,1.995800E+000,1.756300E+000,2.634200E-001,4.104800E+000,5.501900E-001,1.271900E+000,5.171300E+000,1.624600E+000
16,07/13/21,-2.000000E-001,6.855400E-001,1.000200E+000,2.340200E+000,1.966700E+000,9.981200E-003,5.092000E+000,7.763000E-001
16,07/14/21,1.673700E+000,1.711100E+000,-1.925500E-001,3.679900E+000,1.819800E+000,5.438200E+000,-2.000000E-001,1.336800E+000
16,07/15/21,2.677000E+000,1.418500E+000,2.429200E-001,3.942000E+000,1.011100E+000,1.500600E+000,1.579300E+000,1.155100E+000
16,07/16/21,1.618100E+000,1.144700E+000,1.287900E+000,3.047200E+000,1.162700E+000,1.202700E+000,2.127700E+000,6.757700E-001
16,07/17/21,9.347900E-001,4.042100E-001,1.151100E+000,2.277700E+000,2.304600E+000,-1.655000E-001,-1.851600E-001,5.837100E-001
16,07/18/21,-2.000000E-001,8.267200E-001,1.403100E+000,1.470500E+000,3.332700E+000,-1.681400E-001,-2.000000E-001,4.890600E-001
16,07/19/21,2.869100E+000,3.318400E-002,1.630400E+000,1.468800E+000,1.492600E+000,-1.919400E-001,-2.000000E-001,1.116400E+000
16,07/20/21,1.184800E+000,1.639200E+000,6.294800E-001,2.614000E+000,-2.000000E-001,1.039500E+001,2.381800E+000,8.507900E-001
16,07/21/21,9.153600E-001,8.349100E-001,1.023000E+000,2.783000E+000,9.082600E-001,4.424900E+000,3.037900E+000,6.601300E-001
16,07/22/21,2.262400E+000,1.622500E+000,-5.322300E-002,4.470100E+000,3.673100E-001,2.984700E+000,2.786100E+000,1.516700E+000
16,07/23/21,1.289000E+000,1.759100E+000,-2.000000E-001,3.147800E+000,1.440800E+000,3.826700E+000,-1.630300E-001,1.201300E+000
16,07/24/21,1.302400E+000,1.182200E+000,8.632300E-001,2.589200E+000,1.271200E+000,-1.432700E-001,-1.501100E-001,7.760200E-001
16,07/25/21,3.452800E-001,7.637500E-001,1.613500E+000,1.957300E+000,6.966800E-001,5.339500E-001,2.303000E+000,7.980000E-001
16,07/26/21,1.510700E+000,-1.439100E-002,-3.083000E-003,-1.311400E-001,3.619600E-001,-7.206000E-002,1.080100E+000,-2.105400E-003
16,07/27/21,6.344900E-001,1.091700E+000,6.264000E-001,2.408100E+000,1.079300E+000,1.990600E+000,2.700200E+000,1.677600E-001
16,07/28/21,1.357000E+000,1.064200E+000,7.784400E-001,2.380600E+000,1.327200E+000,2.526900E-001,1.492200E+000,5.650700E-001
16,07/29/21,3.212200E+000,2.200300E+000,7.033500E-001,7.199100E-001,5.535700E-001,6.444800E-001,2.078900E+000,6.163300E-001
16,07/30/21,8.652200E-001,4.860800E-001,9.174400E-001,2.179800E+000,1.044200E+000,6.287000E-001,3.773200E+000,1.611500E-001
16,07/31/21,7.234100E-001,1.279600E+000,9.168300E-001,2.145700E+000,7.316600E-001,1.214500E+000,4.494200E+000,3.566700E-001
16,08/01/21,8.398200E-001,1.399200E+000,7.060100E-001,8.579100E-001,2.082000E+000,2.312300E-001,1.357300E+000,5.476700E-001
16,08/02/21,1.730000E-002,6.394500E-001,1.033200E+000,1.006600E+000,2.875600E+000,-1.257700E-001,-1.446600E-001,-1.823000E-001
16,08/03/21,8.190700E-002,9.587000E-001,5.957900E-001,1.851200E+000,2.794700E+000,-1.935600E-001,1.559300E+000,5.778800E-002
16,08/04/21,1.245300E+000,2.591700E+000,-9.875400E-002,2.953500E+000,1.961800E+000,1.868500E-001,1.776300E+000,4.033700E-001
16,08/05/21,1.222900E+000,2.586300E+000,6.147500E-002,3.023700E+000,1.690100E+000,1.194600E-001,1.873300E+000,9.877300E-001
16,08/06/21,1.219100E+000,1.846600E+000,1.280600E-001,2.206600E+000,2.184300E+000,-1.216500E-001,-1.464900E-001,9.661700E-001
16,08/07/21,1.005100E+000,4.381200E-001,9.472400E-001,1.695500E+000,1.755700E+000,-1.934200E-001,1.140800E+000,8.707200E-001
16,08/08/21,3.043700E-001,7.819100E-001,1.192400E+000,1.568000E+000,1.056400E+000,4.471700E-001,2.306400E+000,6.499400E-001
16,08/09/21,2.506400E+000,1.187200E+000,1.382300E+000,8.165500E-001,2.756400E-001,4.655500E-002,1.735300E+000,4.169400E-001
16,08/10/21,1.668200E+000,2.172100E+000,4.389700E-001,2.408100E+000,1.200000E+000,2.162200E-001,1.649700E+000,9.084200E-001
16,08/11/21,-2.000000E-001,-1.543800E-001,8.589100E-001,6.595700E-001,2.228500E+000,1.451100E-001,8.870900E-001,1.154600E+000
16,08/12/21,1.131200E+000,-1.272400E-001,4.939500E+000,2.848500E+000,1.665300E+000,2.457400E-001,8.796900E-001,-2.000000E-001
16,08/13/21,9.159900E-002,-2.000000E-001,9.676300E-001,2.815300E-001,4.128300E-001,1.190400E+001,8.005300E-001,6.313300E-001
16,08/14/21,1.319200E+000,4.918600E-001,7.122200E-001,4.218400E-001,1.110800E+000,5.565400E+000,1.317200E+000,1.068600E-001
16,08/15/21,7.293200E-001,8.597600E-001,-2.000000E-001,9.762800E-001,1.619600E+000,4.185500E+000,6.665700E-001,5.033100E-001
16,08/16/21,1.698300E+000,2.371900E+000,-2.000000E-001,9.620300E-001,2.439500E+000,1.510700E+000,1.273800E+000,6.501700E-001
16,08/17/21,2.605600E+000,4.978000E-001,5.050100E-001,2.922400E-001,8.838600E-001,2.233700E+000,9.303800E-001,1.124700E+000
16,08/18/21,-6.640200E-003,-1.661500E-001,1.889300E+000,1.101300E-001,4.126800E-001,1.343500E+000,-6.972500E-002,-8.401200E-002
16,08/19/21,2.595400E-002,-1.543700E-001,1.925300E+000,3.146800E-002,5.361300E-001,1.039300E+000,-7.556800E-002,-8.341800E-002
16,08/20/21,3.208100E+000,1.754800E+000,1.061100E+000,1.969900E+000,-2.000000E-001,2.563300E+000,6.664100E-001,7.139000E-001
16,08/21/21,5.247500E+000,3.228000E-002,-2.000000E-001,-2.000000E-001,-2.000000E-001,5.542700E-001,-5.682000E-002,1.423000E+000
16,08/22/21,7.890200E-001,1.145400E+000,2.155700E+000,1.003400E+000,4.227900E-001,-1.429700E-001,-1.218000E-001,5.634500E-002
16,08/23/21,1.187200E+000,1.050000E+000,1.588200E+000,1.409100E+000,3.738600E-001,3.151600E-001,8.455000E-001,4.746700E-001
16,08/24/21,1.954700E+000,4.634800E-001,1.382700E+000,1.160800E+000,1.323200E+000,7.332100E-001,-1.884000E-001,8.078400E-001
16,08/25/21,2.697100E+000,1.236000E+000,3.304600E-001,1.165900E+000,2.534800E+000,-1.379300E-001,-2.000000E-001,8.639200E-001
16,08/26/21,1.482000E+000,1.550200E-001,8.952100E-001,3.379100E-001,2.866300E+000,1.457000E+000,-2.000000E-001,8.748200E-001
16,08/27/21,9.913900E-001,7.667500E-001,5.537300E-001,7.711100E-001,2.925900E+000,-1.891400E-001,1.691200E+000,-2.000000E-001
16,08/28/21,1.148600E+000,1.226800E+000,-9.832200E-002,1.005500E+000,3.533400E+000,1.930500E-001,2.152200E+000,3.667700E-001
16,08/29/21,6.958800E-001,3.261800E-001,4.543500E-001,7.900100E-001,3.045900E+000,4.304200E-001,1.766900E+000,5.284200E-001
16,08/30/21,-3.963700E-002,-1.071100E-002,8.346900E-002,9.538900E-003,1.738400E-001,-8.448600E-003,2.739100E-002,-2.532400E-003
16,08/31/21,3.105400E+000,2.127000E+000,3.567900E-001,2.215500E+000,8.927600E-002,6.684200E-001,1.716600E+000,4.838400E-001
16,09/01/21,8.425700E-001,4.853700E-001,1.836500E+000,1.155400E+000,-9.129500E-002,-2.000000E-001,1.481500E+000,1.207600E+000
16,09/02/21,2.162900E+000,9.333300E-001,1.519700E+000,1.738300E+000,-2.000000E-001,3.123800E-001,2.521400E+000,-7.406500E-002
16,09/03/21,5.333100E-001,3.708600E-001,7.809500E-001,1.159900E+000,1.157900E+000,6.198400E-001,1.922800E+000,5.190600E-001
16,09/04/21,-3.466700E-002,-1.055300E-002,8.593900E-002,1.148200E-002,1.510700E-001,-8.199800E-003,2.794700E-002,-2.073000E-003
16,09/05/21,2.165000E-001,-1.552500E-001,7.830300E-001,1.517000E-001,2.565100E+000,1.410900E-001,1.071900E+000,3.523100E-001
16,09/06/21,1.338800E+000,1.456000E+000,2.419900E-001,9.636200E-001,2.355400E+000,3.133700E-001,1.940000E+000,1.863500E-001
16,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
16,09/08/21,2.343300E+000,2.324700E+000,-2.000000E-001,2.046100E+000,1.598100E+000,2.646100E-001,1.662600E+000,8.635500E-001
16,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
16,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
16,09/11/21,1.105100E+000,-2.000000E-001,-2.000000E-001,5.233600E-001,3.034600E+000,3.412700E-001,1.886200E+000,-1.471300E-001
16,09/12/21,2.555900E-001,-1.625300E-001,1.152600E+000,7.592300E-002,2.283300E+000,-2.802800E-002,9.678800E-001,-1.299800E-001
16,09/13/21,6.023000E-001,3.143300E-001,5.189100E-001,4.111100E-001,2.290900E+000,2.546100E+000,1.508900E+000,-1.528000E-001
16,09/14/21,1.626600E+000,8.246400E-001,8.611100E-001,4.452700E-001,1.217700E+000,6.411300E+000,1.100500E+000,-1.445600E-001
16,09/15/21,2.500500E+000,1.277500E+000,3.586300E-001,1.192000E+000,8.369000E-001,3.840900E+000,1.673400E+000,-1.699700E-001
16,09/16/21,2.788400E+000,1.878300E+000,2.988800E-001,1.475300E+000,6.607000E-001,3.029700E+000,1.913500E+000,-2.000000E-001
16,09/17/21,2.878900E+000,1.563100E+000,4.645600E-001,1.575200E+000,6.245300E-002,1.325800E+000,1.079000E+000,-1.635300E-001
16,09/18/21,2.521100E+000,1.025900E+000,4.726300E-001,9.648600E-001,9.107200E-001,9.591600E-001,1.227400E+000,-1.467000E-001
16,09/19/21,6.042000E-001,4.546000E-001,1.195500E+000,8.543500E-001,5.954200E-001,7.923900E-001,9.467200E-001,-1.431100E-001
16,09/20/21,1.985500E+000,1.127700E+000,4.899600E-001,9.430100E-001,1.463500E+000,1.186100E+000,1.346500E+000,-1.730400E-001
16,09/21/21,6.012200E-001,-9.985800E-002,1.021200E+000,-2.000000E-001,2.188000E+000,3.471000E-001,1.256300E+000,-1.046300E-001
16,09/22/21,9.919300E-001,2.956800E-001,4.094200E-001,6.941000E-001,2.413700E+000,2.326100E-001,1.053400E+000,-1.541100E-001
16,09/23/21,1.456000E+000,4.409300E-001,8.054600E-001,6.452800E-001,1.677900E+000,1.527400E-001,1.175400E+000,-1.442500E-001
16,09/24/21,2.523000E+000,1.407800E+000,1.293100E-001,1.147300E+000,2.656500E-001,8.966500E+000,1.506900E+000,-1.378300E-001
16,09/25/21,-4.150400E-002,-1.083100E-002,8.357000E-002,8.762200E-003,1.826000E-001,-8.594300E-003,2.712400E-002,-2.745600E-003
16,09/26/21,-6.459500E-002,-1.177500E-002,7.580600E-002,-4.470100E-004,2.891300E-001,-9.938900E-003,2.433800E-002,-5.026500E-003
16,09/27/21,1.244300E+000,1.002400E+000,1.387900E+000,5.282800E-001,5.540600E-001,-1.040700E-001,-8.420800E-002,-1.098800E-001
16,09/28/21,1.332000E+000,1.351000E-001,1.177100E+000,5.985300E-001,3.854900E-001,-9.318800E-002,-6.818200E-002,-9.128800E-002
16,09/29/21,8.604900E-001,-1.967500E-001,1.439300E+000,5.381500E-001,4.670500E-001,2.128100E+000,-7.725400E-002,-6.733500E-002
16,09/30/21,2.465600E-001,-1.324500E-001,1.532000E+000,-2.000000E-001,5.810800E-001,2.735000E+000,1.066500E+000,-8.695700E-002
16,10/01/21,5.589600E-001,-1.877200E-001,1.386000E+000,1.425500E-001,1.084500E+000,3.630100E-001,8.733400E-001,-1.075800E-001
16,10/02/21,3.860400E-001,-1.481000E-001,1.619500E+000,-8.199500E-002,1.416800E+000,2.014300E-001,6.230600E-001,-1.069900E-001
16,10/03/21,6.111800E-001,-3.692300E-002,8.433600E-001,-2.000000E-001,2.530700E+000,4.950200E-001,8.354700E-001,-1.141900E-001
16,10/04/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
16,10/05/21,6.426300E-003,8.706800E-001,3.873200E+000,-8.404600E-002,8.152000E-002,4.087200E-001,-1.472200E-001,-2.000000E-001
16,10/06/21,6.269200E-001,7.970400E+000,1.378800E+000,-1.471400E-003,-1.408000E-001,-5.223400E-002,4.875200E-001,8.016600E+000
16,10/07/21,-8.566600E-002,2.397200E+000,2.701100E+000,1.415300E-002,5.452300E-002,-6.743100E-002,-1.842100E-001,4.332100E+000
16,10/08/21,-3.288900E-002,-2.011800E-002,2.622600E-001,6.027400E-003,1.729900E-001,-1.700100E-002,1.888100E-002,-9.005400E-003
16,10/09/21,-2.000000E-001,5.591800E+000,2.538800E+000,-6.200800E-003,-2.000000E-001,-2.000000E-001,-2.000000E-001,5.677200E+000
16,10/10/21,2.650400E-001,2.486000E+000,1.289500E+000,-1.427100E-001,4.608600E-001,5.103000E-001,2.477500E-001,5.566200E+000
16,10/11/21,-2.000000E-001,2.657500E+000,4.224600E+000,-2.000000E-001,1.971000E-002,-1.573000E-001,-2.000000E-001,1.790500E+000
16,10/12/21,-1.289200E-001,7.123400E-001,4.204600E+000,1.806300E-002,-1.551500E-001,-1.515700E-001,6.299900E-002,-1.610200E-001
16,10/13/21,2.877200E-001,1.799400E+000,3.789300E+000,-4.996100E-003,3.159000E-002,-1.762100E-001,3.022100E-002,-1.303900E-001
16,10/14/21,1.742600E-001,3.462600E+000,2.672400E+000,-4.064200E-003,-1.687200E-001,-1.629600E-001,1.979300E-002,4.399100E+000
16,10/15/21,4.280000E-002,-1.446500E-001,1.253500E+000,2.157400E-001,-1.122300E-001,-6.313100E-002,-2.228000E-002,-4.478100E-002
16,10/16/21,-6.142900E-002,-1.183000E-002,8.044100E-002,6.290200E-004,2.752200E-001,-9.936300E-003,2.453500E-002,-4.854800E-003
16,10/17/21,-2.000000E-001,1.037800E+000,4.910800E-001,-2.000000E-001,5.991400E-001,-1.078000E-001,-1.064200E-001,5.200700E+000
16,10/18/21,-4.787000E-002,-2.333800E-002,3.019400E-001,-6.288600E-004,2.485500E-001,-2.013000E-002,1.473900E-002,-1.223900E-002
16,10/19/21,-2.000000E-001,1.491900E+000,7.474000E-001,-5.402800E-002,1.043900E-001,-1.289800E-001,-1.267500E-001,6.327000E+000
16,10/20/21,6.158800E-001,2.137700E+000,3.508900E-001,-1.755800E-001,2.197500E-001,-1.370700E-001,-1.459200E-001,7.407900E+000
16,10/21/21,4.761400E-001,1.513000E+000,6.237000E-001,-1.941100E-001,4.063400E-001,-1.258700E-001,1.178100E-001,4.979100E+000
16,10/22/21,5.849600E-001,3.121100E+000,-2.000000E-001,-2.000000E-001,-1.329400E-001,-1.864200E-001,9.954600E-001,9.961800E+000
16,10/23/21,-5.827800E-002,-3.666300E-002,2.423400E-001,-1.717700E-003,2.116600E-001,-3.651300E-002,5.028300E-001,-1.883700E-002
16,10/24/21,-5.741800E-002,-2.000000E-001,9.247800E-001,-1.007500E-002,3.300700E-001,-1.368700E-001,-1.351900E-001,5.976600E+000
