
Factor Profiles (conc. of species) from Base Run #16 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
16,Dichloromethane,1.024200E-002,7.668100E-003,2.356600E-002,5.036700E-002,1.865100E-002,5.543400E-003,4.836300E-004,8.804500E-003
16,Chloroform,1.230000E-003,1.554000E-003,3.584500E-003,1.263000E-002,3.544900E-003,6.848500E-004,1.071700E-003,1.629900E-003
16,Trichlorofluoromethane,0.000000E+000,6.854000E-003,6.596700E-002,9.035400E-002,6.303100E-002,8.076400E-003,3.667200E-003,1.613500E-002
16,Dichlorodifluoromethane,5.612000E-002,3.117800E-002,1.721700E-001,3.598100E-002,6.272100E-002,1.540600E-002,0.000000E+000,3.410100E-002
16,Carbon Tetrachloride,3.926500E-003,1.394700E-004,2.099700E-002,2.200700E-002,1.714900E-002,1.966800E-003,1.823700E-003,4.132700E-003
16,1_1_2-Trichlorotrifluoroethane,7.973000E-004,0.000000E+000,2.503200E-002,2.439600E-002,1.894200E-002,2.569400E-003,2.406800E-003,6.213400E-003
16,1_2-Dichloro-1_1_2_2-tetrafluoroethane,7.983400E-004,1.507300E-003,6.530900E-003,2.713800E-003,3.377900E-003,5.737700E-004,5.017300E-005,1.367500E-003
16,Tetrachloroethene,1.274200E-003,3.813400E-004,3.381000E-004,2.391800E-003,4.555500E-004,1.553500E-004,6.417400E-005,6.462800E-004
16,1_2-Dichlorobenzene,0.000000E+000,8.769700E-005,2.019900E-004,3.376100E-004,1.399900E-004,1.935300E-012,1.338900E-004,5.054100E-003
16,1_4-Dichlorobenzene,1.752500E-004,1.084000E-004,1.414100E-004,0.000000E+000,2.147400E-004,5.623300E-005,0.000000E+000,5.016500E-003
16,PCBTF,3.425800E-003,8.464900E-004,9.753500E-005,6.275500E-003,4.302800E-004,6.832900E-004,2.619600E-004,9.100800E-004
16,N-Butane,1.579400E-002,1.675000E-001,5.661900E-002,8.406700E-002,1.511400E-002,5.976700E-003,6.258700E-003,5.781900E-002
16,Isobutane,2.638700E-003,1.186400E-001,2.020100E-003,7.732800E-002,2.051400E-002,8.691100E-003,0.000000E+000,1.112500E-003
16,N-Pentane,0.000000E+000,5.862400E-002,4.513400E-003,1.611900E-002,0.000000E+000,0.000000E+000,3.117000E-003,1.472500E-003
16,Isopentane,2.699700E-002,7.438100E-002,0.000000E+000,1.609700E-001,5.021100E-002,1.060600E-002,1.082800E-002,2.521400E-002
16,2-Methyl pentane,1.365500E-002,3.158700E-002,0.000000E+000,2.168800E-001,5.624700E-002,1.319700E-002,0.000000E+000,5.381700E-003
16,Butene,1.743400E-002,5.948200E-002,2.476900E-002,5.337600E-002,1.807900E-002,2.414800E-003,1.432700E-002,2.406400E-002
16,Propylene,6.442400E-002,1.501100E-001,9.418000E-002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,9.560200E-002
16,cis-2-Pentene,0.000000E+000,2.059000E-003,1.061500E-003,4.066000E-003,1.891600E-003,0.000000E+000,2.833000E-004,0.000000E+000
16,Isoprene,4.460800E-002,1.379200E-002,5.122300E-002,0.000000E+000,2.902500E-001,3.960700E-002,7.601800E-002,1.488700E-002
16,alpha-Pinene,1.405800E-002,3.766200E-003,1.932300E-002,0.000000E+000,5.141800E-002,7.443300E-003,1.407900E-002,5.884700E-003
16,MVK,1.868600E-002,1.099500E-002,1.896200E-002,0.000000E+000,1.382300E-001,1.673700E-002,4.570100E-002,5.372500E-003
16,Benzene,1.549400E-002,9.364900E-003,1.969100E-002,1.581200E-001,3.916700E-002,0.000000E+000,0.000000E+000,9.805800E-003
16,Toluene,8.257800E-002,2.123300E-002,1.201200E-002,1.496300E-001,2.044300E-002,7.913900E-003,6.347600E-003,2.800900E-002
16,Ethylbenzene,1.507500E-002,3.765000E-003,1.856800E-003,2.163400E-002,3.109700E-003,1.512200E-003,5.632800E-004,4.252500E-003
16,Propylbenzene,3.007600E-003,9.285400E-004,3.444300E-004,4.834600E-003,1.052000E-003,3.654600E-004,0.000000E+000,1.114600E-003
16,m_p-Xylene,2.207700E-002,6.842700E-003,3.534500E-003,1.326400E-002,1.789900E-003,1.676500E-003,3.089100E-004,1.109700E-002
