**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 16

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.01024,  0.00561,  0.00810,  0.00923,  0.01051,  0.02268,  0.00977,  0.00354,  0.36215,  0.34560
Chloroform,  0.00123,  0.00020,  0.00055,  0.00098,  0.00125,  0.00492,  0.00116,  0.00111,  0.95507,  0.90346
Trichlorofluoromethane,  0.00000,  0.00000,  0.00000,  0.00354,  0.00675,  0.05974,  0.00647,  0.01310,  2.02383,  0.00000
Dichlorodifluoromethane,  0.05612,  0.00000,  0.00009,  0.01462,  0.05657,  0.10145,  0.02808,  0.03025,  1.07725,  0.53909
Carbon Tetrachloride,  0.00393,  0.00000,  0.00285,  0.00353,  0.00403,  0.01620,  0.00405,  0.00308,  0.76152,  0.78494
1_1_2-Trichlorotrifluoroethane,  0.00080,  0.00000,  0.00000,  0.00038,  0.00082,  0.01910,  0.00145,  0.00421,  2.90439,  5.27771
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00080,  0.00000,  0.00018,  0.00062,  0.00081,  0.00498,  0.00074,  0.00106,  1.43603,  1.32845
Tetrachloroethene,  0.00127,  0.00003,  0.00125,  0.00127,  0.00131,  0.00170,  0.00124,  0.00030,  0.24569,  0.23835
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00167,  0.00013,  0.00040,  3.10397,  0.00000
1_4-Dichlorobenzene,  0.00018,  0.00000,  0.00002,  0.00018,  0.00025,  0.00207,  0.00023,  0.00045,  1.95846,  2.55684
PCBTF,  0.00343,  0.00003,  0.00342,  0.00353,  0.00362,  0.00476,  0.00342,  0.00087,  0.25573,  0.25526
N-Butane,  0.01579,  0.00756,  0.00866,  0.01366,  0.01610,  0.11438,  0.01766,  0.02303,  1.30429,  1.45801
Isobutane,  0.00264,  0.00000,  0.00000,  0.00263,  0.00281,  0.09454,  0.00655,  0.02078,  3.17126,  7.87674
N-Pentane,  0.00000,  0.00000,  0.00000,  0.00000,  0.00276,  0.04295,  0.00313,  0.00947,  3.02546,  0.00000
Isopentane,  0.02700,  0.02223,  0.02572,  0.02651,  0.02776,  0.04474,  0.02808,  0.00582,  0.20722,  0.21555
2-Methyl pentane,  0.01366,  0.00445,  0.00483,  0.01201,  0.01403,  0.02826,  0.01121,  0.00604,  0.53871,  0.44216
Butene,  0.01743,  0.00641,  0.00671,  0.01384,  0.01760,  0.05223,  0.01433,  0.01013,  0.70697,  0.58118
Propylene,  0.06442,  0.00000,  0.00000,  0.03095,  0.06508,  0.07442,  0.03433,  0.02951,  0.85942,  0.45799
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00392,  0.00020,  0.00088,  4.47214,  0.00000
Isoprene,  0.04461,  0.00000,  0.04481,  0.04800,  0.05467,  0.06996,  0.04557,  0.01806,  0.39628,  0.40483
alpha-Pinene,  0.01406,  0.00288,  0.01384,  0.01404,  0.01609,  0.02075,  0.01375,  0.00442,  0.32172,  0.31470
MVK,  0.01869,  0.00061,  0.01836,  0.01865,  0.02044,  0.02809,  0.01803,  0.00713,  0.39537,  0.38157
Benzene,  0.01549,  0.01514,  0.01547,  0.02027,  0.02079,  0.04545,  0.02089,  0.00737,  0.35264,  0.47553
Toluene,  0.08258,  0.00644,  0.08241,  0.08719,  0.11337,  0.12227,  0.09067,  0.02641,  0.29124,  0.31977
Ethylbenzene,  0.01508,  0.00105,  0.01505,  0.01589,  0.01898,  0.01996,  0.01580,  0.00433,  0.27368,  0.28692
Propylbenzene,  0.00301,  0.00007,  0.00300,  0.00318,  0.00377,  0.00409,  0.00313,  0.00093,  0.29604,  0.30856
m_p-Xylene,  0.02208,  0.00000,  0.02240,  0.02354,  0.02909,  0.02976,  0.02347,  0.00735,  0.31309,  0.33282
o-Xylene,  0.01716,  0.00000,  0.01713,  0.01817,  0.02097,  0.02264,  0.01766,  0.00512,  0.28971,  0.29804
p-Isopropyl Toluene,  0.00088,  0.00000,  0.00000,  0.00050,  0.00089,  0.00150,  0.00050,  0.00045,  0.91333,  0.51344
Naphthalene,  0.00837,  0.00000,  0.00554,  0.00836,  0.00874,  0.01202,  0.00703,  0.00275,  0.39056,  0.32801
Methanol,  1.03980,  0.01758,  0.56387,  0.91732,  1.77708,  4.02220,  1.14683,  0.99680,  0.86918,  0.95865
Ethanol,  0.08087,  0.00000,  0.02869,  0.08305,  0.23141,  0.28372,  0.13195,  0.10299,  0.78054,  1.27346
Phenol,  0.01597,  0.01595,  0.01639,  0.02542,  0.03260,  0.04272,  0.02568,  0.00847,  0.32973,  0.53024
Methyl acetate,  0.02311,  0.01383,  0.01465,  0.02025,  0.02365,  0.03357,  0.01993,  0.00562,  0.28193,  0.24317
n-Butyl acetate,  0.03289,  0.00657,  0.03281,  0.03585,  0.05273,  0.05732,  0.03921,  0.01295,  0.33018,  0.39366
D5-Siloxane,  0.05323,  0.00000,  0.00496,  0.04735,  0.05375,  0.07457,  0.03301,  0.02525,  0.76498,  0.47429

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00767,  0.00622,  0.00753,  0.01037,  0.01575,  0.02013,  0.01123,  0.00408,  0.36307,  0.53168
Chloroform,  0.00155,  0.00126,  0.00152,  0.00200,  0.00213,  0.00363,  0.00199,  0.00055,  0.27894,  0.35634
Trichlorofluoromethane,  0.00685,  0.00000,  0.00000,  0.00656,  0.01862,  0.03130,  0.00930,  0.01222,  1.31465,  1.78336
Dichlorodifluoromethane,  0.03118,  0.03045,  0.03120,  0.05575,  0.13128,  0.16227,  0.07675,  0.04932,  0.64261,  1.58182
Carbon Tetrachloride,  0.00014,  0.00004,  0.00014,  0.00397,  0.00815,  0.01513,  0.00495,  0.00480,  0.96903, 34.40687
1_1_2-Trichlorotrifluoroethane,  0.00000,  0.00000,  0.00000,  0.00312,  0.00868,  0.01567,  0.00483,  0.00525,  1.08785,  0.00000
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00151,  0.00077,  0.00081,  0.00150,  0.00409,  0.00503,  0.00216,  0.00166,  0.76618,  1.09836
Tetrachloroethene,  0.00038,  0.00025,  0.00036,  0.00043,  0.00100,  0.00121,  0.00064,  0.00034,  0.53597,  0.89433
1_2-Dichlorobenzene,  0.00009,  0.00000,  0.00000,  0.00000,  0.00009,  0.00022,  0.00005,  0.00008,  1.60533,  0.91631
1_4-Dichlorobenzene,  0.00011,  0.00000,  0.00001,  0.00010,  0.00011,  0.00049,  0.00009,  0.00011,  1.22914,  1.06028
PCBTF,  0.00085,  0.00000,  0.00055,  0.00083,  0.00186,  0.00204,  0.00108,  0.00073,  0.68012,  0.86788
N-Butane,  0.16750,  0.05637,  0.06053,  0.10184,  0.16592,  0.16752,  0.10988,  0.04742,  0.43154,  0.28308
Isobutane,  0.11864,  0.06383,  0.06409,  0.07968,  0.11829,  0.11867,  0.08789,  0.02337,  0.26593,  0.19701
N-Pentane,  0.05862,  0.00000,  0.00000,  0.00468,  0.05845,  0.05865,  0.02204,  0.02674,  1.21312,  0.45613
Isopentane,  0.07438,  0.00668,  0.03198,  0.04686,  0.07332,  0.07439,  0.04770,  0.02162,  0.45331,  0.29071
2-Methyl pentane,  0.03159,  0.00644,  0.02760,  0.03144,  0.06057,  0.06118,  0.03652,  0.02029,  0.55562,  0.64242
Butene,  0.05948,  0.02827,  0.03116,  0.03888,  0.05876,  0.05949,  0.04357,  0.01289,  0.29584,  0.21669
Propylene,  0.15011,  0.05931,  0.06596,  0.13467,  0.14857,  0.19490,  0.11662,  0.04460,  0.38247,  0.29715
