
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,07/10/21,8.281400E-001,2.240200E-001,1.210100E+000,1.969700E+000,3.814500E+000,1.635400E+000,4.582800E+000,3.049200E+000,1.334800E-001
4,07/11/21,1.277200E+000,5.128700E-001,1.095600E+000,4.136400E-001,1.907900E+000,4.030900E-001,5.043600E+000,1.010000E+000,1.769300E+000
4,07/12/21,4.621800E-001,1.469000E+000,3.827900E-001,2.683900E+000,4.231000E+000,1.282400E+000,5.339200E+000,3.219400E+000,-1.329600E-001
4,07/13/21,1.614200E+000,6.757300E-001,-2.000000E-001,8.869400E-001,3.206700E+000,-1.931200E-003,4.792100E+000,6.205200E-001,6.074800E-001
4,07/14/21,1.396100E+000,1.150500E+000,1.132000E+000,1.731900E+000,3.965700E+000,5.708100E+000,-2.000000E-001,2.876700E+000,-1.574300E-001
4,07/15/21,6.082400E-001,1.016400E+000,1.511300E+000,2.162400E+000,3.869800E+000,1.600500E+000,1.605500E+000,3.589500E+000,7.722300E-002
4,07/16/21,9.451800E-001,5.898600E-001,7.345000E-001,1.633900E+000,3.163200E+000,1.247400E+000,2.171300E+000,2.522200E+000,1.130800E+000
4,07/17/21,1.588900E+000,4.977600E-001,7.092800E-001,6.926000E-001,2.851400E+000,-7.814000E-002,-1.343700E-001,1.235200E+000,1.072400E+000
4,07/18/21,2.183600E+000,4.491300E-001,1.431200E+000,6.010400E-001,2.139500E+000,-1.117400E-001,-1.185200E-001,-2.000000E-001,1.531000E+000
4,07/19/21,1.503700E+000,1.109200E+000,2.043200E+000,9.176700E-001,1.311700E+000,-1.033400E-001,-1.973300E-001,2.102500E+000,1.477100E+000
4,07/20/21,6.763300E-001,7.005600E-001,-2.000000E-001,2.586800E+000,2.067200E+000,1.064400E+001,2.241500E+000,3.485100E+000,5.655500E-001
4,07/21/21,1.345900E+000,5.446800E-001,1.597300E-001,1.226900E+000,2.747000E+000,4.481100E+000,2.900300E+000,2.309800E+000,7.609700E-001
