
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
4,Dichloromethane,9.580100E-003,8.488800E-003,1.093400E-002,7.967400E-003,4.889300E-002,5.117300E-003,5.954300E-004,8.755900E-003,2.471200E-002
4,Chloroform,5.806200E-004,1.690100E-003,2.195700E-003,1.181900E-003,1.306800E-002,7.321900E-004,1.411400E-003,8.622600E-004,4.276800E-003
4,Trichlorofluoromethane,4.709200E-002,1.539000E-002,2.195600E-018,5.420900E-003,1.077200E-001,6.053500E-003,4.244100E-019,5.796100E-003,6.880000E-002
4,Dichlorodifluoromethane,4.760900E-002,3.754800E-002,5.527300E-002,3.098900E-002,4.765300E-002,7.616400E-003,6.191700E-003,8.236400E-003,1.673700E-001
4,Carbon Tetrachloride,1.117000E-002,3.788700E-003,3.802500E-003,5.576100E-019,2.647400E-002,1.108800E-003,1.620800E-003,2.049700E-003,2.237600E-002
4,1_1_2-Trichlorotrifluoroethane,1.329900E-002,5.799900E-003,2.576100E-003,8.489400E-019,2.938700E-002,1.693900E-003,1.914500E-003,1.766400E-018,2.581200E-002
4,1_2-Dichloro-1_1_2_2-tetrafluoroethane,2.618400E-003,1.343800E-003,7.400900E-004,1.707900E-003,3.597300E-003,3.179800E-004,6.642900E-020,4.562800E-021,6.638700E-003
4,Tetrachloroethene,1.991100E-004,6.954700E-004,1.057500E-003,2.207100E-004,1.700300E-003,9.356000E-005,1.283800E-004,1.312900E-003,2.962800E-004
4,1_2-Dichlorobenzene,7.942300E-005,5.108100E-003,2.215900E-021,2.691000E-021,5.722900E-004,4.228600E-005,8.957400E-005,1.708100E-005,1.089800E-004
4,1_4-Dichlorobenzene,1.936400E-004,5.152100E-003,9.729900E-005,2.652100E-005,2.403500E-004,9.279400E-005,5.369600E-021,5.294000E-021,2.097600E-005
4,PCBTF,2.448900E-004,8.959900E-004,1.926600E-003,7.324800E-004,4.115200E-003,6.647000E-004,2.236100E-004,4.072100E-003,3.210900E-020
4,N-Butane,6.053600E-003,6.855200E-002,5.991000E-002,1.683100E-001,4.821400E-002,2.108800E-003,9.360400E-003,8.271300E-003,4.218900E-002
4,Isobutane,1.356000E-019,1.245000E-002,6.598900E-002,9.882600E-002,5.483700E-002,4.865300E-003,1.306200E-018,4.857600E-019,1.270900E-019
4,N-Pentane,6.571000E-020,2.228800E-003,2.707400E-019,6.521200E-002,1.670600E-002,4.974300E-004,1.715900E-019,2.815100E-003,3.183800E-003
4,Isopentane,2.013600E-002,3.013500E-002,5.156200E-002,6.442100E-002,1.431100E-001,8.385000E-003,1.304800E-002,2.849700E-002,5.597400E-019
4,2-Methyl pentane,1.186600E-002,5.777000E-003,6.745300E-002,2.822900E-002,1.884700E-001,1.028600E-002,6.387500E-003,8.692200E-003,4.174100E-003
4,Butene,9.731500E-003,2.698700E-002,3.116700E-002,6.071100E-002,4.192300E-002,3.152300E-004,1.524000E-002,8.097800E-003,2.069900E-002
4,Propylene,1.007000E-015,1.066900E-001,5.805900E-002,1.496900E-001,7.551800E-016,2.022600E-016,3.925400E-018,5.664500E-003,8.127900E-002
4,cis-2-Pentene,1.121200E-003,6.856900E-019,1.413200E-004,2.523600E-003,4.350700E-003,2.049200E-019,2.170100E-004,6.576900E-019,1.159600E-003
