
**** Error Estimation Summary ****

DISP Displaced Species:
,1-Butene + Isobutylene
,2-Methyl pentane
,Acetaldehyde
,Benzene_ 1_2-dichloro-
,Benzene_ 1_4-dichloro
,Benzene_ propyl-
,Carbon Tetrachloride
,Chloroform
,Cyclohexanone
,Decamethylcyclopentasiloxane
,Dichlorodifluoromethane
,Dichloromethane
,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-
,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-
,Ethanol
,Ethylbenzene
,Formaldehyde
,Hexaldehyde
,Isobutane
,Isopentane
,Isoprene
,Isovaleraldehyde
,MVK
,Methanol
,Methyl acetate
,N-Butane
,Naphthalene
,Parachlorobenzotrifluoride
,Pentane
,Phenol
,Phenylacetaldehyde
,Propylene
,Tetrachloroethene
,Toluene
,Trichlorofluoromethane
,a-Pinene
,cis-2-Pentene
,m_p-Tolualdehyde
,m_p-Xylene
,n-Butyl acetate
,o-Xylene
,p-Cymene
,p-Isopropyl Toluene

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,-0.355
,%dQ:,-0.001627
,Swaps by Factor:,0,0,0,0,0,0,0,0,0

Concentrations for MIxing solvents,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1-Butene + Isobutylene,0.046194,,,,,,,,,0.038813,0.0461395,0.053466,
2-Methyl pentane,0.18047,,,,,,,,,0.16935,0.1803,0.19125,
Acetaldehyde,0.15618,,,,,,,,,0.040802,0.152896,0.26499,
Benzene,0.16162,,,,,,,,,0.15711,0.161415,0.16572,
Benzene_ 1_2-dichloro-,0.00051588,,,,,,,,,0.00031837,0.000504095,0.00068982,
Benzene_ 1_4-dichloro,0.00020478,,,,,,,,,0,0.000190165,0.00038033,
Benzene_ propyl-,0.0037694,,,,,,,,,0.0033284,0.003731,0.0041336,
Carbon Tetrachloride,0.030386,,,,,,,,,0.02769,0.030427,0.033164,
Chloroform,0.013176,,,,,,,,,0.012305,0.013187,0.014069,
Cyclohexanone,0,,,,,,,,,0,2.07415E-05,4.1483E-05,
Decamethylcyclopentasiloxane,0.018434,,,,,,,,,0.013555,0.018276,0.022997,
Dichlorodifluoromethane,0.074486,,,,,,,,,0.061462,0.074989,0.088516,
Dichloromethane,0.054968,,,,,,,,,0.050732,0.0549245,0.059117,
Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,0.032294,,,,,,,,,0.029012,0.03228,0.035548,
Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,0.0047049,,,,,,,,,0.0041745,0.0047182,0.0052619,
Ethanol,0.15019,,,,,,,,,0,0.148595,0.29719,
Ethylbenzene,0.016609,,,,,,,,,0.014411,0.016513,0.018615,
Formaldehyde,0.51399,,,,,,,,,0.23638,0.49999,0.7636,
Hexaldehyde,0,,,,,,,,,0,0.0004198,0.0008396,
Isobutane,0.042998,,,,,,,,,0.035199,0.0427485,0.050298,
Isopentane,0.13862,,,,,,,,,0.12808,0.13876,0.14944,
Isoprene,0.076407,,,,,,,,,0.00087317,0.06493159,0.12899,
Isovaleraldehyde,0.0036557,,,,,,,,,0.0011759,0.003622,0.0060681,
MVK,0.038808,,,,,,,,,0.0038384,0.0337227,0.063607,
Methanol,0.88429,,,,,,,,,0,2.32005,4.6401,
Methyl acetate,0.13285,,,,,,,,,0.12497,0.133,0.14103,
N-Butane,0.05014,,,,,,,,,0.037252,0.0497115,0.062171,
Naphthalene,0.0045103,,,,,,,,,0.0037754,0.0044975,0.0052196,
Parachlorobenzotrifluoride,0.0048433,,,,,,,,,0.0042747,0.0048115,0.0053483,
Pentane,0.015414,,,,,,,,,0.011525,0.0153725,0.01922,
Phenol,0.13035,,,,,,,,,0.10209,0.12412,0.14615,
Phenylacetaldehyde,0.050811,,,,,,,,,0.042398,0.0498665,0.057335,
Propylene,0,,,,,,,,,0,0.0013833,0.0027666,
Tetrachloroethene,0.0020635,,,,,,,,,0.001877,0.0020644,0.0022518,
Toluene,0.11867,,,,,,,,,0.10488,0.11799,0.1311,
Trichlorofluoromethane,0.11936,,,,,,,,,0.10888,0.118715,0.12855,
a-Pinene,0.013058,,,,,,,,,0,0.0113485,0.022697,
cis-2-Pentene,0.004423,,,,,,,,,0.0039716,0.00438995,0.0048083,
m_p-Tolualdehyde,0,,,,,,,,,0,3.2226E-05,6.4452E-05,
m_p-Xylene,0.0086545,,,,,,,,,0.0056467,0.00815485,0.010663,
n-Butyl acetate,0.059396,,,,,,,,,0.051013,0.0592445,0.067476,
o-Xylene,0.011634,,,,,,,,,0.0093817,0.01139535,0.013409,
p-Cymene,0.0021735,,,,,,,,,0.0016657,0.00212575,0.0025858,
p-Isopropyl Toluene,0.0084912,,,,,,,,,0.0073609,0.0084065,0.0094521,

Concentrations for Biogenics,,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
1-Butene + Isobutylene,0.0087491,,,,,,,,,0.0031854,0.0086097,0.014034,
2-Methyl pentane,0.010892,,,,,,,,,0.0043571,0.01163205,0.018907,
Acetaldehyde,0.43666,,,,,,,,,0.35391,0.43337,0.51283,
Benzene,0.0053215,,,,,,,,,0.0010005,0.00773675,0.014473,
