
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
6,07/10/21,7.207400E-001,2.084500E+000,1.787600E+000,4.052900E+000,2.178000E+000,-1.191700E-001,2.041100E-001,2.286300E-001,4.614500E+000
6,07/11/21,1.071500E+000,3.945000E-001,6.314200E-001,2.399200E+000,4.299500E-001,9.035600E-001,1.007500E+000,5.213600E-001,4.309600E+000
6,07/12/21,3.988800E-001,2.222800E+000,1.475000E+000,4.174500E+000,2.904400E+000,-2.000000E-001,-2.000000E-001,1.464400E+000,5.399800E+000
6,07/13/21,-2.000000E-001,-2.000000E-001,1.372400E-001,3.085700E+000,1.033200E+000,6.867500E-001,1.083400E+000,7.072800E-001,4.998000E+000
6,07/14/21,1.002200E+000,1.935100E+000,5.600600E+000,3.949800E+000,1.845700E+000,-1.196900E-001,1.062000E+000,1.253600E+000,-2.000000E-001
6,07/15/21,1.149200E+000,2.896100E+000,1.615800E+000,4.043000E+000,2.407100E+000,-2.000000E-001,-2.011500E-002,1.032700E+000,1.673500E+000
6,07/16/21,6.637200E-001,1.506800E+000,1.308800E+000,3.448800E+000,1.789900E+000,5.548900E-001,5.204200E-001,5.906900E-001,2.154100E+000
6,07/17/21,1.114300E+000,8.221100E-001,-1.557200E-001,2.807000E+000,7.294700E-001,7.136100E-001,1.254500E+000,5.330000E-001,-1.620100E-001
6,07/18/21,1.784900E+000,-2.000000E-001,-1.946300E-001,1.973600E+000,6.251600E-001,1.243100E+000,1.941800E+000,4.700700E-001,-1.973500E-001
6,07/19/21,-2.000000E-001,1.899500E+000,-1.202200E-001,2.502200E+000,5.786400E-001,-2.000000E-001,1.513500E+000,1.116800E+000,-1.081000E-001
6,07/20/21,-2.000000E-001,1.891500E+000,1.094400E+001,2.189500E+000,2.604200E+000,4.974700E-001,5.662800E-001,7.266200E-001,2.351300E+000
6,07/21/21,6.825000E-002,9.389900E-001,4.596400E+000,3.217700E+000,1.314100E+000,9.858000E-002,9.686000E-001,5.780000E-001,2.806200E+000
6,07/22/21,3.889300E-001,3.357600E+000,3.120800E+000,4.051100E+000,2.954400E+000,-2.000000E-001,-2.000000E-001,1.344400E+000,2.847300E+000
6,07/23/21,1.484100E+000,1.989400E+000,3.783700E+000,3.123900E+000,1.717400E+000,-2.000000E-001,8.006000E-001,1.121700E+000,-1.710400E-001
6,07/24/21,1.122500E+000,1.807500E+000,-1.182800E-001,2.670200E+000,1.477400E+000,5.399100E-001,5.482400E-001,7.096000E-001,-1.283300E-001
6,07/25/21,1.009100E+000,4.502500E-001,6.215600E-001,2.157400E+000,8.411600E-001,9.662100E-001,2.967600E-001,7.569400E-001,2.319500E+000
6,07/26/21,1.827400E-001,1.542300E+000,-7.222800E-002,-2.000000E-001,-2.018800E-002,1.508100E-001,1.001500E+000,1.123200E-002,1.101600E+000
6,07/27/21,5.427700E-001,1.089900E+000,2.003200E+000,2.408000E+000,1.163600E+000,4.933000E-001,8.730200E-001,1.062700E-001,2.796100E+000
6,07/28/21,8.604500E-001,2.278900E+000,2.872500E-001,2.216000E+000,1.300600E+000,5.971100E-001,1.139900E+000,5.175300E-001,1.523000E+000
6,07/29/21,9.374000E-001,3.258500E+000,6.927900E-001,4.791400E-001,2.198400E+000,5.571000E-001,1.366200E+000,6.197700E-001,2.003200E+000
6,07/30/21,1.937800E-001,1.566900E+000,7.036500E-001,2.096400E+000,7.512800E-001,5.550200E-001,1.377300E+000,1.201200E-001,3.572900E+000
6,07/31/21,-1.055100E-001,1.094900E+000,1.328500E+000,2.164900E+000,1.750300E+000,5.302400E-001,8.432800E-001,2.901700E-001,4.298600E+000
6,08/01/21,8.204400E-001,3.480700E-001,2.591600E-001,1.270000E+000,1.671600E+000,6.029400E-002,1.907300E+000,5.269600E-001,1.330900E+000
6,08/02/21,6.665000E-001,1.579400E-001,-1.999500E-001,1.220700E+000,5.478400E-001,8.522400E-001,3.019700E+000,-1.889600E-001,-1.597300E-001
6,08/03/21,-2.000000E-001,2.036100E+000,-2.000000E-001,2.174600E+000,1.376000E+000,1.023600E-001,2.722100E+000,1.001000E-002,1.501100E+000
6,08/04/21,7.309900E-001,1.868800E+000,2.217900E-001,3.036100E+000,2.829400E+000,-2.000000E-001,1.402400E+000,3.141400E-001,1.757600E+000
6,08/05/21,6.510000E-001,2.338700E+000,1.587100E-001,2.955600E+000,2.728600E+000,-1.995700E-004,1.306400E+000,8.960600E-001,1.860600E+000
6,08/06/21,1.948400E+000,1.448000E+000,-1.354400E-001,2.281500E+000,1.652700E+000,1.461200E-001,1.463100E+000,9.236100E-001,-1.592300E-001
6,08/07/21,1.653300E+000,1.039900E+000,-1.747300E-001,1.814000E+000,3.339800E-001,1.009300E+000,1.164600E+000,8.554900E-001,1.165500E+000
6,08/08/21,8.822900E-001,4.469900E-001,4.993100E-001,1.668400E+000,8.445100E-001,1.057300E+000,7.147200E-001,6.130600E-001,2.393100E+000
6,08/09/21,2.433400E+000,2.710000E+000,8.852200E-002,8.079200E-002,1.081800E+000,1.507000E+000,7.399000E-001,4.414500E-001,1.750300E+000
6,08/10/21,1.203400E+000,2.349500E+000,2.603400E-001,2.177300E+000,2.296100E+000,4.043700E-001,9.443300E-001,8.498100E-001,1.650200E+000
6,08/11/21,3.392800E-002,-2.000000E-001,1.087300E-001,1.096300E+000,-1.811900E-001,9.338000E-001,2.220100E+000,1.136500E+000,8.514300E-001
6,08/12/21,2.689200E+000,9.380600E-001,3.500800E-001,3.315900E+000,-8.072100E-002,2.759200E+000,1.059900E+000,-2.000000E-001,9.383000E-001
6,08/13/21,9.169000E-001,-2.000000E-001,1.041900E+001,1.398800E-001,-2.000000E-001,1.166500E+000,1.660300E+000,5.960900E-001,7.380700E-001
6,08/14/21,1.159900E+000,9.742800E-001,5.488400E+000,3.101400E-001,4.462600E-001,8.448400E-001,1.834500E+000,1.122300E-001,1.348600E+000
6,08/15/21,2.588500E+000,4.797600E-001,3.931300E+000,8.017700E-001,6.366100E-001,2.870600E-001,1.174600E+000,4.938800E-001,6.387800E-001
6,08/16/21,4.019500E+000,1.163100E+000,1.465000E+000,7.192700E-001,1.815700E+000,-1.356600E-001,2.368500E+000,6.659900E-001,1.243200E+000
6,08/17/21,2.965400E+000,2.259100E+000,2.188600E+000,-2.000000E-001,4.635400E-001,7.983200E-001,1.307400E+000,1.168700E+000,9.061400E-001
6,08/18/21,1.340800E-001,-2.604900E-002,1.319900E+000,1.362600E-001,-1.748500E-001,1.739900E+000,7.383300E-001,-7.860900E-002,-6.361500E-002
6,08/19/21,2.129400E-001,-1.250800E-001,1.020900E+000,1.520700E-001,-1.972100E-001,2.010200E+000,6.196600E-001,-8.533800E-002,-7.192500E-002
6,08/20/21,3.236000E+000,3.240500E+000,2.624200E+000,1.351700E+000,1.451700E+000,9.425800E-001,-2.000000E-001,7.056200E-001,6.785000E-001
6,08/21/21,-4.506100E-003,4.095100E+000,5.773800E-001,4.393100E-002,-2.000000E-001,4.031900E-001,2.253200E-001,1.530300E+000,-2.019900E-002
6,08/22/21,2.476300E+000,9.432000E-001,-1.312400E-001,6.105000E-001,8.631500E-001,1.988000E+000,2.025900E-001,4.174800E-002,-1.260400E-001
6,08/23/21,2.329400E+000,1.295600E+000,3.448100E-001,9.787900E-001,8.459500E-001,1.566800E+000,2.015800E-001,4.641300E-001,8.669800E-001
6,08/24/21,2.987000E+000,1.655000E+000,7.263800E-001,9.225900E-001,3.253000E-001,1.332300E+000,9.847500E-001,8.205900E-001,-2.000000E-001
6,08/25/21,2.026800E+000,1.923100E+000,-1.521900E-001,1.559800E+000,9.049100E-001,5.754400E-001,1.655800E+000,8.731900E-001,-1.943900E-001
6,08/26/21,9.866400E-001,5.181800E-001,1.426400E+000,1.016100E+000,-5.262600E-002,9.127900E-001,2.529400E+000,8.938800E-001,-2.000000E-001
6,08/27/21,1.567200E+000,4.629400E-001,-1.943400E-001,1.142800E+000,6.142000E-001,6.147900E-001,2.388500E+000,-2.000000E-001,1.742500E+000
6,08/28/21,2.092200E+000,4.870100E-001,1.919900E-001,1.489600E+000,9.437900E-001,1.421300E-001,2.606100E+000,3.717600E-001,2.217200E+000
6,08/29/21,1.620400E+000,1.741200E-001,4.141400E-001,1.193000E+000,2.177500E-001,6.406100E-001,2.486900E+000,5.384100E-001,1.797700E+000
6,08/30/21,-1.602400E-002,-1.069700E-002,-3.584300E-002,-4.173000E-002,3.307900E-002,-2.000000E-001,1.050800E+000,6.774100E-004,7.304600E-003
6,08/31/21,3.682400E+000,3.339200E+000,7.432300E-001,1.498400E+000,1.707900E+000,3.628800E-001,-1.827700E-001,4.783200E-001,1.795200E+000
6,09/01/21,1.162300E+000,9.834800E-001,-1.428100E-001,1.001800E+000,4.672200E-001,1.787100E+000,-1.243900E-001,1.187100E+000,1.537100E+000
6,09/02/21,2.760100E+000,2.414300E+000,4.016600E-001,9.848700E-001,8.924700E-001,1.420200E+000,-2.000000E-001,-6.496500E-002,2.654000E+000
6,09/03/21,1.626000E+000,4.021500E-001,6.552900E-001,1.187500E+000,3.786200E-001,5.771100E-001,8.905000E-001,5.097800E-001,1.874800E+000
6,09/04/21,-1.786100E-002,-1.123600E-002,-3.203600E-002,-3.312700E-002,3.098700E-002,-2.000000E-001,9.608000E-001,1.346300E-003,1.043500E-002
6,09/05/21,6.465300E-001,-1.571500E-001,1.046600E-001,5.436700E-001,-1.969000E-001,9.699500E-001,2.331400E+000,3.654100E-001,1.088800E+000
6,09/06/21,2.729200E+000,6.580500E-001,3.361200E-001,1.152700E+000,1.157100E+000,2.240400E-001,1.728000E+000,1.912300E-001,1.912000E+000
6,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/08/21,2.196400E+000,2.088400E+000,3.160800E-001,2.080700E+000,2.172700E+000,-2.000000E-001,9.867000E-001,8.319500E-001,1.632000E+000
6,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/10/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
6,09/11/21,1.482800E+000,7.273500E-001,3.143800E-001,6.991300E-001,-2.000000E-001,2.847200E-001,2.471600E+000,-1.303200E-001,2.122200E+000
6,09/12/21,4.421300E-001,-1.317900E-001,-7.172800E-002,4.182800E-001,-1.488300E-001,7.470500E-001,2.999900E+000,-1.101200E-001,9.545900E-001
6,09/13/21,9.424900E-001,1.238900E-001,2.504400E+000,6.580000E-001,2.700700E-001,5.093800E-001,2.586100E+000,-1.464300E-001,1.497800E+000
6,09/14/21,1.997900E+000,9.226300E-001,6.144900E+000,3.429500E-001,6.765200E-001,6.075800E-001,1.954900E+000,-1.262500E-001,1.068400E+000
6,09/15/21,2.155800E+000,2.007300E+000,3.892900E+000,1.032900E+000,1.125600E+000,1.727200E-001,1.097800E+000,-1.781000E-001,1.663100E+000
6,09/16/21,3.277900E+000,2.245700E+000,3.058900E+000,1.087000E+000,1.544900E+000,1.934400E-001,7.242000E-001,-2.000000E-001,1.922000E+000
6,09/17/21,3.587900E+000,2.787500E+000,1.360800E+000,8.359900E-001,1.337100E+000,4.850900E-001,2.414100E-002,-1.519600E-001,1.096200E+000
6,09/18/21,2.657800E+000,2.126800E+000,9.807300E-001,6.720700E-001,7.456700E-001,5.695700E-001,7.944600E-001,-1.364600E-001,1.297300E+000
6,09/19/21,2.065700E+000,6.853600E-001,7.994600E-001,5.091400E-001,3.796100E-001,1.130900E+000,4.788800E-001,-1.221400E-001,9.994700E-001
6,09/20/21,1.794800E+000,1.464800E+000,1.211300E+000,9.592100E-001,1.000600E+000,2.690600E-001,1.540400E+000,-1.711700E-001,1.345900E+000
6,09/21/21,3.578900E-001,-4.785500E-002,3.121100E-001,1.929100E-001,-1.337200E-001,1.092300E+000,2.619800E+000,-9.413400E-002,1.255200E+000
6,09/22/21,1.613100E+000,6.212200E-001,2.161900E-001,8.617100E-001,2.172000E-001,3.108200E-001,2.211800E+000,-1.375800E-001,1.059800E+000
6,09/23/21,1.158800E+000,1.404900E+000,1.414100E-001,6.244700E-001,3.840800E-001,8.234400E-001,1.916900E+000,-1.347400E-001,1.188800E+000
6,09/24/21,3.490400E+000,1.991500E+000,8.736100E+000,4.267300E-001,1.146900E+000,3.404500E-001,8.658100E-001,-1.196700E-001,1.544700E+000
6,09/25/21,-1.611800E-002,-1.072500E-002,-3.564900E-002,-4.129000E-002,3.297200E-002,-2.000000E-001,1.046200E+000,7.113100E-004,7.464500E-003
6,09/26/21,-1.726500E-002,-7.808500E-003,-2.767800E-002,-2.374800E-002,2.524100E-002,-1.557800E-001,8.081800E-001,1.293100E-003,1.411700E-002
6,09/27/21,2.593200E+000,9.969000E-001,-9.599000E-002,2.627200E-001,7.567300E-001,1.285700E+000,3.511700E-001,-9.448300E-002,-9.357900E-002
6,09/28/21,2.074900E+000,1.282100E+000,-7.753900E-002,1.930700E-001,1.362600E-001,9.975000E-001,2.989200E-001,-6.035700E-002,-6.643200E-002
6,09/29/21,1.431700E+000,7.085300E-001,2.076900E+000,3.620300E-001,-1.703900E-001,1.138300E+000,5.463200E-001,-4.667800E-002,-7.261200E-002
