
Factor Profiles (conc. of species) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
6,1-Butene + Isobutylene,3.004300E-002,6.198300E-003,6.783300E-004,4.609500E-002,6.399100E-002,2.131600E-002,8.793000E-003,2.228600E-002,1.413800E-002
6,2-Methyl pentane,7.309400E-002,4.417900E-003,8.944400E-003,1.802600E-001,3.430100E-002,3.148800E-003,1.123500E-002,4.946700E-003,8.809800E-003
6,Acetaldehyde,4.298200E-001,3.813500E-001,2.016200E-002,1.520800E-001,6.551900E-002,0.000000E+000,4.354800E-001,1.738100E-001,1.966600E-001
6,Benzene,2.339300E-002,1.326300E-002,2.248900E-003,1.615600E-001,2.136400E-002,1.918200E-002,5.610000E-003,8.397400E-004,6.668300E-003
6,Benzene_ 1_2-dichloro-,0.000000E+000,0.000000E+000,0.000000E+000,4.882500E-004,1.754200E-004,2.014700E-004,5.068700E-005,5.013900E-003,1.023000E-004
6,Benzene_ 1_4-dichloro,5.956500E-005,0.000000E+000,5.521400E-005,1.759800E-004,2.030700E-004,1.308900E-004,1.505800E-004,5.073400E-003,0.000000E+000
6,Benzene_ propyl-,9.679500E-004,3.472600E-003,4.190900E-004,3.777200E-003,1.245500E-003,5.369300E-005,9.688100E-004,8.664300E-004,1.023700E-005
6,Carbon Tetrachloride,5.818600E-003,1.556300E-003,9.360000E-004,3.031900E-002,0.000000E+000,2.241800E-002,1.000600E-002,0.000000E+000,1.113700E-003
6,Chloroform,3.002700E-003,4.998600E-004,6.897500E-004,1.317500E-002,1.603300E-003,4.334300E-003,3.782400E-004,8.174400E-004,1.414000E-003
6,Cyclohexanone,3.110900E-004,7.638300E-004,9.631400E-005,0.000000E+000,0.000000E+000,2.908300E-004,2.294900E-004,1.261700E-004,2.522900E-004
6,Decamethylcyclopentasiloxane,4.423100E-002,3.621600E-003,3.489700E-003,1.827100E-002,1.673500E-002,0.000000E+000,1.101400E-003,1.367600E-002,1.249300E-002
6,Dichlorodifluoromethane,5.527100E-002,1.500100E-002,8.561300E-003,7.428400E-002,2.216200E-002,1.711500E-001,4.252600E-002,8.464100E-003,3.202000E-003
6,Dichloromethane,1.156400E-002,6.450300E-003,5.513100E-003,5.494300E-002,9.253800E-003,2.489800E-002,8.242600E-003,3.862700E-003,0.000000E+000
6,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,5.778900E-003,0.000000E+000,1.236900E-003,3.220100E-002,0.000000E+000,2.664800E-002,1.132500E-002,1.182500E-003,1.838700E-003
6,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,1.121400E-003,0.000000E+000,3.124100E-004,4.692600E-003,1.307400E-003,6.787800E-003,2.258700E-003,2.711700E-004,0.000000E+000
6,Ethanol,1.127400E-001,0.000000E+000,0.000000E+000,1.490100E-001,0.000000E+000,1.879400E-001,1.808400E-001,1.007400E-001,4.797100E+000
6,Ethylbenzene,2.944200E-003,1.819500E-002,2.128800E-003,1.668300E-002,4.986600E-003,9.999200E-004,3.246200E-003,2.841100E-003,5.269900E-004
6,Formaldehyde,6.387500E-001,2.436700E-001,1.448300E-002,5.026500E-001,1.956000E-001,7.872600E-002,1.025500E+000,2.650800E-001,3.741000E-001
6,Hexaldehyde,0.000000E+000,2.359700E-002,0.000000E+000,0.000000E+000,0.000000E+000,7.351500E-002,2.528000E-002,2.162400E-002,7.115800E-003
6,Isobutane,7.063000E-002,0.000000E+000,4.321400E-003,4.301400E-002,1.049300E-001,1.467000E-003,0.000000E+000,1.116000E-002,0.000000E+000
6,Isopentane,5.202000E-002,2.199900E-002,8.713700E-003,1.385600E-001,7.694900E-002,0.000000E+000,1.892600E-002,2.693300E-002,1.494200E-002
6,Isoprene,1.409700E-002,3.235200E-002,1.014600E-002,7.344300E-002,2.912400E-002,9.167200E-003,3.351800E-001,1.681000E-002,4.656900E-002
6,Isovaleraldehyde,0.000000E+000,1.062800E-002,0.000000E+000,3.620300E-003,0.000000E+000,2.654400E-002,9.768100E-003,7.594300E-003,4.000300E-003
6,MVK,1.100700E-002,9.797500E-003,3.426100E-003,3.739200E-002,1.707700E-002,0.000000E+000,1.543300E-001,8.223200E-003,2.891900E-002
6,Methanol,2.948700E-001,2.458200E-001,7.336100E+001,1.438600E+000,0.000000E+000,3.659500E+000,3.279300E+000,6.609900E-001,1.212700E+000
6,Methyl acetate,3.246700E-002,1.591900E-002,6.602000E-003,1.329200E-001,1.348800E-002,7.023200E-003,0.000000E+000,3.289900E-003,8.667400E-003
6,N-Butane,5.750600E-002,9.535300E-003,2.288100E-003,5.008600E-002,1.716800E-001,4.579500E-002,5.832400E-003,5.845900E-002,8.230100E-003
6,Naphthalene,3.578300E-003,5.309700E-003,1.271600E-003,4.503000E-003,0.000000E+000,0.000000E+000,3.105000E-003,0.000000E+000,9.830100E-004
6,Parachlorobenzotrifluoride,9.759000E-004,3.792100E-003,9.214700E-004,4.862200E-003,1.178300E-003,0.000000E+000,1.920500E-004,6.320300E-004,3.060700E-004
6,Pentane,0.000000E+000,2.384900E-003,5.442000E-004,1.562300E-002,6.652100E-002,5.286200E-003,0.000000E+000,5.633500E-004,0.000000E+000
6,Phenol,0.000000E+000,1.655000E-003,1.455800E-003,1.294100E-001,0.000000E+000,6.383200E-002,1.235800E-001,2.599000E-002,0.000000E+000
6,Phenylacetaldehyde,0.000000E+000,0.000000E+000,3.715800E-004,5.050300E-002,2.018100E-003,6.102200E-002,3.353300E-002,1.288300E-002,0.000000E+000
6,Propylene,3.985300E-002,4.743500E-002,0.000000E+000,0.000000E+000,1.277200E-001,9.869800E-002,0.000000E+000,8.724500E-002,0.000000E+000
6,Tetrachloroethene,7.264800E-004,1.183300E-003,1.828500E-004,2.064500E-003,4.225000E-004,2.741500E-004,1.912500E-004,5.597200E-004,9.483500E-005
6,Toluene,1.268200E-002,1.096000E-001,1.217800E-002,1.191200E-001,3.175800E-002,6.392900E-003,1.966900E-002,1.821800E-002,4.621900E-003
6,Trichlorofluoromethane,8.440800E-003,1.468300E-003,5.135000E-003,1.190800E-001,6.300400E-003,7.120700E-002,4.071700E-002,3.121500E-003,0.000000E+000
6,a-Pinene,4.744200E-003,1.118700E-002,1.697400E-003,1.254900E-002,6.548100E-003,1.075000E-002,6.108700E-002,4.262500E-003,9.017800E-003
6,cis-2-Pentene,4.303300E-004,0.000000E+000,0.000000E+000,4.412300E-003,2.373300E-003,1.048700E-003,1.043400E-003,0.000000E+000,2.164900E-004
6,m_p-Tolualdehyde,3.074400E-004,5.068500E-004,4.227700E-005,0.000000E+000,7.241900E-005,0.000000E+000,3.089200E-004,1.093200E-004,4.187200E-005
6,m_p-Xylene,1.219200E-004,2.693700E-002,2.176000E-003,8.735700E-003,7.715800E-003,2.756000E-003,5.307600E-003,8.929700E-003,0.000000E+000
6,n-Butyl acetate,0.000000E+000,4.979500E-002,6.447500E-003,5.977800E-002,1.822600E-002,1.116800E-003,0.000000E+000,1.077300E-003,4.853300E-003
6,o-Xylene,2.295700E-003,1.999100E-002,2.030500E-003,1.171200E-002,4.059500E-003,9.462100E-004,3.604400E-003,3.627600E-003,4.217500E-004
6,p-Cymene,1.533900E-004,5.012200E-004,5.674600E-005,2.157600E-003,1.136200E-003,7.126400E-004,2.116200E-003,2.804900E-004,5.634500E-004
6,p-Isopropyl Toluene,2.052600E-003,9.526600E-005,5.685800E-004,8.439700E-003,9.404700E-004,2.712200E-005,4.362900E-003,7.370100E-004,2.451400E-003

Factor Profiles (% of species sum) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
6,1-Butene + Isobutylene,1.406912E+001,2.902660E+000,3.176615E-001,2.158626E+001,2.996694E+001,9.982268E+000,4.117756E+000,1.043652E+001,6.620816E+000
6,2-Methyl pentane,2.220638E+001,1.342184E+000,2.717361E+000,5.476404E+001,1.042084E+001,9.566238E-001,3.413259E+000,1.502836E+000,2.676469E+000
6,Acetaldehyde,2.317238E+001,2.055927E+001,1.086970E+000,8.198909E+000,3.532248E+000,0.000000E+000,2.347752E+001,9.370413E+000,1.060230E+001
6,Benzene,9.205170E+000,5.219004E+000,8.849445E-001,6.357403E+001,8.406756E+000,7.548137E+000,2.207541E+000,3.304386E-001,2.623983E+000
6,Benzene_ 1_2-dichloro-,0.000000E+000,0.000000E+000,0.000000E+000,8.094294E+000,2.908144E+000,3.340005E+000,8.402979E-001,8.312132E+001,1.695947E+000
6,Benzene_ 1_4-dichloro,1.018432E+000,0.000000E+000,9.440390E-001,3.008874E+000,3.472054E+000,2.237934E+000,2.574590E+000,8.674408E+001,0.000000E+000
6,Benzene_ propyl-,8.215840E+000,2.947500E+001,3.557184E+000,3.206041E+001,1.057165E+001,4.557396E-001,8.223140E+000,7.354151E+000,8.689039E-002
6,Carbon Tetrachloride,8.062621E+000,2.156508E+000,1.296981E+000,4.201193E+001,0.000000E+000,3.106380E+001,1.386495E+001,0.000000E+000,1.543213E+000
6,Chloroform,1.158691E+001,1.928875E+000,2.661628E+000,5.084009E+001,6.186862E+000,1.672533E+001,1.459564E+000,3.154362E+000,5.456386E+000
6,Cyclohexanone,1.502840E+001,3.689975E+001,4.652819E+000,0.000000E+000,0.000000E+000,1.404966E+001,1.108640E+001,6.095128E+000,1.218784E+001
6,Decamethylcyclopentasiloxane,3.892933E+001,3.187504E+000,3.071414E+000,1.608098E+001,1.472909E+001,0.000000E+000,9.693827E-001,1.203675E+001,1.099555E+001
