
Residuals from Base Run #6 (Convergent Run)

Base_Run,Date_Time,1-Butene + Isobutylene,2-Methyl pentane,Acetaldehyde,Benzene,Benzene_ 1_2-dichloro-,Benzene_ 1_4-dichloro,Benzene_ propyl-,Carbon Tetrachloride,Chloroform,Cyclohexanone,Decamethylcyclopentasiloxane,Dichlorodifluoromethane,Dichloromethane,Ethane_ 1_1_2-trichloro-1_2_2-trifluoro-,Ethane_ 1_2-dichloro-1_1_2_2-tetrafluoro-,Ethanol,Ethylbenzene,Formaldehyde,Hexaldehyde,Isobutane,Isopentane,Isoprene,Isovaleraldehyde,MVK,Methanol,Methyl acetate,N-Butane,Naphthalene,Parachlorobenzotrifluoride,Pentane,Phenol,Phenylacetaldehyde,Propylene,Tetrachloroethene,Toluene,Trichlorofluoromethane,a-Pinene,cis-2-Pentene,m_p-Tolualdehyde,m_p-Xylene,n-Butyl acetate,o-Xylene,p-Cymene,p-Isopropyl Toluene
6,07/10/21,4.814000E-002,-1.324000E-002,-6.717000E-001,1.172000E-001,-3.391000E-004,8.715000E-003,-1.689000E-003,-2.817000E-002,1.633000E-003,-5.747000E-004,1.945000E-002,3.127000E-002,1.854000E-002,1.024000E-003,-1.667000E-003,-9.912000E-002,3.549000E-003,-1.059000E+000,3.240000E-003,-4.400000E-002,2.524000E-003,6.170000E-002,1.478000E-002,1.684000E-003,-5.530000E-001,1.570000E-001,9.456000E-002,4.643000E-003,4.345000E-004,-6.108000E-003,1.707000E-001,4.830000E-002,3.511000E-002,3.521000E-003,-2.231000E-002,-6.459000E-002,8.806000E-003,-1.994000E-003,-6.291000E-004,1.343000E-003,5.955000E-003,-2.408000E-003,-3.186000E-005,-1.426000E-003
6,07/11/21,2.033000E-002,-1.500000E-001,-4.100000E-001,3.983000E-001,-3.459000E-004,3.424000E-004,2.093000E-003,5.637000E-003,9.032000E-003,-6.759000E-004,-4.492000E-003,4.159000E-002,2.128000E-002,1.876000E-002,1.749000E-003,5.253000E+000,2.368000E-003,-8.912000E-001,-7.785000E-002,3.975000E-002,-3.514000E-002,-2.784000E-002,-2.514000E-002,-3.636000E-002,2.009000E-001,5.518000E-002,-1.874000E-002,8.088000E-003,-8.399000E-003,-2.894000E-003,1.145000E-001,7.237000E-002,3.949000E-002,7.125000E-004,3.898000E-002,4.175000E-002,-4.787000E-003,-1.799000E-003,-9.420000E-004,2.013000E-002,-1.460000E-002,9.382000E-003,1.014000E-005,-2.779000E-003
6,07/12/21,2.425000E-002,4.655000E-002,-3.640000E-001,4.477000E-001,-1.348000E-004,3.004000E-004,2.334000E-003,1.416000E-002,7.730000E-003,4.024000E-004,2.152000E-002,-1.403000E-002,-2.272000E-002,1.214000E-002,-7.603000E-005,-4.842000E-001,7.290000E-003,-4.719000E-001,-1.359000E-002,-7.150000E-002,9.265000E-002,-1.189000E-003,-4.179000E-003,-4.358000E-002,1.819000E-001,1.752000E-001,-8.371000E-002,7.633000E-003,-5.677000E-003,6.524000E-002,4.062000E-002,-6.862000E-002,2.346000E-002,-2.626000E-003,7.115000E-002,-2.737000E-002,2.333000E-003,2.195000E-004,9.890000E-005,1.069000E-002,-6.532000E-002,8.908000E-003,1.218000E-004,1.098000E-003
6,07/13/21,4.247000E-002,-1.199000E-001,2.086000E-001,7.304000E-002,-4.058000E-004,3.471000E-004,-6.465000E-004,1.180000E-002,2.079000E-004,3.079000E-004,-6.952000E-003,-7.683000E-002,4.830000E-002,1.497000E-002,-7.541000E-004,2.900000E-001,-3.713000E-003,7.960000E-002,7.380000E-002,3.447000E-002,-5.089000E-002,5.915000E-002,2.579000E-002,8.189000E-003,8.337000E-003,3.272000E-001,5.617000E-002,-2.201000E-003,8.176000E-003,-8.966000E-003,1.256000E-001,-5.484000E-002,-3.999000E-002,1.244000E-003,-2.754000E-002,2.344000E-002,6.707000E-003,7.267000E-003,-3.451000E-004,-1.961000E-004,8.855000E-003,-3.234000E-003,-9.617000E-004,-4.677000E-003
6,07/14/21,1.444000E-001,-1.071000E-001,-2.555000E-001,3.011000E-001,-1.344000E-004,-2.269000E-004,-8.535000E-004,-3.771000E-002,5.365000E-003,2.112000E-004,4.584000E-002,-6.352000E-002,7.007000E-003,-4.874000E-003,1.119000E-005,-8.037000E-003,-3.682000E-003,2.015000E-001,2.675000E-002,-7.240000E-002,-8.146000E-002,-8.547000E-002,2.711000E-002,-2.966000E-002,3.306000E+000,2.298000E-001,1.310000E-002,3.946000E-003,-4.244000E-004,3.495000E-003,9.703000E-002,5.052000E-002,5.521000E-002,6.285000E-004,-7.328000E-002,-3.409000E-002,-1.268000E-002,5.820000E-003,-1.622000E-004,-2.819000E-003,1.771000E-002,-5.757000E-003,2.785000E-003,1.369000E-002
6,07/15/21,-1.104000E-002,2.534000E-002,-5.241000E-001,-3.025000E-002,-4.360000E-004,6.359000E-004,-1.471000E-003,1.862000E-002,6.203000E-003,5.944000E-004,3.658000E-002,2.137000E-002,-1.391000E-002,1.698000E-002,-3.908000E-004,-3.229000E-001,-2.837000E-003,-1.045000E+000,-1.157000E-002,-1.402000E-001,1.956000E-001,9.175000E-002,3.017000E-003,2.860000E-002,-6.017000E-001,2.715000E-001,-2.697000E-003,1.222000E-002,-9.026000E-003,9.448000E-002,-1.714000E-001,-5.464000E-002,-1.821000E-002,-2.788000E-003,-1.604000E-002,-9.368000E-003,1.811000E-002,-2.360000E-003,-6.538000E-004,2.366000E-002,1.906000E-002,7.837000E-003,2.350000E-003,8.438000E-003
6,07/16/21,3.647000E-002,-6.104000E-002,-2.403000E-001,5.892000E-001,-1.845000E-004,1.934000E-004,1.280000E-003,1.334000E-002,-5.957000E-003,-4.775000E-004,3.347000E-002,-1.987000E-002,1.570000E-002,2.411000E-002,2.710000E-003,1.998000E-001,6.075000E-003,-4.377000E-001,-3.212000E-002,-3.339000E-002,-1.620000E-002,-3.331000E-002,-3.588000E-003,-3.252000E-002,1.148000E-001,-7.499000E-002,2.407000E-002,4.942000E-003,-5.199000E-003,1.420000E-002,9.845000E-003,3.937000E-002,-9.315000E-002,3.221000E-005,2.203000E-002,6.011000E-002,-5.239000E-004,-6.971000E-005,1.205000E-004,1.415000E-002,2.194000E-003,7.880000E-003,-7.388000E-004,-2.148000E-003
6,07/17/21,-2.437000E-002,-4.235000E-002,9.380000E-002,7.421000E-002,-6.901000E-005,1.383000E-004,1.386000E-003,2.562000E-002,3.703000E-003,8.995000E-004,3.297000E-002,-2.820000E-002,2.056000E-002,3.024000E-002,8.505000E-004,-1.436000E-003,1.006000E-003,-2.780000E-002,-1.958000E-002,-4.807000E-002,1.515000E-002,-1.767000E-002,1.706000E-002,-5.541000E-003,-3.704000E-005,-1.963000E-002,2.025000E-003,1.228000E-003,5.175000E-004,2.317000E-002,-1.030000E-001,-5.051000E-002,-7.551000E-002,-1.535000E-003,5.902000E-003,5.875000E-002,2.880000E-003,1.313000E-004,2.508000E-004,3.226000E-004,-1.866000E-002,-1.939000E-003,-4.414000E-004,8.975000E-004
6,07/18/21,5.914000E-002,-4.046000E-002,-6.065000E-002,1.958000E-001,2.516000E-004,-1.611000E-004,-1.458000E-003,3.163000E-002,6.645000E-003,4.662000E-004,1.278000E-002,-9.924000E-002,1.258000E-002,3.152000E-002,1.236000E-003,-7.670000E-004,-2.243000E-003,-5.091000E-001,-5.062000E-002,3.384000E-003,-2.007000E-002,2.624000E-002,9.827000E-003,2.599000E-002,1.886000E-004,-3.285000E-002,5.713000E-002,-3.448000E-003,-1.321000E-003,-6.751000E-004,3.535000E-003,1.191000E-002,-2.748000E-001,1.744000E-003,4.462000E-003,8.057000E-002,-2.259000E-003,3.652000E-003,-9.335000E-004,-3.943000E-004,-6.013000E-003,-1.963000E-003,4.128000E-004,1.805000E-003
6,07/19/21,3.510000E-001,-1.356000E-002,1.392000E-001,1.962000E-001,-1.195000E-005,-1.382000E-004,2.638000E-003,-4.395000E-003,-5.099000E-003,-5.895000E-004,1.215000E-001,4.417000E-001,1.474000E-001,-2.928000E-002,1.227000E-002,-3.753000E-004,6.472000E-003,3.776000E-002,-3.708000E-002,-2.906000E-002,-1.537000E-001,7.988000E-004,-5.726000E-003,1.845000E-002,-6.298000E-005,2.836000E-001,4.231000E-001,7.095000E-003,1.101000E-002,1.873000E-001,2.050000E-001,2.757000E-002,3.892000E-001,2.044000E-003,1.054000E-002,-1.534000E-001,4.961000E-003,-1.286000E-004,-1.329000E-003,-7.506000E-003,-1.589000E-002,-6.166000E-004,4.679000E-004,4.671000E-003
