
**** Error Estimation Summary ****

DISP Displaced Species:
,Dichloromethane
,Chloroform
,Trichlorofluoromethane
,Dichlorodifluoromethane
,Carbon Tetrachloride
,1_1_2-Trichlorotrifluoroethane
,1_2-Dichloro-1_1_2_2-tetrafluoroethane
,Tetrachloroethene
,1_2-Dichlorobenzene
,1_4-Dichlorobenzene
,PCBTF
,N-Butane
,Isobutane
,N-Pentane
,Isopentane
,2-Methyl pentane
,Butene
,Propylene
,cis-2-Pentene
,Isoprene
,alpha-Pinene
,MVK
,Benzene
,Toluene
,Ethylbenzene
,Propylbenzene
,m_p-Xylene
,o-Xylene
,p-Isopropyl Toluene
,Naphthalene
,Methanol
,Ethanol
,Phenol
,Formaldehyde
,Acetaldehyde
,Isovaleraldehyde
,Hexaldehyde
,m_p-Tolualdehyde
,Phenylacetaldehyde
,Cyclohexanone
,Methyl acetate
,n-Butyl acetate
,D5-Siloxane

DISP Diagnostics:
,Error Code:,0
,Largest Decrease in Q:,0
,%dQ:,0.000000
,Swaps by Factor:,0,0,0,0,0,0,0,0,0

BS Mapping:
,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0

Concentrations for Composting (MeOH),,
Species,Base Value,BS 5th,BS 25th,BS 50th,BS 75th,BS 95th,BS-DISP 5th,BS-DISP Average,BS-DISP 95th,DISP Min,DISP Average,DISP Max
Dichloromethane,0.0053092,0.0037904,0.004845,0.0066583,0.0086284,0.0125445,,,,0.003556,0.005353,0.00715,
Chloroform,0.00062926,0.000277465,0.000526205,0.00078333,0.00098321,0.0019706,,,,0.00026127,0.000640885,0.0010205,
Trichlorofluoromethane,0.0049651,0,0.0043656,0.0090781,0.012384,0.0175365,,,,0.0019275,0.00524385,0.0085602,
Dichlorodifluoromethane,0.0087429,0.0045262,0.013054,0.016407,0.024318,0.0403015,,,,0.0039158,0.0090444,0.014173,
Carbon Tetrachloride,0.00090604,0.00019559,0.001012525,0.0019112,0.0028849,0.0051838,,,,4.2093E-05,0.0009672965,0.0018925,
1_1_2-Trichlorotrifluoroethane,0.0011981,0.000602955,0.00197765,0.0027246,0.00416585,0.0061328,,,,0.00017389,0.001268145,0.0023624,
1_2-Dichloro-1_1_2_2-tetrafluoroethane,0.00031308,0.00022027,0.00055275,0.00076534,0.000944785,0.0015111,,,,0.00012843,0.00033437,0.00054031,
Tetrachloroethene,0.00016883,0,0.000116965,0.00016436,0.000205385,0.00036189,,,,7.0196E-05,0.000153658,0.00023712,
1_2-Dichlorobenzene,0,0,0,0,3.07765E-05,0.000143555,,,,0,3.88805E-05,7.7761E-05,
1_4-Dichlorobenzene,5.4914E-05,0,0,5.1046E-05,9.6995E-05,0.000323485,,,,2.663E-05,8.613E-05,0.00014563,
PCBTF,0.00085918,0.00024181,0.00053432,0.00071376,0.000912485,0.00144565,,,,0.0005782,0.000785765,0.00099333,
N-Butane,0.0020928,0,0.00187005,0.0057285,0.00750755,0.0156205,,,,0,0.0028036,0.0056072,
Isobutane,0.0041116,0,0.000105075,0.0040902,0.00853125,0.0194455,,,,0.00049508,0.00383654,0.007178,
N-Pentane,0.00047018,0,0,0,0.00049487,0.00249025,,,,0,0.000418225,0.00083645,
Isopentane,0.0076548,0,0.00423305,0.0070544,0.011496,0.0208725,,,,0.0041626,0.0077618,0.011361,
2-Methyl pentane,0.0077313,0,0.00292185,0.0082818,0.0130315,0.022738,,,,0.0033729,0.00781745,0.012262,
Butene,0.00053158,0,0.00088529,0.0022278,0.0042226,0.00959315,,,,0,0.0014744,0.0029488,
Propylene,0,0,0,0,0.010583,0.02876,,,,0,0.0016959,0.0033918,
cis-2-Pentene,0,0,0,0,6.9987E-05,0.00031694,,,,0,1.92935E-05,3.8587E-05,
Isoprene,0.011082,0.0044077,0.0226615,0.034843,0.047584,0.073952,,,,0,0.0205295,0.041059,
alpha-Pinene,0.0018348,0.00148635,0.00428545,0.0069675,0.00889375,0.0136695,,,,0,0.00367575,0.0073515,
MVK,0.0039146,0.0006082,0.009528,0.014569,0.0200565,0.0301955,,,,0,0.009019,0.018038,
Benzene,0.00013082,0,0,0,0.00215555,0.0224425,,,,-5.9612E-20,0.00332635,0.0066527,
Toluene,0.011203,0.000532985,0.0043979,0.0088082,0.0137295,0.022906,,,,0.0032892,0.0089826,0.014676,
Ethylbenzene,0.0019772,0.00026853,0.000856,0.0016932,0.002541,0.0042732,,,,0.00069084,0.00161332,0.0025358,
Propylbenzene,0.00038983,1.48676E-05,0.00017065,0.00032665,0.00054414,0.000852115,,,,0.00012409,0.000335725,0.00054736,
m_p-Xylene,0.0020812,0,0.000756225,0.0019095,0.0031284,0.0056727,,,,0.00029254,0.00155857,0.0028246,
o-Xylene,0.001912,0.000192335,0.00071332,0.0015325,0.0026343,0.0043808,,,,0.00054978,0.00151649,0.0024832,
p-Isopropyl Toluene,0.00053458,0,0.000155425,0.00051483,0.00088671,0.00147395,,,,0.00026654,0.00059549,0.00092444,
Naphthalene,0.0012354,0.00064087,0.0010498,0.0013206,0.00187025,0.00327855,,,,0.00079231,0.001218355,0.0016444,
Methanol,72.758,63.299,68.7465,71.528,73.47,75.839,,,,71.054,75.4395,79.825,
Ethanol,0,0,0,0.058671,0.13453,0.230425,,,,0,0.09649,0.19298,
Phenol,0.0010449,0,0.00595655,0.017531,0.0226575,0.0398005,,,,-4.5918E-19,0.0060175,0.012035,
Formaldehyde,0.011982,0,0.021874,0.08276,0.13608,0.25997,,,,-5.2877E-18,0.070855,0.14171,
Acetaldehyde,0.016816,0,0.0158285,0.046543,0.074113,0.11609,,,,0,0.039495,0.07899,
Isovaleraldehyde,0,0,0,0.0001762,0.00120425,0.00359245,,,,0,0.0005938,0.0011876,
Hexaldehyde,0,0,0,0,0.00283655,0.00652215,,,,0,0.00119245,0.0023849,
m_p-Tolualdehyde,3.9125E-05,0,2.4963E-05,5.4713E-05,7.8962E-05,0.00011691,,,,0,4.3844E-05,8.7688E-05,
Phenylacetaldehyde,0.0003607,0.000781563,0.00318045,0.0062234,0.00744915,0.0118565,,,,0,0.00183175,0.0036635,
Cyclohexanone,8.8273E-05,0,3.17235E-05,7.0164E-05,0.00013227,0.000192625,,,,2.9592E-05,8.1706E-05,0.00013382,
Methyl acetate,0.0059717,0,0.000114945,0.0045464,0.00910765,0.0272325,,,,0.0028691,0.00607675,0.0092844,
n-Butyl acetate,0.0058181,0,0,0.0025468,0.00591675,0.0147395,,,,0.002143,0.00473045,0.0073179,
D5-Siloxane,0.0032245,0,0.00178035,0.0036319,0.00549145,0.0102176,,,,0.0010169,0.00301845,0.00502,

