**** Analysis Summary ****

Time of run: ,03/16/23 15:24
Concentration file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_conc_cor_v2.csv
Uncertainty file: ,C:\Users\Shenglun\OneDrive - University of California, Davis\Documents\LA_2021_summer\VCP sampling\PMF_data\PMF_input_uncertainty_cor_v2.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
Dichloromethane,Strong,      7.7,  0.00907,  0.07998,  0.12222,  0.18281,  0.46979,  96.49 %, 100.00 %
Chloroform,Strong,      7.8,  0.00163,  0.01400,  0.02310,  0.03772,  0.07860,  96.49 %, 100.00 %
Trichlorofluoromethane,Strong,      8.8,  0.00987,  0.19385,  0.24752,  0.33880,  0.73528,  96.49 %, 100.00 %
Dichlorodifluoromethane,Strong,      9.3,  0.01260,  0.34924,  0.41542,  0.51484,  1.29920,  96.49 %, 100.00 %
Carbon Tetrachloride,Strong,      8.9,  0.00321,  0.05610,  0.07524,  0.09876,  0.19656,  96.49 %, 100.00 %
1_1_2-Trichlorotrifluoroethane,Strong,      8.3,  0.00523,  0.06353,  0.07626,  0.10497,  0.21336,  96.49 %, 100.00 %
1_2-Dichloro-1_1_2_2-tetrafluoroethane,Strong,      8.7,  0.00037,  0.01428,  0.01702,  0.02182,  0.04536,  96.49 %, 100.00 %
Tetrachloroethene,Strong,      7.7,  0.00027,  0.00312,  0.00627,  0.00896,  0.01670,  96.49 %, 100.00 %
1_2-Dichlorobenzene,Strong,      6.6,  0.00003,  0.00003,  0.00396,  0.00698,  0.03605,  96.49 %, 100.00 %
1_4-Dichlorobenzene,Strong,      7.0,  0.00005,  0.00005,  0.00334,  0.00611,  0.09721,  96.49 %, 100.00 %
PCBTF,Strong,      9.0,  0.00008,  0.00401,  0.01169,  0.02244,  0.05055,  96.49 %, 100.00 %
N-Butane,Strong,      8.4,  0.01133,  0.19825,  0.40472,  0.62777,  1.98827,  96.49 %, 100.00 %
Isobutane,Strong,      8.5,  0.00117,  0.10950,  0.25759,  0.38436,  0.92555,  96.49 %, 100.00 %
N-Pentane,Strong,      7.6,  0.00033,  0.00825,  0.07845,  0.13768,  0.43545,  96.49 %, 100.00 %
Isopentane,Strong,      8.7,  0.00417,  0.15552,  0.33368,  0.56189,  1.18045,  96.49 %, 100.00 %
2-Methyl pentane,Strong,      8.1,  0.00473,  0.08533,  0.32372,  0.52125,  1.23013,  96.49 %, 100.00 %
Butene,Strong,      7.4,  0.01483,  0.11000,  0.22188,  0.30213,  0.76800,  96.49 %, 100.00 %
Propylene,Strong,      6.7,  0.03033,  0.18275,  0.36665,  0.53155,  2.19855,  96.49 %, 100.00 %
cis-2-Pentene,Strong,      6.6,  0.00065,  0.00065,  0.00925,  0.01500,  0.03780,  96.49 %, 100.00 %
Isoprene,Strong,      6.8,  0.11486,  0.32640,  0.62602,  0.78418,  1.17569,  96.49 %, 100.00 %
alpha-Pinene,Strong,      5.8,  0.04898,  0.09189,  0.13479,  0.15859,  0.25407,  96.49 %, 100.00 %
MVK,Strong,      7.6,  0.03015,  0.14590,  0.29928,  0.39726,  1.53982,  96.49 %, 100.00 %
Benzene,Strong,      4.5,  0.03365,  0.03365,  0.22720,  0.39682,  1.25868,  96.49 %, 100.00 %
Toluene,Strong,      8.8,  0.00688,  0.12071,  0.29067,  0.50156,  1.25990,  96.49 %, 100.00 %
Ethylbenzene,Strong,      8.9,  0.00101,  0.01940,  0.04531,  0.07871,  0.14906,  96.49 %, 100.00 %
Propylbenzene,Strong,      7.7,  0.00059,  0.00408,  0.01120,  0.01775,  0.03156,  96.49 %, 100.00 %
m_p-Xylene,Strong,      8.9,  0.00116,  0.03447,  0.05956,  0.09678,  0.18752,  96.49 %, 100.00 %
o-Xylene,Strong,      8.9,  0.00101,  0.02171,  0.04388,  0.07479,  0.14051,  96.49 %, 100.00 %
p-Isopropyl Toluene,Strong,      7.8,  0.00059,  0.00544,  0.01995,  0.03147,  0.10005,  96.49 %, 100.00 %
Naphthalene,Strong,      6.9,  0.00101,  0.00101,  0.01960,  0.03054,  0.05824,  96.49 %, 100.00 %
Methanol,Strong,      6.9,  0.02651,  0.02651, 29.95888, 99.14184,854.83552,  96.49 %, 100.00 %
Ethanol,Strong,      8.1,  0.03000,  0.18000,  5.05500,  8.83750, 26.81000,  96.49 %, 100.00 %
Phenol,Strong,      7.2,  0.02621,  0.21371,  0.34156,  0.49563,  0.92431,  96.49 %, 100.00 %
Formaldehyde,Strong,      3.4,  0.49238,  3.03929,  3.97483,  4.54568,  6.44394,  96.49 %, 100.00 %
Acetaldehyde,Strong,      4.0,  0.21390,  1.43977,  2.13688,  2.59646,  4.12253,  96.49 %, 100.00 %
Isovaleraldehyde,Strong,      5.5,  0.00428,  0.05150,  0.06809,  0.08793,  0.27216,  96.49 %, 100.00 %
Hexaldehyde,Strong,      5.7,  0.00911,  0.09433,  0.16250,  0.23316,  0.88146,  96.49 %, 100.00 %
m_p-Tolualdehyde,Strong,      3.4,  0.00019,  0.00019,  0.00159,  0.00206,  0.00345,  96.49 %, 100.00 %
Phenylacetaldehyde,Strong,      5.6,  0.01943,  0.01943,  0.16115,  0.22920,  0.39177,  96.49 %, 100.00 %
Cyclohexanone,Strong,      5.8,  0.00012,  0.00143,  0.00237,  0.00310,  0.00738,  96.49 %, 100.00 %
Methyl acetate,Strong,      7.7,  0.00666,  0.05710,  0.19457,  0.37263,  0.95200,  96.49 %, 100.00 %
n-Butyl acetate,Strong,      8.6,  0.00163,  0.05483,  0.11897,  0.22794,  0.69510,  96.49 %, 100.00 %
Diethylphthalate,Bad,      6.6,  0.00239,  0.00239,  0.08590,  0.27980,  0.68848,   0.00 %, 100.00 %
D5-Siloxane,Strong,      8.9,  0.00016,  0.05620,  0.12982,  0.17780,  0.35360,  96.49 %, 100.00 %

Excluded Samples
09/07/21
09/09/21
09/10/21
10/04/21


**** Base Run Summary ****

Number of base runs:  ,100
Base random seed:  ,86
Number of factors:  ,9
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,21775.5     ,37898.5     ,Yes      ,1609,11.30286
2,21543.1     ,38386.4     ,Yes      ,2218,11.44837
3,21537       ,38166.4     ,Yes      ,2348,11.38276
4,21684.7     ,38187.6     ,Yes      ,2299,11.38908
5,22263.6     ,36382.2     ,Yes      ,1746,10.85064
6,21684.6     ,38192       ,Yes      ,1932,11.3904
7,21651.3     ,37895.1     ,Yes      ,2094,11.30185
8,22764.8     ,40315.3     ,Yes      ,1861,12.02365
9,21714       ,37989.2     ,Yes      ,2066,11.32991
10,22869.9     ,43458.7     ,Yes      ,1222,12.96114
11,21651.2     ,37896.4     ,Yes      ,2890,11.30224
12,21778       ,37891.3     ,No       ,5000,11.30072
13,21858.5     ,38314.1     ,Yes      ,3475,11.42681
14,21543.4     ,38384.5     ,Yes      ,2741,11.44781
15,21536.9     ,38168.9     ,Yes      ,2099,11.38351
16,21855.5     ,34872.5     ,Yes      ,2733,10.40039
17,21537       ,38165.9     ,Yes      ,2251,11.38261
18,21545.2     ,38388.4     ,Yes      ,2190,11.44897
19,21538.1     ,38163.5     ,Yes      ,2158,11.3819
20,21538.1     ,38162.3     ,No       ,5000,11.38154
21,21747.6     ,38257.1     ,Yes      ,2090,11.40981
22,21685.5     ,38190.8     ,Yes      ,1721,11.39004
23,21544.8     ,38388.7     ,Yes      ,2525,11.44906
24,21538.3     ,38165.6     ,Yes      ,2142,11.38252
25,21656.1     ,37914.3     ,Yes      ,1960,11.30758
26,21651.7     ,37895.8     ,Yes      ,4539,11.30206
27,21545.6     ,38379.3     ,Yes      ,1771,11.44626
28,22839.8     ,41682.3     ,Yes      ,2793,12.43134
29,21650.7     ,37895.7     ,Yes      ,3091,11.30203
30,21787.9     ,35011       ,Yes      ,2655,10.44169
31,21536.8     ,38168.2     ,Yes      ,2517,11.3833
32,21542       ,38234.7     ,Yes      ,2456,11.40313
33,21684.2     ,38191.4     ,Yes      ,2462,11.39022
34,21684.6     ,38190.1     ,Yes      ,1914,11.38983
35,22357.6     ,35803       ,Yes      ,1600,10.6779
36,21544.9     ,38389.6     ,Yes      ,2032,11.44933
37,21537.6     ,38167.3     ,Yes      ,1999,11.38303
38,21775.8     ,37899.9     ,Yes      ,2812,11.30328
39,21541.7     ,38410.2     ,Yes      ,2088,11.45547
40,21684.3     ,38194.3     ,Yes      ,1636,11.39108
41,22813.6     ,41354.3     ,Yes      ,3720,12.33352
42,21653.7     ,37908       ,Yes      ,2080,11.3057
43,23214.7     ,39777.7     ,Yes      ,1453,11.86332
44,22104.4     ,34272.9     ,Yes      ,2861,10.22156
45,21651.6     ,37894       ,Yes      ,2112,11.30152
46,21536.8     ,38171.9     ,Yes      ,1571,11.3844
47,21543.9     ,38386.4     ,Yes      ,1416,11.44837
48,21787.3     ,35010.6     ,Yes      ,2008,10.44158
49,21684.8     ,38192       ,Yes      ,1782,11.3904
50,21543.6     ,38387.4     ,Yes      ,1574,11.44867
51,21543.2     ,38387.7     ,Yes      ,1565,11.44876
52,21713.4     ,37988.1     ,Yes      ,1831,11.32959
53,21544.5     ,38390.8     ,Yes      ,2467,11.44969
54,21536.7     ,38166.2     ,Yes      ,2615,11.3827
55,21788.3     ,35011.9     ,No       ,5000,10.44196
56,21871       ,35145.4     ,Yes      ,1713,10.48178
57,21652.3     ,37899       ,Yes      ,3564,11.30301
58,21543.3     ,38387.1     ,Yes      ,1579,11.44858
59,21536.6     ,38165.8     ,Yes      ,3994,11.38258
60,21545.5     ,38381.5     ,Yes      ,2204,11.44691
61,21787.8     ,35011       ,Yes      ,1520,10.44169
62,21650.7     ,37896.6     ,Yes      ,3947,11.3023
63,21544.2     ,38388.5     ,Yes      ,1531,11.449
64,21776.6     ,37900.5     ,Yes      ,2025,11.30346
65,21545.1     ,38381.9     ,Yes      ,1872,11.44703
66,21684.2     ,38189.5     ,Yes      ,1682,11.38965
67,21537.5     ,38169.7     ,Yes      ,2340,11.38375
68,21750.9     ,38248.2     ,Yes      ,2110,11.40716
69,21650.7     ,37897       ,Yes      ,3023,11.30242
70,21686       ,38189.9     ,Yes      ,1633,11.38977
71,21543.2     ,38385.9     ,Yes      ,1654,11.44823
72,22001.9     ,35162.5     ,Yes      ,1540,10.48688
73,21544.4     ,38387.7     ,Yes      ,1775,11.44876
74,21539.2     ,38165.1     ,Yes      ,2162,11.38237
75,21684.8     ,38189.2     ,Yes      ,2021,11.38956
76,21546.2     ,38383       ,Yes      ,2085,11.44736
77,21545.6     ,38381.2     ,Yes      ,2184,11.44682
78,21650.9     ,37894.7     ,Yes      ,2397,11.30173
79,21545.1     ,38389.6     ,Yes      ,2412,11.44933
80,22559       ,37395.1     ,Yes      ,2393,11.15273
81,22139       ,35627.7     ,Yes      ,3443,10.62562
82,22104.5     ,34274       ,Yes      ,1690,10.22189
83,21776.1     ,37899.6     ,Yes      ,2197,11.30319
84,21684.7     ,38193.1     ,Yes      ,1859,11.39073
85,21545.4     ,38382.5     ,Yes      ,2171,11.44721
86,21538.2     ,38140.8     ,Yes      ,4465,11.37513
87,21755.8     ,37893.7     ,Yes      ,1696,11.30143
88,21546.6     ,38383.6     ,Yes      ,1996,11.44754
89,22001.8     ,35161.7     ,Yes      ,1531,10.48664
90,21651.7     ,37896.9     ,Yes      ,2678,11.30239
91,22781.3     ,41069.6     ,Yes      ,1974,12.24861
92,21544.4     ,38390.4     ,Yes      ,2310,11.44957
93,21544.4     ,38390.8     ,Yes      ,2615,11.44969
94,21545.4     ,38388.9     ,Yes      ,2238,11.44912
95,22104.3     ,34272.2     ,Yes      ,2944,10.22135
96,21840       ,35086.1     ,No       ,5000,10.46409
97,21856.4     ,38321.4     ,Yes      ,2506,11.42899
98,22002.8     ,35160.6     ,Yes      ,2293,10.48631
99,21775.9     ,37899.6     ,Yes      ,1808,11.30319
100,23145       ,40351.6     ,Yes      ,1877,12.03448

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
