Mapping of bootstrap factors to base factors

,Composting (MeOH),Gasoline vapor-summer blend,Biogenic,Gasoline vapor-winter blend,Secondary VOC,University + K12 institutes,Mixing solvents,VCP (siloxane),VCP (Ethanol),Unmapped
Boot Factor 1,49,0,0,0,0,1,0,0,0,0
Boot Factor 2,0,40,3,0,0,0,5,2,0,0
Boot Factor 3,0,0,40,0,1,2,7,0,0,0
Boot Factor 4,0,0,2,36,2,3,3,2,1,1
Boot Factor 5,0,0,0,0,46,2,1,0,0,1
Boot Factor 6,0,1,0,0,1,47,1,0,0,0
Boot Factor 7,0,0,0,0,0,0,49,0,0,1
Boot Factor 8,0,4,2,0,2,4,6,30,0,2
Boot Factor 9,0,0,0,0,0,0,0,0,50,0


Bootstrapping and Pulling Results.  Includes adjustment for measurement errors.
There is a block of rows for each species.
Columns are:  Original Factor, m Smallest Bootstraps, m Largest Bootstraps, Each Bootstrap

0.531353E-02,0.250873E-02,0.292451E-02,0.372775E-02,0.385311E-02,0.405340E-02,0.416028E-02,0.111649E-01,0.113926E-01,0.115455E-01,0.120597E-01,0.130300E-01,0.160878E-01,0.531353E-02,0.292451E-02,0.727588E-02,0.581196E-02,0.463489E-02,0.853725E-02,0.517263E-02,0.416028E-02,0.859246E-02,0.160878E-01,0.892070E-02,0.113926E-01,0.611952E-02,0.250873E-02,0.866440E-02,0.111649E-01,0.115455E-01,0.457029E-02,0.100093E-01,0.538787E-02,0.467589E-02,0.385311E-02,0.698233E-02,0.483491E-02,0.736580E-02,0.120597E-01,0.130300E-01,0.485518E-02,0.607509E-02,0.742360E-02,0.606347E-02,0.504280E-02,0.405340E-02,0.726866E-02,0.476499E-02,0.442404E-02,0.596708E-02,0.758715E-02,0.766576E-02,0.665838E-02,0.372775E-02,0.707322E-02,0.889680E-02,0.102669E-01,0.103783E-01,0.809911E-02,0.726476E-02,0.573720E-02,0.418082E-02,0.595174E-02,0.487998E-02,
0.699715E-02,0.107697E-02,0.132188E-02,0.165158E-02,0.172194E-02,0.199561E-02,0.211323E-02,0.264631E-01,0.344686E-01,0.373349E-01,0.375773E-01,0.510640E-01,0.557805E-01,0.699715E-02,0.344686E-01,0.373349E-01,0.448612E-02,0.107935E-01,0.487252E-02,0.956431E-02,0.264631E-01,0.129855E-01,0.107697E-02,0.691236E-02,0.132188E-02,0.242256E-01,0.557805E-01,0.324463E-02,0.172072E-01,0.373582E-02,0.621841E-02,0.172194E-02,0.187642E-01,0.510640E-01,0.211323E-02,0.165158E-02,0.207667E-01,0.565107E-02,0.395164E-02,0.609349E-02,0.604286E-02,0.162934E-01,0.375773E-01,0.241561E-02,0.144906E-01,0.742699E-02,0.199561E-02,0.146341E-01,0.172159E-01,0.176201E-01,0.164606E-01,0.490949E-02,0.497403E-02,0.187386E-01,0.584059E-02,0.178396E-01,0.452056E-02,0.571762E-02,0.438488E-02,0.257157E-02,0.738369E-02,0.122753E-01,0.486213E-02,0.116767E-01,
0.780583E-02,0.000000E+00,0.629468E-03,0.220615E-02,0.388801E-02,0.390535E-02,0.510390E-02,0.336740E-01,0.366365E-01,0.399970E-01,0.421044E-01,0.441523E-01,0.462526E-01,0.780583E-02,0.103402E-01,0.000000E+00,0.137094E-01,0.139285E-01,0.510390E-02,0.789066E-02,0.644182E-02,0.629468E-03,0.186632E-01,0.120601E-01,0.160364E-01,0.173889E-01,0.824604E-02,0.141759E-01,0.220615E-02,0.189418E-01,0.234879E-01,0.265757E-01,0.399970E-01,0.933925E-02,0.188170E-01,0.987834E-02,0.171167E-01,0.336584E-01,0.268098E-01,0.209264E-01,0.140307E-01,0.614911E-02,0.462526E-01,0.390535E-02,0.104312E-01,0.366365E-01,0.336740E-01,0.170715E-01,0.145724E-01,0.421044E-01,0.171096E-01,0.202715E-01,0.156996E-01,0.301452E-01,0.441523E-01,0.388801E-02,0.248147E-01,0.101619E-01,0.230916E-01,0.152484E-01,0.240064E-01,0.149808E-01,0.275853E-01,0.107577E-01,
0.963685E-02,0.000000E+00,0.000000E+00,0.872560E-03,0.128896E-02,0.141540E-02,0.155513E-02,0.256245E-01,0.262737E-01,0.264792E-01,0.272884E-01,0.289246E-01,0.440200E-01,0.963685E-02,0.627054E-02,0.918977E-02,0.262737E-01,0.227185E-01,0.211481E-01,0.875960E-02,0.188650E-02,0.451466E-02,0.741787E-02,0.141540E-02,0.111591E-01,0.240997E-02,0.418386E-02,0.272884E-01,0.264792E-01,0.108268E-01,0.256245E-01,0.114809E-01,0.944566E-02,0.770146E-02,0.155513E-02,0.817717E-02,0.000000E+00,0.277025E-02,0.166345E-01,0.665556E-02,0.735850E-02,0.150221E-01,0.000000E+00,0.802690E-02,0.116468E-01,0.572046E-02,0.636600E-02,0.730871E-02,0.729196E-02,0.798794E-02,0.128896E-02,0.717009E-02,0.896140E-02,0.119779E-01,0.872560E-03,0.770971E-02,0.166454E-02,0.440200E-01,0.131330E-01,0.289246E-01,0.130563E-01,0.617937E-02,0.824334E-02,0.111600E-01,
0.248314E-01,0.585629E-02,0.114823E-01,0.117776E-01,0.129682E-01,0.129845E-01,0.131842E-01,0.273501E-01,0.273835E-01,0.292866E-01,0.334164E-01,0.438876E-01,0.516374E-01,0.248314E-01,0.174408E-01,0.206162E-01,0.227559E-01,0.154597E-01,0.129682E-01,0.207883E-01,0.235070E-01,0.264481E-01,0.129845E-01,0.438876E-01,0.163698E-01,0.157738E-01,0.159310E-01,0.134059E-01,0.181683E-01,0.159657E-01,0.226362E-01,0.159499E-01,0.196028E-01,0.154783E-01,0.143890E-01,0.186311E-01,0.292866E-01,0.585629E-02,0.196050E-01,0.131842E-01,0.273835E-01,0.208417E-01,0.273501E-01,0.232765E-01,0.227888E-01,0.212453E-01,0.155229E-01,0.334164E-01,0.170553E-01,0.186424E-01,0.516374E-01,0.164283E-01,0.158465E-01,0.117776E-01,0.205708E-01,0.226925E-01,0.222172E-01,0.201879E-01,0.209039E-01,0.114823E-01,0.216911E-01,0.203181E-01,0.210295E-01,0.171871E-01,
0.368140E-02,0.813479E-03,0.131559E-02,0.145407E-02,0.189845E-02,0.254875E-02,0.264229E-02,0.133612E-01,0.140769E-01,0.150445E-01,0.271907E-01,0.276257E-01,0.512212E-01,0.368140E-02,0.955165E-02,0.464041E-02,0.364677E-02,0.512212E-01,0.382597E-02,0.740062E-02,0.801437E-02,0.663098E-02,0.681874E-02,0.853984E-02,0.834326E-02,0.544465E-02,0.723129E-02,0.271907E-01,0.264229E-02,0.140769E-01,0.131559E-02,0.593214E-02,0.695266E-02,0.674316E-02,0.150445E-01,0.772389E-02,0.895034E-02,0.122425E-01,0.692653E-02,0.774762E-02,0.512314E-02,0.584259E-02,0.372797E-02,0.390038E-02,0.145407E-02,0.813479E-03,0.630985E-02,0.830780E-02,0.768806E-02,0.486581E-02,0.133612E-01,0.655088E-02,0.759986E-02,0.254875E-02,0.444656E-02,0.911310E-02,0.640102E-02,0.276257E-01,0.189845E-02,0.378297E-02,0.272944E-02,0.670871E-02,0.751324E-02,0.336468E-02,
0.560437E-01,0.152460E-01,0.196156E-01,0.214494E-01,0.215829E-01,0.228845E-01,0.232403E-01,0.548198E-01,0.556170E-01,0.556864E-01,0.560437E-01,0.562791E-01,0.585883E-01,0.560437E-01,0.228845E-01,0.346380E-01,0.296840E-01,0.289576E-01,0.403104E-01,0.514002E-01,0.337557E-01,0.313439E-01,0.351327E-01,0.347447E-01,0.440225E-01,0.273318E-01,0.262726E-01,0.233583E-01,0.425089E-01,0.370169E-01,0.401325E-01,0.196156E-01,0.236637E-01,0.304481E-01,0.585883E-01,0.303735E-01,0.232403E-01,0.215829E-01,0.340830E-01,0.548198E-01,0.329052E-01,0.556170E-01,0.152460E-01,0.556864E-01,0.487239E-01,0.317025E-01,0.449736E-01,0.339640E-01,0.419355E-01,0.313880E-01,0.251463E-01,0.382115E-01,0.562791E-01,0.480871E-01,0.335438E-01,0.329965E-01,0.341522E-01,0.214494E-01,0.288735E-01,0.386731E-01,0.442592E-01,0.450211E-01,0.385912E-01,0.430033E-01,
0.108568E-01,0.549091E-03,0.653411E-03,0.120797E-02,0.369346E-02,0.492781E-02,0.535133E-02,0.264193E-01,0.297657E-01,0.344261E-01,0.354065E-01,0.393451E-01,0.671919E-01,0.108568E-01,0.190386E-01,0.983184E-02,0.845014E-02,0.892391E-02,0.344261E-01,0.762131E-02,0.122236E-01,0.393451E-01,0.264193E-01,0.127917E-01,0.113943E-01,0.165900E-01,0.239023E-01,0.216715E-01,0.934283E-02,0.159861E-01,0.579300E-02,0.297657E-01,0.492781E-02,0.653411E-03,0.800386E-02,0.354065E-01,0.226692E-01,0.671919E-01,0.549091E-03,0.153276E-01,0.155057E-01,0.369346E-02,0.144003E-01,0.161333E-01,0.584872E-02,0.228733E-01,0.178103E-01,0.686230E-02,0.535133E-02,0.120797E-02,0.187321E-01,0.240344E-01,0.865220E-02,0.744482E-02,0.781449E-02,0.189482E-01,0.146395E-01,0.870904E-02,0.223159E-01,0.136459E-01,0.104135E-01,0.710845E-02,0.906747E-02,0.747590E-02,
0.466138E-05,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.916413E-02,0.922578E-02,0.102775E-01,0.109257E-01,0.124553E-01,0.135024E-01,0.466138E-05,0.102775E-01,0.104433E-02,0.124553E-01,0.475550E-02,0.000000E+00,0.724982E-02,0.807666E-02,0.862060E-02,0.000000E+00,0.646707E-02,0.669789E-02,0.922578E-02,0.474457E-02,0.423116E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.140083E-02,0.289093E-02,0.637159E-02,0.786536E-02,0.822779E-02,0.572921E-02,0.000000E+00,0.421226E-02,0.408225E-03,0.701388E-02,0.000000E+00,0.111622E-02,0.366868E-02,0.804606E-02,0.000000E+00,0.288294E-02,0.807191E-02,0.690734E-02,0.238439E-02,0.852432E-03,0.170244E-02,0.698583E-02,0.315422E-02,0.916413E-02,0.338101E-02,0.896457E-03,0.000000E+00,0.000000E+00,0.172580E-02,0.000000E+00,0.749216E-02,0.109257E-01,0.135024E-01,

