
Factor Profiles (conc. of species) from Base Run #59 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8,Factor 9
59,Dichloromethane,5.309200E-003,6.980500E-003,7.791700E-003,9.627600E-003,2.481200E-002,3.679900E-003,5.593900E-002,1.085100E-002,1.568500E-006
59,Chloroform,6.292600E-004,6.054300E-004,2.350900E-004,1.666600E-003,4.349500E-003,7.489600E-004,1.334100E-002,2.872200E-003,1.474300E-003
59,Trichlorofluoromethane,4.965100E-003,3.176700E-003,3.966900E-002,6.794400E-003,7.078400E-002,3.124400E-003,1.212400E-001,6.076300E-003,0.000000E+000
59,Dichlorodifluoromethane,8.742900E-003,1.314900E-002,4.160500E-002,2.178700E-002,1.709500E-001,8.964800E-003,7.794900E-002,5.537300E-002,2.317600E-003
59,Carbon Tetrachloride,9.060400E-004,1.666700E-003,9.561300E-003,0.000000E+000,2.244700E-002,0.000000E+000,3.104800E-002,5.388800E-003,1.278300E-003
59,1_1_2-Trichlorotrifluoroethane,1.198100E-003,0.000000E+000,1.094800E-002,0.000000E+000,2.658900E-002,1.244200E-003,3.333300E-002,5.354300E-003,1.681300E-003
59,1_2-Dichloro-1_1_2_2-tetrafluoroethane,3.130800E-004,0.000000E+000,2.195500E-003,1.286900E-003,6.748000E-003,3.063900E-004,4.848800E-003,1.061900E-003,0.000000E+000
59,Tetrachloroethene,1.688300E-004,1.186200E-003,2.022500E-004,4.575700E-004,2.489400E-004,5.457800E-004,2.051000E-003,7.135500E-004,1.290500E-004
59,1_2-Dichlorobenzene,0.000000E+000,0.000000E+000,0.000000E+000,1.275400E-004,7.365500E-005,5.111600E-003,6.160500E-004,0.000000E+000,1.199100E-004
59,1_4-Dichlorobenzene,5.491400E-005,0.000000E+000,1.053500E-004,1.501600E-004,0.000000E+000,5.159800E-003,3.131100E-004,6.968000E-005,0.000000E+000
59,PCBTF,8.591800E-004,3.776900E-003,1.435900E-004,1.299400E-003,0.000000E+000,5.593400E-004,4.634600E-003,8.800900E-004,7.227600E-004
59,N-Butane,2.092800E-003,9.002300E-003,4.354700E-003,1.701500E-001,4.480500E-002,5.944700E-002,5.190100E-002,5.888600E-002,8.631300E-003
59,Isobutane,4.111600E-003,0.000000E+000,0.000000E+000,1.045400E-001,1.487400E-003,1.088200E-002,4.291700E-002,7.139000E-002,0.000000E+000
59,N-Pentane,4.701800E-004,2.489000E-003,0.000000E+000,6.736100E-002,5.286300E-003,5.201900E-004,1.492200E-002,0.000000E+000,0.000000E+000
59,Isopentane,7.654800E-003,2.220700E-002,1.728300E-002,7.931500E-002,0.000000E+000,2.548100E-002,1.365900E-001,5.114000E-002,1.967400E-002
59,2-Methyl pentane,7.731300E-003,4.541800E-003,7.052000E-003,3.341600E-002,4.984200E-003,3.782100E-003,1.798700E-001,7.037400E-002,1.742700E-002
59,Butene,5.315800E-004,5.215900E-003,7.833600E-003,6.385000E-002,2.117200E-002,2.236400E-002,4.857200E-002,3.057800E-002,1.340100E-002
59,Propylene,0.000000E+000,4.482500E-002,0.000000E+000,1.277900E-001,9.647500E-002,8.928100E-002,0.000000E+000,4.263100E-002,0.000000E+000
59,cis-2-Pentene,0.000000E+000,0.000000E+000,9.064900E-004,2.351300E-003,1.096700E-003,0.000000E+000,4.442400E-003,3.854600E-004,3.476900E-004
59,Isoprene,1.108200E-002,2.230800E-002,3.292700E-001,2.650600E-002,9.448600E-003,1.900900E-002,8.163400E-002,1.942300E-002,4.857500E-002
59,alpha-Pinene,1.834800E-003,9.189300E-003,6.038500E-002,6.058700E-003,1.067400E-002,4.685400E-003,1.405100E-002,5.731100E-003,9.363000E-003
59,MVK,3.914600E-003,5.056500E-003,1.524000E-001,1.598800E-002,0.000000E+000,9.124800E-003,4.097900E-002,1.354400E-002,3.029400E-002
59,Benzene,1.308200E-004,8.607600E-003,0.000000E+000,2.159900E-002,1.938000E-002,7.607700E-004,1.706600E-001,2.717700E-002,0.000000E+000
59,Toluene,1.120300E-002,1.085900E-001,2.119700E-002,3.586600E-002,5.297700E-003,1.660600E-002,1.150500E-001,1.245700E-002,8.004200E-003
59,Ethylbenzene,1.977200E-003,1.798600E-002,3.532000E-003,5.636100E-003,8.170800E-004,2.587100E-003,1.601700E-002,2.940200E-003,1.075200E-003
59,Propylbenzene,3.898300E-004,3.448800E-003,1.019700E-003,1.361700E-003,8.203800E-006,8.221600E-004,3.682600E-003,9.737400E-004,8.455100E-005
59,m_p-Xylene,2.081200E-003,2.643600E-002,6.083200E-003,8.727700E-003,2.187400E-003,8.711900E-003,8.167000E-003,3.496300E-004,0.000000E+000
59,o-Xylene,1.912000E-003,1.970600E-002,4.051500E-003,4.771000E-003,6.857300E-004,3.377100E-003,1.109900E-002,2.410100E-003,7.089800E-004
59,p-Isopropyl Toluene,5.345800E-004,0.000000E+000,3.903500E-003,8.216200E-004,1.484600E-004,7.051300E-004,8.557100E-003,2.149900E-003,2.750500E-003
59,Naphthalene,1.235400E-003,5.249800E-003,3.258500E-003,0.000000E+000,0.000000E+000,0.000000E+000,4.642900E-003,3.534700E-003,8.997600E-004
