
Residuals from Base Run #59 (Convergent Run)

Base_Run,Date_Time,Dichloromethane,Chloroform,Trichlorofluoromethane,Dichlorodifluoromethane,Carbon Tetrachloride,1_1_2-Trichlorotrifluoroethane,1_2-Dichloro-1_1_2_2-tetrafluoroethane,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,D5-Siloxane
59,07/10/21,1.761000E-002,1.384000E-003,-6.626000E-002,3.847000E-002,-2.900000E-002,7.506000E-004,-1.638000E-003,3.510000E-003,-3.400000E-004,8.764000E-003,-3.660000E-004,9.316000E-002,-4.222000E-002,-7.331000E-003,-6.898000E-003,-3.543000E-002,4.722000E-002,4.491000E-002,-2.454000E-003,6.247000E-002,9.679000E-003,4.470000E-004,1.291000E-001,-2.155000E-002,3.723000E-003,-1.607000E-003,3.157000E-003,-1.510000E-003,-2.035000E-003,5.117000E-003,-3.785000E-001,4.568000E-001,1.752000E-001,-1.117000E+000,-6.816000E-001,1.299000E-002,4.106000E-004,-6.715000E-004,5.035000E-002,-6.510000E-004,1.518000E-001,3.757000E-003,1.947000E-002
59,07/11/21,1.179000E-002,1.075000E-002,2.429000E-002,3.372000E-002,2.940000E-003,1.778000E-002,1.192000E-003,4.062000E-004,-1.973000E-004,1.790000E-004,-8.593000E-003,-1.708000E-002,9.908000E-003,-7.984000E-004,-3.554000E-002,-1.812000E-001,3.999000E-002,4.400000E-002,-2.054000E-003,-5.264000E-002,-7.380000E-003,-3.200000E-002,3.841000E-001,2.734000E-002,-2.729000E-004,9.576000E-004,1.738000E-002,7.000000E-003,2.389000E-004,7.171000E-003,2.511000E-001,1.812000E+001,6.411000E-002,-6.458000E-001,-2.830000E-001,-1.470000E-002,-5.761000E-002,-1.121000E-003,6.561000E-002,-2.503000E-004,5.187000E-002,-6.996000E-003,6.687000E-003
59,07/12/21,-2.444000E-002,7.506000E-003,-3.336000E-002,-1.396000E-002,1.213000E-002,1.065000E-002,-4.221000E-004,-2.606000E-003,-1.438000E-004,3.614000E-004,-6.574000E-003,-8.592000E-002,-6.917000E-002,6.346000E-002,8.227000E-002,2.039000E-002,2.432000E-002,3.053000E-002,-3.844000E-004,-1.219000E-002,1.028000E-003,-4.958000E-002,4.648000E-001,7.435000E-002,7.829000E-003,2.497000E-003,1.331000E-002,1.037000E-002,4.057000E-004,8.345000E-003,3.340000E-001,5.916000E-001,3.742000E-002,-5.570000E-001,-3.697000E-001,-7.646000E-003,-2.191000E-002,4.713000E-005,-7.050000E-002,3.336000E-004,1.716000E-001,-6.669000E-002,2.305000E-002
59,07/13/21,4.793000E-002,-9.152000E-005,2.431000E-002,-7.391000E-002,1.088000E-002,1.468000E-002,-7.526000E-004,1.184000E-003,-4.452000E-004,3.871000E-004,6.944000E-003,5.417000E-002,3.491000E-002,-8.712000E-003,-6.398000E-002,-1.536000E-001,4.166000E-002,-3.524000E-002,6.754000E-003,6.036000E-002,6.905000E-003,6.239000E-003,8.625000E-002,-3.118000E-002,-4.327000E-003,-6.477000E-004,1.370000E-003,-2.861000E-003,-5.407000E-003,-1.928000E-003,1.667000E-002,1.069000E+000,1.301000E-001,-7.207000E-002,1.365000E-001,2.148000E-002,6.289000E-002,-4.603000E-004,-5.240000E-002,1.555000E-004,3.221000E-001,2.917000E-003,-9.673000E-003
59,07/14/21,1.521000E-004,3.969000E-003,-4.505000E-002,-7.026000E-002,-4.065000E-002,-8.830000E-003,-2.916000E-004,4.378000E-004,-1.635000E-004,-2.380000E-004,7.279000E-005,1.528000E-002,-7.250000E-002,5.367000E-003,-7.733000E-002,-1.044000E-001,1.377000E-001,6.371000E-002,5.774000E-003,-5.391000E-002,-7.021000E-003,-1.507000E-002,2.691000E-001,-7.656000E-002,-4.006000E-003,-1.057000E-003,-4.050000E-003,-6.404000E-003,1.418000E-002,2.848000E-003,6.118000E+000,-9.307000E-003,9.873000E-002,3.560000E-001,-1.841000E-001,3.105000E-002,3.829000E-002,-9.215000E-005,4.936000E-002,2.814000E-004,2.131000E-001,2.112000E-002,4.369000E-002
59,07/15/21,-1.451000E-002,6.305000E-003,-8.554000E-003,1.946000E-002,1.834000E-002,1.653000E-002,-3.777000E-004,-2.794000E-003,-4.363000E-004,6.285000E-004,-8.850000E-003,1.833000E-003,-1.357000E-001,9.770000E-002,2.045000E-001,3.322000E-002,-1.161000E-002,-1.381000E-002,-2.131000E-003,1.058000E-001,2.038000E-002,3.577000E-002,-3.154000E-002,-1.163000E-002,-2.306000E-003,-1.399000E-003,2.331000E-002,7.904000E-003,8.922000E-003,1.176000E-002,-6.480000E-001,-2.848000E-001,-1.613000E-001,-9.935000E-001,-5.196000E-001,3.307000E-003,-9.914000E-003,-6.690000E-004,-5.246000E-002,5.176000E-004,2.709000E-001,2.372000E-002,3.545000E-002
59,07/16/21,1.259000E-002,-6.582000E-003,5.398000E-002,-1.608000E-002,1.180000E-002,2.240000E-002,2.626000E-003,-3.324000E-005,-2.023000E-004,2.056000E-004,-5.475000E-003,2.272000E-002,-3.211000E-002,1.244000E-002,-2.198000E-002,-7.211000E-002,3.257000E-002,-8.441000E-002,-4.340000E-004,-4.002000E-002,-1.157000E-003,-3.628000E-002,5.790000E-001,1.936000E-002,5.822000E-003,1.197000E-003,1.434000E-002,7.942000E-003,-2.565000E-003,4.751000E-003,2.283000E-001,4.585000E-001,6.142000E-003,-4.489000E-001,-2.293000E-001,-3.344000E-003,-3.034000E-002,1.186000E-004,3.942000E-002,-4.914000E-004,-8.351000E-002,1.227000E-003,3.375000E-002
59,07/17/21,1.686000E-002,2.993000E-003,5.273000E-002,-3.006000E-002,2.418000E-002,2.789000E-002,6.867000E-004,-1.601000E-003,-6.803000E-005,1.343000E-004,9.227000E-004,1.154000E-003,-4.676000E-002,2.243000E-002,1.862000E-002,-3.727000E-002,-2.978000E-002,-7.118000E-002,8.510000E-005,-1.318000E-002,3.557000E-003,-3.434000E-003,4.523000E-002,4.466000E-003,9.567000E-004,1.296000E-003,-5.635000E-004,-2.223000E-003,1.114000E-003,5.898000E-004,-4.301000E-005,-1.652000E-003,-1.076000E-001,4.468000E-002,1.328000E-001,1.912000E-002,-1.397000E-002,2.893000E-004,-5.167000E-002,9.257000E-004,-2.707000E-002,-1.663000E-002,3.297000E-002
59,07/18/21,8.006000E-003,5.392000E-003,7.495000E-002,-1.011000E-001,2.998000E-002,2.892000E-002,1.126000E-003,1.630000E-003,2.354000E-004,-1.503000E-004,-1.074000E-003,5.989000E-002,5.487000E-003,-7.976000E-005,-2.041000E-002,-4.278000E-002,5.452000E-002,-2.694000E-001,3.574000E-003,5.941000E-002,3.640000E-003,4.030000E-002,1.587000E-001,-2.765000E-005,-2.639000E-003,-1.570000E-003,-7.998000E-004,-2.289000E-003,1.991000E-003,-3.751000E-003,1.813000E-004,-9.263000E-004,3.449000E-003,-3.686000E-001,8.115000E-003,1.200000E-002,-4.501000E-002,-8.619000E-004,1.106000E-002,5.138000E-004,-4.374000E-002,-7.404000E-003,1.194000E-002
59,07/19/21,1.405000E-001,-6.431000E-003,-1.689000E-001,4.326000E-001,-7.958000E-003,-3.380000E-002,1.168000E-002,1.869000E-003,-3.099000E-005,-1.427000E-004,1.119000E-002,4.244000E-001,-2.878000E-002,1.883000E-001,-1.543000E-001,-1.674000E-002,3.468000E-001,3.976000E-001,-2.374000E-004,1.129000E-002,6.386000E-003,2.295000E-002,1.779000E-001,6.454000E-003,6.023000E-003,2.434000E-003,-8.122000E-003,-1.046000E-003,4.932000E-003,5.998000E-003,-3.938000E-005,-1.945000E-004,1.925000E-001,8.053000E-002,1.724000E-001,-3.598000E-003,-3.103000E-002,-1.281000E-003,2.198000E-002,-5.304000E-004,2.665000E-001,-1.397000E-002,1.208000E-001
59,07/20/21,2.346000E-002,-1.790000E-003,-5.253000E-002,-4.240000E-002,8.680000E-003,-7.557000E-003,5.403000E-003,-2.537000E-004,2.906000E-004,-1.240000E-004,-1.536000E-003,-4.948000E-002,5.095000E-002,9.083000E-003,-1.040000E-001,1.228000E-001,2.175000E-002,-1.269000E-001,6.244000E-004,1.418000E-003,4.543000E-004,5.428000E-003,4.556000E-001,4.032000E-003,3.014000E-003,1.070000E-003,2.418000E-004,2.885000E-003,-5.072000E-003,-2.461000E-003,2.061000E+001,3.416000E-001,4.738000E-002,4.830000E-001,7.297000E-002,1.100000E-002,5.100000E-002,-1.529000E-005,4.423000E-002,-9.471000E-004,-8.502000E-002,1.061000E-001,4.114000E-003
59,07/21/21,3.754000E-002,-1.436000E-003,-1.175000E-003,7.576000E-002,-9.268000E-003,3.555000E-003,1.922000E-003,-3.098000E-004,-1.285000E-004,7.800000E-005,7.679000E-004,8.558000E-002,1.880000E-003,-1.351000E-002,-2.845000E-003,3.092000E-002,2.047000E-002,5.889000E-002,-2.980000E-003,3.181000E-002,6.029000E-003,1.237000E-002,-8.309000E-002,-1.721000E-002,2.040000E-003,1.497000E-004,8.289000E-003,5.045000E-003,-2.299000E-003,-3.096000E-004,-4.878000E+000,1.231000E+000,1.275000E-002,-3.748000E-001,1.889000E-001,-1.396000E-002,-3.281000E-002,-1.247000E-004,8.294000E-002,-6.026000E-004,-3.505000E-002,1.088000E-002,-7.927000E-003
59,07/22/21,1.212000E-002,5.173000E-003,1.225000E-002,6.838000E-002,-1.062000E-002,1.451000E-003,-3.562000E-003,-2.005000E-005,-9.963000E-005,4.382000E-004,9.566000E-003,-4.680000E-002,-5.294000E-002,7.915000E-002,1.985000E-001,3.057000E-001,-5.195000E-002,-5.991000E-002,-3.046000E-003,1.059000E-001,1.543000E-002,3.491000E-002,-9.008000E-002,-4.224000E-002,-6.033000E-003,-1.613000E-003,-1.475000E-002,-6.884000E-003,-1.163000E-003,2.930000E-003,-3.854000E+000,-4.824000E-001,-8.307000E-002,-5.211000E-002,-1.080000E-001,6.469000E-003,-9.091000E-003,-2.758000E-004,-3.701000E-002,-2.713000E-004,4.337000E-002,1.995000E-001,5.697000E-003
