**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 59

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
Dichloromethane,  0.00531,  0.00433,  0.00513,  0.00525,  0.00559,  0.00642,  0.00533,  0.00041,  0.07677,  0.07713
Chloroform,  0.00063,  0.00040,  0.00061,  0.00062,  0.00064,  0.00105,  0.00064,  0.00010,  0.15721,  0.15984
Trichlorofluoromethane,  0.00497,  0.00444,  0.00482,  0.00570,  0.00633,  0.02055,  0.00613,  0.00204,  0.33313,  0.41125
Dichlorodifluoromethane,  0.00874,  0.00000,  0.00881,  0.00940,  0.01316,  0.01709,  0.01074,  0.00269,  0.25057,  0.30774
Carbon Tetrachloride,  0.00091,  0.00026,  0.00088,  0.00115,  0.00156,  0.00241,  0.00122,  0.00041,  0.33573,  0.45339
1_1_2-Trichlorotrifluoroethane,  0.00120,  0.00112,  0.00118,  0.00165,  0.00201,  0.00557,  0.00173,  0.00065,  0.37797,  0.54510
1_2-Dichloro-1_1_2_2-tetrafluoroethane,  0.00031,  0.00029,  0.00031,  0.00039,  0.00046,  0.00071,  0.00041,  0.00011,  0.26569,  0.34443
Tetrachloroethene,  0.00017,  0.00005,  0.00013,  0.00017,  0.00017,  0.00048,  0.00016,  0.00005,  0.33781,  0.32335
1_2-Dichlorobenzene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00464,  0.00005,  0.00046,  9.15891,  0.00000
1_4-Dichlorobenzene,  0.00005,  0.00000,  0.00005,  0.00006,  0.00008,  0.00036,  0.00007,  0.00004,  0.67402,  0.80786
PCBTF,  0.00086,  0.00036,  0.00069,  0.00085,  0.00086,  0.00091,  0.00077,  0.00014,  0.18532,  0.16571
N-Butane,  0.00209,  0.00000,  0.00161,  0.00205,  0.00492,  0.07271,  0.00377,  0.00746,  1.97947,  3.56275
Isobutane,  0.00411,  0.00000,  0.00194,  0.00411,  0.00801,  0.01191,  0.00479,  0.00380,  0.79349,  0.92403
N-Pentane,  0.00047,  0.00000,  0.00000,  0.00037,  0.00041,  0.00134,  0.00030,  0.00024,  0.79604,  0.50610
Isopentane,  0.00765,  0.00374,  0.00731,  0.00757,  0.01026,  0.02500,  0.00891,  0.00310,  0.34800,  0.40517
2-Methyl pentane,  0.00773,  0.00058,  0.00737,  0.00756,  0.01033,  0.01576,  0.00896,  0.00343,  0.38286,  0.44362
Butene,  0.00053,  0.00000,  0.00044,  0.00051,  0.00223,  0.02456,  0.00146,  0.00267,  1.83497,  5.02330
Propylene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.01982,  0.00034,  0.00211,  6.25637,  0.00000
cis-2-Pentene,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  7.04532,  0.00000
Isoprene,  0.01108,  0.00496,  0.01087,  0.01663,  0.03970,  0.05354,  0.02213,  0.01402,  0.63377,  1.26541
alpha-Pinene,  0.00183,  0.00047,  0.00182,  0.00270,  0.00717,  0.00920,  0.00388,  0.00262,  0.67505,  1.42761
MVK,  0.00391,  0.00113,  0.00379,  0.00651,  0.01770,  0.02405,  0.00906,  0.00658,  0.72624,  1.68076
Benzene,  0.00013,  0.00000,  0.00000,  0.00000,  0.00010,  0.00066,  0.00009,  0.00019,  2.05719,  1.48987
Toluene,  0.01120,  0.00046,  0.00838,  0.01109,  0.01123,  0.02937,  0.00974,  0.00371,  0.38133,  0.33145
Ethylbenzene,  0.00198,  0.00016,  0.00144,  0.00197,  0.00198,  0.00447,  0.00175,  0.00062,  0.35423,  0.31277
Propylbenzene,  0.00039,  0.00002,  0.00028,  0.00039,  0.00040,  0.00093,  0.00037,  0.00013,  0.34576,  0.32443
m_p-Xylene,  0.00208,  0.00000,  0.00134,  0.00208,  0.00215,  0.01309,  0.00188,  0.00135,  0.71945,  0.64913
o-Xylene,  0.00191,  0.00000,  0.00135,  0.00191,  0.00193,  0.00535,  0.00169,  0.00070,  0.41774,  0.36831
p-Isopropyl Toluene,  0.00053,  0.00000,  0.00051,  0.00053,  0.00078,  0.00108,  0.00062,  0.00023,  0.37022,  0.43169
Naphthalene,  0.00124,  0.00000,  0.00110,  0.00124,  0.00149,  0.00186,  0.00128,  0.00035,  0.27708,  0.28691
Methanol, 72.75800,  0.00000, 72.62325, 72.84300, 73.17225, 75.15700, 72.16895,  7.30624,  0.10124,  0.10042
Ethanol,  0.00000,  0.00000,  0.00000,  0.00000,  0.03824,  0.17161,  0.01811,  0.03164,  1.74761,  0.00000
Phenol,  0.00104,  0.00000,  0.00061,  0.00111,  0.00828,  0.04235,  0.00480,  0.00669,  1.39571,  6.40518
Formaldehyde,  0.01198,  0.00000,  0.00901,  0.01284,  0.10822,  0.35101,  0.05814,  0.07063,  1.21487,  5.89443
Acetaldehyde,  0.01682,  0.00000,  0.01456,  0.01788,  0.06787,  0.15483,  0.03608,  0.03650,  1.01171,  2.17084
Isovaleraldehyde,  0.00000,  0.00000,  0.00000,  0.00001,  0.00016,  0.01682,  0.00033,  0.00169,  5.10275,  0.00000
Hexaldehyde,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.04776,  0.00063,  0.00478,  7.65279,  0.00000
m_p-Tolualdehyde,  0.00004,  0.00000,  0.00003,  0.00004,  0.00007,  0.00010,  0.00005,  0.00003,  0.60012,  0.72747
