
Factor Contributions (avg = 1) from Base Run #8 (Convergent Run)

,,Anthoropogenic,Biogenic,winter blend gasoline,dichlorobenzene,VCP (EtOH),BTEX,CFCs + aldehydes,MeOH,VCP (Siloxane)
8,07/10/21,3.929600E+000,4.355900E-001,2.209100E+000,1.870000E-001,4.618200E+000,2.074000E+000,-9.679200E-002,1.697800E+000,7.933400E-001
8,07/11/21,2.338300E+000,1.000200E+000,4.719000E-001,5.016600E-001,4.644300E+000,2.628700E-001,1.018200E+000,6.134200E-001,1.142300E+000
8,07/12/21,4.142400E+000,-1.822600E-001,2.788300E+000,1.402600E+000,5.577700E+000,2.072100E+000,-2.000000E-001,1.366800E+000,5.633700E-001
8,07/13/21,2.753600E+000,1.590700E+000,1.158700E+000,6.786700E-001,5.130500E+000,-2.000000E-001,8.776300E-001,1.177400E-001,-2.000000E-001
8,07/14/21,3.985800E+000,1.024600E+000,1.947900E+000,1.183400E+000,-2.000000E-001,1.899900E+000,-9.552800E-002,5.629800E+000,7.517600E-001
8,07/15/21,4.130400E+000,-2.000000E-001,2.644400E+000,9.515300E-001,1.746900E+000,2.642500E+000,-2.000000E-001,1.546700E+000,5.481300E-001
8,07/16/21,3.470200E+000,4.904100E-001,1.845200E+000,5.383300E-001,2.231100E+000,1.359600E+000,6.327200E-001,1.268200E+000,5.448300E-001
8,07/17/21,2.760500E+000,1.342300E+000,8.028200E-001,5.016000E-001,-1.328100E-001,8.671100E-001,7.893500E-001,-1.571500E-001,9.669700E-001
8,07/18/21,1.964200E+000,1.534800E+000,6.763900E-001,4.630000E-001,-1.309600E-001,-2.000000E-001,1.436600E+000,-1.410500E-001,1.552900E+000
8,07/19/21,2.676300E+000,1.399500E+000,5.668400E-001,1.075800E+000,-1.342100E-001,1.747600E+000,-2.000000E-001,-1.362500E-001,-2.000000E-001
8,07/20/21,2.204000E+000,6.847200E-001,2.668300E+000,6.944300E-001,2.249800E+000,1.719500E+000,4.666900E-001,1.089500E+001,-2.000000E-001
8,07/21/21,3.009600E+000,1.406100E+000,1.365800E+000,5.370400E-001,2.801500E+000,9.699800E-001,1.661800E-001,4.554300E+000,1.851500E-001
8,07/22/21,4.014600E+000,-2.000000E-001,3.194100E+000,1.261100E+000,2.858200E+000,3.242900E+000,-2.000000E-001,3.028300E+000,1.026000E-003
8,07/23/21,3.070800E+000,9.330000E-001,1.697600E+000,1.070300E+000,-1.766000E-001,1.917200E+000,-2.000000E-001,3.746700E+000,1.545700E+000
8,07/24/21,2.548600E+000,6.662600E-001,1.468900E+000,6.791200E-001,-1.300500E-001,2.008600E+000,5.460300E-001,-1.684200E-001,1.134600E+000
8,07/25/21,1.913000E+000,6.716300E-001,8.695800E-001,7.416900E-001,2.369300E+000,5.026600E-001,9.971100E-001,5.954700E-001,1.248000E+000
8,07/26/21,-2.000000E-001,9.413700E-001,-1.638400E-002,2.682900E-002,1.003000E+000,1.652500E+000,2.183500E-001,-1.021300E-001,1.528500E-001
8,07/27/21,2.023200E+000,1.303200E+000,1.158700E+000,9.779800E-002,2.800100E+000,1.566200E+000,5.980800E-001,1.952000E+000,8.111300E-001
8,07/28/21,2.150600E+000,7.939100E-001,1.389100E+000,5.049900E-001,1.521600E+000,2.536600E+000,7.003600E-001,2.337400E-001,5.960000E-001
8,07/29/21,6.369900E-001,9.032900E-001,2.196900E+000,6.356600E-001,1.897700E+000,3.371400E+000,5.195200E-001,6.366400E-001,6.896000E-001
8,07/30/21,1.988700E+000,1.221800E+000,8.174800E-001,1.099200E-001,3.624200E+000,1.718600E+000,6.995200E-001,6.665700E-001,8.992200E-002
8,07/31/21,1.906100E+000,1.317900E+000,1.772300E+000,2.805900E-001,4.281600E+000,1.323100E+000,6.159600E-001,1.275700E+000,1.258500E-002
8,08/01/21,1.259200E+000,1.905000E+000,1.567400E+000,5.291400E-001,1.332200E+000,3.482600E-001,2.332400E-001,2.897400E-001,8.906800E-001
8,08/02/21,1.325000E+000,2.550600E+000,5.274600E-001,-1.836500E-001,-1.874400E-001,1.111600E-001,1.150600E+000,-1.315700E-001,5.022500E-001
8,08/03/21,2.213500E+000,2.397900E+000,1.318800E+000,-4.907300E-003,1.489500E+000,1.111700E+000,5.467900E-001,-1.910300E-001,-2.000000E-001
8,08/04/21,2.872900E+000,1.657300E+000,2.857400E+000,2.840600E-001,1.726500E+000,2.087000E+000,-9.399400E-002,1.795500E-001,6.044700E-001
8,08/05/21,3.036700E+000,8.924200E-001,3.092200E+000,8.477000E-001,1.883400E+000,2.188300E+000,1.581900E-001,1.121400E-001,-1.407300E-002
8,08/06/21,2.294200E+000,1.561900E+000,1.638900E+000,8.968700E-001,-1.567100E-001,1.410700E+000,1.821800E-001,-1.377800E-001,1.888700E+000
8,08/07/21,1.952100E+000,1.017300E+000,3.715800E-001,8.417900E-001,1.218000E+000,7.586200E-001,9.961700E-001,-1.755400E-001,1.486900E+000
8,08/08/21,1.556600E+000,9.732500E-001,8.440600E-001,6.067500E-001,2.396100E+000,4.150100E-001,1.081500E+000,4.874300E-001,1.020300E+000
8,08/09/21,2.642000E-001,5.701300E-001,1.058400E+000,4.671900E-001,1.704800E+000,2.598400E+000,1.319200E+000,3.406600E-002,2.359200E+000
8,08/10/21,2.237500E+000,9.128400E-001,2.312100E+000,8.270100E-001,1.635100E+000,2.265600E+000,3.985100E-001,2.093300E-001,1.031800E+000
8,08/11/21,1.003300E+000,2.504500E+000,-1.523200E-001,1.119400E+000,8.268900E-001,-2.000000E-001,1.090800E+000,1.597300E-001,6.949000E-002
8,08/12/21,3.174600E+000,8.246400E-001,5.269800E-002,-2.000000E-001,1.071900E+000,9.768500E-001,2.736400E+000,3.462900E-001,2.340600E+000
8,08/13/21,6.786100E-002,2.040800E+000,-2.000000E-001,6.135900E-001,6.509200E-001,-2.000000E-001,1.151700E+000,1.011100E+001,1.241200E+000
8,08/14/21,3.468300E-001,1.688800E+000,4.384700E-001,1.320900E-001,1.296500E+000,1.049000E+000,9.037700E-001,5.754000E+000,1.118700E+000
8,08/15/21,8.343300E-001,1.569700E+000,6.329900E-001,4.935100E-001,6.299800E-001,3.641100E-001,2.199900E-001,3.932400E+000,2.583900E+000
8,08/16/21,8.280100E-001,2.192900E+000,1.748900E+000,6.827500E-001,1.252200E+000,1.168300E+000,-5.648300E-002,1.523800E+000,3.922900E+000
8,08/17/21,-2.000000E-001,1.404700E+000,4.575000E-001,1.194500E+000,8.312900E-001,2.351600E+000,6.949600E-001,2.200400E+000,3.116100E+000
8,08/18/21,1.205600E-001,8.393700E-001,-1.670300E-001,-5.312400E-002,-9.648200E-002,-3.367200E-002,1.726100E+000,1.342600E+000,1.448100E-001
8,08/19/21,9.620800E-002,7.652400E-001,-1.803400E-001,-5.612500E-002,-1.000000E-001,-6.901400E-002,2.001400E+000,1.027700E+000,2.498400E-001
8,08/20/21,1.518600E+000,-2.000000E-001,1.587700E+000,6.926700E-001,6.744700E-001,3.052900E+000,6.690500E-001,2.626100E+000,2.633400E+000
8,08/21/21,3.583100E-001,1.272600E-001,-2.000000E-001,1.502500E+000,-1.525700E-001,3.834200E+000,2.185800E-001,4.804900E-001,-9.261000E-002
8,08/22/21,6.680000E-001,2.670600E-001,8.381700E-001,6.283200E-002,-1.045700E-001,9.080000E-001,1.859900E+000,-1.497700E-001,2.475900E+000
8,08/23/21,8.824600E-001,3.384300E-001,8.294300E-001,4.784900E-001,8.851500E-001,1.491200E+000,1.486300E+000,3.063300E-001,2.454000E+000
8,08/24/21,1.256300E+000,8.763100E-001,3.183500E-001,8.169800E-001,-1.762900E-001,1.281800E+000,1.185500E+000,7.338500E-001,2.617700E+000
8,08/25/21,1.855300E+000,1.531900E+000,8.896700E-001,8.544600E-001,-2.000000E-001,1.450300E+000,5.989200E-001,-1.501500E-001,1.747400E+000
8,08/26/21,1.260800E+000,1.850200E+000,-8.243600E-002,8.987800E-001,-2.000000E-001,2.324700E-001,1.146200E+000,1.512600E+000,8.225800E-001
8,08/27/21,1.291200E+000,1.723700E+000,5.923600E-001,-2.000000E-001,1.788800E+000,3.873600E-001,8.674000E-001,-1.577700E-001,1.382700E+000
8,08/28/21,1.627100E+000,2.023400E+000,9.242700E-001,3.724300E-001,2.297900E+000,3.781700E-001,4.102800E-001,2.391900E-001,1.852300E+000
8,08/29/21,1.345800E+000,1.943500E+000,2.052200E-001,5.450000E-001,1.847700E+000,2.001500E-002,8.552600E-001,4.753200E-001,1.451800E+000
8,08/30/21,-1.266800E-001,1.683300E+000,4.207300E-002,1.468800E-002,-7.049400E-002,1.097800E-001,-2.000000E-001,-1.499500E-002,2.608200E-002
8,08/31/21,1.485900E+000,-1.894700E-001,1.709800E+000,4.713300E-001,1.821300E+000,3.596700E+000,1.740000E-001,6.460600E-001,3.518100E+000
8,09/01/21,8.646400E-001,-1.679800E-003,4.906400E-001,1.181300E+000,1.556200E+000,1.089300E+000,1.705300E+000,-1.909000E-001,1.387700E+000
8,09/02/21,8.819300E-001,-1.362100E-001,9.593100E-001,-4.898200E-002,2.652900E+000,2.746000E+000,1.261800E+000,3.098900E-001,2.660700E+000
8,09/03/21,9.773300E-001,1.610100E+000,4.313500E-001,5.109900E-001,1.867000E+000,4.854200E-001,5.006000E-001,6.588600E-001,1.832200E+000
8,09/04/21,-1.276000E-001,1.833200E+000,4.220700E-002,1.404300E-002,-8.001200E-002,9.857500E-002,-2.000000E-001,-1.676800E-002,2.694800E-002
8,09/05/21,5.841000E-001,1.919600E+000,-2.000000E-001,3.895600E-001,1.115200E+000,-1.909700E-001,1.151200E+000,1.659800E-001,6.366200E-001
8,09/06/21,1.121000E+000,1.832800E+000,1.128200E+000,1.988300E-001,1.960300E+000,6.903800E-001,2.941800E-001,3.579500E-001,2.797600E+000
8,09/07/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
8,09/08/21,1.978900E+000,1.374800E+000,2.185900E+000,8.093200E-001,1.612900E+000,2.315100E+000,-2.000000E-001,2.682400E-001,2.111500E+000
8,09/09/21,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002,-9.990000E+002
8,09/10/21,1.438300E+000,1.315300E+000,1.356500E+000,1.846900E+000,1.628400E+000,1.223000E+000,-1.084600E-001,6.518800E-001,2.491600E+000
8,09/11/21,7.149000E-001,2.238800E+000,-2.000000E-001,-1.174700E-001,2.173700E+000,8.519600E-001,5.408400E-001,3.407300E-001,1.464200E+000
8,09/12/21,4.403600E-001,2.610100E+000,-1.685800E-001,-8.457700E-002,9.307200E-001,-8.867200E-002,1.065600E+000,-2.747000E-003,4.456800E-001
8,09/13/21,6.556300E-001,2.557000E+000,2.516200E-001,-1.279600E-001,1.476400E+000,1.493300E-001,7.130200E-001,2.594300E+000,9.744900E-001
8,09/14/21,3.077300E-001,2.006000E+000,6.481100E-001,-1.030900E-001,1.008200E+000,1.007700E+000,6.713800E-001,6.409600E+000,2.096400E+000
8,09/15/21,1.029800E+000,1.168400E+000,1.125200E+000,-1.780900E-001,1.630300E+000,2.143000E+000,1.567600E-001,3.946500E+000,2.079100E+000
8,09/16/21,1.051200E+000,8.314100E-001,1.552800E+000,-2.000000E-001,1.907300E+000,2.538700E+000,1.191000E-001,3.068200E+000,3.119500E+000
8,09/17/21,8.390700E-001,4.413400E-002,1.374300E+000,-1.548800E-001,1.087000E+000,3.124400E+000,3.208900E-001,1.302300E+000,3.311100E+000
8,09/18/21,6.643800E-001,8.694100E-001,7.527000E-001,-1.276800E-001,1.267400E+000,2.443000E+000,5.143300E-001,9.427900E-001,2.478900E+000
8,09/19/21,4.606900E-001,7.475800E-001,3.894300E-001,-1.029000E-001,1.006100E+000,7.956600E-001,1.040400E+000,7.934400E-001,2.104200E+000
8,09/20/21,9.574500E-001,1.728100E+000,9.515000E-001,-1.642600E-001,1.297000E+000,1.634400E+000,2.789400E-001,1.208600E+000,1.873900E+000
8,09/21/21,2.707600E-001,1.965600E+000,-1.660100E-001,-7.036400E-002,1.210700E+000,-4.554700E-002,1.387200E+000,3.763200E-001,3.510900E-001
8,09/22/21,8.986800E-001,1.890700E+000,2.198600E-001,-1.295000E-001,1.067200E+000,7.231000E-001,4.817900E-001,2.528900E-001,1.476600E+000
8,09/23/21,7.193000E-001,1.405000E+000,3.802200E-001,-1.266400E-001,1.168500E+000,1.468500E+000,9.538200E-001,1.455200E-001,1.009500E+000
8,09/24/21,5.140800E-001,7.511000E-001,1.169800E+000,-1.225500E-001,1.516300E+000,2.030300E+000,2.401600E-001,9.274900E+000,3.142200E+000
8,09/25/21,-4.943600E-002,1.264800E+000,2.888000E-002,9.170600E-003,-3.949000E-002,1.987300E-002,-1.866200E-001,-8.397200E-003,-1.608000E-003
