
Factor Contributions (avg = 1) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	07/10/21	2.160900E+000	2.054100E+000	4.607400E+000	8.307700E-001	1.412100E-001	3.913900E+000	-8.893500E-002	1.689300E+000	4.859700E-001
7	07/11/21	4.488300E-001	2.799900E-001	4.629500E+000	1.104500E+000	4.834700E-001	2.285000E+000	1.082700E+000	5.956000E-001	1.048500E+000
7	07/12/21	2.707700E+000	2.072100E+000	5.561300E+000	6.189500E-001	1.347200E+000	4.130500E+000	-2.000000E-001	1.363800E+000	-1.382300E-001
7	07/13/21	1.091900E+000	-2.000000E-001	5.121900E+000	-2.000000E-001	6.559400E-001	2.718100E+000	9.172000E-001	9.733200E-002	1.606700E+000
7	07/14/21	1.877100E+000	1.885000E+000	-2.000000E-001	7.100800E-001	1.125600E+000	4.026800E+000	-5.827400E-002	5.569700E+000	1.001500E+000
7	07/15/21	2.588000E+000	2.651600E+000	1.744900E+000	5.625000E-001	8.968400E-001	4.151500E+000	-2.000000E-001	1.527700E+000	-2.000000E-001
7	07/16/21	1.797200E+000	1.359500E+000	2.225300E+000	5.316500E-001	5.046500E-001	3.470900E+000	6.493400E-001	1.235300E+000	5.068900E-001
7	07/17/21	7.573100E-001	8.850000E-001	-1.344700E-001	9.036100E-001	4.743200E-001	2.766800E+000	8.420700E-001	-1.917400E-001	1.332600E+000
7	07/18/21	6.366000E-001	-2.000000E-001	-1.309800E-001	1.518000E+000	4.588200E-001	1.967800E+000	1.486300E+000	-1.884200E-001	1.521100E+000
7	07/19/21	1.837700E+000	1.561700E+000	-1.467900E-001	-2.000000E-001	1.006800E+000	2.450800E+000	-9.716900E-002	-1.293900E-001	1.436100E+000
7	07/20/21	2.620500E+000	1.663400E+000	2.249100E+000	-2.000000E-001	6.789600E-001	2.282800E+000	4.008500E-001	1.082000E+001	6.598800E-001
7	07/21/21	1.329900E+000	9.420100E-001	2.794900E+000	1.290400E-001	4.979800E-001	3.018500E+000	1.977400E-001	4.515800E+000	1.427700E+000
7	07/22/21	3.078300E+000	3.228000E+000	2.857600E+000	8.600700E-002	1.214800E+000	4.036000E+000	-2.000000E-001	3.020600E+000	-2.000000E-001
7	07/23/21	1.605700E+000	1.922600E+000	-1.746000E-001	1.546700E+000	1.027200E+000	3.126600E+000	-2.000000E-001	3.705100E+000	9.109100E-001
7	07/24/21	1.427000E+000	2.025300E+000	-1.319400E-001	1.137800E+000	6.552600E-001	2.559800E+000	5.569000E-001	-1.741800E-001	6.654900E-001
7	07/25/21	8.464500E-001	5.177800E-001	2.366200E+000	1.234600E+000	7.297200E-001	1.890100E+000	1.032600E+000	5.760700E-001	6.834400E-001
7	07/26/21	-5.559200E-003	1.659900E+000	9.977900E-001	1.380300E-001	3.232600E-002	-2.000000E-001	2.155300E-001	-5.268700E-002	9.574800E-001
7	07/27/21	1.112000E+000	1.575700E+000	2.802300E+000	8.215700E-001	8.489000E-002	2.021600E+000	6.172700E-001	1.948300E+000	1.298300E+000
7	07/28/21	1.339300E+000	2.561400E+000	1.521900E+000	6.279900E-001	4.916500E-001	2.153000E+000	7.087100E-001	2.539700E-001	7.784000E-001
7	07/29/21	2.227000E+000	3.324500E+000	1.893300E+000	7.734100E-001	6.449200E-001	6.455200E-001	4.575900E-001	7.096900E-001	9.413400E-001
7	07/30/21	7.857300E-001	1.737600E+000	3.628200E+000	9.587300E-002	9.687000E-002	1.963900E+000	7.308500E-001	6.836800E-001	1.225100E+000
