
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8	Factor 9
7	Dichloromethane	1.055300E-002	6.563800E-003	8.112100E-004	1.181400E-002	3.740500E-003	5.484000E-002	2.600700E-002	5.404500E-003	5.247800E-003
7	Chloroform	1.474500E-003	7.925500E-004	1.567600E-003	2.876600E-003	8.114700E-004	1.313900E-002	4.548400E-003	6.714500E-004	0.000000E+000
7	Trichlorofluoromethane	4.603600E-003	4.194900E-003	3.578800E-003	6.485200E-003	3.587900E-003	1.192100E-001	7.818700E-002	5.302900E-003	3.006500E-002
7	Dichlorodifluoromethane	2.974300E-002	2.098100E-002	0.000000E+000	6.139900E-002	1.108700E-002	6.727900E-002	1.729200E-001	8.291100E-003	3.123500E-002
7	Carbon Tetrachloride	0.000000E+000	2.733700E-003	1.540100E-003	5.360100E-003	0.000000E+000	3.008800E-002	2.411300E-002	9.578100E-004	7.284900E-003
7	1_1_2-Trichlorotrifluoroethane	0.000000E+000	0.000000E+000	2.651900E-003	6.108000E-003	1.265900E-003	3.229700E-002	2.861500E-002	1.283100E-003	7.867300E-003
7	1_2-Dichloro-1_1_2_2-tetrafluoroethane	1.531600E-003	0.000000E+000	0.000000E+000	1.347200E-003	3.022700E-004	4.671800E-003	7.175100E-003	3.421800E-004	1.360000E-003
7	Tetrachloroethene	4.929400E-004	1.084300E-003	8.640400E-005	6.888600E-004	5.710900E-004	2.150900E-003	2.548300E-004	1.658800E-004	2.419800E-004
7	1_2-Dichlorobenzene	1.473400E-004	0.000000E+000	9.418900E-005	0.000000E+000	5.097700E-003	6.339500E-004	6.641500E-005	0.000000E+000	4.706100E-006
7	1_4-Dichlorobenzene	1.333000E-004	0.000000E+000	0.000000E+000	3.855500E-005	5.073700E-003	3.743500E-004	0.000000E+000	5.948100E-005	9.466000E-005
7	PCBTF	1.196100E-003	3.388000E-003	2.728400E-004	7.879700E-004	7.803700E-004	5.392500E-003	0.000000E+000	9.588400E-004	1.058700E-004
7	N-Butane	1.886700E-001	1.268400E-002	4.078000E-003	5.434200E-002	5.747200E-002	4.449200E-002	4.273300E-002	1.122200E-003	1.114500E-002
7	Isobutane	1.023800E-001	0.000000E+000	0.000000E+000	7.411500E-002	1.193000E-002	4.553500E-002	0.000000E+000	2.988000E-003	1.418000E-003
7	N-Pentane	6.884200E-002	1.433400E-003	0.000000E+000	0.000000E+000	1.177500E-003	1.529500E-002	4.694900E-003	6.525400E-004	0.000000E+000
