
Residuals from Base Run #7 (Convergent Run)

Base_Run	Date_Time	Dichloromethane	Chloroform	Trichlorofluoromethane	Dichlorodifluoromethane	Carbon Tetrachloride	1_1_2-Trichlorotrifluoroethane	1_2-Dichloro-1_1_2_2-tetrafluoroethane	Tetrachloroethene	1_2-Dichlorobenzene	1_4-Dichlorobenzene	PCBTF	N-Butane	Isobutane	N-Pentane	Isopentane	2-Methyl pentane	Butene	Propylene	cis-2-Pentene	Isoprene	alpha-Pinene	MVK	Benzene	Toluene	Ethylbenzene	Propylbenzene	m_p-Xylene	o-Xylene	p-Isopropyl Toluene	Naphthalene	Methanol	Ethanol	Phenol	Formaldehyde	Acetaldehyde	Isovaleraldehyde	Hexaldehyde	m_p-Tolualdehyde	Phenylacetaldehyde	Cyclohexanone	Methyl acetate	n-Butyl acetate	D5-Siloxane	O3_form	NOx
7	07/10/21	1.824000E-002	2.536000E-003	-7.351000E-002	3.494000E-002	-2.960000E-002	-1.523000E-003	-2.078000E-003	3.560000E-003	-3.232000E-004	8.539000E-003	2.155000E-004	1.005000E-001	-4.856000E-002	-4.880000E-003	-1.306000E-002	-2.423000E-002	4.758000E-002	2.965000E-002	-1.884000E-003	5.634000E-003	2.995000E-003	-3.269000E-002	1.359000E-001	-2.474000E-002	2.595000E-003	-1.841000E-003	1.031000E-003	-3.424000E-003	-3.298000E-003	2.677000E-003	4.314000E-001	3.464000E-001	1.535000E-001	-1.219000E+000	-7.297000E-001	1.664000E-002	5.345000E-003	-6.319000E-004	4.417000E-002	-6.176000E-004	1.633000E-001	1.892000E-002	8.739000E-003	8.045000E+000	-6.619000E-001
7	07/11/21	2.093000E-002	8.939000E-003	2.958000E-002	4.453000E-002	4.073000E-003	1.359000E-002	1.124000E-003	8.438000E-004	-3.032000E-004	3.203000E-004	-8.262000E-003	5.341000E-005	3.273000E-002	-2.746000E-003	-5.688000E-002	-1.482000E-001	2.178000E-002	3.043000E-002	-2.157000E-003	8.270000E-003	4.421000E-003	-2.827000E-002	4.011000E-001	3.242000E-002	1.043000E-003	1.959000E-003	1.907000E-002	8.286000E-003	-4.631000E-003	8.092000E-003	2.585000E-001	4.297000E+000	1.056000E-001	-7.669000E-001	-3.550000E-001	-2.340000E-002	-7.330000E-002	-8.208000E-004	7.029000E-002	-5.636000E-004	6.472000E-002	-2.601000E-003	-1.010000E-002	8.938000E-001	-9.121000E-003
7	07/12/21	-2.736000E-002	7.096000E-003	-4.531000E-002	-1.184000E-002	1.012000E-002	6.185000E-003	-7.224000E-004	-2.636000E-003	-1.376000E-004	2.690000E-004	-6.121000E-003	-5.487000E-002	-6.770000E-002	7.544000E-002	7.115000E-002	1.732000E-002	2.834000E-002	3.709000E-002	2.774000E-004	2.215000E-002	1.428000E-002	-4.474000E-002	4.516000E-001	6.751000E-002	6.405000E-003	2.312000E-003	1.275000E-002	8.577000E-003	-1.633000E-003	5.869000E-003	1.037000E+000	-6.353000E-001	4.076000E-002	-3.449000E-001	-2.736000E-001	-4.011000E-004	-7.545000E-003	2.538000E-004	-7.169000E-002	4.382000E-004	1.663000E-001	-5.207000E-002	7.486000E-003	5.583000E+000	-1.256000E+000
7	07/13/21	5.699000E-002	3.554000E-003	2.322000E-002	-6.773000E-002	1.385000E-002	1.395000E-002	-9.033000E-004	1.474000E-003	-2.459000E-004	2.957000E-004	8.453000E-003	6.591000E-002	3.985000E-002	-1.000000E-002	-4.997000E-002	-8.532000E-002	4.598000E-002	-6.325000E-002	7.568000E-003	-6.680000E-002	-1.583000E-002	-5.807000E-002	1.137000E-001	-3.493000E-002	-5.722000E-003	-9.920000E-004	-6.529000E-003	-6.766000E-003	-5.465000E-003	-3.569000E-003	1.733000E-002	1.817000E-001	8.789000E-002	-2.179000E-001	4.871000E-002	2.436000E-002	6.762000E-002	-4.496000E-004	-6.186000E-002	2.177000E-004	3.674000E-001	2.743000E-002	-1.003000E-002	1.907000E+000	1.060000E+000
7	07/14/21	7.380000E-003	5.538000E-003	-3.301000E-002	-5.195000E-002	-3.718000E-002	-3.655000E-003	-7.489000E-005	5.611000E-004	-1.370000E-004	-2.061000E-004	-1.808000E-003	1.444000E-002	-5.968000E-002	-2.481000E-003	-8.100000E-002	-1.126000E-001	1.451000E-001	5.501000E-002	6.476000E-003	-7.686000E-002	-9.300000E-003	-2.624000E-002	3.006000E-001	-8.231000E-002	-4.876000E-003	-1.003000E-003	-4.698000E-003	-7.369000E-003	1.476000E-002	2.925000E-003	3.527000E+000	-6.447000E-003	1.014000E-001	1.485000E-001	-2.604000E-001	2.550000E-002	2.070000E-002	-1.403000E-004	5.168000E-002	1.890000E-004	2.298000E-001	1.231000E-002	3.940000E-002	-1.418000E+000	1.786000E+000
7	07/15/21	-1.558000E-002	6.015000E-003	-1.982000E-002	4.664000E-002	1.805000E-002	1.661000E-002	-8.041000E-004	-2.474000E-003	-4.667000E-004	6.613000E-004	-9.306000E-003	-1.145000E-002	-1.250000E-001	7.850000E-002	1.906000E-001	2.357000E-002	-1.305000E-002	-1.093000E-002	-2.449000E-003	1.415000E-001	3.335000E-002	4.620000E-002	-3.265000E-002	-4.417000E-003	-2.184000E-004	-7.172000E-004	2.833000E-002	1.128000E-002	8.394000E-003	1.349000E-002	-1.064000E+000	-3.469000E-001	-1.602000E-001	-6.245000E-001	-1.852000E-001	5.219000E-003	-9.063000E-003	-3.271000E-004	-5.772000E-002	8.574000E-004	2.697000E-001	2.252000E-002	4.405000E-002	-3.906000E+000	-8.588000E-001
7	07/16/21	1.232000E-002	-6.414000E-003	4.564000E-002	-1.661000E-002	1.043000E-002	1.992000E-002	1.882000E-003	3.426000E-005	-1.593000E-004	1.821000E-004	-5.751000E-003	2.783000E-002	-2.917000E-002	1.151000E-002	-3.072000E-002	-7.236000E-002	3.510000E-002	-8.646000E-002	-2.597000E-005	-2.525000E-002	4.558000E-003	-3.451000E-002	5.820000E-001	1.848000E-002	5.642000E-003	1.248000E-003	1.499000E-002	7.812000E-003	-3.088000E-003	4.324000E-003	2.875000E-001	1.827000E-001	-1.772000E-003	-3.987000E-001	-1.774000E-001	-2.842000E-003	-3.165000E-002	2.415000E-004	3.262000E-002	-3.824000E-004	-7.571000E-002	8.269000E-003	2.654000E-002	1.486000E+000	-1.528000E-001
7	07/17/21	2.330000E-002	4.631000E-003	6.198000E-002	-2.508000E-002	2.658000E-002	3.098000E-002	7.638000E-004	-1.631000E-003	-4.046000E-005	1.317000E-004	-2.120000E-004	5.590000E-003	-4.322000E-002	2.138000E-002	1.405000E-002	-3.019000E-002	-2.275000E-002	-8.029000E-002	7.685000E-004	-6.382000E-002	-7.948000E-003	-2.701000E-002	7.345000E-002	-6.776000E-003	-1.191000E-003	9.387000E-004	-3.822000E-003	-4.797000E-003	1.638000E-003	-8.602000E-006	-5.655000E-005	-1.540000E-003	-1.209000E-001	-2.850000E-001	-1.044000E-001	1.322000E-002	-2.964000E-002	9.822000E-005	-5.313000E-002	7.899000E-004	-7.396000E-003	-1.929000E-002	2.827000E-002	1.981000E+000	1.347000E+000
7	07/18/21	1.537000E-002	7.198000E-003	9.371000E-002	-9.451000E-002	3.511000E-002	3.314000E-002	1.186000E-003	1.722000E-003	2.367000E-004	-9.209000E-005	-1.769000E-003	6.400000E-002	1.181000E-002	-3.033000E-003	-1.136000E-002	-1.202000E-002	6.448000E-002	-2.821000E-001	4.348000E-003	1.610000E-001	2.005000E-002	8.900000E-002	1.816000E-001	-5.423000E-003	-3.605000E-003	-1.585000E-003	-2.635000E-003	-3.427000E-003	4.324000E-003	-2.222000E-003	1.473000E-004	-1.513000E-003	2.983000E-002	-1.293000E-001	5.739000E-002	9.366000E-003	-5.097000E-002	-7.981000E-004	1.473000E-002	6.188000E-004	-1.769000E-002	-8.242000E-003	1.454000E-002	-1.014000E+001	3.568000E-001
7	07/19/21	1.417000E-001	-6.105000E-003	-1.443000E-001	4.178000E-001	-1.012000E-003	-2.424000E-002	1.136000E-002	1.788000E-003	-7.340000E-006	-1.226000E-004	1.040000E-002	1.845000E-001	-1.617000E-001	1.021000E-001	-2.315000E-001	-6.049000E-002	2.657000E-001	2.314000E-001	-2.205000E-003	-4.347000E-002	-8.404000E-003	-1.029000E-002	1.907000E-001	1.895000E-002	8.016000E-003	2.574000E-003	-5.791000E-003	2.321000E-003	5.877000E-003	7.819000E-003	-5.622000E-005	-7.285000E-005	2.221000E-001	-3.986000E-001	5.375000E-003	-3.598000E-003	-3.438000E-002	-1.409000E-003	2.849000E-002	-5.490000E-004	2.740000E-001	-1.974000E-002	9.192000E-002	3.256000E+000	-5.722000E-001
