Date,Dichloromethane,Chloroform,CFC-11,CFC-12,Carbon Tetrachloride,CFC-113,CFC-114,Tetrachloroethene,1_2-Dichlorobenzene,1_4-Dichlorobenzene,PCBTF,N-Butane,Isobutane,N-Pentane,Isopentane,2-Methyl pentane,Butene,Propylene,cis-2-Pentene,Isoprene,alpha-Pinene,MVK,Benzene,Toluene,Ethylbenzene,Propylbenzene,m_p-Xylene,o-Xylene,p-Isopropyl Toluene,Naphthalene,Methanol,Ethanol,Phenol,Formaldehyde,Acetaldehyde,Isovaleraldehyde,Hexaldehyde,m_p-Tolualdehyde,Phenylacetaldehyde,Cyclohexanone,Methyl acetate,n-Butyl acetate,Diethylphthalate,D5-Siloxane,O3_form,b1_b2_3hr,b3_b2_3hr,NOx
7/10/2021,0.020679273,0.004547879,0.029110141,0.032001455,0.007557172,0.010774626,0.001312889,0.001012687,0.000199391,0.000595488,0.001782331,0.046755556,0.021773232,0.010599495,0.048259596,0.048835057,0.033875253,0.042677222,0.001556061,0.093222903,0.021190065,0.042524274,0.067286465,0.045476848,0.007151192,0.001663838,0.006595556,0.005888646,0.002885657,0.002874828,7.174023111,1.158,0.053718087,0.766714664,0.369027301,0.009917947,0.014736253,0.000245651,0.025981472,0.000341277,0.046111194,0.022375813,0.003992524,0.011937939,3.086868064,0.286159321,0.179551946,0.821721446
7/11/2021,0.016464,0.003886061,0.029079596,0.034180364,0.008188444,0.010835717,0.001424889,0.000595232,0.000227511,0.000229412,0.000491286,0.025319192,0.014459596,0.003699495,0.027668687,0.025031557,0.02459798,0.034747222,0.001093333,0.087824986,0.020547372,0.03964323,0.066390465,0.027485576,0.003882828,0.001185293,0.004223192,0.003628283,0.002183111,0.00232501,3.146167111,1.3605,0.048593358,0.732607055,0.340972361,0.007130195,0.012604961,0.000323225,0.027467216,0.000246037,0.027964931,0.0102299,0.004609425,0.008089212,2.420508658,0.48994118,0.113058851,0.440339048
7/12/2021,0.019029818,0.005016242,0.030800323,0.029170909,0.009512081,0.011222626,0.001389253,0.000760178,0.000530953,0.000491317,0.001592427,0.047119192,0.023950505,0.016699495,0.057450505,0.053293213,0.036502525,0.051413131,0.001756061,0.081733871,0.019799497,0.036417087,0.085369374,0.053276121,0.007792646,0.001969293,0.007980283,0.006906828,0.003109657,0.002986828,6.077431111,1.328,0.046837749,0.84824215,0.416553538,0.008855954,0.014994324,0.000323826,0.02038136,0.000460327,0.04832002,0.020333438,0.031531611,0.013332848,2.939458233,0.115665657,0.13672334,0.826966394
7/13/2021,0.018714182,0.003733333,0.031146505,0.025800727,0.008931717,0.011181899,0.001358707,0.000625778,0.000294704,0.000282973,0.001342129,0.032319192,0.014327778,0.005802222,0.030618687,0.029116471,0.027602525,0.030422222,0.001742424,0.104971816,0.022532041,0.048860653,0.054426828,0.025174303,0.003567192,0.001051911,0.002950465,0.002783192,0.002366384,0.001593956,1.367831111,1.275,0.053522773,0.816339134,0.358989529,0.011755574,0.025857668,0.000323225,0.02247664,0.000269847,0.044088741,0.012530267,0.002314972,0.006653576,2.374011856,0.7517923,0.067345568,0.462464775
7/14/2021,0.021381818,0.004527515,0.03290796,0.030290909,0.007333172,0.010733899,0.001536889,0.000900687,0.000438702,0.000421943,0.001822773,0.042010101,0.020777778,0.010008586,0.042891414,0.043957067,0.036011616,0.046235859,0.001883333,0.088621506,0.020643344,0.040067092,0.074627556,0.044132848,0.007090101,0.001816566,0.007114828,0.006102465,0.00335402,0.002966465,21.23108711,0.05,0.056261648,0.836074673,0.381483954,0.010643617,0.017690638,0.000324689,0.027966274,0.000365087,0.048517755,0.022097075,0.004862095,0.01188703,2.765434797,0.130309146,0.156391142,1.023850153
7/15/2021,0.019559273,0.004670061,0.031462141,0.032144,0.009695354,0.011212444,0.001368889,0.000768323,0.000381483,0.000396343,0.001465518,0.046323737,0.020059596,0.016476768,0.059336869,0.051501258,0.03114798,0.047362222,0.001524242,0.079943823,0.019574743,0.035474291,0.060006465,0.050516848,0.007660283,0.001867475,0.009161374,0.007324283,0.003048566,0.003353374,6.353735111,0.445,0.036001326,0.706642146,0.380536979,0.008600836,0.013655062,0.000287976,0.020724224,0.000460327,0.05203729,0.024501002,0.003935759,0.012742303,2.530965462,0.032460301,0.203357495,0.863445939
7/16/2021,0.019386182,0.003692606,0.034537051,0.032174545,0.009410263,0.011782626,0.001623434,0.000737778,0.000274742,0.000257297,0.001173356,0.039573737,0.018914141,0.009958586,0.039600505,0.039073479,0.02989798,0.037207222,0.00149697,0.076090108,0.019082585,0.033453181,0.08501301,0.040273939,0.006163556,0.001592566,0.006330828,0.005440646,0.002335838,0.002487919,5.437911111,0.589,0.04625699,0.727851537,0.346679932,0.008636856,0.014623945,0.000288179,0.026781488,0.000269847,0.028751257,0.017895925,0.008335612,0.010176485,2.509396236,0.100439028,0.218112831,0.631037593
7/17/2021,0.0175,0.003550061,0.032127778,0.030828,0.009476444,0.011506444,0.001448889,0.000529778,0.000232696,0.000227355,0.001035131,0.028018056,0.012490278,0.006297222,0.031309028,0.032647881,0.021188889,0.031122222,0.001270833,0.080656713,0.019664536,0.035849464,0.052437556,0.029786667,0.004455556,0.001315111,0.004061556,0.003657556,0.002043111,0.001963556,0.044177778,0.029,0.041263357,0.714180836,0.339102921,0.00991033,0.015511827,0.000278836,0.022209968,0.000317467,0.025283727,0.011234767,0.006006865,0.007848667,2.481253931,0.189865513,0.177436094,0.578676303
7/18/2021,0.015741091,0.003336242,0.031696323,0.031095273,0.00956299,0.011507717,0.001559289,0.000580978,0.00021859,0.000198555,0.000575606,0.030441919,0.015086869,0.004122222,0.024514141,0.027698086,0.024570707,0.050555556,0.001328333,0.099473419,0.02191309,0.04588455,0.052461737,0.020164848,0.002864646,0.000895111,0.002471919,0.002335192,0.001938747,0.001493156,0.044177778,0.029,0.046968063,0.711642421,0.328202475,0.009813293,0.015465016,0.000323225,0.025943376,0.000246037,0.019436185,0.006741481,0.00561053,0.007254303,1.92884874,0.891013635,0.107671719,0.305579234
7/19/2021,0.021616,0.002562424,0.01655596,0.043204,0.006325172,0.006630626,0.001592889,0.000697051,0.000364874,0.000349563,0.001640777,0.043468056,0.007618687,0.013672222,0.019027778,0.026702007,0.036963889,0.051372222,0.001110606,0.090570694,0.020876515,0.041106205,0.054335192,0.033564121,0.005308283,0.001470384,0.005129374,0.004554828,0.002050747,0.002284283,0.044177778,0.029,0.054231845,0.681679113,0.345173822,0.006958656,0.011543435,0.000323225,0.023352848,0.000198417,0.036854775,0.013012336,0.005776564,0.009616485,2.389919055,0.151506636,0.210776817,0.713509572
