site,date,start_hour,value,variable,units,quality,prelim,met_source,obs_type,minutes,name 
2077,2021-01-01,0,56.86,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,1,48.82,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,2,55.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,3,54.76,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,4,53.13,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,5,54.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,6,50.65,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,7,46.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,8,50.16,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,9,56.74,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,10,58.57,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,11,60.51,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,12,61.74,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,13,63.16,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,14,64.26,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,15,63.60,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,16,61.30,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,17,55.21,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,18,49.36,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,19,47.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,20,46.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,21,45.25,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,22,43.67,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-01,23,44.41,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,0,44.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,1,43.43,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,2,42.17,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,3,42.66,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,4,45.26,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,5,46.05,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,6,46.12,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,7,45.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,8,49.80,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,9,56.70,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,10,58.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,11,59.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,12,60.61,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,13,60.73,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,14,60.96,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,15,60.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,16,58.59,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,17,53.31,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,18,50.97,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,19,49.45,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,20,46.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,21,45.69,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,22,45.78,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-02,23,44.05,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,0,43.40,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,1,43.24,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,2,42.66,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,3,41.95,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,4,41.69,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,5,41.72,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,6,41.74,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,7,42.69,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,8,44.91,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,9,51.83,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,10,55.07,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,11,57.00,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,12,58.75,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,13,59.55,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,14,60.32,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,15,60.46,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,16,58.97,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,17,52.93,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,18,49.27,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,19,47.42,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,20,45.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,21,45.49,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,22,44.70,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-03,23,44.08,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,0,42.65,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,1,42.65,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,2,42.44,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,3,41.94,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,4,41.15,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,5,41.23,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,6,40.92,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,7,41.72,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
2077,2021-01-04,8,48.62,TEMP,Degrees Fahrenheit ( <sup>o</sup>F ),0,,AIRS,A60,0,Redlands-Dearborn 
